stock,announce_date,utilisation_delta_pp,wafer_asp_delta_pct,rd_delta_pct,util_source,asp_source,rd_source
2330.TW,2014-02-26,,,,NA,NA,NA
2330.TW,2014-05-15,,,,NA,NA,NA
2330.TW,2014-08-14,,,,NA,NA,NA
2330.TW,2014-11-13,,,,NA,NA,NA
2330.TW,2015-02-25,,,,NA,NA,NA
2330.TW,2015-05-12,,,,NA,NA,NA
2330.TW,2015-08-12,,,,NA,NA,NA
2330.TW,2015-11-12,,,,NA,NA,NA
2330.TW,2016-05-12,,,,NA,NA,NA
2330.TW,2016-08-05,,,,NA,NA,NA
2330.TW,2016-11-10,,,,NA,NA,NA
2330.TW,2017-02-17,,,,NA,NA,NA
2330.TW,2017-05-11,,,,NA,NA,NA
2330.TW,2017-08-09,,,,NA,NA,NA
2330.TW,2017-11-15,,,,NA,NA,NA
2330.TW,2018-02-22,,,,NA,NA,NA
2330.TW,2018-05-03,,,,NA,NA,NA
2330.TW,2018-08-15,,,,NA,NA,NA
2330.TW,2018-11-14,,,,NA,NA,NA
2330.TW,2019-02-25,-5.0,,,HAND_CODED,NA,NA
2330.TW,2019-05-16,-3.0,,,HAND_CODED,NA,NA
2330.TW,2019-08-15,3.0,,,HAND_CODED,NA,NA
2330.TW,2019-11-15,,,,NA,NA,NA
2330.TW,2020-03-02,,,,NA,NA,NA
2330.TW,2020-05-15,-2.0,,,HAND_CODED,NA,NA
2330.TW,2020-08-17,4.0,,,HAND_CODED,NA,NA
2330.TW,2020-11-16,,,,NA,NA,NA
2330.TW,2021-03-02,,,,NA,NA,NA
2330.TW,2021-05-17,,,,NA,NA,NA
2330.TW,2021-08-16,,,,NA,NA,NA
2330.TW,2021-11-15,,,,NA,NA,NA
2330.TW,2022-03-01,,,,NA,NA,NA
2330.TW,2022-05-16,,,,NA,NA,NA
2330.TW,2022-08-15,,,,NA,NA,NA
2330.TW,2022-11-15,,,,NA,NA,NA
2330.TW,2023-03-01,-8.0,2.0,,HAND_CODED,HAND_CODED,NA
2330.TW,2023-05-15,-5.0,,,HAND_CODED,NA,NA
2330.TW,2023-08-15,2.0,,,HAND_CODED,NA,NA
2330.TW,2023-11-15,,,,NA,NA,NA
2330.TW,2024-03-01,5.0,1.5,11.703872666177473,HAND_CODED,HAND_CODED,PROXY_ANNUAL
2330.TW,2024-05-16,3.0,2.0,11.703872666177473,HAND_CODED,HAND_CODED,PROXY_ANNUAL
2330.TW,2024-08-15,,,11.703872666177473,NA,NA,PROXY_ANNUAL
2330.TW,2024-11-15,,,11.703872666177473,NA,NA,PROXY_ANNUAL
2330.TW,2025-03-03,,,11.960068037431547,NA,NA,PROXY_ANNUAL
2330.TW,2025-05-16,-3.3631342086737126,-0.20865502175761996,11.960068037431547,PROXY_PIT,PROXY_PIT,PROXY_ANNUAL
2330.TW,2025-08-15,11.264556719290052,-0.17183766955720658,11.960068037431547,PROXY_PIT,PROXY_PIT,PROXY_ANNUAL
2330.TW,2025-11-17,6.010595172573718,0.8357701695361874,20.760941050389192,PROXY_PIT,PROXY_PIT,PROXY_PIT
2303.TW,2014-03-17,,,,NA,NA,NA
2303.TW,2014-05-05,,,,NA,NA,NA
2303.TW,2014-08-01,,,,NA,NA,NA
2303.TW,2014-11-03,,,,NA,NA,NA
2303.TW,2015-03-20,,,,NA,NA,NA
