event_id,calendar_date,event_trading_date,primary_target_date,second_target_date,market,delivery_year,headline,source_url,source_confidence,ticker,group,same_day_abs_ratio,next_day_abs_ratio,t_plus_2_abs_ratio,same_day_rv_ratio,next_day_rv_ratio,t_plus_2_rv_ratio,same_day_return,next_day_return
pjm_2023_2024_bra,2022-06-21,2022-06-21,2022-06-22,2022-06-23,PJM,2023/2024,RTO capacity price $34.13/MW-day versus $50.00 prior auction.,https://insidelines.pjm.com/pjm-capacity-auction-secures-electricity-supplies-at-competitive-prices/,high,NRG,ipp_capacity,1.6971514279224607,1.31449969689017,3.202769559844656,2.8803217054603336,1.7279086949457596,10.257728352541044,0.018274148555058847,-0.01415393013336243
pjm_2023_2024_bra,2022-06-21,2022-06-21,2022-06-22,2022-06-23,PJM,2023/2024,RTO capacity price $34.13/MW-day versus $50.00 prior auction.,https://insidelines.pjm.com/pjm-capacity-auction-secures-electricity-supplies-at-competitive-prices/,high,QQQ,market,2.5884553372811303,0.15093031650510988,1.5284031803259304,6.699952101521489,0.02277996026101293,2.3360162632417225,0.024916782253766152,-0.0014598528110409967
pjm_2023_2024_bra,2022-06-21,2022-06-21,2022-06-22,2022-06-23,PJM,2023/2024,RTO capacity price $34.13/MW-day versus $50.00 prior auction.,https://insidelines.pjm.com/pjm-capacity-auction-secures-electricity-supplies-at-competitive-prices/,high,SPY,market,3.680908194990694,0.26866460678684617,1.4442140965576074,13.548965466627976,0.07218003339868248,2.0857359341122264,0.0248622183653208,-0.001814660341178247
pjm_2023_2024_bra,2022-06-21,2022-06-21,2022-06-22,2022-06-23,PJM,2023/2024,RTO capacity price $34.13/MW-day versus $50.00 prior auction.,https://insidelines.pjm.com/pjm-capacity-auction-secures-electricity-supplies-at-competitive-prices/,high,URA,uranium,1.3077483023357699,2.0302597625992878,0.8653660915788893,1.7102046506542292,4.1218732760056715,0.7488381981715982,0.026682150326664513,-0.04163993902282494
pjm_2023_2024_bra,2022-06-21,2022-06-21,2022-06-22,2022-06-23,PJM,2023/2024,RTO capacity price $34.13/MW-day versus $50.00 prior auction.,https://insidelines.pjm.com/pjm-capacity-auction-secures-electricity-supplies-at-competitive-prices/,high,VPU,utility_etf,2.70210248295424,1.5818222727179887,3.3544770956475523,7.30135062225114,2.50215923293723,11.252505479458442,0.017590637523311442,0.010297633935505346
pjm_2023_2024_bra,2022-06-21,2022-06-21,2022-06-22,2022-06-23,PJM,2023/2024,RTO capacity price $34.13/MW-day versus $50.00 prior auction.,https://insidelines.pjm.com/pjm-capacity-auction-secures-electricity-supplies-at-competitive-prices/,high,VST,ipp_capacity,2.0377786256194135,0.22962324924156027,2.641859352560008,4.152312498868801,0.05272392597107958,6.979035561469046,0.023416508197705136,-0.002638645155390357
pjm_2023_2024_bra,2022-06-21,2022-06-21,2022-06-22,2022-06-23,PJM,2023/2024,RTO capacity price $34.13/MW-day versus $50.00 prior auction.,https://insidelines.pjm.com/pjm-capacity-auction-secures-electricity-supplies-at-competitive-prices/,high,XLU,utility_etf,2.8186812738733322,1.564534506986431,3.4690163841076527,7.94491293976442,2.447752454270202,12.034074595715905,0.018856165616046045,0.01046628508487435
pjm_2024_2025_bra,2023-02-27,2023-02-27,2023-02-28,2023-03-01,PJM,2024/2025,RTO capacity price $28.92/MW-day.,https://insidelines.pjm.com/pjm-capacity-auction-procures-adequate-resources/,high,CEG,ipp_capacity,0.6733135765722502,2.738776933313347,0.4267276553666465,0.45333698497519986,7.4987704510609,0.18209079322679217,-0.011418501608719286,-0.04542091433633323
pjm_2024_2025_bra,2023-02-27,2023-02-27,2023-02-28,2023-03-01,PJM,2024/2025,RTO capacity price $28.92/MW-day.,https://insidelines.pjm.com/pjm-capacity-auction-procures-adequate-resources/,high,NRG,ipp_capacity,1.328984865575461,0.5334795044392158,0.5334795044392217,1.766132029198525,0.2845893044948601,0.2845893044948664,-0.017412495435793148,-0.006989702950540925
pjm_2024_2025_bra,2023-02-27,2023-02-27,2023-02-28,2023-03-01,PJM,2024/2025,RTO capacity price $28.92/MW-day.,https://insidelines.pjm.com/pjm-capacity-auction-procures-adequate-resources/,high,QQQ,market,0.5028167047849135,0.09164103487284377,0.5770301229253351,0.25282283735540956,0.008398019576320382,0.3329500169357541,0.007135508675348602,-0.0012935645544996741
pjm_2024_2025_bra,2023-02-27,2023-02-27,2023-02-28,2023-03-01,PJM,2024/2025,RTO capacity price $28.92/MW-day.,https://insidelines.pjm.com/pjm-capacity-auction-procures-adequate-resources/,high,SPY,market,0.3452488128265905,0.38201773279523804,0.4007963968571121,0.119185962935632,0.14593169160924357,0.1606345622966619,0.003400154811608609,-0.003703031583545386
pjm_2024_2025_bra,2023-02-27,2023-02-27,2023-02-28,2023-03-01,PJM,2024/2025,RTO capacity price $28.92/MW-day.,https://insidelines.pjm.com/pjm-capacity-auction-procures-adequate-resources/,high,URA,uranium,0.34301286094119005,0.42492351017504704,1.2668194867865752,0.11765397464707202,0.18055998829799821,1.6048292587773105,0.006183326120555533,-0.007615461339685183
pjm_2024_2025_bra,2023-02-27,2023-02-27,2023-02-28,2023-03-01,PJM,2024/2025,RTO capacity price $28.92/MW-day.,https://insidelines.pjm.com/pjm-capacity-auction-procures-adequate-resources/,high,VPU,utility_etf,0.7517531434730386,1.9909491034081592,1.8873737958138725,0.5651327885819203,3.963873033414105,3.562175083171311,-0.006271573713049145,-0.016590243679748616
pjm_2024_2025_bra,2023-02-27,2023-02-27,2023-02-28,2023-03-01,PJM,2024/2025,RTO capacity price $28.92/MW-day.,https://insidelines.pjm.com/pjm-capacity-auction-procures-adequate-resources/,high,VST,ipp_capacity,0.37066607711926863,0.8849507196977995,0.9647844701435544,0.13739311588369868,0.7831376597678186,0.9308089353318104,-0.004931574992951358,-0.011754345873674988
pjm_2024_2025_bra,2023-02-27,2023-02-27,2023-02-28,2023-03-01,PJM,2024/2025,RTO capacity price $28.92/MW-day.,https://insidelines.pjm.com/pjm-capacity-auction-procures-adequate-resources/,high,XLU,utility_etf,0.8374729470858501,2.185323355045144,2.0506423935847797,0.7013592359549726,4.775626582831252,4.205124026845625,-0.006778789026871922,-0.017688745685331818
miso_2024_2025_pra,2024-04-26,2024-04-26,2024-04-29,2024-04-30,MISO,2024/2025,MISO 2024/2025 PRA results posting.,https://cdn.misoenergy.org/2024%20PRA%20Results%20Posting%2020240425632665.pdf,medium,CEG,ipp_capacity,0.1939116036967969,0.1295975851845617,1.4603146375569092,0.03760170405228848,0.016795315071483675,2.1325025740223995,0.0019129509069617063,0.0012733799624284033
miso_2024_2025_pra,2024-04-26,2024-04-26,2024-04-29,2024-04-30,MISO,2024/2025,MISO 2024/2025 PRA results posting.,https://cdn.misoenergy.org/2024%20PRA%20Results%20Posting%2020240425632665.pdf,medium,NRG,ipp_capacity,0.06622103168852074,1.5055263574717148,1.155904152576578,0.004385221416785195,2.2665788734819245,1.3360962896777189,-0.0006864909499975243,0.015535884448883203
miso_2024_2025_pra,2024-04-26,2024-04-26,2024-04-29,2024-04-30,MISO,2024/2025,MISO 2024/2025 PRA results posting.,https://cdn.misoenergy.org/2024%20PRA%20Results%20Posting%2020240425632665.pdf,medium,QQQ,market,2.402276369697884,0.6252584898946886,2.9861921585485973,5.7708678938021665,0.3908813158666074,8.917244926172241,0.015313891920912315,0.00405211823543903
miso_2024_2025_pra,2024-04-26,2024-04-26,2024-04-29,2024-04-30,MISO,2024/2025,MISO 2024/2025 PRA results posting.,https://cdn.misoenergy.org/2024%20PRA%20Results%20Posting%2020240425632665.pdf,medium,SPY,market,1.8769378557626673,0.6937779542372221,3.17848794760269,3.522766338994611,0.48129619144642893,10.102414616698034,0.009429296178263592,0.003535171249465321
miso_2024_2025_pra,2024-04-26,2024-04-26,2024-04-29,2024-04-30,MISO,2024/2025,MISO 2024/2025 PRA results posting.,https://cdn.misoenergy.org/2024%20PRA%20Results%20Posting%2020240425632665.pdf,medium,URA,uranium,0.7905236320145435,2.1305150712578143,3.946670324165092,0.6249157141449069,4.539008044448529,15.575910076501051,0.010906676769815674,0.029394237305991496
miso_2024_2025_pra,2024-04-26,2024-04-26,2024-04-29,2024-04-30,MISO,2024/2025,MISO 2024/2025 PRA results posting.,https://cdn.misoenergy.org/2024%20PRA%20Results%20Posting%2020240425632665.pdf,medium,VPU,utility_etf,1.8333590080902105,2.3848091244833167,0.9275026171330675,3.3611975487107872,5.687301524974633,0.8602591330824473,-0.011430331825582426,0.014868424303822838
miso_2024_2025_pra,2024-04-26,2024-04-26,2024-04-29,2024-04-30,MISO,2024/2025,MISO 2024/2025 PRA results posting.,https://cdn.misoenergy.org/2024%20PRA%20Results%20Posting%2020240425632665.pdf,medium,VST,ipp_capacity,0.2826076802851377,6.552029936744618,2.5708351227603026,0.07986705919001838,42.92795501220949,6.609189772171181,0.0030307514307937487,0.06985452144083497
miso_2024_2025_pra,2024-04-26,2024-04-26,2024-04-29,2024-04-30,MISO,2024/2025,MISO 2024/2025 PRA results posting.,https://cdn.misoenergy.org/2024%20PRA%20Results%20Posting%2020240425632665.pdf,medium,XLU,utility_etf,1.7311909465675397,2.1316121652100715,0.8255407669670934,2.997004032345547,4.543743040478574,0.681513450854966,-0.010968412604205923,0.013505385865450331
pjm_2025_2026_bra,2024-07-30,2024-07-30,2024-07-31,2024-08-01,PJM,2025/2026,"RTO capacity price $269.92/MW-day, up from $28.92.",https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2025-2026/2025-2026-base-residual-auction-report.pdf,high,CEG,ipp_capacity,2.0223616397895485,9.966795500427274,5.525082411756682,4.0898160298082304,99.30709748334169,30.52645329294337,-0.023377406344345753,0.11790818072579413
pjm_2025_2026_bra,2024-07-30,2024-07-30,2024-07-31,2024-08-01,PJM,2025/2026,"RTO capacity price $269.92/MW-day, up from $28.92.",https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2025-2026/2025-2026-base-residual-auction-report.pdf,high,NRG,ipp_capacity,1.2226543384091784,2.2217728295468753,1.5262467829631103,1.4948390513514833,4.936264908803433,2.329424713532453,-0.013544879210147277,0.02478233999893318
pjm_2025_2026_bra,2024-07-30,2024-07-30,2024-07-31,2024-08-01,PJM,2025/2026,"RTO capacity price $269.92/MW-day, up from $28.92.",https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2025-2026/2025-2026-base-residual-auction-report.pdf,high,QQQ,market,2.2359977245719556,4.716379537908618,3.909733559195256,4.998838290322203,22.240465159550638,15.285995809487684,-0.013826566511513982,0.029164312046391156
pjm_2025_2026_bra,2024-07-30,2024-07-30,2024-07-31,2024-08-01,PJM,2025/2026,"RTO capacity price $269.92/MW-day, up from $28.92.",https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2025-2026/2025-2026-base-residual-auction-report.pdf,high,SPY,market,1.1163514472956948,3.543800277412837,3.1226973812360743,1.2462376994040179,12.558491641291445,9.751187820615494,-0.005079319493174008,0.01612403860144832
pjm_2025_2026_bra,2024-07-30,2024-07-30,2024-07-31,2024-08-01,PJM,2025/2026,"RTO capacity price $269.92/MW-day, up from $28.92.",https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2025-2026/2025-2026-base-residual-auction-report.pdf,high,URA,uranium,0.5742524445875045,2.589980948250701,5.464257115481646,0.32976546787570044,6.707998493350996,29.858093276609846,0.008466894354971126,0.03812031670293537
pjm_2025_2026_bra,2024-07-30,2024-07-30,2024-07-31,2024-08-01,PJM,2025/2026,"RTO capacity price $269.92/MW-day, up from $28.92.",https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2025-2026/2025-2026-base-residual-auction-report.pdf,high,VPU,utility_etf,0.8761866531734752,1.6575751705294972,2.9161766874774724,0.7677029727574654,2.747555165217933,8.503948302419868,0.005514636008006816,0.010432621506242237
pjm_2025_2026_bra,2024-07-30,2024-07-30,2024-07-31,2024-08-01,PJM,2025/2026,"RTO capacity price $269.92/MW-day, up from $28.92.",https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2025-2026/2025-2026-base-residual-auction-report.pdf,high,VST,ipp_capacity,2.2446403197849456,9.647711876208318,2.810611924023642,5.038246099429543,93.07834175859685,7.897073053319096,-0.031947795575676674,0.1381222110735683
pjm_2025_2026_bra,2024-07-30,2024-07-30,2024-07-31,2024-08-01,PJM,2025/2026,"RTO capacity price $269.92/MW-day, up from $28.92.",https://www.pjm.com/-/media/DotCom/markets-ops/rpm/rpm-auction-info/2025-2026/2025-2026-base-residual-auction-report.pdf,high,XLU,utility_etf,0.8147630378858012,2.0295653573806622,2.787804881482948,0.6638348073737477,4.119110716489062,7.771438558774039,0.00516214412506407,0.012858841649496388
miso_2025_2026_pra,2025-05-29,2025-05-29,2025-05-30,2025-06-02,MISO,2025/2026,Summer clearing price $666.50/MW-day in a tight planning-resource auction.,https://cdn.misoenergy.org/2025%20PRA%20Results%20Posting%2020250529_Corrections694160.pdf,high,CEG,ipp_capacity,0.7892169701487689,0.4811345774967498,1.239538129448531,0.6225771136690607,0.23149016115275337,1.5364526470577995,-0.015308999559509363,0.00912203095547199
miso_2025_2026_pra,2025-05-29,2025-05-29,2025-05-30,2025-06-02,MISO,2025/2026,Summer clearing price $666.50/MW-day in a tight planning-resource auction.,https://cdn.misoenergy.org/2025%20PRA%20Results%20Posting%2020250529_Corrections694160.pdf,high,NRG,ipp_capacity,0.6733006420477808,0.6115393947657247,1.1038846373954854,0.4533335258079797,0.3739523936464792,1.2185605471192709,-0.01024056212672935,0.009214807199913709
miso_2025_2026_pra,2025-05-29,2025-05-29,2025-05-30,2025-06-02,MISO,2025/2026,Summer clearing price $666.50/MW-day in a tight planning-resource auction.,https://cdn.misoenergy.org/2025%20PRA%20Results%20Posting%2020250529_Corrections694160.pdf,high,QQQ,market,0.25819705052838393,0.20946527275995008,1.0440356512620943,0.06666528006439798,0.04387372712846594,1.0899614165375773,0.001963738792763207,-0.0015784412544863678
miso_2025_2026_pra,2025-05-29,2025-05-29,2025-05-30,2025-06-02,MISO,2025/2026,Summer clearing price $666.50/MW-day in a tight planning-resource auction.,https://cdn.misoenergy.org/2025%20PRA%20Results%20Posting%2020250529_Corrections694160.pdf,high,SPY,market,0.7359391192110776,0.20941727999866577,1.0510028576923176,0.5416063819434944,0.04385549390548062,1.104604406116605,0.003939671569296213,-0.0011192369367069106
miso_2025_2026_pra,2025-05-29,2025-05-29,2025-05-30,2025-06-02,MISO,2025/2026,Summer clearing price $666.50/MW-day in a tight planning-resource auction.,https://cdn.misoenergy.org/2025%20PRA%20Results%20Posting%2020250529_Corrections694160.pdf,high,URA,uranium,1.3058580804364512,0.5171473749303056,0.2913654376881284,1.7052520128481181,0.2674393194215986,0.08489315549390643,-0.019644689686930807,-0.007779711941990854
miso_2025_2026_pra,2025-05-29,2025-05-29,2025-05-30,2025-06-02,MISO,2025/2026,Summer clearing price $666.50/MW-day in a tight planning-resource auction.,https://cdn.misoenergy.org/2025%20PRA%20Results%20Posting%2020250529_Corrections694160.pdf,high,VPU,utility_etf,1.2149808771693291,1.379375457067634,0.4823942714243412,1.4761770372173,1.9026747250500518,0.23269489580348493,0.007899751589084214,0.008968637830992918
miso_2025_2026_pra,2025-05-29,2025-05-29,2025-05-30,2025-06-02,MISO,2025/2026,Summer clearing price $666.50/MW-day in a tight planning-resource auction.,https://cdn.misoenergy.org/2025%20PRA%20Results%20Posting%2020250529_Corrections694160.pdf,high,VST,ipp_capacity,0.6072919133714044,0.19661771699381547,1.5917924774590053,0.36879840166026207,0.03865781178214051,2.533741344867536,-0.016331085793352244,0.005245223378828636
miso_2025_2026_pra,2025-05-29,2025-05-29,2025-05-30,2025-06-02,MISO,2025/2026,Summer clearing price $666.50/MW-day in a tight planning-resource auction.,https://cdn.misoenergy.org/2025%20PRA%20Results%20Posting%2020250529_Corrections694160.pdf,high,XLU,utility_etf,1.0701786450930635,1.5726376915876992,0.4863419187805651,1.145282323688133,2.473189290160815,0.2365197931711444,0.006929904372265116,0.010183560347510763
pjm_2026_2027_bra,2025-07-22,2025-07-22,2025-07-23,2025-07-24,PJM,2026/2027,PJM capacity auction cleared near the price cap at $329.17/MW-day.,https://insidelines.pjm.com/pjm-auction-procures-134311-mw-of-generation-resources-supply-responds-to-price-signal/,high,CEG,ipp_capacity,0.015454005941207051,1.0058728953728593,0.34183992041332056,0.0002388236181970171,1.0117689218336652,0.11685434705974289,-0.000283098504871043,0.01842636232014558
pjm_2026_2027_bra,2025-07-22,2025-07-22,2025-07-23,2025-07-24,PJM,2026/2027,PJM capacity auction cleared near the price cap at $329.17/MW-day.,https://insidelines.pjm.com/pjm-auction-procures-134311-mw-of-generation-resources-supply-responds-to-price-signal/,high,NRG,ipp_capacity,0.7230030033693264,2.835608244141287,1.0960391251965163,0.5227333404432438,8.04013287578551,1.2012209012498734,0.010774958056268548,0.04191247817267043
pjm_2026_2027_bra,2025-07-22,2025-07-22,2025-07-23,2025-07-24,PJM,2026/2027,PJM capacity auction cleared near the price cap at $329.17/MW-day.,https://insidelines.pjm.com/pjm-auction-procures-134311-mw-of-generation-resources-supply-responds-to-price-signal/,high,QQQ,market,0.6865128701245018,0.6020770152273018,0.28271213078897206,0.4712998430875721,0.3624966724572692,0.07992440085302033,-0.005188970506260293,0.00455076665051468
pjm_2026_2027_bra,2025-07-22,2025-07-22,2025-07-23,2025-07-24,PJM,2026/2027,PJM capacity auction cleared near the price cap at $329.17/MW-day.,https://insidelines.pjm.com/pjm-auction-procures-134311-mw-of-generation-resources-supply-responds-to-price-signal/,high,SPY,market,0.026747300886266027,1.5850588188933357,0.06194598532101254,0.0007154180977766106,2.512405543961511,0.003837296062582645,0.00014318518761442616,0.008471394418692447
pjm_2026_2027_bra,2025-07-22,2025-07-22,2025-07-23,2025-07-24,PJM,2026/2027,PJM capacity auction cleared near the price cap at $329.17/MW-day.,https://insidelines.pjm.com/pjm-auction-procures-134311-mw-of-generation-resources-supply-responds-to-price-signal/,high,URA,uranium,0.1300546088803477,1.6054057129746147,1.488635227845849,0.016912395985240303,2.5773271948916703,2.2157983172311875,0.0019911385672467617,0.02431644014731058
