market,ticker,converged,theta0,alpha,gamma,beta,theta_vix,theta_eav,theta_eav_se,theta_eav_t,loglik,n_obs,n_events,sigma2_sample,persistence,params_at_bound,fit_time_sec,analyst_count,market_cap,institutions_pct
AU,BHP.AX,True,0.00015353751291647373,0.03124739087246634,0.08107910096954794,0.8803179488784569,4.2647946620449775e-07,0.0005678997682119915,0.00023705734439695688,2.3956219102034355,8233.349336649977,3036,22,0.00030772480070175137,0.9521048902356972,[],0.79,15,284112191488,0.36646998
AU,CBA.AX,True,5.861002072994421e-05,0.013426254838821344,0.07388051416111752,0.8782661485094739,2.620092400874406e-07,8.845651492529589e-05,0.00014442801915378264,0.6124609022790103,9217.532103698662,3036,22,0.00017420297914844278,0.9286326604288541,[],0.79,14,298022600704,0.31488
AU,CSL.AX,True,0.00018758535114492324,0.028079015934867148,0.0748602433044506,0.8427367639594766,1.0815896673056936e-07,0.00033214322488516645,0.000213309914082848,1.5570923007177457,8649.0747441059,3036,22,0.00022562698325293343,0.908245901546569,[],0.79,16,66551787520,0.36198002
AU,NAB.AX,True,5.3734356864835084e-05,0.060078067123314524,0.060085851105010364,0.8511492321839584,2.955700758339607e-07,0.00012215418449559789,6.85961475003044e-05,1.780773249620991,9257.570607005284,3036,21,0.00018660597781505633,0.9412702248597782,[],0.78,14,130014429184,0.39995
AU,ANZ.AX,True,6.218512393251284e-05,0.03214530134009939,0.08191709555141541,0.88054327757273,3.154323688297328e-07,7.858137984110946e-05,4.080516359346146e-05,1.9257704888530625,9161.694278255634,3036,21,0.0002019624480001225,0.9536471266885371,[],0.79,14,113143865344,0.36986
AU,WBC.AX,True,5.2438382442074064e-05,0.058385967233209504,0.05838601432159817,0.8494533834974617,3.7190342733795633e-07,8.870555620880613e-05,4.4218340710905306e-05,2.006080616836199,9088.711866699132,3036,21,0.00020157876495618357,0.9370323578914703,[],0.74,14,135812513792,0.34605998
AU,WES.AX,True,6.180280366021035e-05,0.04115792191619178,0.04112646737129419,0.6769926155274253,2.166154400819677e-07,0.0010465610698234334,,,9273.830735277488,3036,22,0.0001578104163835326,0.7387137711292642,[],0.69,14,82705342464,0.3415
AU,MQG.AX,True,5.259123201073225e-05,0.0001,0.08486623651131947,0.8813788085815712,4.6300819112226483e-07,0.00011051681408611355,6.340206771091579e-05,1.7431105652582073,8789.996379172775,3036,21,0.0002473275857808567,0.923911926837231,[1],0.64,13,91427479552,0.37018
AU,TLS.AX,True,0.00011193736833438186,0.05971951278695074,0.05971904452739527,0.8474245748366261,9.252694946425179e-08,5.439957475316326e-05,9.028178804485016e-05,0.6025531386921431,9400.423192694258,3036,22,0.00013465017732619387,0.9370036098872745,[],0.04,13,59894308864,0.27675
AU,RIO.AX,True,0.0001550823244766263,0.04239464099504096,0.042381939371423864,0.8360268681401058,3.30199218033694e-07,0.0004595801741928414,0.00018449848330192434,2.4909699308517186,8256.561222538783,3036,22,0.00027428230131805166,0.8996124788208587,[],0.09,15,282463043584,0.59939
