Date,MTUM,VLUE,QUAL,USMV,RPV,IVE,IWF,SPY
2013-01-02,,,,22.989524841308594,26.369552612304688,50.64873665515374,14.72232723236084,116.06435959081082
2013-01-03,,,,23.08263401502672,26.602844391601817,50.79770397673515,14.752998099733325,116.23907999761849
2013-01-04,,,,23.183489068151538,26.678094460126353,51.00625465480702,14.742039677579244,116.42966635036719
2013-01-07,,,,23.121425665883088,26.602845370522367,50.80515195858749,14.711375340578803,116.03258948263709
2013-01-08,,,,23.059353154234355,26.44480606706257,50.68597681857878,14.698225886005682,115.87376821958505
2013-01-09,,,,23.12918467410777,26.467377242550185,50.82750024361638,14.73766169837319,116.19936404804795
2013-01-10,,,,23.25332260131836,26.655520999538275,51.13289023813441,14.79681223292212,116.81084694290472
2013-01-11,,,,23.276611235645102,26.693146079710573,51.13288591709114,14.809957504272461,116.85852678634768
2013-01-14,,,,23.299886562956452,26.655513523494232,51.17757161568146,14.799008381801865,116.79495740355549
2013-01-15,,,,23.323147143806683,26.866233825683594,51.34889061214355,14.772713759452884,116.90618570390487
2013-01-16,,,,23.292129331641767,26.926436208693932,51.31910198322163,14.788049253815348,116.96177150725705
2013-01-17,,,,23.431785631490115,27.21993731386491,51.70638098449097,14.897590545178137,117.8670784879092
2013-01-18,,,,23.44729995727539,27.280134766317413,51.825562786436585,14.888827482519584,117.9226365260826
2013-01-22,,,,23.548166275024414,27.611261169549433,52.168208908284186,14.934833526611328,118.43094635009766
2013-01-23,,,,23.57144007302919,27.618790809403382,52.21288587360112,15.00494679877777,118.7247408906957
2013-01-24,,,,23.687818499017904,27.829505491082024,52.607646499732745,15.018089924612626,119.23303565475405
2013-01-25,,,,23.680063049873443,27.8520772854982,52.67467498779296,15.03342212152708,119.32038879394531
2013-01-28,,,,23.711089995462668,27.972482783247806,52.76406436006283,15.037804610142233,119.38389503843733
2013-01-29,,,,23.788688561967817,28.062789916992188,52.97260376170687,15.044381500647695,119.79684752305309
2013-01-30,,,,23.79644777933226,28.062792496336694,52.99496637201212,15.061900214186744,119.8683242804554
2013-01-31,,,,23.7188568435009,27.934866325105247,52.75661772753317,15.024657935122477,119.42361599291847
2013-02-01,,,,23.87403096554411,28.213306585988235,53.218411163573855,15.12105334678529,120.2495077534614
2013-02-04,,,,23.77316665982026,28.07032445907871,52.90558837352993,15.05533150892717,120.13039597465743
2013-02-05,,,,23.85851677472074,28.21330600784915,53.25563839880328,15.112294831921544,120.29718055085824
2013-02-06,,,,23.85851287841797,28.220828810863576,53.15882093562009,15.094765491406452,120.12242942552942
2013-02-07,,,,23.92059340392352,28.28103669492569,53.21840460643162,15.088192083560237,120.19390198873424
2013-02-08,,,,23.990419387817383,28.326200862969504,53.28545108353999,15.186776843269802,120.62270917059742
2013-02-11,,,,23.99041552304771,28.37886749857955,53.307803011249824,15.178013879920195,120.63065831554002
2013-02-12,,,,23.99818019639474,28.514334865681622,53.553591408294736,15.171439593547788,120.94835768732487
2013-02-13,,,,24.021459630668204,28.50681189368746,53.665305121364256,15.191164190472325,121.19452821388508
2013-02-14,,,,23.92058739119335,28.5971021368838,53.63554257068139,15.175822590006659,121.08335928335214
2013-02-15,,,,23.99042492173265,28.657312231047005,53.65042965903402,15.197731716660531,121.17864122531465
2013-02-19,,,,24.114564847995776,28.619686496024336,53.858949012551335,15.23935793070932,121.72666611676341
2013-02-20,,,,24.14559743457375,28.725049243592476,53.82918118861664,15.234977371796983,121.6551094939383
2013-02-21,,,,23.990417611549272,27.99506139732627,53.07690048489715,15.029037199915372,120.24950588438813
2013-02-22,,,,24.161117553710938,28.130525380913053,53.41206741333008,15.09695816040039,120.62274169921875
2013-02-25,,,,24.30853074913024,28.311132404788587,53.73980211803247,15.20430705170231,121.3930768603748
2013-02-26,,,,24.07577123661026,27.49838142669526,52.70448159072332,14.983038037442416,119.28063566681944
