Date,MTUM,VLUE,QUAL,USMV,RPV,IVE,IWF,SPY
2013-01-02,,,,577100,44200,1117500,16795600,192059000
2013-01-03,,,,167700,104800,959200,10695200,144761800
2013-01-04,,,,255400,76100,691900,7876000,116817700
2013-01-07,,,,424900,31900,550200,7442000,110002500
2013-01-08,,,,190700,75400,1302900,5728800,121265100
2013-01-09,,,,198000,37100,845200,8676000,90745600
2013-01-10,,,,297900,45400,423200,11326000,130735400
2013-01-11,,,,162500,32800,598200,9176400,113917300
2013-01-14,,,,207400,15200,465000,11891200,89567200
2013-01-15,,,,234000,32900,740500,9139200,93172600
2013-01-16,,,,545200,16100,556000,10128400,104849500
2013-01-17,,,,459200,46000,1203500,9026400,133833500
2013-01-18,,,,207400,31400,599600,9430000,169906000
2013-01-22,,,,170200,41800,485900,5548400,111797300
2013-01-23,,,,557500,113800,719900,8931600,104596100
2013-01-24,,,,404300,42000,485400,6112800,146426400
2013-01-25,,,,288200,410700,604000,6804800,147211600
2013-01-28,,,,295300,47100,764500,6477600,113357700
2013-01-29,,,,1310300,23900,662900,5534000,105694400
2013-01-30,,,,366500,71200,645400,6375600,137447700
2013-01-31,,,,270600,37300,1479200,6282400,108975800
2013-02-01,,,,404500,41600,730200,8214000,131173000
2013-02-04,,,,217300,634600,991500,11594400,159073600
2013-02-05,,,,323600,44100,533900,8276400,113912400
2013-02-06,,,,285600,29300,426800,20924000,138762800
2013-02-07,,,,375700,25000,534900,12711200,162490000
2013-02-08,,,,125300,66900,418700,8537200,103133700
2013-02-11,,,,138700,138800,480200,3994000,73775000
2013-02-12,,,,260400,40400,348500,6609200,65392700
2013-02-13,,,,442800,24300,417500,5322400,82322600
2013-02-14,,,,413800,43700,1055800,4087600,80834300
2013-02-15,,,,399800,67000,443800,4144800,215226500
2013-02-19,,,,1031900,43400,535100,5682800,95105400
2013-02-20,,,,2108400,152400,492800,8583200,160574800
2013-02-21,,,,517800,91800,636700,10675600,183257000
2013-02-22,,,,203800,38100,343900,9620400,106356600
2013-02-25,,,,243100,24000,643500,12443200,245824800
2013-02-26,,,,2782700,119500,1185900,20574800,186596200
2013-02-27,,,,192800,17700,663300,5985600,150781900
2013-02-28,,,,194300,28900,737500,15928000,126866000
2013-03-01,,,,191100,50900,959000,8118400,170634800
2013-03-04,,,,154400,59000,681500,4264400,99010200
2013-03-05,,,,261000,45300,725000,6222000,121431900
2013-03-06,,,,503400,31900,563900,10490800,94469900
2013-03-07,,,,203300,38100,459600,5343200,86101400
2013-03-08,,,,226800,38800,1120100,12922800,123477800
2013-03-11,,,,347900,78500,2168600,6821200,83746800
2013-03-12,,,,389900,47500,803700,5151200,105755800
2013-03-13,,,,212800,52200,1064900,5368400,92550900
2013-03-14,,,,3590600,95400,1421900,5457200,126329900
2013-03-15,,,,3641300,26200,614300,12642800,138601100
2013-03-18,,,,499100,14900,848400,35714800,126704300
2013-03-19,,,,366800,23400,1871800,47884000,167567300
2013-03-20,,,,322000,12800,587800,14094800,113759300
2013-03-21,,,,2767600,13500,690200,9625200,128605000
2013-03-22,,,,521800,23700,756700,8222400,111163600
2013-03-25,,,,426300,16500,941500,6477600,151322300
2013-03-26,,,,262000,20500,580900,8513600,86856600
2013-03-27,,,,7237500,12700,749200,5219200,99950600
2013-03-28,,,,642500,12200,532600,5496400,102932800
2013-04-01,,,,1209600,45600,1400800,11581600,99194100
2013-04-02,,,,703200,20600,721200,4244000,101504300
2013-04-03,,,,888400,40700,709000,12582400,154167400
2013-04-04,,,,415400,35600,604700,5884800,131885000
2013-04-05,,,,426900,85200,385700,5185600,159666000
2013-04-08,,,,563600,10900,368000,47381200,86571200
2013-04-09,,,,7779400,66600,544000,4627200,101922200
2013-04-10,,,,553200,22500,346700,5180400,135711100
2013-04-11,,,,1348400,96800,519500,4688800,110142500
2013-04-12,,,,294200,47500,549900,6937200,116359900
2013-04-15,,,,523600,47100,638000,7206800,217259000
2013-04-16,,,,4990900,111800,700300,8925200,147507800
2013-04-17,,,,821800,42100,760200,14236000,226834800
2013-04-18,400.0,100.0,,714000,23700,793200,7765600,167583200
2013-04-19,0.0,0.0,,969200,24500,363900,4241600,149687600
2013-04-22,0.0,0.0,,1282100,25000,435700,5371200,106553500
2013-04-23,600.0,0.0,,3986800,87700,960500,10368800,166141300
2013-04-24,1100.0,600.0,,923300,21000,886900,5515200,96781200
2013-04-25,400.0,100.0,,4784500,32600,514300,6184000,131060600
2013-04-26,100.0,400.0,,317900,30900,473000,4520400,95918800
2013-04-29,4800.0,0.0,,320800,13400,394700,5646800,88572800
2013-04-30,1400.0,900.0,,503900,67300,708000,18342400,116010700
2013-05-01,100.0,0.0,,619600,30600,751900,8211200,138874200
2013-05-02,2500.0,400.0,,290100,61200,481500,4698000,96407600
2013-05-03,1000.0,0.0,,499800,235200,810400,6812800,144202300
2013-05-06,19500.0,0.0,,909500,55800,310900,4906800,66882100
2013-05-07,1500.0,0.0,,889800,13000,984600,6059200,90359200
2013-05-08,1600.0,1800.0,,522700,39400,436800,9377200,97419200
2013-05-09,4700.0,500.0,,640300,36100,702700,4584000,106738600
2013-05-10,700.0,1900.0,,237600,19900,379300,4549600,103203000
2013-05-13,4200.0,500.0,,368600,43500,341400,3222800,81843200
2013-05-14,2200.0,400.0,,1890300,18700,450700,5253600,119000900
2013-05-15,3400.0,200.0,,481100,21100,483700,14829200,120718500
2013-05-16,5700.0,1200.0,,2832300,6000,472200,5066400,109913600
2013-05-17,2800.0,600.0,,1949100,38900,300000,6617200,129801000
2013-05-20,4300.0,0.0,,740100,38900,318600,16643200,85071200
2013-05-21,600.0,1100.0,,3294800,29200,404700,4376800,95804200
2013-05-22,1900.0,600.0,,3832500,27700,881300,10247600,244031800
2013-05-23,700.0,300.0,,852700,22200,469700,7320800,211064400
2013-05-24,1200.0,100.0,,201000,103200,465600,7768800,151573900
2013-05-28,4000.0,1000.0,,544200,53400,499100,7941600,143679800
2013-05-29,2500.0,100.0,,934300,30900,484800,5602800,160363400
2013-05-30,13000.0,1500.0,,378900,265400,535700,4928800,107793800
2013-05-31,2400.0,1000.0,,913900,29300,759500,22501200,176850100
2013-06-03,2100.0,0.0,,1102200,44400,535400,9107200,168390700
2013-06-04,8400.0,1000.0,,1395600,101500,663000,6815600,157631500
2013-06-05,5400.0,100.0,,1009800,53000,507200,5816800,211737800
2013-06-06,9900.0,0.0,,2036900,184600,392100,7531600,200225500
2013-06-07,1300.0,0.0,,272500,76200,385900,8016800,188337800
2013-06-10,8500.0,3800.0,,585200,106600,383200,7279200,105667100
2013-06-11,14500.0,500.0,,4765200,51700,585000,7053200,159505400
2013-06-12,3400.0,500.0,,659300,68800,347900,11207200,177361500
2013-06-13,2100.0,0.0,,791400,46200,369500,7683200,163587800
2013-06-14,700.0,1300.0,,458600,24200,520600,6573200,141197500
2013-06-17,600.0,500.0,,3347200,73900,770200,7772800,136295600
2013-06-18,1000.0,0.0,,496000,18000,347800,4120000,114695600
2013-06-19,1100.0,800.0,,461300,70300,1020400,9256800,206149500
2013-06-20,2300.0,700.0,,1197300,104600,1278100,10588800,321255900
2013-06-21,1600.0,1200.0,,905900,128700,1373800,9237600,271956800
2013-06-24,600.0,600.0,,1804200,114900,2002600,9161200,222329000
2013-06-25,14600.0,200.0,,1065300,158600,1474600,6751200,162262200
2013-06-26,1400.0,0.0,,370100,65200,534200,6688800,134848000
2013-06-27,2500.0,0.0,,815000,84700,605000,5980800,129483700
2013-06-28,2500.0,100.0,,663900,58200,727600,9489600,160402900
2013-07-01,900.0,1600.0,,858100,150200,824100,9499200,131954800
2013-07-02,1300.0,0.0,,471400,39100,727000,7433200,154863700
2013-07-03,700.0,0.0,,290500,46700,677700,2197200,75216400
2013-07-05,2200.0,1500.0,,5205700,49400,418300,6324800,122416900
2013-07-08,700.0,200.0,,492400,94800,437700,4968400,108092500
2013-07-09,1900.0,600.0,,2828800,134200,437000,8014400,119298000
2013-07-10,201100.0,0.0,,1450000,43600,700400,7783200,121410100
2013-07-11,27300.0,0.0,,1652500,61000,640300,5319600,135592200
2013-07-12,11000.0,1600.0,,1613800,19300,425400,2376800,104212700
2013-07-15,102400.0,700.0,,7152100,47000,464900,4650400,69450600
2013-07-16,37100.0,600.0,,634200,116800,383600,5056400,88702100
2013-07-17,33400.0,0.0,,3696900,29500,439700,3550800,92873900
2013-07-18,30400.0,1500.0,200.0,13797900,47400,546200,3324000,103620100
2013-07-19,1700.0,200.0,3900.0,2275200,142700,441000,5379600,103831700
2013-07-22,1700.0,1400.0,3500.0,5304700,90000,377200,4793600,79428600
2013-07-23,2000.0,0.0,4700.0,6969500,51400,432600,5427600,80829700
2013-07-24,88900.0,0.0,400.0,3761200,46300,252500,4756400,112914000
2013-07-25,128000.0,600.0,2900.0,3774100,42600,511600,4019600,111088600
2013-07-26,31600.0,200.0,3000.0,338600,37800,296600,3167200,107814600
2013-07-29,4600.0,900.0,1200.0,426600,59900,2188500,5531200,79695000
