,"人力資源主要指標",
,,,,,,,,,,,,""
"統計期","總人口數(千人)","15歲以上民間人口(千人)","勞動力(千人)","就業人數(千人)","失業人數(千人)","15歲以上民間人口占總人口數(%)","勞動力占總人口數(%)","勞動力參與率(%)","就業人口占總人口數(%)","就業人口占15歲以上民間人口(%)","就業人口占勞動力(%)","失業率(%)"
"110年",23325,20193,11919,11447,471,86.57,51.10,59.02,49.08,56.69,96.05,3.95
"111年",23086,20028,11853,11418,434,86.76,51.34,59.18,49.46,57.01,96.33,3.67
"112年",23209,20168,11943,11528,415,86.90,51.46,59.22,49.67,57.16,96.52,3.48
"113年",23253,20244,12001,11595,406,87.06,51.61,59.28,49.87,57.28,96.62,3.38
"114年",23193,20238,12028,11626,403,87.26,51.86,59.43,50.12,57.44,96.65,3.35


"註解："
"原始值(千人)係以所取得資料之原始精確位數(人)進行計算，與資料發布機關公布之結果容或有尾差。"
""
