release,vix_t7,vix_tm1,vix_t0,pre_chg_pct,event_day_chg_pct,regime
2010-02-05,23.139999389648438,26.079999923706055,26.110000610351562,12.70527489889568,0.1150333080263577,20-25
2010-03-05,20.270000457763672,18.719999313354492,17.420000076293945,-7.646774096719422,-6.94444062363374,20-25
2010-05-07,21.079999923706055,32.79999923706055,40.95000076293945,55.597719904042634,24.847566205642657,20-25
2010-06-04,34.61000061035156,29.459999084472656,35.47999954223633,-14.880096605195037,20.434489629487484,>=25
2010-07-02,26.90999984741211,32.86000061035156,30.1200008392334,22.110742462570677,-8.33840450463963,>=25
2010-08-06,24.25,22.100000381469727,21.739999771118164,-8.86597780837226,-1.6289620096722413,20-25
2010-09-03,26.700000762939453,23.190000534057617,21.309999465942383,-13.14606789732321,-8.106947066923098,>=25
2010-10-08,23.25,21.559999465942383,20.709999084472656,-7.268819501323087,-3.9424879523417666,20-25
2010-11-05,20.709999084472656,18.520000457763672,18.260000228881836,-10.574595478137605,-1.403888890147642,20-25
2010-12-03,20.6299991607666,19.389999389648438,18.010000228881836,-6.010663216488887,-7.1170665508289215,20-25
2011-01-07,17.280000686645508,17.399999618530273,17.139999389648438,0.6944382356275369,-1.4942542217354249,15-20
2011-02-04,16.639999389648438,16.690000534057617,15.930000305175781,0.30048765771160113,-4.553626150766021,15-20
2011-03-04,22.1299991607666,18.600000381469727,19.059999465942383,-15.95119255835793,2.473113306658492,20-25
2011-04-01,19.170000076293945,17.739999771118164,17.399999618530273,-7.4595738105611815,-1.916573601886018,15-20
2011-05-06,15.350000381469727,18.200000762939453,18.399999618530273,18.566777268033174,1.0988947648731706,15-20
2011-06-03,17.81999969482422,18.09000015258789,17.950000762939453,1.515154109918937,-0.7739048560948203,15-20
2011-07-08,19.170000076293945,15.949999809265137,15.949999809265137,-16.79708009501123,0.0,15-20
2011-08-05,22.979999542236328,31.65999984741211,32.0,37.77197771141068,1.0739107840383788,20-25
2011-09-02,35.900001525878906,31.81999969482422,33.91999816894531,-11.364907124345313,6.599618146642139,>=25
2011-10-07,41.08000183105469,36.27000045776367,36.20000076293945,-11.7088635805631,-0.19299612335470506,>=25
2011-11-04,29.860000610351562,30.5,30.15999984741211,2.143333478119791,-1.114754598648826,>=25
2011-12-02,31.969999313354492,27.40999984741211,27.520000457763672,-14.263370547016507,0.4013156182558264,>=25
2012-01-06,21.90999984741211,21.479999542236328,20.6299991607666,-1.9625755735756867,-3.957171320224484,20-25
2012-02-03,18.309999465942383,17.979999542236328,17.100000381469727,-1.8022934643983635,-4.894322487046898,15-20
2012-03-09,18.43000030517578,17.950000762939453,17.110000610351562,-2.6044467405761718,-4.67966638933075,15-20
2012-05-04,16.81999969482422,17.559999465942383,19.15999984741211,4.399523094794544,9.111619761566203,15-20
2012-06-01,22.479999542236328,24.059999465942383,26.65999984741211,7.028469554625594,10.806319364844974,20-25
2012-07-06,19.719999313354492,17.5,17.100000381469727,-11.257603400883976,-2.285712105887272,15-20
2012-08-03,19.34000015258789,17.56999969482422,15.640000343322754,-9.152018840738362,-10.984629396834912,15-20
2012-09-07,16.489999771118164,15.600000381469727,14.380000114440918,-5.397206804133803,-7.820514340999452,15-20
