ticker,target,train_window_months,model,date,y,pred_model,pred_benchmark,pred_linear
FXE,return,12,linear_ridge,2008-05-31,-0.00017915826052969453,0.015140808319253758,0.0,
FXE,return,12,rff_ridge,2008-05-31,-0.00017915826052969453,0.013865724239866508,0.0,0.015140808319253758
FXE,return,12,linear_ridge,2008-06-30,0.014024936581051046,0.01234715463614918,0.0,
FXE,return,12,rff_ridge,2008-06-30,0.014024936581051046,0.01590404582403005,0.0,0.01234715463614918
FXE,return,12,linear_ridge,2008-07-31,-0.005441150500964905,0.011564510610383542,0.0,
FXE,return,12,rff_ridge,2008-07-31,-0.005441150500964905,0.015474377294280068,0.0,0.011564510610383542
FXE,return,12,linear_ridge,2008-08-31,-0.05842247954227426,0.02074831631828266,0.0,
FXE,return,12,rff_ridge,2008-08-31,-0.05842247954227426,0.013409189504908532,0.0,0.02074831631828266
FXE,return,12,linear_ridge,2008-09-30,-0.04040583361952562,-0.00019651725851953412,0.0,
FXE,return,12,rff_ridge,2008-09-30,-0.04040583361952562,0.008886763713165265,0.0,-0.00019651725851953412
FXE,return,12,linear_ridge,2008-10-31,-0.09565182953912256,-0.05743326848608917,0.0,
FXE,return,12,rff_ridge,2008-10-31,-0.09565182953912256,-0.001522366886476568,0.0,-0.05743326848608917
FXE,return,12,linear_ridge,2008-11-30,0.00011766769677601198,-0.14135340630510146,0.0,
FXE,return,12,rff_ridge,2008-11-30,0.00011766769677601198,-0.009859602388697177,0.0,-0.14135340630510146
FXE,return,12,linear_ridge,2008-12-31,0.0959132317608064,-0.046306919658259026,0.0,
FXE,return,12,rff_ridge,2008-12-31,0.0959132317608064,-0.008836930587264894,0.0,-0.046306919658259026
FXE,return,12,linear_ridge,2009-01-31,-0.08549228867969036,0.1211254013916771,0.0,
FXE,return,12,rff_ridge,2009-01-31,-0.08549228867969036,-0.00012058177452079714,0.0,0.1211254013916771
FXE,return,12,linear_ridge,2009-02-28,-0.010200258184583252,0.01509746271914222,0.0,
FXE,return,12,rff_ridge,2009-02-28,-0.010200258184583252,-0.007484009533596658,0.0,0.01509746271914222
FXE,return,12,linear_ridge,2009-03-31,0.047225742873311334,0.00795712537522038,0.0,
FXE,return,12,rff_ridge,2009-03-31,0.047225742873311334,-0.011324992170088036,0.0,0.00795712537522038
FXE,return,12,linear_ridge,2009-04-30,-0.003733837263856653,-0.01415345232678419,0.0,
FXE,return,12,rff_ridge,2009-04-30,-0.003733837263856653,-0.01188102507936408,0.0,-0.01415345232678419
