Date,rv_SPY,rv_VNQ
2015-02-04,1.2149693831683728,0.7144120793298763
2015-02-05,1.0957430526211234,0.752127922727632
2015-02-06,1.049522179832174,1.1879509768155154
2015-02-09,1.0005690499122164,1.1103045029035972
2015-02-10,0.9090974905195848,1.1083237072221337
2015-02-11,0.8751755449319224,1.1117261151786297
2015-02-12,0.8729226384780056,1.1519223817510718
2015-02-13,0.8670071112770268,1.1710983804354416
2015-02-17,0.8371182771950548,1.132799523246613
2015-02-18,0.7767960039716878,1.1755200658134985
2015-02-19,0.7244310858714302,1.3303184249485185
2015-02-20,0.7322255894357698,1.3691936586247142
2015-02-23,0.7295394629333201,1.4068091350801435
2015-02-24,0.6467948473518452,1.3922338885396761
2015-02-25,0.6267813781756212,1.3952321119634552
2015-02-26,0.6294461823549558,1.3691884396542213
2015-02-27,0.5367688543624908,1.4194270055240363
2015-03-02,0.43646929499348286,1.4435614078824752
2015-03-03,0.4335294077028448,1.4272767214584603
2015-03-04,0.3480987630077775,1.2886605939619937
2015-03-05,0.29936435570872827,1.2989847782113617
2015-03-06,0.3302752063271183,1.6981409792294078
2015-03-09,0.32568044445654815,1.7586272046438882
2015-03-10,0.4137617885657495,1.650455548905396
2015-03-11,0.41282628608431166,1.3227291618600174
2015-03-12,0.47669902879766857,1.4808610270531581
2015-03-13,0.443870898190291,1.4716226641523587
2015-03-16,0.5267193619513348,1.5309151628128133
2015-03-17,0.4882281818714704,1.4519441092737513
2015-03-18,0.548425566600423,1.6525918839639515
2015-03-19,0.5572479566936499,1.6498232781437177
2015-03-20,0.5934779795260103,1.8956909795855044
2015-03-23,0.5953232077253967,1.648501701081233
2015-03-24,0.5927663493761808,1.6608567576111897
2015-03-25,0.6874279728843401,1.7808231986041503
2015-03-26,0.6808106049826849,1.6052452776202475
2015-03-27,0.6863999095987451,1.6056584357404673
2015-03-30,0.7656114357549695,1.6216206381130007
2015-03-31,0.7937017804103302,1.6482220476179215
2015-04-01,0.7719800307182046,1.6377088860832736
2015-04-02,0.7773395808831629,1.6572305149205573
2015-04-06,0.7962016748125852,1.638613857019114
2015-04-07,0.7975336314978221,1.811098004442114
2015-04-08,0.7089310129731468,1.2137148244042077
2015-04-09,0.7099769575730072,1.4427090334308632
2015-04-10,0.5797781801409571,1.4426832825996474
2015-04-13,0.5895742271713489,1.4493008215135395
2015-04-14,0.5251916428172597,1.322218638689875
2015-04-15,0.5069431648431503,1.3504103520247357
2015-04-16,0.4347037532852067,1.3023851689483112
2015-04-17,0.49746939184513905,1.310910129591875
2015-04-20,0.46923001404137504,1.0907682866011048
2015-04-21,0.4594782343934921,1.0948004947249308
2015-04-22,0.4346481359009197,0.7657176787256994
2015-04-23,0.4352110500125735,0.7766733856894661
2015-04-24,0.4193833710949642,0.7629570715601437
2015-04-27,0.315273768683626,0.639188089667914
