asset,model,original_literature_t,original_repro_t,corrected_t,conservative_t,delta_corrected_minus_repro,flag
SPY,M1_AR1,-3.021,-3.0210734176656016,-3.0137394736317806,-3.0137394736317806,0.007333944033820927,
SPY,M3_AR1_EPU,-2.554,-2.5543453538857093,-2.53702755360349,-2.4622017895146935,0.01731780028221941,
SPY,M4_AR1_FinStress,-3.001,-3.0009519451593367,-3.6077187400142714,-3.6077187400142714,-0.6067667948549347,
SPY,M5_AR1_All,-1.008,-1.008028487535291,-0.9994439058967638,-3.3441797573840844,0.008584581638527156,
GLD,M1_AR1,-2.103,-2.1031419074968296,-2.0929787371452355,-2.0929787371452355,0.010163170351594086,
GLD,M3_AR1_EPU,-1.773,-1.7727445417632175,-1.7612182679243948,-1.4043079254072137,0.011526273838822654,
GLD,M4_AR1_FinStress,-3.341,-3.341162681457274,-3.002578657711756,-3.002578657711756,0.338584023745518,
GLD,M5_AR1_All,-0.128,-0.1281172867646949,0.4143874589805076,-3.2201600538582995,0.5425047457452025,SIGN_FLIP
TLT,M1_AR1,1.433,1.4330567124064026,1.461658694507579,1.461658694507579,0.02860198210117626,
TLT,M3_AR1_EPU,-0.83,-0.8299927405328723,-0.8021820052042196,1.7556305949909496,0.027810735328652747,
TLT,M4_AR1_FinStress,3.743,3.743406956139768,1.963062358632768,1.963062358632768,-1.780344597507,THRESHOLD_FLIP
TLT,M5_AR1_All,-5.179,-5.178825301752452,-7.434136881873357,-8.565094382874799,-2.255311580120905,
BTC-USD,M1_AR1,-5.494,-5.493557896139048,-5.61828157877239,-5.61828157877239,-0.12472368263334133,
BTC-USD,M3_AR1_EPU,-5.039,-5.039092345010354,-5.134313722345742,-5.422925857556711,-0.09522137733538827,
BTC-USD,M4_AR1_FinStress,1.37,1.3698992231021057,1.2725174084593995,1.2725174084593995,-0.09738181464270612,
BTC-USD,M5_AR1_All,-1.282,-1.2819063234037262,-3.6381511594732077,1.7059637449737848,-2.3562448360694814,THRESHOLD_FLIP
