Date,Open,High,Low,Close
2019-01-02,121.8125,122.515625,121.8125,122.1875
2019-01-03,122.59375,123.25,122.21875,123.15625
2019-01-04,123.15625,123.234375,122.125,122.296875
2019-01-07,122.1875,122.46875,121.90625,122.046875
2019-01-08,121.953125,122.046875,121.609375,121.75
2019-01-09,121.65625,121.859375,121.5,121.71875
2019-01-10,121.796875,122.109375,121.578125,121.71875
2019-01-11,121.625,122.109375,121.609375,121.953125
2019-01-14,121.921875,122.28125,121.875,121.90625
2019-01-15,121.9375,122.1875,121.78125,121.90625
2019-01-16,121.84375,121.9375,121.609375,121.71875
2019-01-17,121.765625,121.96875,121.390625,121.515625
2019-01-18,121.5,121.546875,121.0625,121.171875
2019-01-22,121.171875,121.625,121.15625,121.578125
2019-01-23,121.484375,121.546875,121.21875,121.390625
2019-01-24,121.484375,121.84375,121.40625,121.75
2019-01-25,121.703125,121.78125,121.3125,121.40625
2019-01-28,121.34375,121.609375,121.265625,121.5
2019-01-29,121.46875,121.8125,121.453125,121.78125
2019-01-30,121.75,122.140625,121.5,122.0
2019-01-31,122.109375,122.59375,122.0625,122.46875
2019-02-01,122.453125,122.53125,121.875,121.9375
2019-02-04,121.984375,122.0,121.625,121.71875
2019-02-05,121.71875,121.96875,121.59375,121.875
2019-02-06,121.875,122.109375,121.8125,121.890625
2019-02-07,121.921875,122.296875,121.90625,122.28125
2019-02-08,122.203125,122.46875,122.1875,122.375
2019-02-11,122.328125,122.40625,122.0625,122.125
2019-02-12,122.1875,122.203125,121.890625,121.953125
2019-02-13,121.9375,121.984375,121.65625,121.75
2019-02-14,121.78125,122.296875,121.703125,122.171875
2019-02-15,122.171875,122.25,121.90625,122.046875
2019-02-19,122.046875,122.3125,121.9375,122.21875
2019-02-20,122.296875,122.375,122.140625,122.15625
2019-02-21,122.21875,122.25,121.796875,121.90625
2019-02-22,121.84375,122.28125,121.84375,122.140625
2019-02-25,122.046875,122.125,121.921875,122.03125
2019-02-26,122.09375,122.359375,122.0625,122.328125
2019-02-27,122.296875,122.375,121.875,121.921875
2019-02-28,122.0,122.171875,121.609375,121.75
2019-03-01,121.71875,121.765625,121.359375,121.4375
2019-03-04,121.359375,121.71875,121.3125,121.671875
2019-03-05,121.671875,121.71875,121.46875,121.6875
2019-03-06,121.734375,122.046875,121.6875,121.9375
2019-03-07,121.96875,122.421875,121.953125,122.421875
2019-03-08,122.390625,122.6875,122.328125,122.515625
2019-03-11,122.46875,122.515625,122.28125,122.40625
2019-03-12,122.25,122.671875,122.15625,122.609375
2019-03-13,122.5625,122.625,122.421875,122.59375
2019-03-14,122.5,122.578125,122.34375,122.453125
2019-03-15,122.40625,122.8125,122.40625,122.703125
2019-03-18,122.703125,122.765625,122.578125,122.59375
2019-03-19,122.625,122.703125,122.40625,122.5
2019-03-20,122.5625,122.71875,122.546875,122.6875
2019-03-21,123.4375,123.6875,123.28125,123.359375
2019-03-22,123.359375,124.265625,123.328125,124.03125
2019-03-25,124.0625,124.671875,123.875,124.328125
2019-03-26,124.484375,124.515625,124.0625,124.40625
2019-03-27,124.3125,124.96875,124.265625,124.6875
2019-03-28,124.703125,124.953125,124.328125,124.5
2019-03-29,124.40625,124.453125,124.078125,124.21875
2019-04-01,124.15625,124.171875,123.515625,123.609375
2019-04-02,123.625,123.859375,123.609375,123.765625
2019-04-03,123.8125,123.84375,123.40625,123.5
2019-04-04,123.4375,123.703125,123.421875,123.546875
2019-04-05,123.515625,123.6875,123.265625,123.59375
2019-04-08,123.625,123.703125,123.421875,123.453125
2019-04-09,123.453125,123.75,123.40625,123.640625
2019-04-10,123.59375,123.921875,123.53125,123.796875
2019-04-11,123.84375,123.859375,123.515625,123.5625
2019-04-12,123.609375,123.671875,123.03125,123.09375
2019-04-15,123.046875,123.203125,122.96875,123.15625
2019-04-16,123.15625,123.203125,122.796875,122.828125
2019-04-17,122.84375,122.9375,122.640625,122.859375
2019-04-18,122.859375,123.234375,122.84375,123.140625
2019-04-22,123.125,123.171875,122.921875,122.9375
2019-04-23,122.953125,123.203125,122.90625,123.125
2019-04-24,123.140625,123.578125,123.109375,123.53125
2019-04-25,123.515625,123.5625,123.328125,123.390625
