date,y,pred_base,pred_aug,base_loss,aug_loss
2022-04-08,-5.52045292318652,-5.063371979025606,-5.108684876726904,0.20892298951503202,0.16955292408516853
2022-04-11,-5.222115877436737,-4.882936976120364,-4.929706375214536,0.11504232709818195,0.08550331698983529
2022-04-12,-4.695498292970688,-4.696926496967729,-4.740114595551457,2.039766657162049e-06,0.0019906144559787235
2022-04-13,-4.531108989834451,-4.9983950323437,-5.037085804646129,0.21835624552395494,0.2560125371269703
2022-04-14,-4.712296996884562,-5.4672941359673,-5.496881881738781,0.5700206800231201,0.615573441541708
2022-04-18,-4.662602325506471,-5.318323070404629,-5.352935562465935,0.42996969528979506,0.47655997805093075
2022-04-19,-4.361668999193045,-5.349859206927771,-5.3972407281411146,0.9765198866628022,1.072408805796495
2022-04-20,-4.654773692709404,-5.471537766199161,-5.507636882124223,0.6671035517435804,0.7273756198588176
2022-04-21,-4.945791339859905,-5.163292402868358,-5.19741828564047,0.04730671240980707,0.06331611984285535
2022-04-22,-4.809628620539589,-4.8251925877098865,-4.8597758480940305,0.00024223707407810906,0.002514744431396977
2022-04-25,-4.536924464159424,-4.817878082766618,-4.854328477598682,0.07893493580847671,0.10074530774734893
2022-04-26,-5.142089334456036,-5.06403496212824,-5.095998418158855,0.006092485039486205,0.002124372565113723
2022-04-27,-4.846986442022888,-4.55586450995538,-4.5955641743691,0.08475197933071876,0.06321315667217293
2022-04-28,-4.110616611333157,-4.78730139973576,-4.830908896420587,0.45790230285547623,0.5188209759564713
2022-04-29,-4.066006772074387,-4.780509780270791,-4.830627579317183,0.5105145487217108,0.584644978868625
2022-05-02,-3.7248059336486588,-4.764249124370878,-4.827067387819173,1.0804421467387888,1.2149803133500963
2022-05-03,-3.7258663227869806,-4.924051338843553,-4.978126331628426,1.435647332702488,1.568155129743576
2022-05-04,-3.4134341588030916,-5.1563752557276565,-5.2009143948920755,3.0378436673486053,3.1950855944087295
2022-05-05,-3.6070366099598834,-5.474943437287058,-5.51457838946768,3.4890759155754707,3.63871564056777
2022-05-06,-3.281863780911129,-5.045267149809986,-5.100014735022892,3.109591441443837,3.3056728919375145
2022-05-09,-3.4900712291749816,-4.958038868665601,-4.991934201384016,2.154928990591661,2.255592387292554
2022-05-10,-3.414339203106429,-4.177454453533465,-4.191099333641446,0.5823448854343178,0.6033563003887772
2022-05-11,-3.7459565084055795,-4.300791444300229,-4.3125758196095125,0.3078418060892197,0.3210574438292195
2022-05-12,-3.788958238011879,-3.7595895565441757,-3.771392831815315,0.0008625194511514275,0.0003085434948502965
2022-05-13,-4.57160702245237,-4.202329536496075,-4.2122686302588965,0.1363658616342017,0.12912408010419052
2022-05-16,-5.011419205686883,-4.76813824439225,-4.776958780360769,0.05918562612844058,0.05497169104410197
2022-05-17,-4.661320453231158,-4.807192654645451,-4.822823731760155,0.021278699145452072,0.026083308975614762
2022-05-18,-4.6611039329746795,-5.022324290603027,-5.03251112056036,0.1304801467651514,0.13794329899030508
2022-05-19,-4.714216834416897,-5.239099125597063,-5.251656902957493,0.2755014195945406,0.288841827272921
2022-05-20,-4.362442170425682,-5.378097101672632,-5.388812829246667,1.0315549393662473,1.0534367292886215
2022-05-23,-4.299404668728381,-5.098600949847994,-5.101514180405772,0.6387146957554197,0.6433796687233424
2022-05-24,-4.632314352895376,-5.2340357914962805,-5.235541494650548,0.362068689671942,0.36388298455011386
2022-05-25,-4.364317332013581,-4.6399039551895385,-4.639889089312416,0.07594798687352726,0.07593979342076826
2022-05-26,-4.243518685191771,-4.856792436155501,-4.8568784184305365,0.3761046936211229,0.37621016235872984
2022-05-27,-4.563641283755586,-4.785704021276423,-4.778002801231134,0.04931185939524837,0.04595086017441967
2022-05-31,-4.565157012933321,-5.116238332561753,-5.112878941565773,0.30369062084341414,0.2999993111048528
2022-06-01,-4.6284274129138385,-5.150182998816183,-5.150240134483113,0.27222889142029844,0.27228851639153295
2022-06-02,-4.75169085895009,-5.104497574360096,-5.109304737083772,0.12447257843839701,0.12788768583381194
2022-06-03,-4.505518753271437,-5.191217491526235,-5.197672059900474,0.4701827596442221,0.4790761998775098
2022-06-06,-3.9385382724418676,-4.970047543647874,-4.977517126380057,1.0640113765839472,1.079477058930714
2022-06-07,-3.9767496513047975,-4.848480205352342,-4.857670986900384,0.7599141588600383,0.7760223995075123
2022-06-08,-3.8129108562312672,-5.081063051026928,-5.085000355485066,1.6082099891650512,1.618211694111781
2022-06-09,-3.805421741342162,-5.343365232503592,-5.343461100106415,2.3652701820058075,2.3655650691079555
2022-06-10,-3.96068316678047,-5.017108702959993,-5.017078160822205,1.1160349134921925,1.1159703834364378
2022-06-13,-4.389888317649349,-4.871636803716468,-4.8716341542900095,0.23208160382796164,0.23207905112061028
2022-06-14,-4.381917312810365,-4.562330494394843,-4.562189089841058,0.03254891608943377,0.032497913593804044
2022-06-15,-4.33043446198772,-4.579877499723188,-4.579840484497019,0.062221829074697865,0.0622033640639089
2022-06-16,-4.5389560278968,-4.796128314676614,-4.796155470155163,0.06613758508755882,0.06615155309801311
2022-06-17,-4.722478381547378,-4.789220686606809,-4.789207224560922,0.004454535284646107,0.004452738489926168
2022-06-21,-4.536165611764882,-5.196739689127232,-5.196686879345158,0.4363581116831198,0.43628834492585494
2022-06-22,-4.533801821160388,-5.370601894927895,-5.370470422210808,0.7002343634573052,0.7000143479836662
2022-06-23,-4.87490155458504,-5.400771155909528,-5.400690655052878,0.27653883759717607,0.2764541781707784
2022-06-24,-4.944477138589272,-5.485322643941188,-5.485071949154985,0.29251386065937024,0.29224274921057986
2022-06-27,-4.255395297934455,-5.752504328868859,-5.752143335395379,2.2413354505053515,2.2402546876431284
2022-06-28,-4.505928459341966,-5.69262890862324,-5.692126256103869,1.4082579563243767,1.407065213042792
2022-06-29,-4.213514354456026,-5.346906007744326,-5.346512505935351,1.284576639743585,1.283684811255567
2022-06-30,-4.328300674030553,-5.235325515914306,-5.234928098474988,0.8226940637942484,0.8219732867547505
