date,wiki_identity_views,wiki_generic_fear_views,wiki_anchor_views,wiki_identity_logrel_21d,wiki_generic_fear_logrel_21d,wiki_identity_attention_7d_z_lag1,wiki_identity_attention_21d_z_lag1,wiki_generic_fear_attention_7d_z_lag1,wiki_generic_fear_attention_21d_z_lag1
2020-01-02,776.0,1743.0,8764.0,,,,,,
2020-01-03,751.0,2101.0,10286.0,,,,,,
2020-01-06,816.0,1939.0,9050.0,,,,,,
2020-01-07,843.0,2063.0,8829.0,-2.4349838647502136,-1.5122570362596974,,,,
2020-01-08,1056.0,2202.0,9044.0,-2.3898834488091154,-1.4978607415281058,,,,
2020-01-09,1027.0,1993.0,8564.0,-2.3547127994369834,-1.4931458970471674,,,,
2020-01-10,885.0,1833.0,9901.0,-2.36163298856936,-1.5141722484684639,,,,
2020-01-13,1110.0,1981.0,9326.0,-2.348814317063397,-1.5285097746866398,,,,
2020-01-14,1650.0,1941.0,8871.0,-2.278891980736759,-1.52782506515101,,,,
2020-01-15,1237.0,1910.0,9548.0,-2.2589405005743277,-1.533782791121732,,,,
2020-01-16,1074.0,1985.0,10380.0,-2.2596659781605872,-1.5424807674109449,,,,
2020-01-17,927.0,1742.0,9210.0,-2.2619366027230132,-1.549833525635714,,,,
2020-01-21,877.0,2312.0,9400.0,-2.27730576504824,-1.535794650137312,,,,
2020-01-22,1129.0,2115.0,10217.0,-2.2722319321383058,-1.5388640041790804,,,,
2020-01-23,1027.0,1951.0,9145.0,-2.260916919188361,-1.5356109453304239,,,,
2020-01-24,884.0,1794.0,8745.0,-2.245300028740731,-1.5349671935292992,,,,
2020-01-27,641.0,2496.0,10649.0,-2.2536121187124376,-1.5273687132449467,,,,
2020-01-28,758.0,2335.0,10475.0,-2.267342303423156,-1.5295545651659932,,,,
2020-01-29,955.0,2043.0,9326.0,-2.2743368972216995,-1.5352039977409024,,,,
2020-01-30,1163.0,2145.0,8814.0,-2.2684177856016685,-1.5326842344121392,,,,
2020-01-31,880.0,1984.0,10224.0,-2.2704723416950277,-1.5306068702509208,,,,
2020-02-03,2036.0,1834.0,9070.0,-2.217600533037519,-1.5231002932088415,,,,
2020-02-04,8188.0,1991.0,9626.0,-1.9335730469766315,-1.5260164215014314,,,,
2020-02-05,4862.0,1937.0,10839.0,-1.8106923835351552,-1.5324544643656726,,,,
2020-02-06,1973.0,1844.0,9989.0,-1.7787538893568957,-1.5338982917972146,,,,
2020-02-07,1314.0,1683.0,8622.0,-1.762953797666107,-1.5321609079917273,,,,
2020-02-10,1114.0,1916.0,8730.0,-1.7392055309418684,-1.5348883729411646,,,,
2020-02-11,1103.0,2152.0,9589.0,-1.7331866357696253,-1.5400252699086678,,,,
2020-02-12,1116.0,1977.0,9526.0,-1.7297833616428537,-1.5397643094841325,,,,
2020-02-13,1009.0,1848.0,9536.0,-1.7325004975553462,-1.5445764531487711,,,,
2020-02-14,857.0,1749.0,7782.0,-1.7280223203707745,-1.5404191934730918,0.04792496065888342,,-0.46480067694879523,
2020-02-18,1000.0,2211.0,9444.0,-1.6997768765807582,-1.5505336346638394,-0.3083606284628755,1.5600195138190804,0.18586905366381173,-1.6072342947477398
2020-02-19,1101.0,2080.0,8608.0,-1.691312670272346,-1.5455457171145213,-0.3380979828727739,1.5465045022358657,0.34737275352307834,-1.3621140061061918
2020-02-20,1160.0,1994.0,9965.0,-1.697832448782755,-1.555950735288647,-0.30175799465825764,1.5184872628618238,0.8910894043133982,-0.9480690028001261
2020-02-21,991.0,1790.0,7843.0,-1.6811184043328034,-1.5477385567098594,-0.2578436781467078,1.4418726620454259,0.9631674830330861,-1.6909125614900107
2020-02-24,1069.0,4223.0,16494.0,-1.7422709620850156,-1.524180089688981,-0.18944442509354092,1.3938417464732356,1.5994877712890399,-0.7511213966421888
2020-02-25,781.0,4128.0,21311.0,-2.06415661145793,-1.5337764920249537,-0.38939778025640726,1.1137290188619684,1.9700282264463491,0.8065486045560779
2020-02-26,964.0,3902.0,19539.0,-2.2778447343479087,-1.5317815352000448,-0.8887146634466838,-0.039906444161353874,0.8537816697361301,0.057727253955739063
2020-02-27,997.0,6084.0,28118.0,-2.410246540715921,-1.5251346229588485,-1.254507807457346,-0.8005985540504649,0.1305077951031289,0.2126352789413852
2020-02-28,1248.0,10035.0,51158.0,-2.588150167981178,-1.5408971137084233,-1.7354967660969678,-1.2497871825372866,0.2705528626230203,0.7301038191938637
2020-03-02,1190.0,5034.0,20678.0,-2.7069102368541014,-1.5260267821501081,-2.3181541565965555,-1.924609521947042,-0.46698860063360575,0.00544283311392539
2020-03-03,1319.0,5375.0,20682.0,-2.7326502337710785,-1.51402717778452,-2.2145494021084677,-1.9583762207653128,-0.50773499652483,0.6835654565772881
2020-03-04,1110.0,4414.0,16581.0,-2.7555107433069317,-1.5013915343006161,-1.9604253615255847,-1.954067193479439,0.3484582368505421,1.6158760070985148
2020-03-05,1068.0,5157.0,17264.0,-2.776724301956479,-1.4796438823563047,-1.816660875372943,-1.9415336125701441,1.0459675104289634,2.4717154016887135
2020-03-06,1125.0,6344.0,18499.0,-2.7960665762618238,-1.4517659551739932,-1.614009279532994,-1.9254538652843842,1.9359958312577215,3.619884220456821
