date,retail_meme_ret,retail_meme_rv_daily,retail_meme_downside_daily,retail_meme_log_dollar_volume,retail_meme_component_count,arkk_ret,arkk_rv_daily,arkk_downside_daily,arkk_log_dollar_volume,arkk_component_count,iwm_ret,iwm_rv_daily,iwm_downside_daily,iwm_log_dollar_volume,iwm_component_count,high_idio_ret,high_idio_rv_daily,high_idio_downside_daily,high_idio_log_dollar_volume,high_idio_component_count,wiki_identity_views,wiki_generic_fear_views,wiki_anchor_views,wiki_identity_logrel_21d,wiki_generic_fear_logrel_21d,wiki_identity_attention_7d_z_lag1,wiki_identity_attention_21d_z_lag1,wiki_generic_fear_attention_7d_z_lag1,wiki_generic_fear_attention_21d_z_lag1,finra_margin_debt_yoy_z_lag22,finra_margin_debt_mom_z_lag22,vix_log_lag1,spy_ret_5d_lag1,spy_ret_22d_lag1,spy_log_rv22_lag1,qqq_ret_22d_lag1,retail_meme_ret_5d_lag1,retail_meme_ret_22d_lag1,retail_meme_lag_log_rv22,retail_meme_lag_log_downside22,retail_meme_lag_log_dollar_volume22,future_log_rv__retail_meme__5d,future_log_downside__retail_meme__5d,future_volume_crash__retail_meme__5d,future_log_rv__retail_meme__22d,future_log_downside__retail_meme__22d,future_volume_crash__retail_meme__22d,arkk_ret_5d_lag1,arkk_ret_22d_lag1,arkk_lag_log_rv22,arkk_lag_log_downside22,arkk_lag_log_dollar_volume22,future_log_rv__arkk__5d,future_log_downside__arkk__5d,future_volume_crash__arkk__5d,future_log_rv__arkk__22d,future_log_downside__arkk__22d,future_volume_crash__arkk__22d,iwm_ret_5d_lag1,iwm_ret_22d_lag1,iwm_lag_log_rv22,iwm_lag_log_downside22,iwm_lag_log_dollar_volume22,future_log_rv__iwm__5d,future_log_downside__iwm__5d,future_volume_crash__iwm__5d,future_log_rv__iwm__22d,future_log_downside__iwm__22d,future_volume_crash__iwm__22d,high_idio_ret_5d_lag1,high_idio_ret_22d_lag1,high_idio_lag_log_rv22,high_idio_lag_log_downside22,high_idio_lag_log_dollar_volume22,future_log_rv__high_idio__5d,future_log_downside__high_idio__5d,future_volume_crash__high_idio__5d,future_log_rv__high_idio__22d,future_log_downside__high_idio__22d,future_volume_crash__high_idio__22d
2020-01-02,,,,19.47874781897018,0,,,,16.312369585513007,0,,,,21.753164396289957,0,,,,19.955397917444248,0,776.0,1743.0,8764.0,,,,,,,,,,,,,,,,,,,-7.807715038379972,-8.014415159461173,,-5.473851090781939,-5.782977552025434,,,,,,,-7.1838161889312895,-9.825104575933672,,-5.043985540902631,-6.634955007320651,,,,,,,-10.143767595171443,-10.536938547059886,,-6.472495778493916,-7.042545177207485,,,,,,,-4.765264086636528,-5.429430325961345,,-4.02302427247402,-4.980012895454867,
2020-01-03,-0.017698913762357372,0.0003132515483673632,0.0003132515483673632,19.190356376843983,7,-0.0073536955425404105,5.40768381323787e-05,5.40768381323787e-05,16.36630335921423,1,-0.00392864195738136,1.5434227629297242e-05,1.5434227629297242e-05,21.802348406484334,1,-0.02279533691452595,0.0005196273850467495,0.0005196273850467495,19.72092700147464,6,751.0,2101.0,10286.0,,,,,,,,,2.523325781105642,,,,,,,,,,-9.247088809554201,-10.79667688027449,,-5.543993680703532,-5.890251558676421,,,,,,,-7.185137900618211,-9.843811507319876,,-5.020898760198599,-6.52642368172426,,,,,,,-10.178635929923272,-10.5890459546983,,-6.340198427599226,-7.060364329688029,,,,,,,-4.588744029750602,-5.555543676076067,,-3.989845884708545,-5.058616207502363,
2020-01-06,0.008510848925017286,7.24345494244679e-05,0.0,19.783775053251652,7,0.007749677315702867,6.005749849751959e-05,0.0,16.491457356029546,1,0.001331751883345932,1.7735630787954367e-06,0.0,21.685853718091806,1,0.014720325174710188,0.00021668797324920653,0.0,19.73391980850582,6,816.0,1939.0,9050.0,,,,,,,,,2.640484914257205,,,,,,,,,,-8.697820576394616,-10.79667688027449,,-5.557155397891732,-5.882581915444954,,,,,,,-6.800660108414088,-9.843811507319876,,-5.009534191751694,-6.52642368172426,,,,,,,-9.458307345729034,-10.5890459546983,,-6.33827422197879,-7.054358815201579,,,,,,,-4.515355620972245,-5.555543676076067,,-3.9660997990091,-4.9596110380027785,
2020-01-07,-0.003986337096604898,1.589088344776837e-05,1.589088344776837e-05,19.522904246399946,7,0.012197685740889199,0.0001487835374334917,0.0,16.24800221189093,1,-0.003332209663285346,1.1103621240092238e-05,1.1103621240092238e-05,21.310086189278433,1,0.06259677575981938,0.003918356335525112,0.0,20.885870027531535,6,843.0,2063.0,8829.0,-2.4349838647502136,-1.5122570362596974,,,,,,,2.6282852601762876,,,,,,,,,,-7.574182238227748,-7.9099897528243535,,-5.560913576720329,-5.887789338322467,,,,,,,-6.926542033701925,-9.843811507319876,,-5.026772868732847,-6.502989440496549,,,,,,,-9.428551914838307,-11.17027095562823,,-6.261210954939923,-6.90254943767496,,,,,,,-4.908584481976787,-5.555543676076067,,-4.186922759588505,-4.9596110380027785,
2020-01-08,-0.0012325319360014758,1.519134973263546e-06,1.519134973263546e-06,19.499683072367837,7,0.022238114769997416,0.0004945337485235772,0.0,16.769169379049654,1,0.003089714080694292,9.546333100440573e-06,0.0,21.470574238552913,1,-0.04922327491913212,0.0024229307937644615,0.0024229307937644615,21.33299297243372,6,1056.0,2202.0,9044.0,-2.3898834488091154,-1.4978607415281058,,,,,,,2.6239436890389327,,,,,,,,,,-7.153349578079111,-7.914137015269195,,-5.460972945815303,-5.888337299468321,,,,,,,-7.606897083514082,-9.843811507319876,,-5.049512896277588,-6.502989440496549,,,,,,,-9.274284474778225,-11.17027095562823,,-6.249703944600881,-6.90254943767496,,,,,,,-5.289014245224228,-6.482639775342842,,-4.356792735728126,-5.383281676906338,
2020-01-09,0.0018681283320079952,3.4899034648509747e-06,0.0,19.799605892379926,7,0.0011467734409302537,1.315089324823014e-06,0.0,16.50387813162875,1,0.0012093940961725902,1.4626340798571163e-06,0.0,21.320921737000397,1,-0.0379873040646494,0.0014430352701001292,0.0014430352701001292,21.340505399555948,6,1027.0,1993.0,8564.0,-2.3547127994369834,-1.4931458970471674,,,,,,,2.598979091866817,,,,,,,,,,-7.081823307191584,-7.914137015269195,,-5.375793921843629,-5.888337299468321,,,,,,,-7.398343836975939,-9.843811507319876,,-5.012009963508058,-6.502989440496549,,,,,,,-8.267333292959696,-11.17027095562823,,-6.226005947749641,-6.90254943767496,,,,,,,-5.57701270181032,-9.352689578625034,,-4.441129668571506,-5.760451224095448,
2020-01-10,-0.0017485384594909585,3.0573867443190146e-06,3.0573867443190146e-06,19.273909674029063,7,-0.00728523367926058,5.307462976143265e-05,5.307462976143265e-05,16.254051530569097,1,-0.003753241121185579,1.4086818913758382e-05,1.4086818913758382e-05,21.572327619791835,1,0.04652534469531818,0.0021646076990181717,0.0,21.639129701837703,6,885.0,1833.0,9901.0,-2.36163298856936,-1.5141722484684639,,,,,,,2.5289235321627515,0.005464341712834195,,,,-0.012538805537938465,,,,,-7.0671960972314745,-7.922536236183585,,-5.295794672607517,-5.889441028394871,,0.03597855572497932,,,,,-7.420129866527062,-10.129634665025742,,-5.007000907611606,-6.5390393369835635,,-0.001629991560453892,,,,,-8.293795098386187,-11.8165531458446,,-6.20943950426073,-6.916662232050329,,-0.03268881496377791,,,,,-6.354321123773375,-8.484228084657282,,-4.637350563628833,-5.739929094811906,
2020-01-13,0.011957924499080229,0.00014299195832570314,0.0,19.483172784674196,7,0.020379724533504534,0.0004153331720615266,0.0,16.69139492524063,1,0.006468319972933388,4.183916327224898e-05,0.0,21.696519629485714,1,0.031476720665360274,0.0009907839438451185,0.0,22.03408974720678,6,1110.0,1981.0,9326.0,-2.348814317063397,-1.5285097746866398,,,,,,,2.530517194449025,0.010183324474909156,,,,0.0034115697649279493,,,,,-7.216786119860209,-7.857056199694095,,-5.320796009242045,-5.882521552868539,,0.03604701758825915,,,,,-8.589962080839815,-10.07534387420058,,-5.062525858735181,-6.5390393369835635,,-0.001454590724258111,,,,,-8.190150749133856,-9.477841540888125,,-6.227005421380501,-6.916662232050329,,0.03663186664606623,,,,,-6.980361435914337,-8.484228084657282,,-4.735164289924298,-5.712782681969193,
2020-01-14,-0.01903895530667443,0.0003624818191695464,0.0003624818191695464,19.448244842565682,7,0.004139079094427464,1.713197574992647e-05,0.0,16.71331990060727,1,0.003668866977654865,1.3460584899726342e-05,0.0,21.7593110133637,1,0.019015096721570063,0.00036157390333066457,0.0,22.58492253003075,6,1650.0,1941.0,8871.0,-2.278891980736759,-1.52782506515101,,,,,,,2.511223933334612,0.013229375944903417,,,,0.006858645338990891,,,,,-7.69102399112359,-9.117183296788976,,-5.360755448039183,-5.953690066053218,,0.04867706480606082,,,,,-8.565895313428673,-10.07534387420058,,-5.065011156905598,-6.538057243258644,,0.003681977365329345,,,,,-8.238266803542004,-9.472231634466246,,-6.226262144630767,-6.901711613774001,,0.053388262136716304,,,,,-6.817837208309874,-7.2191913613060255,,-4.756991546651423,-5.712782681969193,
2020-01-15,0.016438322515757463,0.0002702184471320588,0.0,19.530857409514834,7,0.003186971300568153,1.0156786070645066e-05,0.0,16.668753985900086,1,0.004791298479445725,2.2956541119138913e-05,0.0,21.592725391546093,1,-0.00931299264613404,8.67318320269467e-05,8.67318320269467e-05,21.767697299165214,6,1237.0,1910.0,9548.0,-2.2589405005743277,-1.533782791121732,,,,,,,2.516889723350716,0.014519507588694698,,,,-0.00819397287107864,,,,,-8.487783364457695,-8.955379494828533,,-5.417170355762295,-5.953690066053218,,0.040618458159599094,,,,,-8.617629153990896,-10.062308891846232,,-5.05657897914344,-6.538057243258644,,0.010683054006269555,,,,,-8.32733274161758,-9.466650738697307,,-6.235586855860711,-6.897140970953486,,0.009806583098466985,,,,,-6.344514750652634,-6.575101333094055,,-4.683018962993917,-5.530730513358528,
