date,finra_margin_debt_yoy_z_lag22,finra_margin_debt_mom_z_lag22
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-30,,
2020-03-31,,
2020-04-01,,
2020-04-02,-2.379460741467962,-0.9419057428905794
2020-04-03,-2.2105938382484713,-0.9214318508573203
2020-04-06,-2.0732310779525136,-0.9022375306378698
2020-04-07,-1.9586558486456571,-0.8841948209877616
2020-04-08,-1.8611927504135646,-0.8671929878006611
2020-04-09,-1.7769666078934345,-0.8511356525003636
2020-04-13,-1.7032291097647476,-0.8359384846077876
2020-04-14,-1.6379697282430408,-0.8215273320000802
2020-04-15,-1.579679163836153,-0.8078366940083527
2020-04-16,-1.5271993414842613,-0.7948084654547048
2020-04-17,-1.4796248615201648,-0.7823908965844272
2020-04-20,-1.4362362679208613,-0.7705377263618779
2020-04-21,-1.3964536653641324,-0.7592074559822599
2020-04-22,-1.359803736275777,-0.7483627365558285
2020-04-23,-1.3258958106369971,-0.7379698503476522
2020-04-24,-1.2944041914107138,-0.727998269135743
2020-04-27,-1.2650548905042116,-0.7184202764949801
2020-04-28,-1.2376155309029164,-0.7092106433515994
2020-04-29,-1.2118875588768598,-0.7003463481510952
2020-04-30,-1.187700166603459,-0.6918063345661652
2020-05-01,-3.4035402518135585,-3.7563769125079762
2020-05-04,-3.1031562890480497,-3.368283368372924
2020-05-05,-2.8704353208005413,-3.0800000085826458
2020-05-06,-2.6832761264648575,-2.854974358778371
2020-05-07,-2.5285211529737834,-2.673010962084292
2020-05-08,-2.3977836720876127,-2.5219229226633972
2020-05-11,-2.28543173016436,-2.39386272216942
2020-05-12,-2.187524255389085,-2.283518452744439
2020-05-13,-2.1012097713726505,-2.1871491986705696
2020-05-14,-2.0243673609141632,-2.1020340754040827
2020-05-15,-1.9553823874510552,-2.026140406772688
2020-05-18,-1.8930010084618671,-1.9579149624251675
2020-05-19,-1.8362327269225829,-1.8961477182641318
2020-05-20,-1.7842832945658682,-1.839880129898941
2020-05-21,-1.7365073921298613,-1.7883416929593434
2020-05-22,-1.6923745471098302,-1.7409050272762
2020-05-26,-1.6514441240004192,-1.697053414307035
2020-05-27,-1.6133466644076826,-1.6563569027381726
2020-05-28,-1.5777697556260477,-1.6184544317631533
2020-05-29,-1.5444471836713145,-1.5830402592550286
2020-06-01,-1.5131505051128773,-1.549853520992733
2020-06-02,-0.720975335179139,2.2544398237556567
2020-06-03,-0.7144637676796639,2.176113273654901
2020-06-04,-0.7081255019068493,2.1054215925915156
2020-06-05,-0.7019529845669609,2.041199937648301
2020-06-08,-0.6959391153650316,1.9825179936043817
2020-06-09,-0.6900772126626286,1.9286225576067693
2020-06-10,-0.6843609822650097,1.8788964187905095
2020-06-11,-0.678784489006151,1.8328283350333388
2020-06-12,-0.6733421308399943,1.7899907327973585
2020-06-15,-0.6680286151808019,1.7500228869025516
2020-06-16,-0.6628389372654518,1.7126180567302867
2020-06-17,-0.6577683603365919,1.677513524060124
2020-06-18,-0.652812397468288,1.6444827894544813
2020-06-19,-0.6479667948756656,1.6133293953701895
2020-06-22,-0.6432275165674338,1.5838819898505427
2020-06-23,-0.6385907302154435,1.555990346694185
2020-06-24,-0.6340527941288389,1.529522130517493
2020-06-25,-0.6296102452321879,1.504360247357326
2020-06-26,-0.6252597879574024,1.4804006595438906
2020-06-29,-0.6209982839684794,1.4575505716598072
2020-06-30,-0.6168227426462607,1.4357269153361942
2020-07-01,0.4860829949023093,0.8974280618519338
2020-07-02,0.4832193987303338,0.8897386269225096
2020-07-06,0.4804058232548465,0.8822435204104206
2020-07-07,0.4776408289793225,0.8749346926870988
2020-07-08,0.4749230337437378,0.867804553333932
2020-07-09,0.47225110982132273,0.8608459380006054
2020-07-10,0.46962378119299,0.8540520781407167
2020-07-13,0.46703982098673125,0.8474165733340435
2020-07-14,0.4644980490703093,0.8409333659381779
2020-07-15,0.4619973297865139,0.8345967178413385
2020-07-16,0.45953656982111574,0.8284011891135729
2020-07-17,0.45711471619441935,0.822341618375821
2020-07-20,0.45473075436804095,0.816413104725829
2020-07-21,0.45238370645917597,0.8106109910770702
2020-07-22,0.45007262955521943,0.8049308487819521
2020-07-23,0.44779661412214,0.799368463423926
2020-07-24,0.4455547825005079,0.7939198216749216
2020-07-27,0.44334628748352634,0.7885810991249691
2020-07-28,0.44117031097183473,0.7833486490001467
2020-07-29,0.43902606270023464,0.7782189916932305
2020-07-30,0.43691277903183323,0.7731888050387481
2020-07-31,0.5611154845653126,0.8351302253721884
2020-08-03,0.5581874320351322,0.829516987872914
2020-08-04,0.569219710160987,0.8246115046279885
2020-08-05,0.5804691926575145,0.8197376057726508
2020-08-06,0.5919454488611432,0.814894821164018
2020-08-07,0.603658640582194,0.8100826897832579
2020-08-10,0.615619570735485,0.8053007595025107
2020-08-11,0.6278397369545142,0.8005485868590125
2020-08-12,0.6403313908056028,0.7958257368361625
2020-08-13,0.6531076033081654,0.7911317826512758
2020-08-14,0.6661823375721927,0.7864663055497871
2020-08-17,0.67957052948698,0.7818288946056692
2020-08-18,0.693288177539666,0.777219146527848
2020-08-19,0.7073524430125793,0.7726366654723986
2020-08-20,0.7217817620100234,0.7680810628603214
2020-08-21,0.7365959710045042,0.7635519572006997
2020-08-24,0.7518164478775768,0.7590489739190532
2020-08-25,0.7674662707715111,0.7545717451907069
2020-08-26,0.7835703974773407,0.7501199097789988
2020-08-27,0.8001558685782751,0.7456931128781669
2020-08-28,0.8172520381646758,0.7412910059607488
