target,group,horizon,family,primary_coef,primary_t,primary_p,oos_mse_improvement_pct,oos_dm_t,oos_dm_p,n_hac,n_oos,controls,key,primary_holm_p
future_log_rv__retail_meme__5d,retail_meme,5,rv,0.08728914297545723,1.9714257598020477,0.048675197002154516,0.46646207718893384,0.44859316322630954,0.6537251665842951,1538,1029,"retail_meme_lag_log_rv22,retail_meme_ret_5d_lag1,retail_meme_ret_22d_lag1,wiki_generic_fear_attention_21d_z_lag1,vix_log_lag1,spy_ret_5d_lag1,spy_ret_22d_lag1,spy_log_rv22_lag1,qqq_ret_22d_lag1,finra_margin_debt_yoy_z_lag22",future_log_rv__retail_meme__5d__wiki_identity_attention_21d_z_lag1,0.9735039400430903
future_log_downside__retail_meme__5d,retail_meme,5,downside,-0.22905533258850708,-1.2313814080990906,0.21818024719867213,-1.6258154766189081,-2.171366066761896,0.029903511846939776,1538,1029,"retail_meme_lag_log_downside22,retail_meme_ret_5d_lag1,retail_meme_ret_22d_lag1,wiki_generic_fear_attention_21d_z_lag1,vix_log_lag1,spy_ret_5d_lag1,spy_ret_22d_lag1,spy_log_rv22_lag1,qqq_ret_22d_lag1,finra_margin_debt_yoy_z_lag22",future_log_downside__retail_meme__5d__wiki_identity_attention_21d_z_lag1,1.0
future_volume_crash__retail_meme__5d,retail_meme,5,volume_crash,-0.0104006392465633,-0.4653120875030498,0.6417079798896455,-1.0251150027429823,-1.6954415862947925,0.08999168257471891,1539,1030,"retail_meme_lag_log_dollar_volume22,retail_meme_ret_5d_lag1,retail_meme_ret_22d_lag1,wiki_generic_fear_attention_21d_z_lag1,vix_log_lag1,spy_ret_5d_lag1,spy_ret_22d_lag1,spy_log_rv22_lag1,qqq_ret_22d_lag1,finra_margin_debt_yoy_z_lag22",future_volume_crash__retail_meme__5d__wiki_identity_attention_21d_z_lag1,1.0
future_log_rv__retail_meme__22d,retail_meme,22,rv,0.1604183855696538,2.84673297761374,0.0044170395097169225,-4.223873407564316,-0.7236197510280442,0.4692992122902421,1521,995,"retail_meme_lag_log_rv22,retail_meme_ret_5d_lag1,retail_meme_ret_22d_lag1,wiki_generic_fear_attention_21d_z_lag1,vix_log_lag1,spy_ret_5d_lag1,spy_ret_22d_lag1,spy_log_rv22_lag1,qqq_ret_22d_lag1,finra_margin_debt_yoy_z_lag22",future_log_rv__retail_meme__22d__wiki_identity_attention_21d_z_lag1,0.10600894823320614
future_log_downside__retail_meme__22d,retail_meme,22,downside,0.14354895148194077,2.246220157230515,0.024689909730704177,-5.0043315475625905,-0.9257769622813509,0.3545619019316224,1521,995,"retail_meme_lag_log_downside22,retail_meme_ret_5d_lag1,retail_meme_ret_22d_lag1,wiki_generic_fear_attention_21d_z_lag1,vix_log_lag1,spy_ret_5d_lag1,spy_ret_22d_lag1,spy_log_rv22_lag1,qqq_ret_22d_lag1,finra_margin_debt_yoy_z_lag22",future_log_downside__retail_meme__22d__wiki_identity_attention_21d_z_lag1,0.5431780140754919
future_volume_crash__retail_meme__22d,retail_meme,22,volume_crash,0.0017191402658211959,0.058325932377604105,0.9534890116221058,-1.1541430002018682,-2.0353670426090393,0.04181395492920543,1522,996,"retail_meme_lag_log_dollar_volume22,retail_meme_ret_5d_lag1,retail_meme_ret_22d_lag1,wiki_generic_fear_attention_21d_z_lag1,vix_log_lag1,spy_ret_5d_lag1,spy_ret_22d_lag1,spy_log_rv22_lag1,qqq_ret_22d_lag1,finra_margin_debt_yoy_z_lag22",future_volume_crash__retail_meme__22d__wiki_identity_attention_21d_z_lag1,1.0
future_log_rv__arkk__5d,arkk,5,rv,0.0146463685346107,0.3684196191297238,0.7125603707268197,-1.0744197931602528,-2.4839536750089333,0.012993270955881452,1538,1029,"arkk_lag_log_rv22,arkk_ret_5d_lag1,arkk_ret_22d_lag1,wiki_generic_fear_attention_21d_z_lag1,vix_log_lag1,spy_ret_5d_lag1,spy_ret_22d_lag1,spy_log_rv22_lag1,qqq_ret_22d_lag1,finra_margin_debt_yoy_z_lag22",future_log_rv__arkk__5d__wiki_identity_attention_21d_z_lag1,1.0
future_log_downside__arkk__5d,arkk,5,downside,-0.08920501973625214,-0.6554892935442865,0.5121527774207394,-0.7472911936379445,-2.3857924878208006,0.017042364367930656,1538,1029,"arkk_lag_log_downside22,arkk_ret_5d_lag1,arkk_ret_22d_lag1,wiki_generic_fear_attention_21d_z_lag1,vix_log_lag1,spy_ret_5d_lag1,spy_ret_22d_lag1,spy_log_rv22_lag1,qqq_ret_22d_lag1,finra_margin_debt_yoy_z_lag22",future_log_downside__arkk__5d__wiki_identity_attention_21d_z_lag1,1.0
future_volume_crash__arkk__5d,arkk,5,volume_crash,-0.017723482688603995,-1.2217807328789254,0.22179055652662283,-1.0552915877817037,-0.8395223533338914,0.40117625081703,1539,1030,"arkk_lag_log_dollar_volume22,arkk_ret_5d_lag1,arkk_ret_22d_lag1,wiki_generic_fear_attention_21d_z_lag1,vix_log_lag1,spy_ret_5d_lag1,spy_ret_22d_lag1,spy_log_rv22_lag1,qqq_ret_22d_lag1,finra_margin_debt_yoy_z_lag22",future_volume_crash__arkk__5d__wiki_identity_attention_21d_z_lag1,1.0
future_log_rv__arkk__22d,arkk,22,rv,0.0762120379979043,1.5761125858806764,0.11499985900805211,-4.290495058455424,-0.6352696929502523,0.5252525362899978,1521,995,"arkk_lag_log_rv22,arkk_ret_5d_lag1,arkk_ret_22d_lag1,wiki_generic_fear_attention_21d_z_lag1,vix_log_lag1,spy_ret_5d_lag1,spy_ret_22d_lag1,spy_log_rv22_lag1,qqq_ret_22d_lag1,finra_margin_debt_yoy_z_lag22",future_log_rv__arkk__22d__wiki_identity_attention_21d_z_lag1,1.0
future_log_downside__arkk__22d,arkk,22,downside,0.1143908071358153,1.7007632808187316,0.08898744692487996,-6.4838225401191,-1.0171294481406734,0.30909185301294306,1521,995,"arkk_lag_log_downside22,arkk_ret_5d_lag1,arkk_ret_22d_lag1,wiki_generic_fear_attention_21d_z_lag1,vix_log_lag1,spy_ret_5d_lag1,spy_ret_22d_lag1,spy_log_rv22_lag1,qqq_ret_22d_lag1,finra_margin_debt_yoy_z_lag22",future_log_downside__arkk__22d__wiki_identity_attention_21d_z_lag1,1.0
future_volume_crash__arkk__22d,arkk,22,volume_crash,-0.05369322926732113,-2.6449414478996065,0.008170505375539617,-9.05087416199959,-0.9764208739734908,0.328855941473417,1522,996,"arkk_lag_log_dollar_volume22,arkk_ret_5d_lag1,arkk_ret_22d_lag1,wiki_generic_fear_attention_21d_z_lag1,vix_log_lag1,spy_ret_5d_lag1,spy_ret_22d_lag1,spy_log_rv22_lag1,qqq_ret_22d_lag1,finra_margin_debt_yoy_z_lag22",future_volume_crash__arkk__22d__wiki_identity_attention_21d_z_lag1,0.1879216236374112
future_log_rv__iwm__5d,iwm,5,rv,0.017758953246219424,0.5507046109153108,0.581836183282373,-0.8634936027352547,-1.9395882112744263,0.05242975469743749,1538,1029,"iwm_lag_log_rv22,iwm_ret_5d_lag1,iwm_ret_22d_lag1,wiki_generic_fear_attention_21d_z_lag1,vix_log_lag1,spy_ret_5d_lag1,spy_ret_22d_lag1,spy_log_rv22_lag1,qqq_ret_22d_lag1,finra_margin_debt_yoy_z_lag22",future_log_rv__iwm__5d__wiki_identity_attention_21d_z_lag1,1.0
future_log_downside__iwm__5d,iwm,5,downside,-0.24118817819774252,-1.361590265807079,0.1733272289588228,-1.668077819892888,-1.6485359330723446,0.09924274332604516,1538,1029,"iwm_lag_log_downside22,iwm_ret_5d_lag1,iwm_ret_22d_lag1,wiki_generic_fear_attention_21d_z_lag1,vix_log_lag1,spy_ret_5d_lag1,spy_ret_22d_lag1,spy_log_rv22_lag1,qqq_ret_22d_lag1,finra_margin_debt_yoy_z_lag22",future_log_downside__iwm__5d__wiki_identity_attention_21d_z_lag1,1.0
future_volume_crash__iwm__5d,iwm,5,volume_crash,0.010545627909993482,0.9434152405102638,0.3454685507194065,-1.148804327922348,-1.9067291974193963,0.056555664028773524,1539,1030,"iwm_lag_log_dollar_volume22,iwm_ret_5d_lag1,iwm_ret_22d_lag1,wiki_generic_fear_attention_21d_z_lag1,vix_log_lag1,spy_ret_5d_lag1,spy_ret_22d_lag1,spy_log_rv22_lag1,qqq_ret_22d_lag1,finra_margin_debt_yoy_z_lag22",future_volume_crash__iwm__5d__wiki_identity_attention_21d_z_lag1,1.0
future_log_rv__iwm__22d,iwm,22,rv,0.04904183757004621,1.253451896137775,0.21004129504019642,-3.9684075413058517,-0.8050721548541473,0.42077804310062095,1521,995,"iwm_lag_log_rv22,iwm_ret_5d_lag1,iwm_ret_22d_lag1,wiki_generic_fear_attention_21d_z_lag1,vix_log_lag1,spy_ret_5d_lag1,spy_ret_22d_lag1,spy_log_rv22_lag1,qqq_ret_22d_lag1,finra_margin_debt_yoy_z_lag22",future_log_rv__iwm__22d__wiki_identity_attention_21d_z_lag1,1.0
future_log_downside__iwm__22d,iwm,22,downside,0.04613828173164769,0.7245638738572213,0.468719628393536,-4.474047732501174,-0.9291876110018842,0.3527918667953013,1521,995,"iwm_lag_log_downside22,iwm_ret_5d_lag1,iwm_ret_22d_lag1,wiki_generic_fear_attention_21d_z_lag1,vix_log_lag1,spy_ret_5d_lag1,spy_ret_22d_lag1,spy_log_rv22_lag1,qqq_ret_22d_lag1,finra_margin_debt_yoy_z_lag22",future_log_downside__iwm__22d__wiki_identity_attention_21d_z_lag1,1.0
