date,debit_balances_margin_millions,free_credit_cash_millions,free_credit_margin_millions
1997-01-31,103337,68856,
1997-02-28,103886,67058,
1997-03-31,104835,69553,
1997-04-30,102842,64825,
1997-05-31,111097,66879,
1997-06-30,118843,72422,
1997-07-31,121090,73714,
1997-08-31,124404,71211,
1997-09-30,131962,73087,
1997-10-31,134491,80287,
1997-11-30,132741,77259,
1997-12-31,131560,88590,
1998-01-31,132912,83362,
1998-02-28,141328,81932,
1998-03-31,146536,85580,
1998-04-30,146589,85771,
1998-05-31,150293,80174,
1998-06-30,154357,87891,
1998-07-31,160980,92687,
1998-08-31,155879,100093,
1998-09-30,144541,103879,
1998-10-31,138399,108179,
1998-11-30,148697,108032,
1998-12-31,148674,111507,
1999-01-31,162322,107200,
1999-02-28,162909,109523,
1999-03-31,166212,109941,
1999-04-30,184329,112290,
1999-05-31,189950,114271,
1999-06-30,187695,116982,
1999-07-31,189503,115017,
1999-08-31,187616,117149,
1999-09-30,189741,121207,
1999-10-31,194259,123457,
1999-11-30,218304,131786,
1999-12-31,241967,146582,
2000-01-31,260409,148567,
2000-02-29,284206,153540,
2000-03-31,299933,168002,
2000-04-30,268716,156868,
2000-05-31,256862,153843,
2000-06-30,264471,153050,
2000-07-31,263729,163050,
2000-08-31,265166,156775,
2000-09-30,270208,160964,
2000-10-31,250965,172738,
2000-11-30,237913,186459,
2000-12-31,210385,198179,
2001-01-31,208687,187225,
2001-02-28,198887,193266,
2001-03-31,174797,198581,
2001-04-30,176096,191145,
2001-05-31,183041,183493,
2001-06-30,179585,187602,
2001-07-31,173680,185100,
2001-08-31,169316,191219,
2001-09-30,157931,211281,
2001-10-31,152367,187012,
2001-11-30,159440,188441,
2001-12-31,160473,197424,
2002-01-31,160906,189841,
2002-02-28,154931,186919,
2002-03-31,160089,180578,
2002-04-30,159072,175730,
2002-05-31,157802,173395,
2002-06-30,153972,178744,
2002-07-31,143905,183326,
2002-08-31,139146,174995,
2002-09-30,136107,180997,
2002-10-31,138647,181069,
2002-11-30,139472,176062,
2002-12-31,139451,184715,
2003-01-31,141391,179528,
2003-02-28,140516,179925,
2003-03-31,144267,176955,
2003-04-30,143237,168756,
2003-05-31,153725,178946,
2003-06-30,168281,190026,
2003-07-31,174427,199973,
2003-08-31,167200,188112,
2003-09-30,171194,189826,
2003-10-31,175428,191554,
2003-11-30,182587,184899,
2003-12-31,181459,199297,
2004-01-31,189429,198628,
2004-02-29,190448,200323,
2004-03-31,191451,203953,
2004-04-30,198778,217992,
2004-05-31,193843,219640,
2004-06-30,193993,220781,
2004-07-31,187844,220196,
2004-08-31,187828,217945,
2004-09-30,193668,220860,
2004-10-31,197999,218090,
2004-11-30,211012,223928,
2004-12-31,217573,238192,
2005-01-31,220122,230624,
2005-02-28,223155,224392,
2005-03-31,226876,234533,
2005-04-30,217447,223839,
2005-05-31,219404,224933,
2005-06-30,224153,234352,
2005-07-31,233585,224242,
2005-08-31,231400,225410,
2005-09-30,244669,238929,
2005-10-31,239868,243174,
2005-11-30,242904,241695,
2005-12-31,244098,263205,
2006-01-31,255795,255819,
2006-02-28,249609,257573,
2006-03-31,259370,258928,
2006-04-30,265164,259342,
2006-05-31,255608,264307,
2006-06-30,251495,280275,
2006-07-31,256016,269376,
2006-08-31,249368,269423,
2006-09-30,261769,268612,
2006-10-31,267710,267462,
2006-11-30,294899,290910,
2006-12-31,303288,299023,
2007-01-31,311506,292521,
2007-02-28,321171,300072,
2007-03-31,317737,305479,
2007-04-30,342084,314744,
2007-05-31,382312,334359,
2007-06-30,408444,347617,
2007-07-31,416403,380971,
2007-08-31,362475,381550,
2007-09-30,359104,377364,
2007-10-31,376979,392543,
2007-11-30,379593,426721,
2007-12-31,355292,456353,
2008-01-31,365592,474496,
2008-02-29,377088,454785,
2008-03-31,349419,488831,
2008-04-30,332303,472371,
2008-05-31,341610,470188,
2008-06-30,346892,499634,
2008-07-31,343297,519226,
2008-08-31,324814,530042,
2008-09-30,345745,381702,
2008-10-31,277568,383429,
2008-11-30,227334,364232,
2008-12-31,210185,345713,
2009-01-31,205007,316763,
2009-02-28,199655,310503,
2009-03-31,203967,291927,
2009-04-30,208010,285658,
2009-05-31,214401,275313,
2009-06-30,217140,283874,
2009-07-31,228734,277082,
2009-08-31,236251,281989,
2009-09-30,254107,287196,
2009-10-31,265404,299858,
2009-11-30,250988,284071,
2009-12-31,262399,281043,
2010-01-31,266455,281035,
2010-02-28,263657,106131,164624.0
2010-03-31,277798,108908,162169.0
2010-04-30,295550,111217,160630.0
2010-05-31,268566,114051,166706.0
2010-06-30,263202,114265,172908.0
2010-07-31,267468,106290,172179.0
2010-08-31,268371,106870,174209.0
2010-09-30,288540,114321,173544.0
2010-10-31,303428,114784,176588.0
2010-11-30,309340,119305,176805.0
2010-12-31,313678,126098,182426.0
2011-01-31,326868,130894,173545.0
2011-02-28,348979,135760,179102.0
2011-03-31,355413,133386,170139.0
2011-04-30,360883,133131,175399.0
2011-05-31,355736,133727,175508.0
2011-06-30,345273,139575,183547.0
2011-07-31,344572,138316,182957.0
2011-08-31,308866,135508,193533.0
