date,y,pred_base,pred_aug,base_loss,aug_loss
2022-04-08,-6.078003589187705,-5.082967417368125,-5.969729908523548,0.9900969832293641,0.011723189924563771
2022-04-11,-6.078003589187705,-5.288504711686908,-6.2737331202428,0.6233084775750177,0.038310049327047416
2022-04-12,-5.556129378583015,-5.356971953583688,-6.299865690568731,0.03966367993236251,0.5531437017661138
2022-04-13,-5.050277076908773,-5.500207198007824,-6.35803128814598,0.20243711387220664,1.7102210770086503
2022-04-14,-5.068302405892291,-5.258604614722804,-5.858356424737212,0.036214930685772126,0.6241853526930105
2022-04-18,-5.268781353442818,-5.452141681310241,-6.186049504475397,0.03362100983564901,0.8413808608987268
2022-04-19,-4.641097978195078,-5.977193702665204,-6.871176057247288,1.7851517849473506,4.9732482386691945
2022-04-20,-4.852958880923829,-6.618006383161671,-7.179458864868878,3.1153926851560434,5.412602175296314
2022-04-21,-5.247359428946081,-6.686823359874255,-7.274741900282895,2.0720564084431925,4.110279685083769
2022-04-22,-5.132736754857889,-6.786953861902617,-7.490734644418213,2.7364342372394312,5.5601540471709425
2022-04-25,-5.132736754857889,-8.410278584151554,-9.189444878357229,10.742280442769665,16.456880799265537
2022-04-26,-6.56901877438642,-8.197267296222442,-8.879313673986342,2.6511932488611922,5.3374625231174155
2022-04-27,-6.639234438884902,-8.652983042457643,-9.596799732463088,4.055183438391167,8.747192465778223
2022-04-28,-5.048772992929414,-8.429964511735829,-9.40231964615552,11.43245608684843,18.953368461816233
2022-04-29,-4.839257681300705,-9.356024600058522,-10.367344286217293,20.401183398384983,30.55974151145821
2022-05-02,-3.83628493947457,-10.5222738927493,-11.838570042510923,44.702448283311725,64.03656687027754
2022-05-03,-3.8219104803043256,-9.66925538483089,-10.840188841191807,34.191442432492785,49.256231150901485
2022-05-04,-3.502271081481975,-9.632644420499709,-10.569016341035338,37.58147727573944,49.93888856341992
2022-05-05,-3.6880915171368653,-9.128138004287528,-9.809136378575314,29.594105782360273,37.46719019574204
2022-05-06,-3.8069445663603676,-9.231158433019225,-10.212932813620153,29.422096071254224,41.03668542403049
2022-05-09,-4.660294091154145,-9.859466549266148,-10.491468455224759,27.031394249190413,34.002594464194324
2022-05-10,-4.693856007390821,-9.478644964327685,-9.964732293348508,22.89420536242497,27.782136821871102
2022-05-11,-5.988834568011469,-9.345052836395922,-9.786067982644916,11.26420106503754,14.418981605208787
2022-05-12,-5.988834568011469,-8.345884863899975,-8.943433384162105,5.555686097348097,8.729654164398744
2022-05-13,-5.721144296064666,-8.728478754285758,-9.084721615954134,9.044060543603951,11.313652386874818
2022-05-16,-6.038452399529872,-8.35690831039113,-8.499902317971127,5.3752378106075085,6.058735700994463
2022-05-17,-5.108709794008486,-9.158624278368956,-9.416148942353965,16.40180733063273,18.554032016699228
2022-05-18,-5.415820122117126,-8.897812809793189,-8.949976820141114,12.12427307702957,12.490263566187814
2022-05-19,-5.415820122117126,-9.387911648892613,-9.393535101847524,15.77751109708162,15.8222164599716
2022-05-20,-5.605844707858547,-9.200162680661034,-9.279870509136902,12.919121689610979,13.498465588459059
2022-05-23,-5.3184601638523334,-8.689881927107233,-8.80670875873756,11.366484705748778,12.16787825971876
2022-05-24,-5.925957180953886,-8.716729583126869,-8.702063590231996,7.7884106007303595,7.706766795634999
2022-05-25,-5.925957180953886,-7.9077434661889505,-7.905598335339105,3.9274768803457962,3.9189791001356435
2022-05-26,-5.456431554728226,-8.831220266823028,-8.720615184999913,11.389198851282488,10.654894772133646
2022-05-27,-5.384636976326507,-8.688968389768863,-8.384543302793446,10.91860608986196,8.999437967576364
2022-05-31,-5.700336498548204,-8.565160148258963,-8.331019467025591,8.207214543942076,6.920492880636998
2022-06-01,-6.2568615724198136,-8.476398713802537,-8.487794629070605,4.92634512197739,4.977062303257242
2022-06-02,-5.461158471620259,-7.738721212290282,-7.719841911357137,5.18729203768835,5.101650880941617
2022-06-03,-5.4182357718421414,-7.547130561872365,-7.5083752154953824,4.532193027017828,4.3686828939150795
2022-06-06,-4.517221306593691,-6.957222900061346,-7.063772452368712,5.953607776124696,6.484922738048074
2022-06-07,-4.517221306593691,-6.977324233815991,-7.262353162235882,6.052106412527729,7.535748904861537
2022-06-08,-4.517221306593691,-6.523942632776448,-6.61208319561582,4.026930480956683,4.388446334077361
2022-06-09,-4.222073269305612,-5.899761410752998,-5.973109788052461,2.814637499953182,3.066128889985081
2022-06-10,-4.351896436361048,-5.272360219312774,-5.326456663344448,0.8472535757258028,0.9497676360179369
2022-06-13,-5.102708433996255,-5.254478042398201,-5.305080425562516,0.023034014034480167,0.04095442297049497
2022-06-14,-5.102708433996255,-5.386784966188903,-5.372048087795612,0.08069947614260055,0.07254384910875765
2022-06-15,-5.102708433996255,-5.235985733241096,-5.304378681711299,0.017762838493998893,0.04067088881344723
2022-06-16,-27.631021115928547,-5.789542985644919,-5.923757933701317,477.05016691565794,471.20527486247784
2022-06-17,-27.631021115928547,-6.3142993555790845,-6.462335166153712,454.4026266081563,448.1132648401946
2022-06-21,-6.164902000126999,-7.048289033321027,-7.084441078252663,0.7803726504153465,0.8455521162001952
2022-06-22,-5.935161545176791,-7.980801835172973,-7.779260053095856,4.184644196055665,3.4006993069093245
2022-06-23,-5.788012940260584,-7.97483341786594,-7.808056686772524,4.782183801274118,4.0805767378219935
2022-06-24,-5.788012940260584,-7.678888648627051,-7.402074831232364,3.5754109444903888,2.6051957878873964
