market,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate
AU,10.0,10.0,0.0,0.0,50.0,10.0,0.0,0.0,20.0,0.0
BR,0.0,10.0,10.0,10.0,40.0,0.0,20.0,0.0,10.0,0.0
CA,10.0,0.0,0.0,20.0,50.0,0.0,10.0,10.0,0.0,0.0
EU,5.6,22.2,0.0,16.7,16.7,16.7,11.1,5.6,5.6,0.0
HK,20.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0
ID,10.0,0.0,40.0,10.0,30.0,0.0,10.0,0.0,0.0,0.0
IN,10.0,0.0,20.0,10.0,40.0,0.0,0.0,20.0,0.0,0.0
JP,16.7,10.0,0.0,0.0,13.3,10.0,26.7,16.7,3.3,3.3
KR,20.0,10.0,0.0,0.0,20.0,10.0,10.0,20.0,10.0,0.0
MX,22.2,0.0,44.4,0.0,11.1,0.0,0.0,0.0,22.2,0.0
TW,0.0,3.3,10.0,0.0,20.0,0.0,13.3,36.7,16.7,0.0
US,6.7,13.3,16.7,6.7,13.3,20.0,0.0,23.3,0.0,0.0
