market,theta_raw_mean,theta_sec_adj_mean,theta_raw_median,theta_sec_adj_median,n,abs_reduction_pct
AU,0.0002948998261423175,-0.0003867622774462653,0.0001163354992908,-0.0003452708979592173,10,-31.150391814614153
BR,0.0016804489075650784,0.001031712133732902,0.000791201754709,0.000401425231933618,10,38.604968643300026
CA,0.0003597470451425943,-0.00026496995036509304,0.00010533979246322743,-0.000337500470864051,10,26.345482487544576
EU,0.0006486991753613768,-0.00033688438796144007,0.00022696295000165,-0.00025123393052512534,18,48.06770214039985
HK,0.00024681131571978305,-0.00034364784035662054,0.0001252705316154,-0.00032770292126297034,5,-39.23504250784868
ID,0.00042838767728211306,-7.050742077652458e-05,0.00036393874662595,-0.00011148389935528588,10,83.54121173049236
IN,0.00069771487801248,-3.2280802341751336e-05,0.0006092735731805499,-0.00010208632978318149,10,95.37335330533486
JP,0.00101882726602056,-3.7358957686730765e-06,0.0007619218243662,2.9014558194597292e-05,30,99.63331411582013
KR,7.676518734639533e-05,-0.0009594751538193816,8.11820123774254e-05,-0.0008140240901445613,10,-1149.883165776493
MX,0.0006894528138741157,0.0001501431511996015,0.000207575110247,-4.816363644463971e-05,9,78.22285322821013
TW,0.00039505948606864287,-0.0005513880307270596,9.247306847930208e-05,-0.00037740850385675805,30,-39.57088746661663
US,0.002019001389399096,0.0009969140776441908,0.00023194728782460002,-0.00011424554944221548,30,50.62340804327546
