market,ticker,yahoo_sector,yahoo_industry,gics_sector,source
TW,2330.TW,Technology,Semiconductors,Information Technology,yfinance
TW,2303.TW,Technology,Semiconductors,Information Technology,yfinance
TW,6239.TW,Technology,Semiconductors,Information Technology,yfinance
TW,2454.TW,Technology,Semiconductors,Information Technology,yfinance
TW,2379.TW,Technology,Semiconductors,Information Technology,yfinance
TW,3034.TW,Technology,Semiconductors,Information Technology,yfinance
TW,3035.TW,Technology,Semiconductor Equipment & Materials,Information Technology,yfinance
TW,3443.TW,Technology,Semiconductors,Information Technology,yfinance
TW,2881.TW,Financial Services,Insurance - Life,Financials,yfinance
TW,2882.TW,Financial Services,Insurance - Life,Financials,yfinance
TW,2883.TW,Financial Services,Insurance - Life,Financials,yfinance
TW,2886.TW,Financial Services,Banks - Regional,Financials,yfinance
TW,2887.TW,Financial Services,Banks - Regional,Financials,yfinance
TW,2603.TW,Industrials,Marine Shipping,Industrials,yfinance
TW,2615.TW,Industrials,Marine Shipping,Industrials,yfinance
TW,2609.TW,Industrials,Marine Shipping,Industrials,yfinance
TW,1301.TW,Basic Materials,Specialty Chemicals,Materials,yfinance
TW,1303.TW,Basic Materials,Specialty Chemicals,Materials,yfinance
TW,1326.TW,Basic Materials,Chemicals,Materials,yfinance
TW,2002.TW,Basic Materials,Steel,Materials,yfinance
TW,2027.TW,Basic Materials,Steel,Materials,yfinance
TW,2317.TW,Technology,Electronic Components,Information Technology,yfinance
TW,3045.TW,Consumer Cyclical,Specialty Retail,Consumer Discretionary,yfinance
TW,2382.TW,Technology,Computer Hardware,Information Technology,yfinance
TW,2912.TW,Consumer Defensive,Grocery Stores,Consumer Staples,yfinance
TW,2637.TW,Industrials,Marine Shipping,Industrials,yfinance
TW,1215.TW,Consumer Defensive,Packaged Foods,Consumer Staples,yfinance
TW,2347.TW,Technology,Electronics & Computer Distribution,Information Technology,yfinance
TW,1210.TW,Consumer Defensive,Packaged Foods,Consumer Staples,yfinance
TW,2892.TW,Financial Services,Banks - Regional,Financials,yfinance
US,AAPL,Technology,Consumer Electronics,Information Technology,yfinance
US,MSFT,Technology,Software - Infrastructure,Information Technology,yfinance
US,NVDA,Technology,Semiconductors,Information Technology,yfinance
US,GOOGL,Communication Services,Internet Content & Information,Communication Services,yfinance
US,AMZN,Consumer Cyclical,Internet Retail,Consumer Discretionary,yfinance
US,META,Communication Services,Internet Content & Information,Communication Services,yfinance
US,TSLA,Consumer Cyclical,Auto Manufacturers,Consumer Discretionary,yfinance
US,BRK-B,Financial Services,Insurance - Diversified,Financials,yfinance
US,UNH,Healthcare,Healthcare Plans,Health Care,yfinance
US,V,Financial Services,Credit Services,Financials,yfinance
US,JPM,Financial Services,Banks - Diversified,Financials,yfinance
US,WMT,Consumer Defensive,Discount Stores,Consumer Staples,yfinance
US,MA,Financial Services,Credit Services,Financials,yfinance
US,JNJ,Healthcare,Drug Manufacturers - General,Health Care,yfinance
US,XOM,Energy,Oil & Gas Integrated,Energy,yfinance
US,PG,Consumer Defensive,Household & Personal Products,Consumer Staples,yfinance
US,HD,Consumer Cyclical,Home Improvement Retail,Consumer Discretionary,yfinance
US,CVX,Energy,Oil & Gas Integrated,Energy,yfinance
US,ABBV,Healthcare,Drug Manufacturers - General,Health Care,yfinance
US,AVGO,Technology,Semiconductors,Information Technology,yfinance
US,COST,Consumer Defensive,Discount Stores,Consumer Staples,yfinance
US,PEP,Consumer Defensive,Beverages - Non-Alcoholic,Consumer Staples,yfinance
US,KO,Consumer Defensive,Beverages - Non-Alcoholic,Consumer Staples,yfinance
US,MRK,Healthcare,Drug Manufacturers - General,Health Care,yfinance
US,ADBE,Technology,Software - Application,Information Technology,yfinance
US,CSCO,Technology,Communication Equipment,Information Technology,yfinance
US,TMO,Healthcare,Diagnostics & Research,Health Care,yfinance
US,CRM,Technology,Software - Application,Information Technology,yfinance
US,MCD,Consumer Cyclical,Restaurants,Consumer Discretionary,yfinance
US,ABT,Healthcare,Medical Devices,Health Care,yfinance
JP,7203.T,Consumer Cyclical,Auto Manufacturers,Consumer Discretionary,yfinance
JP,6758.T,Technology,Consumer Electronics,Information Technology,yfinance
JP,9984.T,Communication Services,Telecom Services,Communication Services,yfinance
JP,8306.T,Financial Services,Banks - Diversified,Financials,yfinance
JP,6861.T,Technology,Scientific & Technical Instruments,Information Technology,yfinance
JP,9432.T,Communication Services,Telecom Services,Communication Services,yfinance
JP,6098.T,Communication Services,Internet Content & Information,Communication Services,yfinance
