event_month,nominal_third_friday,expiration_date,expiration_shift_days,is_quad_witching,metric,control_n_days,control_mean,pre3_mean,pre5_mean,expiration_mean,post3_mean,post5_mean,pre3_minus_control,expiration_minus_control,post3_minus_control,post5_minus_control,post3_minus_pre3,post5_minus_pre5,pre3_ratio_control,expiration_ratio_control,post3_ratio_control
1993-02,1993-02-19,1993-02-19,0,False,range_var,8,2.323424239130283e-05,0.00015518408551697783,0.00010017987211314252,9.140510999961043e-06,3.0958968475673204e-05,2.3173897790367243e-05,0.00013194984312567498,-1.4093731391341788e-05,7.724726084370372e-06,-6.034460093558863e-08,-0.00012422511704130462,-7.700597432277528e-05,6.679111068199374,0.39340688824794945,1.3324716147087254
1993-03,1993-03-19,1993-03-19,0,True,range_var,12,3.241257978072112e-05,1.0208128920530455e-05,1.4207869150948544e-05,1.1055058524174173e-05,1.9949576151216425e-05,2.0652460593686256e-05,-2.2204450860190666e-05,-2.1357521256546948e-05,-1.2463003629504696e-05,-1.1760119187034864e-05,9.74144723068597e-06,6.4445914427377125e-06,0.3149434259658101,0.3410730833202509,0.615488686373627
1993-04,1993-04-16,1993-04-16,0,False,range_var,10,2.906047661882675e-05,1.1967607768555817e-05,1.7055575537660063e-05,4.357482968667165e-06,2.6022500307241222e-05,3.924897616284884e-05,-1.709286885027093e-05,-2.4702993650159585e-05,-3.0379763115855265e-06,1.0188499544022089e-05,1.4054892538685405e-05,2.2193400625188774e-05,0.4118173258315604,0.14994533729856935,0.895460203511687
1993-05,1993-05-21,1993-05-21,0,False,range_var,9,1.4760776780041464e-05,9.256417815645532e-05,5.8623856949502364e-05,5.030360932261935e-05,1.8834334428810877e-05,1.9881300273847143e-05,7.780340137641385e-05,3.554283254257788e-05,4.0735576487694125e-06,5.120523493805679e-06,-7.372984372764444e-05,-3.874255667565522e-05,6.2709557590230895,3.407924262538576,1.2759717668976205
1993-06,1993-06-18,1993-06-18,0,True,range_var,11,1.5037005377351134e-05,6.377648600960313e-06,6.915362491662435e-06,2.1356785440209773e-05,1.1117955999924557e-05,1.5523254134571833e-05,-8.65935677639082e-06,6.319780062858639e-06,-3.919049377426577e-06,4.862487572206989e-07,4.740307398964244e-06,8.607891642909398e-06,0.4241302334417185,1.4202818250219917,0.7393730148338257
1993-07,1993-07-16,1993-07-16,0,False,range_var,10,2.318621863737559e-05,1.9840097089989324e-05,1.417826436071147e-05,1.1225313316853273e-05,1.1415634826516013e-05,1.1265633658648398e-05,-3.346121547386266e-06,-1.1960905320522317e-05,-1.1770583810859577e-05,-1.1920584978727192e-05,-8.424462263473311e-06,-2.9126307020630723e-06,0.8556848962860893,0.48413730123110094,0.49234569056095684
1993-08,1993-08-20,1993-08-20,0,False,range_var,11,1.0800642001533465e-05,5.298439618536038e-06,7.466014595405143e-06,4.20988223832099e-06,1.9560658799734755e-05,1.847078977719068e-05,-5.502202382997426e-06,-6.590759763212474e-06,8.76001679820129e-06,7.670147775657214e-06,1.4262219181198717e-05,1.1004775181785536e-05,0.49056709941721716,0.3897807406007231,1.8110644531091349
1993-09,1993-09-17,1993-09-17,0,True,range_var,10,1.5353342025382585e-05,1.877937172954633e-05,1.653118156516896e-05,4.192675619831895e-06,5.6213306787710055e-05,3.621119585636028e-05,3.4260297041637442e-06,-1.116066640555069e-05,4.085996476232747e-05,2.0857853830977696e-05,3.743393505816373e-05,1.968001429119132e-05,1.2231455339495292,0.2730790216814322,3.661307531270821
1993-10,1993-10-15,1993-10-15,0,False,range_var,10,1.1635813763178339e-05,1.6375833997560985e-05,1.6665425922232925e-05,1.019115875541878e-05,1.0998394516752255e-05,1.470574800768281e-05,4.740020234382646e-06,-1.4446550077595589e-06,-6.374192464260844e-07,3.06993424450447e-06,-5.3774394808087306e-06,-1.959677914550116e-06,1.4073647388017236,0.8758440933172044,0.9452191948582741
1993-11,1993-11-19,1993-11-19,0,False,range_var,10,3.253953649709978e-05,2.0077166831218468e-05,1.737061105149704e-05,4.108204643445006e-06,1.252309042902404e-05,1.3536654523084381e-05,-1.246236966588131e-05,-2.843133185365477e-05,-2.001644606807574e-05,-1.90028819740154e-05,-7.554076402194427e-06,-3.83395652841266e-06,0.617008384031774,0.1262527093405638,0.3848576770643372
1993-12,1993-12-17,1993-12-17,0,True,range_var,11,8.342955320999219e-06,9.58713681592971e-06,1.124906592341859e-05,7.987268460830922e-06,8.10486793902797e-06,7.720015633294983e-06,1.244181494930491e-06,-3.5568686016829615e-07,-2.380873819712488e-07,-6.22939687704236e-07,-1.4822688769017398e-06,-3.529050290123607e-06,1.1491295886241757,0.9573668027116203,0.9714624647009696
1994-01,1994-01-21,1994-01-21,0,False,range_var,10,1.5885104959089557e-05,4.703207685827091e-06,4.106942995512399e-06,5.63474979061653e-06,1.1430509569155049e-05,1.4626127260136389e-05,-1.1181897273262465e-05,-1.0250355168473027e-05,-4.454595389934508e-06,-1.2589776989531682e-06,6.727301883327958e-06,1.0519184264623991e-05,0.2960765885991761,0.35471907835222016,0.7195740663088561
1994-02,1994-02-18,1994-02-18,0,False,range_var,8,4.0447995593129843e-05,2.831139758627308e-05,2.8703550164228976e-05,3.5900244430225984e-05,2.7672845898444578e-05,2.0718446041800097e-05,-1.2136598006856765e-05,-4.54775116290386e-06,-1.2775149694685266e-05,-1.9729549551329746e-05,-6.385516878285006e-07,-7.985104122428879e-06,0.699945625762524,0.8875654752178548,0.6841586460008627
1994-03,1994-03-18,1994-03-18,0,True,range_var,12,6.800204421491256e-05,1.7938904681465158e-05,2.0199061996239953e-05,1.6030063640110323e-05,9.289334403856697e-06,3.3239343109452286e-05,-5.00631395334474e-05,-5.1971980574802245e-05,-5.871270981105587e-05,-3.476270110546028e-05,-8.64957027760846e-06,1.3040281113212332e-05,0.26379949145015896,0.23572914351587973,0.13660375230042843
1994-04,1994-04-15,1994-04-15,0,False,range_var,8,4.1101439566741464e-05,4.15304438611452e-05,3.747455171499222e-05,1.2765636510319635e-05,5.2669523068921144e-05,4.922782854550141e-05,4.2900429440373926e-07,-2.833580305642183e-05,1.156808350217968e-05,8.126388978759945e-06,1.1139079207775941e-05,1.1753276830509187e-05,1.010437695100852,0.31058854981442924,1.281452027571812
1994-05,1994-05-20,1994-05-20,0,False,range_var,10,3.102442548616158e-05,6.569360264855696e-05,4.5715747964990215e-05,6.099688946418523e-06,1.877958821882536e-05,1.4104910632673035e-05,3.466917716239538e-05,-2.492473653974306e-05,-1.2244837267336222e-05,-1.691951485348855e-05,-4.69140144297316e-05,-3.161083733231718e-05,2.117480069948742,0.19660924741827318,0.6053162282473846
1994-06,1994-06-17,1994-06-17,0,True,range_var,11,3.757092658261601e-05,8.198878869014813e-06,6.277081451952138e-06,2.600019861382362e-05,2.331643392834952e-05,4.4101855909148695e-05,-2.9372047713601193e-05,-1.1570727968792386e-05,-1.4254492654266489e-05,6.530929326532687e-06,1.5117555059334706e-05,3.7824774457196556e-05,0.21822402625567444,0.6920297415782622,0.6205977879485672
1994-07,1994-07-15,1994-07-15,0,False,range_var,9,1.1727229073894524e-05,1.7290863204637613e-05,2.3457960757292075e-05,4.270947026643756e-06,1.1030420802104892e-05,9.165852144686028e-06,5.56363413074309e-06,-7.456282047250767e-06,-6.968082717896319e-07,-2.5613769292084957e-06,-6.2604424025327216e-06,-1.4292108612606047e-05,1.4744201802221168,0.36419063699805493,0.9405820192136635
1994-08,1994-08-19,1994-08-19,0,False,range_var,12,1.4138269409255288e-05,1.8452221540697353e-05,1.5040366467163944e-05,6.9078599664402625e-06,1.988986155363108e-05,2.8912998442727337e-05,4.313952131442065e-06,-7.230409442815026e-06,5.751592144375791e-06,1.4774729033472049e-05,1.4376400129337262e-06,1.3872631975563393e-05,1.305125896711095,0.4885930354331905,1.406810195638983
