event_month,expiration_date,is_quad_witching,offset,value,control_mean,ratio_control
1993-02,1993-02-19,False,-5,2.109038064294489e-05,2.323424239130283e-05,0.9077283557495964
1993-02,1993-02-19,False,-4,1.4256723371834165e-05,2.323424239130283e-05,0.613608274017612
1993-02,1993-02-19,False,-3,0.00021093277698610918,2.323424239130283e-05,9.078530448019544
1993-02,1993-02-19,False,-2,1.196444151856413e-05,2.323424239130283e-05,0.5149486399024022
1993-02,1993-02-19,False,-1,0.00024265503804626017,2.323424239130283e-05,10.443854116676174
1993-02,1993-02-19,False,0,9.140510999961043e-06,2.323424239130283e-05,0.39340688824794945
1993-02,1993-02-19,False,1,9.049171323697036e-06,2.323424239130283e-05,0.38947563562840215
1993-02,1993-02-19,False,2,3.121072683797011e-05,2.323424239130283e-05,1.343307275198828
1993-02,1993-02-19,False,3,5.2617007265352465e-05,2.323424239130283e-05,2.264631933298946
1993-02,1993-02-19,False,4,1.1512518081547392e-05,2.323424239130283e-05,0.4954978900390925
1993-02,1993-02-19,False,5,1.1480065443269207e-05,2.323424239130283e-05,0.4941011309913203
1993-03,1993-03-19,True,-5,2.9375185797148133e-05,3.241257978072112e-05,0.9062896565431791
1993-03,1993-03-19,True,-4,1.1039773196003216e-05,3.241257978072112e-05,0.3406014970326315
1993-03,1993-03-19,True,-3,2.737170475737323e-06,3.241257978072112e-05,0.08444778213443478
1993-03,1993-03-19,True,-2,1.4020671170247997e-05,3.241257978072112e-05,0.4325688132540267
1993-03,1993-03-19,True,-1,1.3866545115606045e-05,3.241257978072112e-05,0.42781368250896873
1993-03,1993-03-19,True,0,1.1055058524174173e-05,3.241257978072112e-05,0.3410730833202509
1993-03,1993-03-19,True,1,1.7613222234570114e-05,3.241257978072112e-05,0.543406984378528
1993-03,1993-03-19,True,2,2.7985058048893065e-06,3.241257978072112e-05,0.08634011312341905
1993-03,1993-03-19,True,3,3.943700041418986e-05,3.241257978072112e-05,1.216718961618934
1993-03,1993-03-19,True,4,2.9334442967110072e-05,3.241257978072112e-05,0.9050326498404205
1993-03,1993-03-19,True,5,1.4079131547671944e-05,3.241257978072112e-05,0.434372445603548
1993-04,1993-04-16,False,-5,3.515808509959703e-05,2.906047661882675e-05,1.2098247926470678
1993-04,1993-04-16,False,-4,1.4216969283035834e-05,2.906047661882675e-05,0.48922010019014656
1993-04,1993-04-16,False,-3,1.7393743209054518e-05,2.906047661882675e-05,0.5985360610977051
1993-04,1993-04-16,False,-2,4.35143089754964e-06,2.906047661882675e-05,0.14973707949203344
1993-04,1993-04-16,False,-1,1.4157649199063294e-05,2.906047661882675e-05,0.48717883690494257
1993-04,1993-04-16,False,0,4.357482968667165e-06,2.906047661882675e-05,0.14994533729856935
1993-04,1993-04-16,False,1,2.1149149229608732e-05,2.906047661882675e-05,0.7277633297971209
1993-04,1993-04-16,False,2,4.5534825070533895e-05,2.906047661882675e-05,1.566898770030299
1993-04,1993-04-16,False,3,1.1383526621581047e-05,2.906047661882675e-05,0.39171851070764135
1993-04,1993-04-16,False,4,0.00010332497406732969,2.906047661882675e-05,3.5555154659917343
1993-04,1993-04-16,False,5,1.4852405825190814e-05,2.906047661882675e-05,0.5110861057099361
1993-05,1993-05-21,False,-5,6.53100676729524e-06,1.4760776780041464e-05,0.44245684794353307
1993-05,1993-05-21,False,-4,8.895743510850639e-06,1.4760776780041464e-05,0.6026609333242454
1993-05,1993-05-21,False,-3,1.1594254280489896e-05,1.4760776780041464e-05,0.7854772450842067
