date,SPY_RV,BTC_RV,VIX
2015-01-01,,314.2489929199219,
2015-01-02,102.94000244140625,315.0320129394531,19.200000762939453
2015-01-03,,281.0820007324219,
2015-01-04,,264.19500732421875,
2015-01-05,101.43000030517578,274.4739990234375,20.719999313354492
2015-01-06,100.06999969482422,286.1889953613281,21.850000381469727
2015-01-07,101.36000061035156,294.3370056152344,20.15999984741211
2015-01-08,103.30000305175781,283.3489990234375,18.149999618530273
2015-01-09,102.62000274658203,290.4079895019531,18.399999618530273
2015-01-10,,274.7959899902344,
2015-01-11,,265.6600036621094,
2015-01-12,101.55000305175781,267.7959899902344,19.8700008392334
2015-01-13,101.5199966430664,225.86099243164062,20.709999084472656
2015-01-14,100.95999908447266,178.10299682617188,21.40999984741211
2015-01-15,99.6500015258789,209.843994140625,22.719999313354492
2015-01-16,100.81999969482422,208.0970001220703,21.219999313354492
2015-01-17,,199.25999450683594,
2015-01-18,,210.33900451660156,
2015-01-19,,214.86099243164062,
2015-01-20,101.62000274658203,211.31500244140625,20.690000534057617
2015-01-21,102.13999938964844,226.89700317382812,20.020000457763672
2015-01-22,104.02999877929688,233.406005859375,17.079999923706055
2015-01-23,104.26000213623047,232.87899780273438,17.059999465942383
2015-01-24,,247.8470001220703,
2015-01-25,,253.71800231933594,
2015-01-26,104.13999938964844,273.4729919433594,16.969999313354492
2015-01-27,101.44000244140625,263.4750061035156,19.219999313354492
2015-01-28,100.91999816894531,233.9149932861328,21.389999389648438
2015-01-29,101.88999938964844,233.51300048828125,19.479999542236328
2015-01-30,101.0999984741211,226.4250030517578,21.59000015258789
2015-01-31,,217.46400451660156,
2015-02-01,,226.9720001220703,
2015-02-02,101.9800033569336,238.22900390625,20.790000915527344
2015-02-03,102.95999908447266,227.26800537109375,18.809999465942383
2015-02-04,102.87000274658203,226.85299682617188,19.15999984741211
2015-02-05,103.76000213623047,217.11099243164062,18.18000030517578
2015-02-06,103.12999725341797,222.26600646972656,18.40999984741211
2015-02-07,,227.75399780273438,
2015-02-08,,223.41200256347656,
2015-02-09,102.80000305175781,220.11000061035156,19.1200008392334
2015-02-10,104.4000015258789,219.83900451660156,17.459999084472656
2015-02-11,104.77999877929688,219.18499755859375,17.389999389648438
2015-02-12,106.0,221.76400756835938,16.100000381469727
2015-02-13,106.91000366210938,235.427001953125,15.149999618530273
2015-02-14,,257.3210144042969,
2015-02-15,,234.8249969482422,
2015-02-16,,233.84300231933594,
2015-02-17,107.01000213623047,243.61000061035156,15.960000038146973
2015-02-18,107.16000366210938,236.3260040283203,15.899999618530273
2015-02-19,107.69000244140625,240.2830047607422,15.4399995803833
2015-02-20,108.41000366210938,243.7790069580078,14.670000076293945
2015-02-21,,244.53399658203125,
2015-02-22,,235.9770050048828,
2015-02-23,108.5199966430664,238.89199829101562,14.869999885559082
2015-02-24,108.5999984741211,238.73500061035156,14.260000228881836
2015-02-25,108.33000183105469,237.47000122070312,14.380000114440918
2015-02-26,108.87999725341797,236.42599487304688,14.329999923706055
2015-02-27,108.4000015258789,253.8280029296875,14.619999885559082
2015-02-28,,254.26300048828125,
2015-03-01,,260.2019958496094,
2015-03-02,109.37999725341797,275.6700134277344,14.270000457763672
2015-03-03,108.87000274658203,281.7019958496094,14.979999542236328
2015-03-04,108.44999694824219,273.0920104980469,15.59000015258789
2015-03-05,108.63999938964844,276.1780090332031,15.220000267028809
2015-03-06,107.41000366210938,272.7229919433594,16.75
2015-03-07,,276.260986328125,
2015-03-08,,274.35400390625,
2015-03-09,107.72000122070312,289.60699462890625,16.440000534057617
2015-03-10,105.72000122070312,291.760009765625,18.020000457763672
2015-03-11,105.11000061035156,296.3789978027344,18.420000076293945
2015-03-12,105.80000305175781,294.35400390625,17.149999618530273
2015-03-13,105.33999633789062,285.3370056152344,17.549999237060547
2015-03-14,,281.885009765625,
2015-03-15,,286.39300537109375,
2015-03-16,106.69999694824219,290.5929870605469,16.90999984741211
2015-03-17,106.87000274658203,285.5050048828125,16.600000381469727
2015-03-18,107.91999816894531,256.29901123046875,14.989999771118164
