date,spy_close,ret,target_rv_21,target_vol_ann_21,target_min_ret_21,target_tail_loss_21,vix,jln3m,spf_disp,vix_lag1,log_vix_lag1,jln3m_lag1,log_jln3m_lag1,spf_disp_lag1,log_spf_disp_lag1,vix_q75,jln_q75,spf_median,vix_high,jln_high,spf_high,agreed_vix,disagreed_vix,agreed_jln,disagreed_jln,position,target_end_pos
1994-01-28,26.934141159057617,0.0026150127211037846,0.0012165814838583124,0.12082622979427832,-0.023020021067609864,0.023020021067609864,9.94,0.675508984425965,0.7625,10.3,2.33214389523559,0.675508984425965,-0.3922888212617988,0.7625,-0.2711527705005704,2.603984680850113,-0.36636585322310095,0.057041740367196996,False,False,False,False,False,False,False,253,274
1994-01-31,27.127534866333008,0.007154588849196283,0.0011671897687795137,0.1183481188078381,-0.023020021067609864,0.023020021067609864,10.63,0.675508984425965,0.7625,9.94,2.2965670206684825,0.675508984425965,-0.3922888212617988,0.7625,-0.2711527705005704,2.6034301519721073,-0.36636585322310095,0.057041740367196996,False,False,False,False,False,False,False,254,275
1994-02-01,26.98688316345215,-0.00519831958771743,0.0011473540044588243,0.11733817815828697,-0.023020021067609864,0.023020021067609864,10.65,0.690672844708789,0.7625,10.63,2.363680192353857,0.675508984425965,-0.3922888212617988,0.7625,-0.2711527705005704,2.6034301519721073,-0.36714735766354784,0.057041740367196996,False,False,False,False,False,False,False,255,276
1994-02-02,27.162702560424805,0.0064938637104755195,0.0011123705007839507,0.11553547511222433,-0.023020021067609864,0.023020021067609864,10.61,0.690672844708789,0.7625,10.65,2.365559892155434,0.690672844708789,-0.37008901926919685,0.7625,-0.2711527705005704,2.6034301519721073,-0.3679288621039948,0.057041740367196996,False,False,False,False,False,False,False,256,277
1994-02-03,27.039630889892578,-0.004541202350594386,0.001120259151861258,0.11594442557680423,-0.023020021067609864,0.023020021067609864,10.75,0.690672844708789,0.7625,10.61,2.3617969526258915,0.690672844708789,-0.37008901926919685,0.7625,-0.2711527705005704,2.6034301519721073,-0.36871036654444167,-0.03222407861025643,False,False,False,False,False,False,False,257,278
1994-02-04,26.424287796020508,-0.023020021067609864,0.0006063515729217572,0.08530075541905292,-0.013324898589396355,0.013324898589396355,15.25,0.690672844708789,0.7625,10.75,2.3749057545736716,0.690672844708789,-0.37008901926919685,0.7625,-0.2711527705005704,2.6034301519721073,-0.36949187098488856,-0.12148989758770987,False,False,False,False,False,False,False,258,279
1994-02-07,26.54737091064453,0.0046471392112944,0.0006065448972700318,0.08531435264502908,-0.013324898589396355,0.013324898589396355,13.96,0.690672844708789,0.7625,15.25,2.7245795030534206,0.690672844708789,-0.37008901926919685,0.7625,-0.2711527705005704,2.6028743903501206,-0.36949187098488856,-0.12148989758770987,True,False,False,True,False,False,False,259,280
1994-02-08,26.56494903564453,0.0006619227199860738,0.0006703603929123907,0.08969015952125789,-0.013324898589396355,0.013324898589396355,13.66,0.690672844708789,0.7625,13.96,2.6361960973342264,0.690672844708789,-0.37008901926919685,0.7625,-0.2711527705005704,2.6034301519721073,-0.36949187098488856,-0.12148989758770987,True,False,False,True,False,False,False,260,281
1994-02-09,26.670442581176758,0.003963291352479942,0.0006832884964119048,0.09055088048684484,-0.013324898589396355,0.013324898589396355,13.3,0.690672844708789,0.7625,13.66,2.614471854142644,0.690672844708789,-0.37008901926919685,0.7625,-0.2711527705005704,2.603984680850113,-0.36949187098488856,-0.12148989758770987,True,False,False,True,False,False,False,261,282
1994-02-10,26.441879272460938,-0.008606843447690023,0.0006109881252230309,0.0856262664296206,-0.013324898589396355,0.013324898589396355,14.24,0.690672844708789,0.7625,13.3,2.5877640352277083,0.690672844708789,-0.37008901926919685,0.7625,-0.2711527705005704,2.605648267484129,-0.36949187098488856,-0.12148989758770987,False,False,False,False,False,False,False,262,283
1994-02-11,26.529766082763672,0.0033182616985298658,0.0006004218444242477,0.08488263740654489,-0.013324898589396355,0.013324898589396355,14.46,0.690672844708789,0.7625,14.24,2.65605490598383,0.690672844708789,-0.37008901926919685,0.7625,-0.2711527705005704,2.6050937386061235,-0.36949187098488856,-0.12148989758770987,True,False,False,True,False,False,False,263,284
1994-02-14,26.56494903564453,0.0013252903966804355,0.0006621626020565461,0.08914006520458997,-0.013324898589396355,0.013324898589396355,14.28,0.690672844708789,0.7625,14.46,2.671386216730619,0.690672844708789,-0.37008901926919685,0.7625,-0.2711527705005704,2.606386274998189,-0.36949187098488856,-0.12148989758770987,True,False,False,True,False,False,False,264,285
1994-02-15,26.705583572387695,0.005280024680925361,0.0006342839414253651,0.08724337967493224,-0.013324898589396355,0.013324898589396355,13.4,0.690672844708789,0.7625,14.28,2.658859956911438,0.690672844708789,-0.37008901926919685,0.7625,-0.2711527705005704,2.6078606600696888,-0.36949187098488856,-0.12148989758770987,True,False,False,True,False,False,False,265,286
1994-02-16,26.688007354736328,-0.0006583643460209965,0.000633898181141042,0.08721684569905348,-0.013324898589396355,0.013324898589396355,13.13,0.690672844708789,0.7625,13.4,2.5952547069568657,0.690672844708789,-0.37008901926919685,0.7625,-0.2711527705005704,2.6100697927420065,-0.36949187098488856,-0.12148989758770987,False,False,False,False,False,False,False,266,287
1994-02-17,26.529766082763672,-0.0059469507315846855,0.0006056325400782574,0.08525016411092175,-0.013324898589396355,0.013324898589396355,13.79,0.690672844708789,0.7625,13.13,2.574899688314705,0.690672844708789,-0.37008901926919685,0.7625,-0.2711527705005704,2.609333415184567,-0.36949187098488856,-0.12148989758770987,False,False,False,False,False,False,False,267,288
1994-02-18,26.371540069580078,-0.00598195003178251,0.0005769493958366257,0.08320692729598606,-0.013324898589396355,0.013324898589396355,14.7,0.690672844708789,0.7625,13.79,2.6239436918052106,0.690672844708789,-0.37008901926919685,0.7625,-0.2711527705005704,2.6085970376271277,-0.36949187098488856,-0.12148989758770987,True,False,False,True,False,False,False,268,289
1994-02-22,26.63527488708496,0.009951059841933676,0.00047836946918116855,0.07576564940772318,-0.013324898589396355,0.013324898589396355,13.52,0.690672844708789,0.7625,14.7,2.6878474937846906,0.690672844708789,-0.37008901926919685,0.7625,-0.2711527705005704,2.6108040076603336,-0.36949187098488856,-0.12148989758770987,True,False,False,True,False,False,False,269,290
1994-02-23,26.56494903564453,-0.0026438194134707606,0.0006167184220043348,0.0860268624561655,-0.013324898589396355,0.013324898589396355,13.91,0.690672844708789,0.7625,13.52,2.604170070614818,0.690672844708789,-0.37008901926919685,0.7625,-0.2711527705005704,2.613006652415316,-0.36949187098488856,-0.12148989758770987,False,False,False,False,False,False,False,270,291
