sample,target,metric,n,controls,coef,hac_t,p_value,r2,status
all_documents_release_aligned,fwd5_spy_rv_ann,complexity_z,86,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix', 'is_minutes']",0.010091633727293752,0.7114726153396,0.4767914146809288,0.43184959998948447,ok
all_documents_release_aligned,fwd22_spy_rv_ann,complexity_z,86,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix', 'is_minutes']",0.0020378319548656153,0.1565665767066821,0.875586445543511,0.3733445322280883,ok
all_documents_release_aligned,delta_vix9d_vix_5d,complexity_z,86,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix', 'is_minutes']",-0.011447236107313664,-0.6336254760270766,0.526325270738202,0.5318197466761951,ok
all_documents_release_aligned,delta_vix_vix3m_22d,complexity_z,86,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix', 'is_minutes']",0.04144704471721764,2.580812400715385,0.009856812898075601,0.31519725478833704,ok
all_documents_release_aligned,fwd5_spy_rv_ann,hedged_risk_tone_z,86,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix', 'is_minutes']",-0.001778238974647651,-0.26111665758176394,0.7940025462852667,0.42837927788220176,ok
all_documents_release_aligned,fwd22_spy_rv_ann,hedged_risk_tone_z,86,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix', 'is_minutes']",-0.009352939474163538,-1.1358074206462465,0.256037170724876,0.38157072004364734,ok
all_documents_release_aligned,delta_vix9d_vix_5d,hedged_risk_tone_z,86,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix', 'is_minutes']",-0.011753129049387296,-1.0731864997569032,0.28318744667205464,0.5358041360107818,ok
all_documents_release_aligned,delta_vix_vix3m_22d,hedged_risk_tone_z,86,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix', 'is_minutes']",-0.01949469846025825,-1.5631666479373794,0.11801340263848567,0.29523712688254933,ok
statement_only_meeting_day,fwd5_spy_rv_ann,complexity_z,43,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix']",0.025830075035672376,1.8007136526243186,0.0717480246058806,0.5054152907677151,ok
statement_only_meeting_day,fwd22_spy_rv_ann,complexity_z,43,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix']",0.002850572393080182,0.14962334395042903,0.881061789700185,0.30230628427235984,ok
statement_only_meeting_day,delta_vix9d_vix_5d,complexity_z,43,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix']",0.007444980815458099,0.2801233031038856,0.7793829068286624,0.5357261966889539,ok
statement_only_meeting_day,delta_vix_vix3m_22d,complexity_z,43,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix']",0.0306823721125895,1.2955420025318296,0.19513332160818708,0.34535642159673086,ok
statement_only_meeting_day,fwd5_spy_rv_ann,hedged_risk_tone_z,43,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix']",-0.010755694104782406,-1.0412798464940354,0.2977456873587182,0.48527656838339406,ok
statement_only_meeting_day,fwd22_spy_rv_ann,hedged_risk_tone_z,43,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix']",-0.02253052200549572,-1.3964256181434977,0.1625863650542323,0.33276909463256765,ok
statement_only_meeting_day,delta_vix9d_vix_5d,hedged_risk_tone_z,43,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix']",-0.0021623364355943184,-0.09628396456431094,0.9232950463361644,0.5350032408925194,ok
statement_only_meeting_day,delta_vix_vix3m_22d,hedged_risk_tone_z,43,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix']",-0.041998438386692524,-2.373752389610367,0.017608354282907263,0.40948579212399383,ok
minutes_only_release_day,fwd5_spy_rv_ann,complexity_z,43,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix']",-0.008529422477061573,-0.34813373761844324,0.727739748250178,0.4246548637513582,ok
minutes_only_release_day,fwd22_spy_rv_ann,complexity_z,43,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix']",0.009097077846834768,0.590708731200158,0.5547155967692486,0.526253057695171,ok
minutes_only_release_day,delta_vix9d_vix_5d,complexity_z,43,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix']",-0.025457701078784988,-1.084125094994399,0.27830933749762,0.5119872525793678,ok
minutes_only_release_day,delta_vix_vix3m_22d,complexity_z,43,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix']",0.053525415978133206,2.448064946175154,0.014362576392516667,0.3139579243692261,ok
minutes_only_release_day,fwd5_spy_rv_ann,hedged_risk_tone_z,43,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix']",0.0013239142030420648,0.13663836857331013,0.8913166471795022,0.42267338565821455,ok
minutes_only_release_day,fwd22_spy_rv_ann,hedged_risk_tone_z,43,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix']",-0.0028268974024054858,-0.3050003069378724,0.7603659185487976,0.5235387647183225,ok
minutes_only_release_day,delta_vix9d_vix_5d,hedged_risk_tone_z,43,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix']",-0.017596183870644183,-1.5346500960333664,0.12486980018991847,0.5188023895464036,ok
minutes_only_release_day,delta_vix_vix3m_22d,hedged_risk_tone_z,43,"['lag_rv22_ann', 'vix_dec', 'vix9d_vix']",-0.0033111320286343554,-0.2275435373941296,0.8200011190057042,0.2437858895803563,ok
