Date,SPY,^VIX,^VIX3M,^VIX9D
2020-12-15,341.72314453125,22.889999389648438,25.8700008392334,20.190000534057617
2020-12-16,342.2593688964844,22.5,25.469999313354492,18.799999237060547
2020-12-17,344.17327880859375,21.93000030517578,25.149999618530273,18.6200008392334
2020-12-18,342.799072265625,21.56999969482422,25.170000076293945,16.700000762939453
2020-12-21,341.5733337402344,25.15999984741211,27.579999923706055,21.559999465942383
2020-12-22,340.9976501464844,24.229999542236328,27.25,19.90999984741211
2020-12-23,341.30413818359375,23.309999465942383,26.260000228881836,19.200000762939453
2020-12-24,342.6319885253906,21.530000686645508,25.3700008392334,17.1200008392334
2020-12-28,345.5753479003906,21.700000762939453,25.149999618530273,20.049999237060547
2020-12-29,344.9161682128906,23.079999923706055,26.239999771118164,21.469999313354492
2020-12-30,345.40826416015625,22.770000457763672,25.440000534057617,21.309999465942383
2020-12-31,347.16326904296875,22.75,25.280000686645508,21.200000762939453
2021-01-04,342.4369201660156,26.969999313354492,28.260000228881836,27.389999389648438
2021-01-05,344.79541015625,25.34000015258789,27.25,24.290000915527344
2021-01-06,346.8567810058594,25.06999969482422,26.790000915527344,23.770000457763672
2021-01-07,352.0101623535156,22.3700008392334,25.020000457763672,19.420000076293945
2021-01-08,354.0158386230469,21.559999465942383,24.899999618530273,18.34000015258789
2021-01-11,351.6295166015625,24.079999923706055,26.700000762939453,21.690000534057617
2021-01-12,351.7037658691406,23.329999923706055,26.200000762939453,20.649999618530273
2021-01-13,352.6509094238281,22.209999084472656,25.549999237060547,18.90999984741211
2021-01-14,351.4159851074219,23.25,26.31999969482422,21.170000076293945
2021-01-15,348.8531799316406,24.34000015258789,27.260000228881836,21.690000534057617
2021-01-19,351.5923156738281,23.239999771118164,26.690000534057617,21.8799991607666
2021-01-20,356.4579772949219,21.579999923706055,25.719999313354492,18.850000381469727
2021-01-21,356.78289794921875,21.31999969482422,25.700000762939453,18.229999542236328
2021-01-22,355.5200500488281,21.90999984741211,25.989999771118164,18.420000076293945
2021-01-25,356.9221496582031,23.190000534057617,26.8799991607666,20.65999984741211
2021-01-26,356.3650207519531,23.020000457763672,26.889999389648438,20.459999084472656
