sample,target,metric,n,n_low,n_high,low_tercile_mean,high_tercile_mean,high_minus_low,ci95,p_two_sided,p_is_upper_bound,status
all_documents_release_aligned,fwd5_spy_rv_ann,complexity_z,87,29,29,0.11426292108719278,0.16892071309142095,0.05465779200422817,"[0.019403664977891016, 0.08976731565657359]",0.0013333333333333333,False,ok
all_documents_release_aligned,fwd22_spy_rv_ann,complexity_z,86,29,29,0.13722372604719868,0.17095396347134978,0.0337302374241511,"[-0.0048285153884475235, 0.06872908231664485]",0.07933333333333334,False,ok
all_documents_release_aligned,delta_vix9d_vix_5d,complexity_z,87,29,29,-0.023500081823585962,-0.04741675160129705,-0.023916669777711085,"[-0.07859450674046439, 0.03181393458094345]",0.406,False,ok
all_documents_release_aligned,delta_vix_vix3m_22d,complexity_z,86,29,29,-0.0062425648098783275,-0.01197687677648271,-0.005734311966604383,"[-0.054176443876215556, 0.040626313982288415]",0.8273333333333334,False,ok
all_documents_release_aligned,fwd5_spy_rv_ann,hedged_risk_tone_z,87,29,29,0.1404346113712187,0.1236022187193768,-0.016832392651841915,"[-0.04585710004866443, 0.011669483947615382]",0.264,False,ok
all_documents_release_aligned,fwd22_spy_rv_ann,hedged_risk_tone_z,86,29,29,0.17390175218782541,0.1287632378268222,-0.04513851436100322,"[-0.08125335098645153, -0.01246732508684984]",0.007333333333333333,False,ok
all_documents_release_aligned,delta_vix9d_vix_5d,hedged_risk_tone_z,87,29,29,-0.02675317385800168,-0.04534677622206335,-0.018593602364061674,"[-0.07674071381716427, 0.03879991677336433]",0.5286666666666666,False,ok
all_documents_release_aligned,delta_vix_vix3m_22d,hedged_risk_tone_z,86,29,29,-0.002824982016235975,-0.008339066473177916,-0.005514084456941942,"[-0.051054237955854, 0.039416041548492174]",0.8113333333333334,False,ok
statement_only_meeting_day,fwd5_spy_rv_ann,complexity_z,44,15,15,0.12245425287974127,0.18413512861024256,0.061680875730501294,"[0.01648732754159113, 0.10552822544797782]",0.005333333333333333,False,ok
statement_only_meeting_day,fwd22_spy_rv_ann,complexity_z,43,15,15,0.1480457693051641,0.17460441039845384,0.02655864109328973,"[-0.037344914592798185, 0.07980569209625772]",0.3566666666666667,False,ok
statement_only_meeting_day,delta_vix9d_vix_5d,complexity_z,44,15,15,-0.0463479107013744,-0.058512910031305924,-0.012164999329931522,"[-0.09222819511275762, 0.08277107365693041]",0.7446666666666667,False,ok
statement_only_meeting_day,delta_vix_vix3m_22d,complexity_z,43,15,15,-0.0062060186373380805,-0.010205402332457954,-0.003999383695119874,"[-0.07041846494487841, 0.06375562068806606]",0.92,False,ok
statement_only_meeting_day,fwd5_spy_rv_ann,hedged_risk_tone_z,44,15,15,0.16458232334709905,0.13036439539106917,-0.034217927956029875,"[-0.06882512218717585, 0.002651838767329997]",0.066,False,ok
statement_only_meeting_day,fwd22_spy_rv_ann,hedged_risk_tone_z,43,15,15,0.19101463849158512,0.128165758564797,-0.06284887992678811,"[-0.11932674210656337, -0.017028602662610658]",0.004666666666666667,False,ok
statement_only_meeting_day,delta_vix9d_vix_5d,hedged_risk_tone_z,44,15,15,-0.056256671729134365,-0.05091025379581117,0.005346417933323196,"[-0.0871069497183059, 0.08323763862637126]",0.8626666666666667,False,ok
statement_only_meeting_day,delta_vix_vix3m_22d,hedged_risk_tone_z,43,15,15,0.005336385818590817,-0.011507985911177824,-0.01684437172976864,"[-0.08261124701064455, 0.046457400636567565]",0.6073333333333333,False,ok
minutes_only_release_day,fwd5_spy_rv_ann,complexity_z,43,15,15,0.11476254808093928,0.14998430251197456,0.035221754431035285,"[-0.01585780388239969, 0.09071146002686174]",0.188,False,ok
minutes_only_release_day,fwd22_spy_rv_ann,complexity_z,43,15,15,0.13827551934030963,0.16617189316003467,0.02789637381972504,"[-0.017940921641825775, 0.0734714966111593]",0.22866666666666666,False,ok
minutes_only_release_day,delta_vix9d_vix_5d,complexity_z,43,15,15,0.0001629178048857538,-0.03203631622579057,-0.03219923403067632,"[-0.10062433361067485, 0.032492311313062565]",0.336,False,ok
minutes_only_release_day,delta_vix_vix3m_22d,complexity_z,43,15,15,-0.004620018078831323,-0.010541680252363647,-0.005921662173532324,"[-0.06992393610137977, 0.05279805825389986]",0.8906666666666667,False,ok
minutes_only_release_day,fwd5_spy_rv_ann,hedged_risk_tone_z,43,15,15,0.12164989011090528,0.11812679167090064,-0.003523098440004646,"[-0.04564068185712191, 0.035708327053155194]",0.9006666666666666,False,ok
minutes_only_release_day,fwd22_spy_rv_ann,hedged_risk_tone_z,43,15,15,0.15884293964986415,0.13022776773179032,-0.028615171918073834,"[-0.06847139878617589, 0.011952151327569585]",0.182,False,ok
minutes_only_release_day,delta_vix9d_vix_5d,hedged_risk_tone_z,43,15,15,0.0011014188845919425,-0.02553869492316124,-0.02664011380775318,"[-0.097168232511315, 0.04210739187120179]",0.43266666666666664,False,ok
minutes_only_release_day,delta_vix_vix3m_22d,hedged_risk_tone_z,43,15,15,-0.007855668257004315,-0.00421979586897141,0.0036358723880329053,"[-0.05238928240431159, 0.06808432792101837]",0.93,False,ok
