Date,BRL_spot,BRL_usd_lcy_log_ret,BRL_carry_lag1,BRL_fx_vol60_lag1,BRL_carry_threshold_lag1,BRL_vol_threshold_lag1,BRL_pure_weight,BRL_gate_weight,BRL_pure_net_ret,BRL_gate_net_ret,BRL_pure_turnover,BRL_gate_turnover,MXN_spot,MXN_usd_lcy_log_ret,MXN_carry_lag1,MXN_fx_vol60_lag1,MXN_carry_threshold_lag1,MXN_vol_threshold_lag1,MXN_pure_weight,MXN_gate_weight,MXN_pure_net_ret,MXN_gate_net_ret,MXN_pure_turnover,MXN_gate_turnover,ZAR_spot,ZAR_usd_lcy_log_ret,ZAR_carry_lag1,ZAR_fx_vol60_lag1,ZAR_carry_threshold_lag1,ZAR_vol_threshold_lag1,ZAR_pure_weight,ZAR_gate_weight,ZAR_pure_net_ret,ZAR_gate_net_ret,ZAR_pure_turnover,ZAR_gate_turnover,IDR_spot,IDR_usd_lcy_log_ret,IDR_carry_lag1,IDR_fx_vol60_lag1,IDR_carry_threshold_lag1,IDR_vol_threshold_lag1,IDR_pure_weight,IDR_gate_weight,IDR_pure_net_ret,IDR_gate_net_ret,IDR_pure_turnover,IDR_gate_turnover,pure_net_ret,gate_net_ret,pure_weight_sum,gate_weight_sum,pure_turnover,gate_turnover
2004-01-01,2.9010000228881836,,,,,,0.0,0.0,,,0.0,0.0,11.190999984741211,,,,,,0.0,0.0,,,0.0,0.0,6.609600067138672,,,,,,0.0,0.0,,,0.0,0.0,8336.7998046875,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-02,2.875999927520752,-0.00865509837163099,0.16570000000000001,,,,0.0,0.0,0.0,0.0,0.0,0.0,11.057000160217285,-0.01204615642201539,0.049,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.5100998878479,-0.015168347959912556,0.06764,,,,0.0,0.0,0.0,0.0,0.0,0.0,8445.400390625,0.012942534427639263,0.0663,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-05,2.8529999256134033,-0.00802936849914461,0.16570000000000001,,,,0.0,0.0,0.0,0.0,0.0,0.0,10.982000350952148,-0.006806125236672749,0.049,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.269100189208984,-0.03772196600497324,0.06764,,,,0.0,0.0,0.0,0.0,0.0,0.0,8369.7998046875,-0.008991994678057587,0.0663,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-06,2.865999937057495,0.004546261285937015,0.16570000000000001,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,10.890000343322754,-0.0084126323424222,0.049,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.434999942779541,0.02611899830279357,0.06764,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,8361.7998046875,-0.0009562744503110874,0.0663,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-07,2.8580000400543213,-0.0027952139217011763,0.16570000000000001,,,,0.0,0.0,0.0,0.0,0.0,0.0,10.911999702453613,0.0020181053619996764,0.049,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,6.538000106811523,0.01587949248303033,0.06764,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,8369.2998046875,0.0008965340805402339,0.0663,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-08,2.8540000915527344,-0.001400542389095753,0.16570000000000001,,,,0.0,0.0,0.0,0.0,0.0,0.0,10.85099983215332,-0.005605847663535814,0.049,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.5879998207092285,0.007618460461591653,0.06764,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,8338.0,-0.003746846189531865,0.0663,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-09,2.8299999237060547,-0.008444866437233243,0.16570000000000001,,,,0.0,0.0,0.0,0.0,0.0,0.0,10.795000076293945,-0.005174155135459246,0.049,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.630099773406982,0.006370067763229382,0.06764,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,8319.099609375,-0.002269350508740872,0.0663,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-12,2.7899999618530273,-0.01423510253563046,0.16570000000000001,,,,0.0,0.0,0.0,0.0,0.0,0.0,10.805999755859375,0.0010184417945151886,0.049,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,6.927599906921387,0.04389356657296754,0.06764,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,8340.0,0.0025091874207910795,0.0663,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-13,2.805000066757202,0.0053619806134942005,0.16570000000000001,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,10.833999633789062,0.002587790604888141,0.049,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,6.860099792480469,-0.009791430796038822,0.06764,,,,0.0,0.0,0.0,0.0,0.0,0.0,8289.599609375,-0.0060615464145675705,0.0663,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,2.818000078201294,0.0046238784531063065,0.16570000000000001,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,10.812999725341797,-0.0019402148710405695,0.049,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.125999927520752,0.03802806837174384,0.06764,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,8380.7998046875,0.010941682070411561,0.0663,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-15,2.812999963760376,-0.0017759246023143166,0.16570000000000001,,,,0.0,0.0,0.0,0.0,0.0,0.0,10.800000190734863,-0.0012029367718502933,0.049,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.362400054931641,0.03263591699106937,0.06764,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,8360.400390625,-0.0024370324613210794,0.0663,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,2.8269999027252197,0.004964527677452228,0.156,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,10.8149995803833,0.0013878688147021829,0.0567,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,7.190000057220459,-0.023694794312320702,0.064058333333,,,,0.0,0.0,0.0,0.0,0.0,0.0,8349.7001953125,-0.0012806860999992834,0.06659999999999999,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-19,2.8380000591278076,0.0038835552699105933,0.156,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,10.78499984741211,-0.002777754912550471,0.0567,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.271500110626221,0.011271433158005937,0.064058333333,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,8391.599609375,0.0050055255009785115,0.06659999999999999,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-20,2.8380000591278076,0.0,0.156,,,,0.0,0.0,0.0,0.0,0.0,0.0,10.857000350952148,0.0066537998817189315,0.0567,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,7.060999870300293,-0.029375946683552277,0.064058333333,,,,0.0,0.0,0.0,0.0,0.0,0.0,8392.7001953125,0.00013114469496905795,0.06659999999999999,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-21,2.8429999351501465,0.0017602102863291964,0.156,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,10.954999923706055,0.008985900508446344,0.0567,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,7.11299991607666,0.0073374177870442125,0.064058333333,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,8372.7998046875,-0.0023739703523438364,0.06659999999999999,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-22,2.828000068664551,-0.0052900375439250595,0.156,,,,0.0,0.0,0.0,0.0,0.0,0.0,11.055999755859375,0.009177278860003772,0.0567,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,7.077000141143799,-0.0050739749151292295,0.064058333333,,,,0.0,0.0,0.0,0.0,0.0,0.0,8398.2998046875,0.003040947850120868,0.06659999999999999,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-23,2.8399999141693115,0.0042342496364634954,0.156,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,10.850000381469727,-0.01880812979816182,0.0567,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.203000068664551,0.017647506402333892,0.064058333333,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,8417.0,0.002224189070535508,0.06659999999999999,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-26,2.8440001010894775,0.0014075255347762259,0.156,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,10.892999649047852,0.003955233737204422,0.0567,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,7.082200050354004,-0.016913014429108197,0.064058333333,,,,0.0,0.0,0.0,0.0,0.0,0.0,8503.400390625,0.01021265922566496,0.06659999999999999,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-27,2.868000030517578,0.00840338589227429,0.156,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,10.918000221252441,0.0022924747423172867,0.0567,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,7.054999828338623,-0.003848040037986564,0.064058333333,,,,0.0,0.0,0.0,0.0,0.0,0.0,8426.7001953125,-0.009060869978362708,0.06659999999999999,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-28,2.8940000534057617,0.009024713285160925,0.156,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,10.97700023651123,0.005389372626761343,0.0567,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,7.007500171661377,-0.0067555324192889515,0.064058333333,,,,0.0,0.0,0.0,0.0,0.0,0.0,8535.7998046875,0.012863801188580992,0.06659999999999999,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-29,2.930000066757202,0.012362799149751153,0.156,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,11.074999809265137,0.008888102457838545,0.0567,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,7.01800012588501,0.0014972665448579159,0.064058333333,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,8413.400390625,-0.014443341332634441,0.06659999999999999,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-30,2.931999921798706,0.0006823115397454634,0.156,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,11.04800033569336,-0.002440852217110049,0.0567,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.052999973297119,0.004974759341539292,0.064058333333,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,8442.400390625,0.003440955311480205,0.06659999999999999,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-02,2.940999984741211,0.003064897030809126,0.156,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,10.979000091552734,-0.0062650809004887835,0.0567,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.960000038146973,-0.013273574612795384,0.064058333333,,,,0.0,0.0,0.0,0.0,0.0,0.0,8452.2998046875,0.0011718959296106077,0.06659999999999999,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-03,2.9159998893737793,-0.008536878174808853,0.156,,,,0.0,0.0,0.0,0.0,0.0,0.0,11.090999603271484,0.01014956726080237,0.0567,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,6.927499771118164,-0.004680515111820269,0.064058333333,,,,0.0,0.0,0.0,0.0,0.0,0.0,8460.7998046875,0.001005138136940931,0.06659999999999999,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-04,2.9179999828338623,0.0006856680090007261,0.156,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,11.145000457763672,0.004857075058994615,0.0567,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,6.860000133514404,-0.009791503514860099,0.064058333333,,,,0.0,0.0,0.0,0.0,0.0,0.0,8449.400390625,-0.001348229548743937,0.06659999999999999,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-05,2.930000066757202,0.004104001595253482,0.156,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,11.164999961853027,0.0017928739641765782,0.0567,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,6.954999923706055,0.013753353205217205,0.064058333333,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,8470.900390625,0.002541327349809778,0.06659999999999999,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-06,2.931999921798706,0.0006823115397454634,0.156,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,11.135000228881836,-0.002690560610962141,0.0567,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.934999942779541,-0.002879768889924484,0.064058333333,,,,0.0,0.0,0.0,0.0,0.0,0.0,8451.400390625,-0.0023046521726720853,0.06659999999999999,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-09,2.9240000247955322,-0.0027322069852129477,0.156,,,,0.0,0.0,0.0,0.0,0.0,0.0,11.11400032043457,-0.0018877175751581708,0.0567,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.864999771118164,-0.010145039636292177,0.064058333333,,,,0.0,0.0,0.0,0.0,0.0,0.0,8427.7001953125,-0.0028082314892472204,0.06659999999999999,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
