available_date,value,observation_date
1996-11-15,25.78,1996-10-01
1996-12-16,25.34,1996-11-01
1997-01-15,25.34,1996-12-01
1997-02-15,25.05,1997-01-01
1997-03-18,24.46,1997-02-01
1997-04-15,23.87,1997-03-01
1997-05-16,23.58,1997-04-01
1997-06-15,23.58,1997-05-01
1997-07-16,23.58,1997-06-01
1997-08-15,23.58,1997-07-01
1997-09-15,23.58,1997-08-01
1997-10-16,23.58,1997-09-01
1997-11-15,24.5,1997-10-01
1997-12-16,46.44,1997-11-01
1998-01-15,45.09,1997-12-01
1998-02-15,42.9,1998-01-01
1998-03-18,42.0,1998-02-01
1998-04-15,38.54,1998-03-01
1998-05-16,36.55,1998-04-01
1998-06-15,33.3,1998-05-01
1998-07-16,29.41,1998-06-01
1998-08-15,27.8,1998-07-01
1998-09-15,25.75,1998-08-01
1998-10-16,42.34,1998-09-01
1998-11-15,49.75,1998-10-01
1998-12-16,44.88,1998-11-01
1999-01-15,39.41,1998-12-01
1999-02-15,38.25,1999-01-01
1999-03-18,41.0,1999-02-01
1999-04-15,46.0,1999-03-01
1999-05-16,32.0,1999-04-01
1999-06-15,23.5,1999-05-01
1999-07-16,21.0,1999-06-01
1999-08-15,19.5,1999-07-01
1999-09-15,19.5,1999-08-01
1999-10-16,19.0,1999-09-01
1999-11-15,19.0,1999-10-01
1999-12-16,19.0,1999-11-01
2000-01-15,19.0,1999-12-01
2000-02-15,19.0,2000-01-01
2000-03-17,19.0,2000-02-01
2000-04-15,18.5,2000-03-01
2000-05-16,18.5,2000-04-01
2000-06-15,18.5,2000-05-01
2000-07-16,17.5,2000-06-01
2000-08-15,16.5,2000-07-01
2000-09-15,16.5,2000-08-01
2000-10-16,16.5,2000-09-01
2000-11-15,16.5,2000-10-01
2000-12-16,16.5,2000-11-01
2001-01-15,15.75,2000-12-01
2001-02-15,15.25,2001-01-01
2001-03-18,15.25,2001-02-01
2001-04-15,15.75,2001-03-01
2001-05-16,16.25,2001-04-01
2001-06-15,16.75,2001-05-01
2001-07-16,18.25,2001-06-01
2001-08-15,19.0,2001-07-01
2001-09-15,19.0,2001-08-01
2001-10-16,19.0,2001-09-01
2001-11-15,19.0,2001-10-01
2001-12-16,19.0,2001-11-01
2002-01-15,19.0,2001-12-01
2002-02-15,19.0,2002-01-01
2002-03-18,18.75,2002-02-01
2002-04-15,18.5,2002-03-01
2002-05-16,18.5,2002-04-01
2002-06-15,18.5,2002-05-01
2002-07-16,18.5,2002-06-01
2002-08-15,18.0,2002-07-01
2002-09-15,18.0,2002-08-01
2002-10-16,18.0,2002-09-01
2002-11-15,21.0,2002-10-01
2002-12-16,22.0,2002-11-01
2003-01-15,25.0,2002-12-01
2003-02-15,25.5,2003-01-01
2003-03-18,26.5,2003-02-01
2003-04-15,26.5,2003-03-01
2003-05-16,26.5,2003-04-01
2003-06-15,26.5,2003-05-01
2003-07-16,26.0,2003-06-01
2003-08-15,24.5,2003-07-01
2003-09-15,22.0,2003-08-01
2003-10-16,20.0,2003-09-01
2003-11-15,19.0,2003-10-01
2003-12-16,17.5,2003-11-01
2004-01-15,16.5,2003-12-01
2004-02-15,16.5,2004-01-01
2004-03-17,16.5,2004-02-01
2004-04-15,16.25,2004-03-01
2004-05-16,16.0,2004-04-01
2004-06-15,16.0,2004-05-01
2004-07-16,16.0,2004-06-01
2004-08-15,16.0,2004-07-01
2004-09-15,16.0,2004-08-01
2004-10-16,16.25,2004-09-01
2004-11-15,16.75,2004-10-01
2004-12-16,17.25,2004-11-01
2005-01-15,17.75,2004-12-01
2005-02-15,18.25,2005-01-01
2005-03-18,18.75,2005-02-01
2005-04-15,19.25,2005-03-01
2005-05-16,19.5,2005-04-01
2005-06-15,19.75,2005-05-01
2005-07-16,19.75,2005-06-01
2005-08-15,19.75,2005-07-01
2005-09-15,19.75,2005-08-01
2005-10-16,19.5,2005-09-01
2005-11-15,19.0,2005-10-01
2005-12-16,18.5,2005-11-01
2006-01-15,18.0,2005-12-01
2006-02-15,17.25,2006-01-01
2006-03-18,17.25,2006-02-01
2006-04-15,16.5,2006-03-01
2006-05-16,15.75,2006-04-01
2006-06-15,15.75,2006-05-01
2006-07-16,15.25,2006-06-01
2006-08-15,14.75,2006-07-01
2006-09-15,14.25,2006-08-01
2006-10-16,14.25,2006-09-01
2006-11-15,13.75,2006-10-01
2006-12-16,13.25,2006-11-01
2007-01-15,13.25,2006-12-01
2007-02-15,13.0,2007-01-01
2007-03-18,13.0,2007-02-01
2007-04-15,12.75,2007-03-01
2007-05-16,12.5,2007-04-01
2007-06-15,12.5,2007-05-01
2007-07-16,12.0,2007-06-01
2007-08-15,11.5,2007-07-01
2007-09-15,11.5,2007-08-01
2007-10-16,11.25,2007-09-01
2007-11-15,11.25,2007-10-01
2007-12-16,11.25,2007-11-01
2008-01-15,11.25,2007-12-01
2008-02-15,11.25,2008-01-01
2008-03-17,11.25,2008-02-01
2008-04-15,11.25,2008-03-01
2008-05-16,11.75,2008-04-01
2008-06-15,11.75,2008-05-01
2008-07-16,12.25,2008-06-01
2008-08-15,13.0,2008-07-01
2008-09-15,13.0,2008-08-01
2008-10-16,13.75,2008-09-01
2008-11-15,13.75,2008-10-01
2008-12-16,13.75,2008-11-01
2009-01-15,13.75,2008-12-01
2009-02-15,12.75,2009-01-01
2009-03-18,12.75,2009-02-01
2009-04-15,11.25,2009-03-01
2009-05-16,10.25,2009-04-01
2009-06-15,10.25,2009-05-01
2009-07-16,9.25,2009-06-01
2009-08-15,8.75,2009-07-01
2009-09-15,8.75,2009-08-01
2009-10-16,8.75,2009-09-01
2009-11-15,8.75,2009-10-01
2009-12-16,8.75,2009-11-01
2010-01-15,8.75,2009-12-01
2010-02-15,8.75,2010-01-01
2010-03-18,8.75,2010-02-01
2010-04-15,8.75,2010-03-01
2010-05-16,9.5,2010-04-01
2010-06-15,9.5,2010-05-01
2010-07-16,10.25,2010-06-01
2010-08-15,10.75,2010-07-01
2010-09-15,10.75,2010-08-01
2010-10-16,10.75,2010-09-01
2010-11-15,10.75,2010-10-01
2010-12-16,10.75,2010-11-01
2011-01-15,10.75,2010-12-01
2011-02-15,11.25,2011-01-01
2011-03-18,11.25,2011-02-01
2011-04-15,11.75,2011-03-01
2011-05-16,12.0,2011-04-01
2011-06-15,12.0,2011-05-01
2011-07-16,12.25,2011-06-01
2011-08-15,12.5,2011-07-01
2011-09-15,12.5,2011-08-01
2011-10-16,12.0,2011-09-01
2011-11-15,11.5,2011-10-01
2011-12-16,11.5,2011-11-01
2012-01-15,11.0,2011-12-01
2012-02-15,10.5,2012-01-01
2012-03-17,10.5,2012-02-01
2012-04-15,9.75,2012-03-01
2012-05-16,9.0,2012-04-01
2012-06-15,8.5,2012-05-01
2012-07-16,8.5,2012-06-01
2012-08-15,8.0,2012-07-01
2012-09-15,7.5,2012-08-01
