ticker,event_date,day_offset,date_utc,count
0388.HK,2025-11-05,2,2025-11-07,
0700.HK,2024-03-20,-2,2024-03-18,1.0
0700.HK,2024-03-20,-1,2024-03-19,0.0
0700.HK,2024-03-20,0,2024-03-20,0.0
0700.HK,2024-03-20,1,2024-03-21,0.0
0700.HK,2024-03-20,2,2024-03-22,0.0
0700.HK,2024-05-14,-2,2024-05-12,0.0
0700.HK,2024-05-14,-1,2024-05-13,2.0
0700.HK,2024-05-14,0,2024-05-14,4.0
0700.HK,2024-05-14,1,2024-05-15,0.0
0700.HK,2024-05-14,2,2024-05-16,0.0
0700.HK,2024-08-14,-2,2024-08-12,
0700.HK,2024-08-14,-1,2024-08-13,
0700.HK,2024-08-14,0,2024-08-14,
0700.HK,2024-08-14,1,2024-08-15,
0700.HK,2024-08-14,2,2024-08-16,
0700.HK,2024-11-13,-2,2024-11-11,
0700.HK,2024-11-13,-1,2024-11-12,
0700.HK,2024-11-13,0,2024-11-13,
0700.HK,2024-11-13,1,2024-11-14,
0700.HK,2024-11-13,2,2024-11-15,
0700.HK,2025-03-19,-2,2025-03-17,
0700.HK,2025-03-19,-1,2025-03-18,
0700.HK,2025-03-19,0,2025-03-19,
0700.HK,2025-03-19,1,2025-03-20,
0700.HK,2025-03-19,2,2025-03-21,
0700.HK,2025-05-14,-2,2025-05-12,
0700.HK,2025-05-14,-1,2025-05-13,
0700.HK,2025-05-14,0,2025-05-14,
0700.HK,2025-05-14,1,2025-05-15,
0700.HK,2025-05-14,2,2025-05-16,
0700.HK,2025-08-13,-2,2025-08-11,
0700.HK,2025-08-13,-1,2025-08-12,
0700.HK,2025-08-13,0,2025-08-13,
0700.HK,2025-08-13,1,2025-08-14,
0700.HK,2025-08-13,2,2025-08-15,
0700.HK,2025-11-13,-2,2025-11-11,
0700.HK,2025-11-13,-1,2025-11-12,
0700.HK,2025-11-13,0,2025-11-13,
0700.HK,2025-11-13,1,2025-11-14,
0700.HK,2025-11-13,2,2025-11-15,
0939.HK,2024-03-28,-2,2024-03-26,0.0
0939.HK,2024-03-28,-1,2024-03-27,0.0
0939.HK,2024-03-28,0,2024-03-28,0.0
0939.HK,2024-03-28,1,2024-03-29,0.0
0939.HK,2024-03-28,2,2024-03-30,0.0
0939.HK,2024-04-29,-2,2024-04-27,0.0
0939.HK,2024-04-29,-1,2024-04-28,0.0
0939.HK,2024-04-29,0,2024-04-29,0.0
0939.HK,2024-04-29,1,2024-04-30,0.0
0939.HK,2024-04-29,2,2024-05-01,0.0
0939.HK,2024-08-30,-2,2024-08-28,
0939.HK,2024-08-30,-1,2024-08-29,
0939.HK,2024-08-30,0,2024-08-30,
0939.HK,2024-08-30,1,2024-08-31,
0939.HK,2024-08-30,2,2024-09-01,
0939.HK,2024-10-30,-2,2024-10-28,
0939.HK,2024-10-30,-1,2024-10-29,
0939.HK,2024-10-30,0,2024-10-30,
0939.HK,2024-10-30,1,2024-10-31,
0939.HK,2024-10-30,2,2024-11-01,
0939.HK,2025-03-28,-2,2025-03-26,
0939.HK,2025-03-28,-1,2025-03-27,
0939.HK,2025-03-28,0,2025-03-28,
0939.HK,2025-03-28,1,2025-03-29,
0939.HK,2025-03-28,2,2025-03-30,
0939.HK,2025-04-29,-2,2025-04-27,
0939.HK,2025-04-29,-1,2025-04-28,
0939.HK,2025-04-29,0,2025-04-29,
0939.HK,2025-04-29,1,2025-04-30,
0939.HK,2025-04-29,2,2025-05-01,
0939.HK,2025-08-29,-2,2025-08-27,
0939.HK,2025-08-29,-1,2025-08-28,
0939.HK,2025-08-29,0,2025-08-29,
0939.HK,2025-08-29,1,2025-08-30,
0939.HK,2025-08-29,2,2025-08-31,
0939.HK,2025-10-30,-2,2025-10-28,
0939.HK,2025-10-30,-1,2025-10-29,
0939.HK,2025-10-30,0,2025-10-30,
0939.HK,2025-10-30,1,2025-10-31,
0939.HK,2025-10-30,2,2025-11-01,
2303.TW,2024-01-31,-2,2024-01-29,0.0
2303.TW,2024-01-31,-1,2024-01-30,0.0
2303.TW,2024-01-31,0,2024-01-31,0.0
2303.TW,2024-01-31,1,2024-02-01,0.0
2303.TW,2024-01-31,2,2024-02-02,0.0
2303.TW,2024-04-24,-2,2024-04-22,0.0
2303.TW,2024-04-24,-1,2024-04-23,0.0
2303.TW,2024-04-24,0,2024-04-24,1.0
2303.TW,2024-04-24,1,2024-04-25,1.0
2303.TW,2024-04-24,2,2024-04-26,0.0
2303.TW,2024-07-31,-2,2024-07-29,
2303.TW,2024-07-31,-1,2024-07-30,
2303.TW,2024-07-31,0,2024-07-31,
2303.TW,2024-07-31,1,2024-08-01,
2303.TW,2024-07-31,2,2024-08-02,
2303.TW,2024-10-30,-2,2024-10-28,
2303.TW,2024-10-30,-1,2024-10-29,
2303.TW,2024-10-30,0,2024-10-30,
2303.TW,2024-10-30,1,2024-10-31,
2303.TW,2024-10-30,2,2024-11-01,
2303.TW,2025-01-21,-2,2025-01-19,
2303.TW,2025-01-21,-1,2025-01-20,
2303.TW,2025-01-21,0,2025-01-21,
2303.TW,2025-01-21,1,2025-01-22,
2303.TW,2025-01-21,2,2025-01-23,
2303.TW,2025-04-23,-2,2025-04-21,
2303.TW,2025-04-23,-1,2025-04-22,
2303.TW,2025-04-23,0,2025-04-23,
2303.TW,2025-04-23,1,2025-04-24,
2303.TW,2025-04-23,2,2025-04-25,
2303.TW,2025-07-30,-2,2025-07-28,
2303.TW,2025-07-30,-1,2025-07-29,
2303.TW,2025-07-30,0,2025-07-30,
2303.TW,2025-07-30,1,2025-07-31,
2303.TW,2025-07-30,2,2025-08-01,
2303.TW,2025-10-29,-2,2025-10-27,
2303.TW,2025-10-29,-1,2025-10-28,
2303.TW,2025-10-29,0,2025-10-29,
2303.TW,2025-10-29,1,2025-10-30,
2303.TW,2025-10-29,2,2025-10-31,
2317.TW,2024-03-15,-2,2024-03-13,0.0
2317.TW,2024-03-15,-1,2024-03-14,2.0
2317.TW,2024-03-15,0,2024-03-15,0.0
2317.TW,2024-03-15,1,2024-03-16,0.0
2317.TW,2024-03-15,2,2024-03-17,0.0
2317.TW,2024-05-14,-2,2024-05-12,0.0
2317.TW,2024-05-14,-1,2024-05-13,0.0
2317.TW,2024-05-14,0,2024-05-14,1.0
2317.TW,2024-05-14,1,2024-05-15,0.0
2317.TW,2024-05-14,2,2024-05-16,0.0
2317.TW,2024-08-14,-2,2024-08-12,
2317.TW,2024-08-14,-1,2024-08-13,
2317.TW,2024-08-14,0,2024-08-14,
2317.TW,2024-08-14,1,2024-08-15,
2317.TW,2024-08-14,2,2024-08-16,
2317.TW,2024-11-14,-2,2024-11-12,
2317.TW,2024-11-14,-1,2024-11-13,
2317.TW,2024-11-14,0,2024-11-14,
2317.TW,2024-11-14,1,2024-11-15,
2317.TW,2024-11-14,2,2024-11-16,
2317.TW,2025-03-17,-2,2025-03-15,
2317.TW,2025-03-17,-1,2025-03-16,
2317.TW,2025-03-17,0,2025-03-17,
2317.TW,2025-03-17,1,2025-03-18,
2317.TW,2025-03-17,2,2025-03-19,
2317.TW,2025-05-14,-2,2025-05-12,
2317.TW,2025-05-14,-1,2025-05-13,
2317.TW,2025-05-14,0,2025-05-14,
2317.TW,2025-05-14,1,2025-05-15,
2317.TW,2025-05-14,2,2025-05-16,
2317.TW,2025-08-14,-2,2025-08-12,
2317.TW,2025-08-14,-1,2025-08-13,
2317.TW,2025-08-14,0,2025-08-14,
2317.TW,2025-08-14,1,2025-08-15,
2317.TW,2025-08-14,2,2025-08-16,
2317.TW,2025-11-14,-2,2025-11-12,
2317.TW,2025-11-14,-1,2025-11-13,
2317.TW,2025-11-14,0,2025-11-14,
2317.TW,2025-11-14,1,2025-11-15,
2317.TW,2025-11-14,2,2025-11-16,
2330.TW,2024-01-18,-2,2024-01-16,0.0
2330.TW,2024-01-18,-1,2024-01-17,0.0
2330.TW,2024-01-18,0,2024-01-18,5.0
2330.TW,2024-01-18,1,2024-01-19,3.0
2330.TW,2024-01-18,2,2024-01-20,2.0
2330.TW,2024-04-18,-2,2024-04-16,0.0
2330.TW,2024-04-18,-1,2024-04-17,1.0
2330.TW,2024-04-18,0,2024-04-18,2.0
2330.TW,2024-04-18,1,2024-04-19,2.0
2330.TW,2024-04-18,2,2024-04-20,0.0
2330.TW,2024-07-18,-2,2024-07-16,0.0
2330.TW,2024-07-18,-1,2024-07-17,4.0
2330.TW,2024-07-18,0,2024-07-18,7.0
2330.TW,2024-07-18,1,2024-07-19,2.0
2330.TW,2024-07-18,2,2024-07-20,1.0
2330.TW,2024-10-17,-2,2024-10-15,
2330.TW,2024-10-17,-1,2024-10-16,
2330.TW,2024-10-17,0,2024-10-17,
2330.TW,2024-10-17,1,2024-10-18,
2330.TW,2024-10-17,2,2024-10-19,
2330.TW,2025-01-16,-2,2025-01-14,
2330.TW,2025-01-16,-1,2025-01-15,
2330.TW,2025-01-16,0,2025-01-16,
2330.TW,2025-01-16,1,2025-01-17,
2330.TW,2025-01-16,2,2025-01-18,
2330.TW,2025-04-17,-2,2025-04-15,
2330.TW,2025-04-17,-1,2025-04-16,
2330.TW,2025-04-17,0,2025-04-17,
2330.TW,2025-04-17,1,2025-04-18,
2330.TW,2025-04-17,2,2025-04-19,
2330.TW,2025-07-17,-2,2025-07-15,
2330.TW,2025-07-17,-1,2025-07-16,
2330.TW,2025-07-17,0,2025-07-17,
2330.TW,2025-07-17,1,2025-07-18,
2330.TW,2025-07-17,2,2025-07-19,
2330.TW,2025-10-16,-2,2025-10-14,
2330.TW,2025-10-16,-1,2025-10-15,
2330.TW,2025-10-16,0,2025-10-16,
2330.TW,2025-10-16,1,2025-10-17,
2330.TW,2025-10-16,2,2025-10-18,
2454.TW,2024-01-31,-2,2024-01-29,0.0
2454.TW,2024-01-31,-1,2024-01-30,0.0
2454.TW,2024-01-31,0,2024-01-31,0.0
2454.TW,2024-01-31,1,2024-02-01,0.0
2454.TW,2024-01-31,2,2024-02-02,0.0
2454.TW,2024-04-26,-2,2024-04-24,0.0
2454.TW,2024-04-26,-1,2024-04-25,2.0
2454.TW,2024-04-26,0,2024-04-26,2.0
2454.TW,2024-04-26,1,2024-04-27,0.0
2454.TW,2024-04-26,2,2024-04-28,0.0
2454.TW,2024-07-31,-2,2024-07-29,
2454.TW,2024-07-31,-1,2024-07-30,
2454.TW,2024-07-31,0,2024-07-31,
2454.TW,2024-07-31,1,2024-08-01,
2454.TW,2024-07-31,2,2024-08-02,
2454.TW,2024-10-30,-2,2024-10-28,
2454.TW,2024-10-30,-1,2024-10-29,
2454.TW,2024-10-30,0,2024-10-30,
2454.TW,2024-10-30,1,2024-10-31,
2454.TW,2024-10-30,2,2024-11-01,
2454.TW,2025-02-07,-2,2025-02-05,
2454.TW,2025-02-07,-1,2025-02-06,
2454.TW,2025-02-07,0,2025-02-07,
2454.TW,2025-02-07,1,2025-02-08,
2454.TW,2025-02-07,2,2025-02-09,
2454.TW,2025-04-30,-2,2025-04-28,
2454.TW,2025-04-30,-1,2025-04-29,
2454.TW,2025-04-30,0,2025-04-30,
2454.TW,2025-04-30,1,2025-05-01,
2454.TW,2025-04-30,2,2025-05-02,
2454.TW,2025-07-30,-2,2025-07-28,
2454.TW,2025-07-30,-1,2025-07-29,
2454.TW,2025-07-30,0,2025-07-30,
2454.TW,2025-07-30,1,2025-07-31,
2454.TW,2025-07-30,2,2025-08-01,
2454.TW,2025-10-31,-2,2025-10-29,
2454.TW,2025-10-31,-1,2025-10-30,
2454.TW,2025-10-31,0,2025-10-31,
2454.TW,2025-10-31,1,2025-11-01,
2454.TW,2025-10-31,2,2025-11-02,
6758.T,2024-02-14,-2,2024-02-12,6.0
6758.T,2024-02-14,-1,2024-02-13,9.0
6758.T,2024-02-14,0,2024-02-14,8.0
6758.T,2024-02-14,1,2024-02-15,5.0
6758.T,2024-02-14,2,2024-02-16,7.0
6758.T,2024-05-14,-2,2024-05-12,1.0
6758.T,2024-05-14,-1,2024-05-13,2.0
6758.T,2024-05-14,0,2024-05-14,13.0
6758.T,2024-05-14,1,2024-05-15,7.0
6758.T,2024-05-14,2,2024-05-16,3.0
6758.T,2024-08-07,-2,2024-08-05,
6758.T,2024-08-07,-1,2024-08-06,
6758.T,2024-08-07,0,2024-08-07,
6758.T,2024-08-07,1,2024-08-08,
6758.T,2024-08-07,2,2024-08-09,
6758.T,2024-11-08,-2,2024-11-06,
6758.T,2024-11-08,-1,2024-11-07,
6758.T,2024-11-08,0,2024-11-08,
6758.T,2024-11-08,1,2024-11-09,
6758.T,2024-11-08,2,2024-11-10,
6758.T,2025-02-13,-2,2025-02-11,
6758.T,2025-02-13,-1,2025-02-12,
6758.T,2025-02-13,0,2025-02-13,
6758.T,2025-02-13,1,2025-02-14,
6758.T,2025-02-13,2,2025-02-15,
6758.T,2025-05-14,-2,2025-05-12,
6758.T,2025-05-14,-1,2025-05-13,
6758.T,2025-05-14,0,2025-05-14,
6758.T,2025-05-14,1,2025-05-15,
6758.T,2025-05-14,2,2025-05-16,
6758.T,2025-08-07,-2,2025-08-05,
6758.T,2025-08-07,-1,2025-08-06,
6758.T,2025-08-07,0,2025-08-07,
6758.T,2025-08-07,1,2025-08-08,
6758.T,2025-08-07,2,2025-08-09,
6758.T,2025-11-11,-2,2025-11-09,
6758.T,2025-11-11,-1,2025-11-10,
6758.T,2025-11-11,0,2025-11-11,
6758.T,2025-11-11,1,2025-11-12,
6758.T,2025-11-11,2,2025-11-13,
7203.T,2024-02-06,-2,2024-02-04,2.0
7203.T,2024-02-06,-1,2024-02-05,1.0
7203.T,2024-02-06,0,2024-02-06,4.0
7203.T,2024-02-06,1,2024-02-07,9.0
7203.T,2024-02-06,2,2024-02-08,4.0
7203.T,2024-05-08,-2,2024-05-06,2.0
7203.T,2024-05-08,-1,2024-05-07,0.0
7203.T,2024-05-08,0,2024-05-08,5.0
7203.T,2024-05-08,1,2024-05-09,2.0
7203.T,2024-05-08,2,2024-05-10,6.0
7203.T,2024-08-01,-2,2024-07-30,
7203.T,2024-08-01,-1,2024-07-31,
7203.T,2024-08-01,0,2024-08-01,
7203.T,2024-08-01,1,2024-08-02,
7203.T,2024-08-01,2,2024-08-03,
7203.T,2024-11-06,-2,2024-11-04,
7203.T,2024-11-06,-1,2024-11-05,
7203.T,2024-11-06,0,2024-11-06,
7203.T,2024-11-06,1,2024-11-07,
7203.T,2024-11-06,2,2024-11-08,
7203.T,2025-02-05,-2,2025-02-03,
7203.T,2025-02-05,-1,2025-02-04,
7203.T,2025-02-05,0,2025-02-05,
7203.T,2025-02-05,1,2025-02-06,
7203.T,2025-02-05,2,2025-02-07,
7203.T,2025-05-08,-2,2025-05-06,
7203.T,2025-05-08,-1,2025-05-07,
7203.T,2025-05-08,0,2025-05-08,
7203.T,2025-05-08,1,2025-05-09,
7203.T,2025-05-08,2,2025-05-10,
7203.T,2025-08-07,-2,2025-08-05,
7203.T,2025-08-07,-1,2025-08-06,
7203.T,2025-08-07,0,2025-08-07,
7203.T,2025-08-07,1,2025-08-08,
7203.T,2025-08-07,2,2025-08-09,
7203.T,2025-11-05,-2,2025-11-03,
7203.T,2025-11-05,-1,2025-11-04,
7203.T,2025-11-05,0,2025-11-05,
7203.T,2025-11-05,1,2025-11-06,
7203.T,2025-11-05,2,2025-11-07,
7974.T,2024-02-06,-2,2024-02-04,0.0
7974.T,2024-02-06,-1,2024-02-05,0.0
7974.T,2024-02-06,0,2024-02-06,1.0
7974.T,2024-02-06,1,2024-02-07,0.0
7974.T,2024-02-06,2,2024-02-08,0.0
7974.T,2024-05-07,-2,2024-05-05,0.0
7974.T,2024-05-07,-1,2024-05-06,0.0
7974.T,2024-05-07,0,2024-05-07,2.0
7974.T,2024-05-07,1,2024-05-08,0.0
7974.T,2024-05-07,2,2024-05-09,0.0
7974.T,2024-08-02,-2,2024-07-31,
7974.T,2024-08-02,-1,2024-08-01,
7974.T,2024-08-02,0,2024-08-02,
7974.T,2024-08-02,1,2024-08-03,
7974.T,2024-08-02,2,2024-08-04,
7974.T,2024-11-05,-2,2024-11-03,
7974.T,2024-11-05,-1,2024-11-04,
7974.T,2024-11-05,0,2024-11-05,
7974.T,2024-11-05,1,2024-11-06,
7974.T,2024-11-05,2,2024-11-07,
7974.T,2025-02-04,-2,2025-02-02,
7974.T,2025-02-04,-1,2025-02-03,
7974.T,2025-02-04,0,2025-02-04,
7974.T,2025-02-04,1,2025-02-05,
7974.T,2025-02-04,2,2025-02-06,
7974.T,2025-05-08,-2,2025-05-06,
7974.T,2025-05-08,-1,2025-05-07,
7974.T,2025-05-08,0,2025-05-08,
7974.T,2025-05-08,1,2025-05-09,
7974.T,2025-05-08,2,2025-05-10,
7974.T,2025-08-01,-2,2025-07-30,
7974.T,2025-08-01,-1,2025-07-31,
7974.T,2025-08-01,0,2025-08-01,
7974.T,2025-08-01,1,2025-08-02,
7974.T,2025-08-01,2,2025-08-03,
7974.T,2025-11-04,-2,2025-11-02,
7974.T,2025-11-04,-1,2025-11-03,
7974.T,2025-11-04,0,2025-11-04,
7974.T,2025-11-04,1,2025-11-05,
7974.T,2025-11-04,2,2025-11-06,
8035.T,2024-02-09,-2,2024-02-07,0.0
8035.T,2024-02-09,-1,2024-02-08,0.0
8035.T,2024-02-09,0,2024-02-09,0.0
8035.T,2024-02-09,1,2024-02-10,0.0
8035.T,2024-02-09,2,2024-02-11,0.0
8035.T,2024-05-10,-2,2024-05-08,0.0
8035.T,2024-05-10,-1,2024-05-09,0.0
8035.T,2024-05-10,0,2024-05-10,0.0
8035.T,2024-05-10,1,2024-05-11,0.0
8035.T,2024-05-10,2,2024-05-12,0.0
8035.T,2024-08-08,-2,2024-08-06,
8035.T,2024-08-08,-1,2024-08-07,
8035.T,2024-08-08,0,2024-08-08,
8035.T,2024-08-08,1,2024-08-09,
8035.T,2024-08-08,2,2024-08-10,
8035.T,2024-11-12,-2,2024-11-10,
8035.T,2024-11-12,-1,2024-11-11,
8035.T,2024-11-12,0,2024-11-12,
8035.T,2024-11-12,1,2024-11-13,
8035.T,2024-11-12,2,2024-11-14,
8035.T,2025-02-06,-2,2025-02-04,
8035.T,2025-02-06,-1,2025-02-05,
8035.T,2025-02-06,0,2025-02-06,
8035.T,2025-02-06,1,2025-02-07,
8035.T,2025-02-06,2,2025-02-08,
8035.T,2025-04-30,-2,2025-04-28,
8035.T,2025-04-30,-1,2025-04-29,
8035.T,2025-04-30,0,2025-04-30,
8035.T,2025-04-30,1,2025-05-01,
8035.T,2025-04-30,2,2025-05-02,
8035.T,2025-07-31,-2,2025-07-29,
8035.T,2025-07-31,-1,2025-07-30,
8035.T,2025-07-31,0,2025-07-31,
8035.T,2025-07-31,1,2025-08-01,
8035.T,2025-07-31,2,2025-08-02,
8035.T,2025-10-31,-2,2025-10-29,
8035.T,2025-10-31,-1,2025-10-30,
8035.T,2025-10-31,0,2025-10-31,
8035.T,2025-10-31,1,2025-11-01,
8035.T,2025-10-31,2,2025-11-02,
AAPL,2024-02-01,-2,2024-01-30,7.0
AAPL,2024-02-01,-1,2024-01-31,1.0
AAPL,2024-02-01,0,2024-02-01,3.0
AAPL,2024-02-01,1,2024-02-02,6.0
AAPL,2024-02-01,2,2024-02-03,0.0
AAPL,2024-05-02,-2,2024-04-30,8.0
AAPL,2024-05-02,-1,2024-05-01,2.0
AAPL,2024-05-02,0,2024-05-02,3.0
AAPL,2024-05-02,1,2024-05-03,2.0
AAPL,2024-05-02,2,2024-05-04,2.0
AAPL,2024-08-01,-2,2024-07-30,
AAPL,2024-08-01,-1,2024-07-31,
AAPL,2024-08-01,0,2024-08-01,
AAPL,2024-08-01,1,2024-08-02,
AAPL,2024-08-01,2,2024-08-03,
AAPL,2024-10-31,-2,2024-10-29,
AAPL,2024-10-31,-1,2024-10-30,
AAPL,2024-10-31,0,2024-10-31,
AAPL,2024-10-31,1,2024-11-01,
AAPL,2024-10-31,2,2024-11-02,
AAPL,2025-01-30,-2,2025-01-28,
AAPL,2025-01-30,-1,2025-01-29,
AAPL,2025-01-30,0,2025-01-30,
AAPL,2025-01-30,1,2025-01-31,
