ticker,event_date,day_offset,date_utc,count
000660.KS,2024-01-25,-2,2024-01-23,0.0
000660.KS,2024-01-25,-1,2024-01-24,0.0
000660.KS,2024-01-25,0,2024-01-25,0.0
000660.KS,2024-01-25,1,2024-01-26,0.0
000660.KS,2024-01-25,2,2024-01-27,0.0
000660.KS,2024-04-24,-2,2024-04-22,0.0
000660.KS,2024-04-24,-1,2024-04-23,0.0
000660.KS,2024-04-24,0,2024-04-24,1.0
000660.KS,2024-04-24,1,2024-04-25,1.0
000660.KS,2024-04-24,2,2024-04-26,0.0
000660.KS,2024-07-25,-2,2024-07-23,0.0
000660.KS,2024-07-25,-1,2024-07-24,0.0
000660.KS,2024-07-25,0,2024-07-25,0.0
000660.KS,2024-07-25,1,2024-07-26,0.0
000660.KS,2024-07-25,2,2024-07-27,
000660.KS,2024-10-24,-2,2024-10-22,
000660.KS,2024-10-24,-1,2024-10-23,
000660.KS,2024-10-24,0,2024-10-24,
000660.KS,2024-10-24,1,2024-10-25,
000660.KS,2024-10-24,2,2024-10-26,
000660.KS,2025-01-23,-2,2025-01-21,
000660.KS,2025-01-23,-1,2025-01-22,
000660.KS,2025-01-23,0,2025-01-23,
000660.KS,2025-01-23,1,2025-01-24,
000660.KS,2025-01-23,2,2025-01-25,
000660.KS,2025-04-24,-2,2025-04-22,
000660.KS,2025-04-24,-1,2025-04-23,
000660.KS,2025-04-24,0,2025-04-24,
000660.KS,2025-04-24,1,2025-04-25,
000660.KS,2025-04-24,2,2025-04-26,
000660.KS,2025-07-24,-2,2025-07-22,
000660.KS,2025-07-24,-1,2025-07-23,
000660.KS,2025-07-24,0,2025-07-24,
000660.KS,2025-07-24,1,2025-07-25,
000660.KS,2025-07-24,2,2025-07-26,
000660.KS,2025-10-29,-2,2025-10-27,
000660.KS,2025-10-29,-1,2025-10-28,
000660.KS,2025-10-29,0,2025-10-29,
000660.KS,2025-10-29,1,2025-10-30,
000660.KS,2025-10-29,2,2025-10-31,
005380.KS,2024-03-06,-2,2024-03-04,1.0
005380.KS,2024-03-06,-1,2024-03-05,0.0
005380.KS,2024-03-06,0,2024-03-06,0.0
005380.KS,2024-03-06,1,2024-03-07,0.0
005380.KS,2024-03-06,2,2024-03-08,0.0
005380.KS,2024-05-16,-2,2024-05-14,1.0
005380.KS,2024-05-16,-1,2024-05-15,1.0
005380.KS,2024-05-16,0,2024-05-16,0.0
005380.KS,2024-05-16,1,2024-05-17,0.0
005380.KS,2024-05-16,2,2024-05-18,0.0
005380.KS,2024-08-14,-2,2024-08-12,
005380.KS,2024-08-14,-1,2024-08-13,
005380.KS,2024-08-14,0,2024-08-14,
005380.KS,2024-08-14,1,2024-08-15,
005380.KS,2024-08-14,2,2024-08-16,
005380.KS,2024-11-14,-2,2024-11-12,
005380.KS,2024-11-14,-1,2024-11-13,
005380.KS,2024-11-14,0,2024-11-14,
005380.KS,2024-11-14,1,2024-11-15,
005380.KS,2024-11-14,2,2024-11-16,
005380.KS,2025-03-05,-2,2025-03-03,
005380.KS,2025-03-05,-1,2025-03-04,
005380.KS,2025-03-05,0,2025-03-05,
005380.KS,2025-03-05,1,2025-03-06,
005380.KS,2025-03-05,2,2025-03-07,
005380.KS,2025-05-15,-2,2025-05-13,
005380.KS,2025-05-15,-1,2025-05-14,
005380.KS,2025-05-15,0,2025-05-15,
005380.KS,2025-05-15,1,2025-05-16,
005380.KS,2025-05-15,2,2025-05-17,
005380.KS,2025-08-14,-2,2025-08-12,
005380.KS,2025-08-14,-1,2025-08-13,
005380.KS,2025-08-14,0,2025-08-14,
005380.KS,2025-08-14,1,2025-08-15,
005380.KS,2025-08-14,2,2025-08-16,
005380.KS,2025-11-14,-2,2025-11-12,
005380.KS,2025-11-14,-1,2025-11-13,
005380.KS,2025-11-14,0,2025-11-14,
005380.KS,2025-11-14,1,2025-11-15,
005380.KS,2025-11-14,2,2025-11-16,
005930.KS,2024-01-30,-2,2024-01-28,0.0
005930.KS,2024-01-30,-1,2024-01-29,0.0
005930.KS,2024-01-30,0,2024-01-30,1.0
005930.KS,2024-01-30,1,2024-01-31,0.0
005930.KS,2024-01-30,2,2024-02-01,0.0
005930.KS,2024-04-29,-2,2024-04-27,0.0
005930.KS,2024-04-29,-1,2024-04-28,0.0
005930.KS,2024-04-29,0,2024-04-29,0.0
005930.KS,2024-04-29,1,2024-04-30,1.0
005930.KS,2024-04-29,2,2024-05-01,1.0
005930.KS,2024-07-30,-2,2024-07-28,
005930.KS,2024-07-30,-1,2024-07-29,
005930.KS,2024-07-30,0,2024-07-30,
005930.KS,2024-07-30,1,2024-07-31,
005930.KS,2024-07-30,2,2024-08-01,
005930.KS,2024-10-30,-2,2024-10-28,
005930.KS,2024-10-30,-1,2024-10-29,
005930.KS,2024-10-30,0,2024-10-30,
005930.KS,2024-10-30,1,2024-10-31,
005930.KS,2024-10-30,2,2024-11-01,
005930.KS,2025-01-31,-2,2025-01-29,
005930.KS,2025-01-31,-1,2025-01-30,
005930.KS,2025-01-31,0,2025-01-31,
005930.KS,2025-01-31,1,2025-02-01,
005930.KS,2025-01-31,2,2025-02-02,
005930.KS,2025-04-29,-2,2025-04-27,
005930.KS,2025-04-29,-1,2025-04-28,
005930.KS,2025-04-29,0,2025-04-29,
005930.KS,2025-04-29,1,2025-04-30,
005930.KS,2025-04-29,2,2025-05-01,
005930.KS,2025-07-31,-2,2025-07-29,
005930.KS,2025-07-31,-1,2025-07-30,
005930.KS,2025-07-31,0,2025-07-31,
005930.KS,2025-07-31,1,2025-08-01,
005930.KS,2025-07-31,2,2025-08-02,
005930.KS,2025-10-30,-2,2025-10-28,
005930.KS,2025-10-30,-1,2025-10-29,
005930.KS,2025-10-30,0,2025-10-30,
005930.KS,2025-10-30,1,2025-10-31,
005930.KS,2025-10-30,2,2025-11-01,
0388.HK,2024-02-29,-2,2024-02-27,0.0
0388.HK,2024-02-29,-1,2024-02-28,0.0
0388.HK,2024-02-29,0,2024-02-29,0.0
0388.HK,2024-02-29,1,2024-03-01,0.0
0388.HK,2024-02-29,2,2024-03-02,0.0
0388.HK,2024-04-24,-2,2024-04-22,0.0
0388.HK,2024-04-24,-1,2024-04-23,0.0
0388.HK,2024-04-24,0,2024-04-24,0.0
0388.HK,2024-04-24,1,2024-04-25,0.0
0388.HK,2024-04-24,2,2024-04-26,0.0
0388.HK,2024-08-21,-2,2024-08-19,
0388.HK,2024-08-21,-1,2024-08-20,
0388.HK,2024-08-21,0,2024-08-21,
0388.HK,2024-08-21,1,2024-08-22,
0388.HK,2024-08-21,2,2024-08-23,
0388.HK,2024-10-23,-2,2024-10-21,
0388.HK,2024-10-23,-1,2024-10-22,
0388.HK,2024-10-23,0,2024-10-23,
0388.HK,2024-10-23,1,2024-10-24,
0388.HK,2024-10-23,2,2024-10-25,
0388.HK,2025-02-27,-2,2025-02-25,
0388.HK,2025-02-27,-1,2025-02-26,
0388.HK,2025-02-27,0,2025-02-27,
0388.HK,2025-02-27,1,2025-02-28,
0388.HK,2025-02-27,2,2025-03-01,
0388.HK,2025-04-30,-2,2025-04-28,
0388.HK,2025-04-30,-1,2025-04-29,
0388.HK,2025-04-30,0,2025-04-30,
0388.HK,2025-04-30,1,2025-05-01,
0388.HK,2025-04-30,2,2025-05-02,
0388.HK,2025-08-20,-2,2025-08-18,
0388.HK,2025-08-20,-1,2025-08-19,
0388.HK,2025-08-20,0,2025-08-20,
0388.HK,2025-08-20,1,2025-08-21,
0388.HK,2025-08-20,2,2025-08-22,
0388.HK,2025-11-05,-2,2025-11-03,
0388.HK,2025-11-05,-1,2025-11-04,
0388.HK,2025-11-05,0,2025-11-05,
0388.HK,2025-11-05,1,2025-11-06,
