date,news_count,gdelt_total,news_share,log_news_share,news_z
2017-01-01,5573,427906,0.013023888424093142,-4.340970036704815,
2017-01-02,6995,592774,0.01180045008721705,-4.4396176052534475,
2017-01-03,10801,757916,0.014250919626977132,-4.25093383912332,
2017-01-04,10091,822862,0.012263295668046403,-4.401144569912589,
2017-01-05,10435,830028,0.012571865045516536,-4.376293894632228,
2017-01-06,8446,766969,0.011012179110237833,-4.5087534268287985,
2017-01-07,3884,520691,0.007459318482554912,-4.898291225165585,
2017-01-08,3893,488784,0.007964663327768504,-4.832740605469101,
2017-01-09,9952,813487,0.012233754196440754,-4.4035564102026825,
2017-01-10,10539,884856,0.011910412541701701,-4.430342257952711,
2017-01-11,10808,879968,0.012282264809629441,-4.399598942516818,
2017-01-12,10596,873198,0.012134704843574996,-4.411685762837323,
2017-01-13,9449,847105,0.01115446137137663,-4.4959157381104475,
2017-01-14,4218,538257,0.007836405285950762,-4.848975059212474,
2017-01-15,3562,485270,0.00734024357574134,-4.914383252200408,
2017-01-16,8283,778396,0.010641113263685836,-4.543030170496319,
2017-01-17,11586,872725,0.013275659572030135,-4.321823027813068,
2017-01-18,11943,903497,0.013218638246723565,-4.326127456919894,
2017-01-19,11146,897136,0.012423980310677533,-4.388126777918274,
2017-01-20,8215,840244,0.009776921941721691,-4.627730574358563,
2017-01-21,4382,542714,0.008074234311257863,-4.819077236504569,
2017-01-22,5541,507306,0.010922401863963762,-4.5169393819386014,
2017-01-23,9219,816816,0.011286507610037022,-4.484147283480733,
2017-01-24,9578,882520,0.010853011829760232,-4.523312649519753,
2017-01-25,10628,888646,0.011959768006607805,-4.426206928088603,
2017-01-26,8747,850165,0.01028859103821023,-4.576719663855311,
2017-01-27,8999,814253,0.011051847521593411,-4.505157668469866,
2017-01-28,3446,540104,0.006380252692074119,-5.054547575501602,
2017-01-29,2836,492134,0.0057626581378242515,-5.156356428463372,
2017-01-30,8003,800343,0.009999462730354361,-4.605223914396,
2017-01-31,9739,866957,0.011233544454915296,-4.4888509362624305,
2017-02-01,9530,877514,0.01086022559184241,-4.5226481919625945,
2017-02-02,8010,878535,0.009117451211391691,-4.697564986390717,
2017-02-03,7645,849054,0.009004138723803198,-4.710070949147941,
2017-02-04,3018,547610,0.005511221489746352,-5.2009689944066455,
2017-02-05,2634,489387,0.0053822435005425155,-5.224649984196138,
2017-02-06,8562,810397,0.01056519212188594,-4.55019044332925,
2017-02-07,9860,886593,0.011121224733333109,-4.498899858334765,
2017-02-08,10018,908408,0.011028084296923849,-4.507310141950287,
2017-02-09,9436,895654,0.010535318326050015,-4.553022016135968,
2017-02-10,9822,851022,0.011541417260658361,-4.4618132125610614,
2017-02-11,3729,535178,0.006967775207501056,-4.966459300643905,
2017-02-12,3863,501551,0.007702108060795413,-4.866261213462523,
2017-02-13,9580,828201,0.01156724031968085,-4.459578286565786,
2017-02-14,9225,888105,0.010387285287212661,-4.567172789318641,
2017-02-15,7992,902442,0.008855970799231418,-4.726663380867662,
2017-02-16,8294,899621,0.00921943796332011,-4.686441201696826,
2017-02-17,7902,845037,0.009351069834811966,-4.672264521391601,
2017-02-18,3521,546303,0.006445141249453142,-5.044428726701872,
