event_ticker,event_type,anchor_date,target_date,pre_event_signal_date,pre_event_shock_max_abs,pre_event_shock_l1_sum,spy_abs_ret_1d,spy_left_tail_1d,vix9d_vix_ratio_change
KXCPI-26APR,headline_cpi,2026-05-12,2026-05-12,2026-05-11,0.04999999999999993,0.15999999999999998,0.0015149526145865622,0.0015161013155970994,-0.011658559885004624
KXCPI-26MAY,headline_cpi,2026-06-10,2026-06-10,2026-06-09,0.030000000000000027,0.09000000000000005,0.015765562508027298,0.015891160823072677,0.0361554436330694
KXCPICORE-26APR,core_cpi,2026-05-12,2026-05-12,2026-05-11,0.09000000000000008,0.18000000000000013,0.0015149526145865622,0.0015161013155970994,-0.011658559885004624
KXCPICORE-26MAY,core_cpi,2026-06-10,2026-06-10,2026-06-09,0.06999999999999995,0.17999999999999997,0.015765562508027298,0.015891160823072677,0.0361554436330694
KXFEDDECISION-26APR,fomc,2026-04-29,2026-04-29,2026-04-28,0.0,0.0,0.00015450932498595193,0.0001545212627813887,0.00015100017044845926
KXFEDDECISION-26JUN,fomc,2026-06-17,2026-06-17,2026-06-16,0.0,0.0,0.012487870885051433,0.012566499634242041,0.05003235827680416
KXPAYROLLS-26APR,payrolls,2026-05-08,2026-05-08,2026-05-07,0.010000000000000009,0.020000000000000018,0.00825609701116825,0.0,-0.030751793363958835
KXPAYROLLS-26MAY,payrolls,2026-06-05,2026-06-05,2026-06-04,0.010000000000000009,0.030000000000000027,0.025809371248925683,0.026148277086187284,0.3029072779826235
KXUSNFP-26JUN05,us_nfp,2026-06-05,2026-06-05,2026-06-04,0.16000000000000003,0.26,0.025809371248925683,0.026148277086187284,0.3029072779826235
KXUSNFP-26MAY08,us_nfp,2026-05-08,2026-05-08,2026-05-07,0.14999999999999997,0.49499999999999994,0.00825609701116825,0.0,-0.030751793363958835
