factor,variant,cost_bps,period,start,end,n_months,managed_sharpe,unmanaged_sharpe,sharpe_difference,managed_annual_return,unmanaged_annual_return,managed_annual_volatility,unmanaged_annual_volatility,managed_max_drawdown,unmanaged_max_drawdown,managed_mdd_per_annual_vol,unmanaged_mdd_per_annual_vol
MktRF,uncapped,0,in_sample,1963-09,1999-12,436,0.4565114548,0.4516121085,0.004899346262,0.06939516685,0.06880856171,0.1520118852,0.1523620833,-0.5005908468,-0.5537367132,-3.29310334,-3.634347215
MktRF,uncapped,0,oos_full,2000-01,2026-04,316,0.4977858293,0.4717327496,0.0260530797,0.04629674319,0.07429201962,0.0930053458,0.1574875174,-0.2966836472,-0.5411587487,-3.189963379,-3.436200898
MktRF,uncapped,0,oos_2000_2012,2000-01,2012-12,156,0.3406568553,0.08599979535,0.25465706,0.02107874339,0.01418460881,0.06187676266,0.1649377042,-0.1854602823,-0.5411587487,-2.997252512,-3.28098873
MktRF,uncapped,0,oos_2013_latest,2013-01,2026-04,160,0.6146060405,0.8953142429,-0.2807082024,0.070884293,0.1328967452,0.1153328935,0.1484358662,-0.2966836472,-0.2523027197,-2.572411376,-1.699742294
MktRF,uncapped,10,in_sample,1963-09,1999-12,436,0.4114267637,0.4516121085,-0.04018534483,0.06232158134,0.06880856171,0.1514767313,0.1523620833,-0.5214176624,-0.5537367132,-3.442229429,-3.634347215
MktRF,uncapped,10,oos_full,2000-01,2026-04,316,0.4469481978,0.4717327496,-0.02478455175,0.04156205165,0.07429201962,0.09299075788,0.1574875174,-0.3028829237,-0.5411587487,-3.257129317,-3.436200898
MktRF,uncapped,10,oos_2000_2012,2000-01,2012-12,156,0.2969854232,0.08599979535,0.2109856279,0.0183386287,0.01418460881,0.06174925523,0.1649377042,-0.1894870976,-0.5411587487,-3.068653977,-3.28098873
MktRF,uncapped,10,oos_2013_latest,2013-01,2026-04,160,0.556157128,0.8953142429,-0.3391571149,0.06420488903,0.1328967452,0.1154437942,0.1484358662,-0.3028829237,-0.2523027197,-2.623639718,-1.699742294
MktRF,uncapped,25,in_sample,1963-09,1999-12,436,0.3429817126,0.4516121085,-0.1086303959,0.05171120308,0.06880856171,0.1507695635,0.1523620833,-0.5524210657,-0.5537367132,-3.664009188,-3.634347215
MktRF,uncapped,25,oos_full,2000-01,2026-04,316,0.3704150229,0.4717327496,-0.1013177267,0.03446001435,0.07429201962,0.09303082278,0.1574875174,-0.3138921622,-0.5411587487,-3.374066281,-3.436200898
MktRF,uncapped,25,oos_2000_2012,2000-01,2012-12,156,0.2310725025,0.08599979535,0.1450727072,0.01422845666,0.01418460881,0.06157572411,0.1649377042,-0.1954917048,-0.5411587487,-3.174817798,-3.28098873
MktRF,uncapped,25,oos_2013_latest,2013-01,2026-04,160,0.4683754846,0.8953142429,-0.4269387583,0.05418578309,0.1328967452,0.1156887687,0.1484358662,-0.3138921622,-0.2523027197,-2.713246634,-1.699742294
MktRF,uncapped,50,in_sample,1963-09,1999-12,436,0.2270758964,0.4516121085,-0.2245362121,0.0340272393,0.06880856171,0.1498496311,0.1523620833,-0.6316152458,-0.5537367132,-4.214993666,-3.634347215
MktRF,uncapped,50,oos_full,2000-01,2026-04,316,0.2425765919,0.4717327496,-0.2291561577,0.02262328551,0.07429201962,0.09326244271,0.1574875174,-0.3425455125,-0.5411587487,-3.672920229,-3.436200898
MktRF,uncapped,50,oos_2000_2012,2000-01,2012-12,156,0.1202945141,0.08599979535,0.03429471878,0.007378169941,0.01418460881,0.0613342179,0.1649377042,-0.2054051198,-0.5411587487,-3.348948219,-3.28098873
MktRF,uncapped,50,oos_2013_latest,2013-01,2026-04,160,0.3223183733,0.8953142429,-0.5729958696,0.03748727319,0.1328967452,0.1163051079,0.1484358662,-0.3425455125,-0.2523027197,-2.945231887,-1.699742294
MktRF,capped_3x,0,in_sample,1963-09,1999-12,436,0.4021783693,0.4516121085,-0.04943373918,0.05650408867,0.06880856171,0.1404950962,0.1523620833,-0.5005908468,-0.5537367132,-3.563048537,-3.634347215
MktRF,capped_3x,0,oos_full,2000-01,2026-04,316,0.4982386823,0.4717327496,0.02650593266,0.04633741894,0.07429201962,0.09300245162,0.1574875174,-0.2966836472,-0.5411587487,-3.190062649,-3.436200898
MktRF,capped_3x,0,oos_2000_2012,2000-01,2012-12,156,0.3406568553,0.08599979535,0.25465706,0.02107874339,0.01418460881,0.06187676266,0.1649377042,-0.1854602823,-0.5411587487,-2.997252512,-3.28098873
MktRF,capped_3x,0,oos_2013_latest,2013-01,2026-04,160,0.6153349241,0.8953142429,-0.2799793188,0.07096462761,0.1328967452,0.1153268323,0.1484358662,-0.2966836472,-0.2523027197,-2.572546573,-1.699742294
MktRF,capped_3x,10,in_sample,1963-09,1999-12,436,0.3646497957,0.4516121085,-0.08696231281,0.05122127065,0.06880856171,0.1404670214,0.1523620833,-0.5211879671,-0.5537367132,-3.710393813,-3.634347215
MktRF,capped_3x,10,oos_full,2000-01,2026-04,316,0.4486789121,0.4717327496,-0.02305383751,0.0417136008,0.07429201962,0.09296982691,0.1574875174,-0.3028829237,-0.5411587487,-3.257862618,-3.436200898
MktRF,capped_3x,10,oos_2000_2012,2000-01,2012-12,156,0.2969854232,0.08599979535,0.2109856279,0.0183386287,0.01418460881,0.06174925523,0.1649377042,-0.1894870976,-0.5411587487,-3.068653977,-3.28098873
MktRF,capped_3x,10,oos_2013_latest,2013-01,2026-04,160,0.5589354594,0.8953142429,-0.3363787834,0.06450419859,0.1328967452,0.1154054507,0.1484358662,-0.3028829237,-0.2523027197,-2.624511424,-1.699742294
