model,term,coef,std_err,t,p,ci_low,ci_high,harvey_pass,primary_signal
ai_only,Intercept,0.32282025648803153,0.055180387616261976,5.850271635150576,4.907708550328815e-09,0.21466868410719805,0.430971828868865,True,False
ai_only,C(ticker)[T.C],0.018704646674625607,0.009229091243970564,2.0267051414022474,0.042692576365783136,0.0006159602264093345,0.03679333312284188,False,False
ai_only,C(ticker)[T.COF],0.05457151687349643,0.011696618123746184,4.6655807940507765,3.0774654260739357e-06,0.03164656661003545,0.0774964671369574,True,False
ai_only,C(ticker)[T.GS],0.0033916249881745545,0.009720015327820197,0.34893206170850327,0.7271403143705532,-0.015659254983530317,0.022442504959879428,False,False
ai_only,C(ticker)[T.JPM],-0.017394790809223355,0.00771712712882225,-2.2540500524160816,0.024193019352867086,-0.032520082045831955,-0.002269499572614752,False,False
ai_only,C(ticker)[T.MS],0.008644984007200707,0.008563626234836547,1.009500388052108,0.3127347156166186,-0.008139414990141272,0.025429383004542686,False,False
ai_only,C(ticker)[T.PNC],0.0015270279616689253,0.006591094058966165,0.23168049917170272,0.81678617873033,-0.011391279012620678,0.014445334935958528,False,False
ai_only,C(ticker)[T.TFC],0.02829719656355495,0.010888227036087498,2.5988800995577948,0.009352843522750993,0.0069566637173281536,0.04963772940978174,False,False
ai_only,C(ticker)[T.USB],0.01706453545947733,0.011429040269170453,1.4930856010288531,0.13541478115285716,-0.005335971845954721,0.03946504276490938,False,False
ai_only,C(ticker)[T.WFC],0.02729053743123217,0.010246744810506766,2.663337277927436,0.00773698218843218,0.007207286643866211,0.04737378821859813,False,False
ai_only,C(year)[T.2021],-0.12992822618692576,0.041931753813540106,-3.0985640802119483,0.0019446091152726668,-0.21211295347006442,-0.04774349890378708,True,False
ai_only,C(year)[T.2022],-0.1137679751752764,0.05045692168534726,-2.254754578266607,0.024148737769902433,-0.21266172444931508,-0.014874225901237728,False,False
ai_only,C(year)[T.2023],-0.07895529685114269,0.05268690557432851,-1.4985753289260046,0.13398383695835267,-0.18221973423368917,0.02430914053140379,False,False
ai_only,C(year)[T.2024],-0.11298803853742487,0.050441413597664325,-2.239985568974156,0.02509185975690046,-0.2118513925181359,-0.01412468455671384,False,False
ai_only,C(year)[T.2025],-0.12464010104070437,0.05417652648936735,-2.3006292414329326,0.021412596738291087,-0.2308241417673446,-0.01845606031406416,False,False
ai_only,C(year)[T.2026],-0.133166604275216,0.059258076448956636,-2.247231301709941,0.02462524870182492,-0.24931029990829218,-0.01702290864213983,False,False
ai_only,ai_terms_per_10k_lag1_z,0.0007681204896268562,0.0040917023387721015,0.1877263852622684,0.8510911455318614,-0.00725146872982477,0.008787709709078481,False,True
ai_only,rv_current,0.35752757973194216,0.08636030754173951,4.139952599857782,3.473775918888136e-05,0.1882644872563299,0.5267906722075544,True,False
ai_only,abs_ret_current,-0.13525525955727205,0.1605239111389359,-0.8425863698287699,0.3994598167041099,-0.4498763440470944,0.17936582493255035,False,False
ai_only,kbe_rv_current,-0.5033847567100945,0.2493339729268852,-2.0189176420724153,0.043495780240967896,-0.9920703637690744,-0.014699149651114685,False,False
ai_only,xlf_rv_current,0.5438271081197907,0.4421887922814755,1.2298527633726577,0.21875224566704476,-0.32284699911916426,1.4105012153587457,False,False
ai_only,spy_rv_current,-0.016666062880361703,0.36906266680002114,-0.04515781296674017,0.9639815202992034,-0.7400155978467094,0.7066834720859861,False,False
model_risk_only,Intercept,0.3321793445742719,0.0527331627118936,6.299249418987554,2.9909038809214703e-10,0.2288242448680699,0.4355344442804739,True,False
model_risk_only,C(ticker)[T.C],-0.0039643868873364164,0.024229484564406767,-0.16361829228344876,0.8700316436142002,-0.051453303997542846,0.043524530222870006,False,False
model_risk_only,C(ticker)[T.COF],0.041645908517235375,0.016170452094117688,2.575432540465883,0.010011480049416344,0.009952404799034413,0.07333941223543633,False,False
model_risk_only,C(ticker)[T.GS],0.014601972608059137,0.015503877100970497,0.9418271644545672,0.3462811351347653,-0.015785068130578297,0.044989013346696576,False,False
