target,model,term,n_obs,coef,std_err,t,p,ci_low,ci_high,harvey_pass,r_squared
KBE,aggregate_ai,ai_terms_per_10k_lag1_z,74,-0.0165533857951207,0.008318191135155249,-1.990022292846935,0.046588479823814664,-0.032856740836545335,-0.0002500307536960622,False,0.36635046569590923
KBE,aggregate_model_risk,model_risk_terms_per_10k_lag1_z,74,0.02751180160798098,0.009498882176264201,2.8963199140134033,0.0037756727817533533,0.008894334649113697,0.046129268566848264,False,0.3919557099425782
KBE,aggregate_operational,operational_loss_terms_per_10k_lag1_z,74,-0.01587754141099494,0.00827897413224906,-1.9178150767674471,0.055134463359163874,-0.03210403253914185,0.000348949717151964,False,0.3651167578274126
KBE,aggregate_combined,combined_ai_model_operational_per_10k_lag1_z,74,-0.015551265177247618,0.00820744963168213,-1.89477436659704,0.0581223005650866,-0.03163757086027112,0.0005350405057758904,False,0.36451233386054815
KRE,aggregate_ai,ai_terms_per_10k_lag1_z,74,-0.019741640930494922,0.009994763529427705,-1.9751983998790332,0.04824563744314632,-0.03933101748216766,-0.0001522643788221846,False,0.31842820131983596
KRE,aggregate_model_risk,model_risk_terms_per_10k_lag1_z,74,0.028649036168704498,0.011082103859360058,2.585162215792377,0.00973331921399814,0.0069285117314264455,0.05036956060598255,False,0.33781915448955624
KRE,aggregate_operational,operational_loss_terms_per_10k_lag1_z,74,-0.018777786112383576,0.009975651735374144,-1.8823618356479546,0.05978690398826553,-0.03832970423603139,0.0007741320112642364,False,0.3167108861442439
KRE,aggregate_combined,combined_ai_model_operational_per_10k_lag1_z,74,-0.018577545159059176,0.00988764208694121,-1.8788650515166685,0.0602629218999599,-0.037956967541486406,0.0008018772233680527,False,0.3163366818265544
XLF,aggregate_ai,ai_terms_per_10k_lag1_z,74,-0.010263386250692607,0.0069552504639040415,-1.4756314390052432,0.14004286045801576,-0.023895426663400034,0.0033686541620148187,False,0.4409088484490622
XLF,aggregate_model_risk,model_risk_terms_per_10k_lag1_z,74,0.02417412739653535,0.0066228798798735,3.650092985983174,0.00026214539277418745,0.01119352135804833,0.03715473343502237,True,0.4894421901033187
XLF,aggregate_operational,operational_loss_terms_per_10k_lag1_z,74,-0.011308771353632589,0.006695454916602596,-1.689022104471264,0.09121519399712197,-0.024431621850285308,0.0018140791430201302,False,0.44354030592456684
XLF,aggregate_combined,combined_ai_model_operational_per_10k_lag1_z,74,-0.010558921476101792,0.006812820541605385,-1.5498605036811477,0.12117500125161,-0.02391180437078301,0.0027939614185794274,False,0.44165440787220256
