Date,JPM,BAC,WFC,C,GS,MS,USB,PNC,TFC,COF,KBE,KRE,XLF,SPY
2019-01-31,0.17759169756766252,0.33782090748577565,0.18521718181368438,0.3178134327428788,0.3971748014521695,0.3267371907023296,0.16344414889096975,0.15604119162186833,0.18069079572348312,0.32958739533099746,0.18896821522341847,0.18842656253117399,0.18827762997050532,0.1921883409601085
2019-02-28,0.1594341205558045,0.15790782974946385,0.1732408622461991,0.16564047638203974,0.17269163656678335,0.21389958033199874,0.11654627703399371,0.1896531149782469,0.19613580205574926,0.18125028570479984,0.14553156329372136,0.15754108066054417,0.12218894043882145,0.0834816545740677
2019-03-31,0.17256513063453438,0.23563286740877826,0.18506268937829187,0.23554867552657174,0.19670707200164594,0.20491246566559787,0.1813166089770896,0.2226526222099394,0.2567853853247703,0.19879802174769493,0.24791171376938909,0.26691421932316417,0.15832201528485945,0.11570928793157913
2019-04-30,0.24522827796550817,0.20431031942270225,0.1588815338038973,0.22254034112623447,0.24908875405668265,0.25859273443310105,0.1331144494183127,0.19641773996348966,0.1807376730324884,0.2864116410819423,0.1914636228345856,0.20622505273152741,0.13832508917997763,0.06754484602730527
2019-05-31,0.1663659441943191,0.24351553864295913,0.1735586050104108,0.26982831387461503,0.21389793181176503,0.24356128045479106,0.13722028369989764,0.20222859087359582,0.18670950750825513,0.24592245508106494,0.22947918342344112,0.24014479954474366,0.16480226490432204,0.15035969118171455
2019-06-30,0.18259243670333414,0.24251613446245077,0.21778263892407726,0.2745467155442276,0.22578820511731734,0.2201013174475623,0.15578447544775087,0.19299213831860626,0.19977791004003745,0.20133239680394754,0.17699717490235656,0.1848112733719789,0.14307244616665712,0.11684795792541376
2019-07-31,0.1354827515530752,0.16122000981356135,0.21487498459475368,0.14462802583938728,0.1871142486012302,0.17455220589704942,0.1463638613574175,0.12586469515542165,0.17095089730969362,0.3146386268980651,0.16748843815589953,0.18032764136395432,0.10708723379191708,0.08370106680238247
2019-08-31,0.28524493618524166,0.34164084271356954,0.3095677257409159,0.3650153984348867,0.31504527266359317,0.31553322312402876,0.2701504683386624,0.32594089248429275,0.3003857269276873,0.30672305700171976,0.2971734854218666,0.30896536951795267,0.26457047142915535,0.22538504398428066
2019-09-30,0.1793246783279765,0.2357185242986664,0.212165239081687,0.2486477038470327,0.21790723081160981,0.2000719702081321,0.15211490622083743,0.20345853601701208,0.22182819765008707,0.18439932544130366,0.21402512948394367,0.23493312588002271,0.12690905913016742,0.08565574768282838
2019-10-31,0.21102958525455565,0.22485659063177899,0.17350335828862667,0.24180166945178638,0.19274185415077313,0.23643337468310185,0.195083711480831,0.18687020409732716,0.17210839990606294,0.23795864502828393,0.18052729728953382,0.19200500299477305,0.16595535603249534,0.12688258400826374
2019-11-30,0.11141731522509778,0.13446644225995116,0.1327398107116491,0.1908776890769976,0.14737443365339217,0.18533955658876156,0.09298779372788199,0.11034077972515649,0.13530499751296163,0.14300171492011002,0.1271254637621238,0.1380960250418532,0.08622034274233144,0.06201069017080945
2019-12-31,0.15407299244541328,0.15937593837717703,0.17182318881773975,0.14582270436456227,0.20643765485967444,0.15154152561202644,0.12469629080896512,0.13706399553781826,0.21362468669782733,0.14740688935216648,0.14413149141487222,0.15373283939957255,0.11198034385429632,0.07636792011925705
2020-01-31,0.1966814130983825,0.18908213782818092,0.24366857148365792,0.2187530390428651,0.2147228087113635,0.3246424767355293,0.17824589803902346,0.19492994470085703,0.1924557369256147,0.25498776216004787,0.1617562798503801,0.16739447954941553,0.14591534631902442,0.1187670057269393
2020-02-29,0.3141412966869728,0.3646076927673437,0.2875837305084404,0.3691999702489915,0.2827319114497763,0.3614931214592342,0.2907597650916986,0.357120818910504,0.35400723078748986,0.32324600592428687,0.3014180991825763,0.30302166946637876,0.2731901423720003,0.2518774507336198
2020-03-31,1.2817838633483212,1.3523503425576806,1.3173630413698956,1.5302660713624767,1.2698742783683503,1.4117028610056441,1.2588620567586732,1.3074029865611194,1.4617200721144126,1.5718419923773133,1.2262887204073512,1.233557329288549,1.1311314852394365,0.8788457612450592
