Date,JPM,BAC,WFC,C,GS,MS,USB,PNC,TFC,COF,KBE,KRE,XLF,SPY
2019-01-02,80.83650970458984,20.836822509765625,38.257415771484375,41.43665313720703,144.7537078857422,32.141239166259766,34.39117431640625,90.8741683959961,31.838600158691406,67.8963623046875,30.892906188964844,38.65264892578125,20.86054801940918,223.805908203125
2019-01-03,79.68769073486328,20.502885818481445,37.95586013793945,40.685794830322266,142.6332244873047,31.568418502807617,33.90888977050781,90.46112060546875,31.62343406677246,66.9296875,30.73802947998047,38.498260498046875,20.39157485961914,218.46530151367188
2019-01-04,82.62541198730469,21.354402542114258,39.080604553222656,42.675193786621094,147.2948760986328,32.85726547241211,34.747337341308594,92.72515106201172,32.4554328918457,69.9000473022461,31.748779296875,39.725196838378906,21.068984985351562,225.78294372558594
2019-01-07,82.6828384399414,21.337697982788086,38.827938079833984,43.04674530029297,148.1110382080078,33.18343734741211,34.58409881591797,92.51862335205078,32.71364212036133,70.28672790527344,31.94440269470215,39.98521423339844,21.09503936767578,227.56321716308594
2019-01-08,82.52693939208984,21.295961380004883,38.74644088745117,42.93064498901367,147.56410217285156,32.976585388183594,34.80669021606445,92.6639404296875,32.79254150390625,70.32189178466797,32.229705810546875,40.32647705078125,21.11240577697754,229.7012176513672
2019-01-09,82.3874282836914,21.504657745361328,38.95832824707031,43.642799377441406,148.4897003173828,33.207313537597656,35.17769241333008,92.40389251708984,33.1009635925293,70.80520629882812,32.49052810668945,40.62711715698242,21.21661949157715,230.7747039794922
2019-01-10,82.37921142578125,21.4796199798584,38.917598724365234,43.68924331665039,148.09425354003906,33.14366149902344,35.10348892211914,91.4631118774414,32.89295959472656,70.26033782958984,32.44162368774414,40.48899841308594,21.22530174255371,231.5888214111328
2019-01-11,81.98534393310547,21.730060577392578,39.0153923034668,43.88276672363281,148.87677001953125,33.207313537597656,35.19994354248047,91.82259368896484,32.71364212036133,71.13036346435547,32.58019256591797,40.61087417602539,21.277416229248047,231.6782989501953
2019-01-14,82.83056640625,22.013900756835938,39.463653564453125,45.616703033447266,150.3829803466797,33.7960319519043,35.45964813232422,92.20502471923828,33.1009635925293,71.53462219238281,32.775821685791016,40.805870056152344,21.425048828125,230.2648162841797
2019-01-15,83.43777465820312,22.16415786743164,38.852386474609375,47.513206481933594,151.38429260253906,34.114261627197266,35.593196868896484,92.64100646972656,33.23724365234375,71.64008331298828,33.02850341796875,41.082149505615234,21.61611557006836,232.90382385253906
