ticker,bank_name,cik,form,accession,filing_date,report_date,report_year,primary_document,filing_url,word_count,ai_terms,ai_terms_per_10k,model_risk_terms,model_risk_terms_per_10k,operational_loss_terms,operational_loss_terms_per_10k,combined_ai_model_operational_per_10k
BAC,Bank of America,0000070858,10-K,0000070858-20-000011,2020-02-19,2019-12-31,2019,bac-1231201910xk.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085820000011/bac-1231201910xk.htm,132061,4,0.3028903309834092,11,0.8329484102043753,29,2.1959548996297165,3.3317936408175006
BAC,Bank of America,0000070858,10-K,0000070858-21-000023,2021-02-24,2020-12-31,2020,bac-20201231.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085821000023/bac-20201231.htm,139811,3,0.2145753910636502,16,1.1444020856728012,33,2.3603293017001525,3.719306778436604
BAC,Bank of America,0000070858,10-K,0000070858-22-000062,2022-02-22,2021-12-31,2021,bac-20211231.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085822000062/bac-20211231.htm,135853,3,0.2208269232184788,16,1.1777435904985536,34,2.5027051298094265,3.901275643526459
BAC,Bank of America,0000070858,10-K,0000070858-23-000092,2023-02-22,2022-12-31,2022,bac-20221231.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085823000092/bac-20221231.htm,133062,5,0.3757646811260916,12,0.9018352347026198,34,2.555199831657423,3.8327997474861344
BAC,Bank of America,0000070858,10-K,0000070858-24-000122,2024-02-20,2023-12-31,2023,bac-20231231.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085824000122/bac-20231231.htm,134359,12,0.8931296005477861,12,0.8931296005477861,52,3.870228269040407,5.656487470135979
BAC,Bank of America,0000070858,10-K,0000070858-25-000139,2025-02-25,2024-12-31,2024,bac-20241231.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085825000139/bac-20241231.htm,131960,25,1.8945134889360413,12,0.9093664746892998,54,4.092149136101849,6.8960290997271905
BAC,Bank of America,0000070858,10-K,0000070858-26-000157,2026-02-25,2025-12-31,2025,bac-20251231.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085826000157/bac-20251231.htm,132032,6,0.4544352884149297,12,0.9088705768298594,53,4.014178380998546,5.377484246243335
C,Citigroup,0000831001,10-K,0000831001-20-000031,2020-02-21,2019-12-31,2019,c-12312019x10k.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100120000031/c-12312019x10k.htm,162019,0,0.0,5,0.30860578080348605,58,3.579827057320438,3.888432838123924
C,Citigroup,0000831001,10-K,0000831001-21-000042,2021-02-26,2020-12-31,2020,c-20201231.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100121000042/c-20201231.htm,179439,1,0.0557292450359175,5,0.2786462251795875,82,4.569798092945235,4.90417356316074
C,Citigroup,0000831001,10-K,0000831001-22-000036,2022-02-28,2021-12-31,2021,c-20211231.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100122000036/c-20211231.htm,181478,0,0.0,4,0.2204123915846549,70,3.8572168527314608,4.077629244316116
C,Citigroup,0000831001,10-K,0000831001-23-000037,2023-02-27,2022-12-31,2022,c-20221231.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100123000037/c-20221231.htm,184974,0,0.0,4,0.21624660763134276,72,3.89243893736417,4.108685544995513
C,Citigroup,0000831001,10-K,0000831001-24-000033,2024-02-23,2023-12-31,2023,c-20231231.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100124000033/c-20231231.htm,187181,4,0.2136969029976333,4,0.2136969029976333,92,4.915028768945566,5.342422574940833
C,Citigroup,0000831001,10-K,0000831001-25-000067,2025-02-21,2024-12-31,2024,c-20241231.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100125000067/c-20241231.htm,187352,9,0.4803791792988599,4,0.21350185746615996,89,4.750416328622059,5.4442973653870785
C,Citigroup,0000831001,10-K,0000831001-26-000011,2026-02-20,2025-12-31,2025,c-20251231.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100126000011/c-20251231.htm,175274,12,0.6846423314353527,6,0.34232116571767635,90,5.1348174857651445,6.161780982918174
COF,Capital One,0000927628,10-K,0000927628-20-000102,2020-02-20,2019-12-31,2019,cof-12312019x10k.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762820000102/cof-12312019x10k.htm,104023,3,0.288397758188093,6,0.576795516376186,12,1.153591032752372,2.018784307316651
COF,Capital One,0000927628,10-K,0000927628-21-000094,2021-02-25,2020-12-31,2020,cof-20201231.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762821000094/cof-20201231.htm,111762,3,0.2684275514038761,6,0.5368551028077522,14,1.252661906551422,2.05794456076305
COF,Capital One,0000927628,10-K,0000927628-22-000106,2022-02-25,2021-12-31,2021,cof-20211231.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762822000106/cof-20211231.htm,105608,3,0.28406938868267556,6,0.5681387773653511,14,1.3256571471858192,2.1778653132338457
COF,Capital One,0000927628,10-K,0000927628-23-000117,2023-02-24,2022-12-31,2022,cof-20221231.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762823000117/cof-20221231.htm,103993,3,0.28848095544892444,6,0.5769619108978489,15,1.4424047772446222,2.3078476435913955
COF,Capital One,0000927628,10-K,0000927628-24-000094,2024-02-23,2023-12-31,2023,cof-20231231.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762824000094/cof-20231231.htm,112479,4,0.3556219383173748,6,0.5334329074760622,34,3.022786475697686,3.9118413214911234
COF,Capital One,0000927628,10-K,0000927628-25-000092,2025-02-20,2024-12-31,2024,cof-20241231.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762825000092/cof-20241231.htm,116396,7,0.6013952369497234,6,0.5154816316711914,35,3.0069761847486167,4.1238530533695315
COF,Capital One,0000927628,10-K,0000927628-26-000024,2026-02-19,2025-12-31,2025,cof-20251231.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762826000024/cof-20251231.htm,129272,10,0.7735627204653753,6,0.46413763227922517,33,2.5527569775357386,3.790457330280339
GS,Goldman Sachs,0000886982,10-K,0001193125-20-043853,2020-02-21,2019-12-31,2019,d826673d10k.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312520043853/d826673d10k.htm,145743,2,0.13722786000013723,23,1.5781203900015783,52,3.567924360003568,5.283272610005284
GS,Goldman Sachs,0000886982,10-K,0001193125-21-049380,2021-02-22,2020-12-31,2020,d39654d10k.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312521049380/d39654d10k.htm,156974,2,0.12740963471657726,22,1.4015059818823499,52,3.312650502631009,4.841566119229936
GS,Goldman Sachs,0000886982,10-K,0001193125-22-052682,2022-02-25,2021-12-31,2021,d192225d10k.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312522052682/d192225d10k.htm,160920,2,0.12428535918468804,22,1.3671389510315686,54,3.355704697986577,4.847129008202833
GS,Goldman Sachs,0000886982,10-K,0000886982-23-000003,2023-02-24,2022-12-31,2022,gs-20221231.htm,https://www.sec.gov/Archives/edgar/data/886982/000088698223000003/gs-20221231.htm,164441,2,0.12162416915489446,22,1.337865860703839,60,3.648725074646834,5.108215104505567
GS,Goldman Sachs,0000886982,10-K,0000886982-24-000006,2024-02-23,2023-12-31,2023,gs-20231231.htm,https://www.sec.gov/Archives/edgar/data/886982/000088698224000006/gs-20231231.htm,168327,6,0.3564490545188829,22,1.3069798665692374,100,5.940817575314715,7.604246496402835
GS,Goldman Sachs,0000886982,10-K,0000886982-25-000005,2025-02-27,2024-12-31,2024,gs-20241231.htm,https://www.sec.gov/Archives/edgar/data/886982/000088698225000005/gs-20241231.htm,167243,11,0.6577255849273212,22,1.3154511698546425,101,6.039116734332677,8.01229348911464
GS,Goldman Sachs,0000886982,10-K,0000886982-26-000091,2026-02-25,2025-12-31,2025,gs-20251231.htm,https://www.sec.gov/Archives/edgar/data/886982/000088698226000091/gs-20251231.htm,164199,11,0.6699188180195982,22,1.3398376360391964,99,6.029269362176384,8.039025816235178
JPM,JPMorgan Chase,0000019617,10-K,0000019617-20-000257,2020-02-25,2019-12-31,2019,corp10k2019.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961720000257/corp10k2019.htm,176054,1,0.056800754314017286,32,1.8176241380485532,70,3.9760528019812105,5.85047769434378
JPM,JPMorgan Chase,0000019617,10-K,0000019617-21-000236,2021-02-23,2020-12-31,2020,jpm-20201231.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961721000236/jpm-20201231.htm,185772,2,0.10765885063411064,23,1.2380767822922722,88,4.736989427900868,6.082725060827251
JPM,JPMorgan Chase,0000019617,10-K,0000019617-22-000272,2022-02-22,2021-12-31,2021,jpm-20211231.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961722000272/jpm-20211231.htm,170886,2,0.11703708905352106,23,1.345926524115492,87,5.091113373828166,6.554076986997179
JPM,JPMorgan Chase,0000019617,10-K,0000019617-23-000231,2023-02-21,2022-12-31,2022,jpm-20221231.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961723000231/jpm-20221231.htm,170028,1,0.058813842425953375,25,1.4703460606488343,90,5.293245818335803,6.8224057214105915
JPM,JPMorgan Chase,0000019617,10-K,0000019617-24-000225,2024-02-16,2023-12-31,2023,jpm-20231231.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961724000225/jpm-20231231.htm,182590,6,0.32860507147160306,25,1.369187797798346,102,5.586286215017252,7.284079084287201
JPM,JPMorgan Chase,0000019617,10-K,0000019617-25-000270,2025-02-14,2024-12-31,2024,jpm-20241231.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961725000270/jpm-20241231.htm,178246,19,1.0659425737463954,25,1.4025560180873624,103,5.778530794519933,8.247029386353692
JPM,JPMorgan Chase,0000019617,10-K,0001628280-26-008131,2026-02-13,2025-12-31,2025,jpm-20251231.htm,https://www.sec.gov/Archives/edgar/data/19617/000162828026008131/jpm-20251231.htm,173477,10,0.5764452924595191,22,1.2681796434109422,105,6.052675570824951,7.897300506695412
MS,Morgan Stanley,0000895421,10-K,0000895421-20-000265,2020-02-27,2019-12-31,2019,msq4201910k.htm,https://www.sec.gov/Archives/edgar/data/895421/000089542120000265/msq4201910k.htm,116372,0,0.0,14,1.203038531605541,54,4.640291479049943,5.843330010655484
MS,Morgan Stanley,0000895421,10-K,0000895421-21-000286,2021-02-26,2020-12-31,2020,ms-20201231.htm,https://www.sec.gov/Archives/edgar/data/895421/000089542121000286/ms-20201231.htm,123000,0,0.0,14,1.1382113821138211,53,4.308943089430895,5.4471544715447155
MS,Morgan Stanley,0000895421,10-K,0000895421-22-000400,2022-02-24,2021-12-31,2021,ms-20211231.htm,https://www.sec.gov/Archives/edgar/data/895421/000089542122000400/ms-20211231.htm,115777,0,0.0,14,1.2092211751902364,50,4.318647054250844,5.527868229441081
