ticker,filing_date,report_year,pre_n,post_n,pre_ann_vol,post_ann_vol,post_pre_vol_ratio,combined_score
BAC,2020-02-19,2019,20,20,0.214578355221621,1.2020868293189477,5.602088002200443,3.3317936408175006
BAC,2021-02-24,2020,20,20,0.277694645142197,0.2966645305417297,1.0683120316915689,3.719306778436604
BAC,2022-02-22,2021,20,20,0.2559740371934344,0.46629154460000266,1.8216360913495127,3.901275643526459
BAC,2023-02-22,2022,20,20,0.15843175793747297,0.3838394217559148,2.422742932054075,3.8327997474861344
BAC,2024-02-20,2023,20,20,0.2373217311281052,0.1535746062300634,0.6471156497133611,5.656487470135979
BAC,2025-02-25,2024,20,20,0.15462596913056945,0.3612376544629435,2.336203009715055,6.8960290997271905
BAC,2026-02-25,2025,20,20,0.2751848360074887,0.24732052400473253,0.8987432868503048,5.377484246243335
C,2020-02-21,2019,20,20,0.2275426443524943,1.4187405868014935,6.235053613087456,3.888432838123924
C,2021-02-26,2020,20,20,0.2730191482447401,0.33241284417190237,1.2175440671799345,4.90417356316074
C,2022-02-28,2021,20,20,0.2610994751695967,0.2596222403060625,0.9943422526507392,4.077629244316116
C,2023-02-27,2022,20,20,0.17894607142782418,0.49566989317581617,2.7699400675344745,4.108685544995513
C,2024-02-23,2023,20,20,0.2690722675205406,0.16313097229645693,0.6062719647761684,5.342422574940833
C,2025-02-21,2024,20,20,0.2523245245340498,0.35573904576101734,1.409847284634484,5.4442973653870785
C,2026-02-20,2025,20,20,0.376091275973273,0.3662352021451101,0.9737933994808661,6.161780982918174
COF,2020-02-20,2019,20,20,0.2750651730721085,1.3595747070408373,4.942736631672466,2.018784307316651
COF,2021-02-25,2020,20,20,0.3051571621600716,0.30238612139195803,0.990919299588125,2.05794456076305
COF,2022-02-25,2021,20,20,0.2729968133702714,0.4990000343935913,1.827860289771174,2.1778653132338457
COF,2023-02-24,2022,20,20,0.3426043869803153,0.39447717381387637,1.151407246389234,2.3078476435913955
COF,2024-02-23,2023,20,20,0.25720755382592025,0.21928111421877441,0.8525453897329365,3.9118413214911234
COF,2025-02-20,2024,20,20,0.2592791145617786,0.4619703818256616,1.7817493036662913,4.1238530533695315
COF,2026-02-19,2025,20,20,0.3857410235620525,0.4859711835959012,1.2598379584009298,3.790457330280339
GS,2020-02-21,2019,20,20,0.21434937269518334,1.1943333388801793,5.571900322650291,5.283272610005284
GS,2021-02-22,2020,20,20,0.2676965451367843,0.2900367720243567,1.0834535495262265,4.841566119229936
GS,2022-02-25,2021,20,20,0.24006617295211058,0.3090023528988674,1.2871549085780967,4.847129008202833
GS,2023-02-24,2022,20,20,0.17122205058037782,0.3606270707883462,2.1061952567788857,5.108215104505567
GS,2024-02-23,2023,20,20,0.20455646028939758,0.21041176231414585,1.0286243808504725,7.604246496402835
GS,2025-02-27,2024,20,20,0.240577391470586,0.3952793726872845,1.643044553235224,8.01229348911464
GS,2026-02-25,2025,20,20,0.3188014999537721,0.3724639056948106,1.168325449374673,8.039025816235178
JPM,2020-02-25,2019,20,20,0.2013896365104085,1.3106179931184327,6.507872082338734,5.85047769434378
JPM,2021-02-23,2020,20,20,0.22668783570247536,0.25290160387627786,1.115638177463601,6.082725060827251
JPM,2022-02-22,2021,20,20,0.20570175914167524,0.4132410584293048,2.0089330307802022,6.554076986997179
JPM,2023-02-21,2022,20,20,0.14056848432280034,0.3818917794452157,2.716766715419955,6.8224057214105915
JPM,2024-02-16,2023,20,20,0.1490176149803264,0.12148684639198272,0.8152515822241663,7.284079084287201
JPM,2025-02-14,2024,20,20,0.15011558699570507,0.31394143071687747,2.091331333406834,8.247029386353692
JPM,2026-02-13,2025,20,20,0.282534167165746,0.2297075344671086,0.8130256838365071,7.897300506695412
MS,2020-02-27,2019,20,20,0.33559631270727563,1.4989061553160006,4.466396377314859,5.843330010655484
MS,2021-02-26,2020,20,20,0.28944902474890255,0.24924280049189038,0.8610939377256802,5.4471544715447155
MS,2022-02-24,2021,20,20,0.29035117114715514,0.4339069552564129,1.494421233233122,5.527868229441081
MS,2023-02-24,2022,20,20,0.13624113909122793,0.3625811944025152,2.661319457698666,5.657733250933527
MS,2024-02-22,2023,20,20,0.181675454591837,0.2759366480997865,1.5188438565887856,7.513731992952639
MS,2025-02-21,2024,20,20,0.23083121837175283,0.4212963235556264,1.8251271492971552,7.174035178702622
MS,2026-02-19,2025,20,20,0.30262805126092307,0.3733459731281672,1.233679335318033,7.52536567222275
PNC,2020-03-02,2019,20,20,0.33344367766916405,1.3728227443542154,4.11710533530134,2.277231898114958
PNC,2021-02-26,2020,20,20,0.3144444695137412,0.30477565393335254,0.9692511189802747,1.8645028489603532
PNC,2022-02-25,2021,20,20,0.22026713117630456,0.39887199186179817,1.8108557083922612,1.9217908015405076
PNC,2023-02-22,2022,20,20,0.1582353804502391,0.48254163469065664,3.0495179606333576,2.154790946799751
PNC,2024-02-21,2023,20,20,0.2508975094318996,0.2530330005960455,1.0085114083793865,3.201174284420431
PNC,2025-02-21,2024,20,20,0.17911788908868054,0.2581020068417846,1.4409616379188084,2.8753497046938143
PNC,2026-02-20,2025,20,20,0.22493465751791097,0.28919402511722875,1.285680153998505,3.4971006595694503
TFC,2020-03-03,2019,20,20,0.41068290195422175,1.5293971699061428,3.724034194334739,3.352019880945501
TFC,2021-02-24,2020,20,20,0.33074367613545314,0.29011130068617724,0.8771484433987025,3.219782342713633
TFC,2022-02-23,2021,20,20,0.24326788165152655,0.47793940645251937,1.9646630011649144,3.4513471387218884
TFC,2023-02-28,2022,20,20,0.20443491591665094,0.8128146499068951,3.9759091359828345,3.4527309988416643
TFC,2024-02-27,2023,20,20,0.22614143537992457,0.2796881633895429,1.2367842404451805,3.878540443990814
TFC,2025-02-25,2024,20,20,0.2012135193089248,0.2782353888131325,1.3827867519475934,4.1883747063029935
TFC,2026-02-24,2025,20,20,0.30750844169470776,0.2904696554466234,0.9445908341436676,4.879734867738853
USB,2020-02-20,2019,20,20,0.15815839052714797,1.1252752143178517,7.114862579008715,4.101482392922013
USB,2021-02-23,2020,20,20,0.3235275012847505,0.3250595707889153,1.0047355155221143,3.0219305819374895
USB,2022-02-22,2021,20,20,0.1961352570216726,0.4004260802963815,2.041581337169457,3.159415056869471
USB,2023-02-27,2022,20,20,0.14429946010372138,0.754911159603341,5.231559141390526,2.403268445085316
USB,2024-02-20,2023,20,20,0.2580573702345092,0.20403018717361018,0.7906388683578311,7.6973828898174625
USB,2025-02-21,2024,20,20,0.18000651137713497,0.28360189906810895,1.5755091129671936,7.624566352788685
USB,2026-02-23,2025,20,20,0.23552837972043533,0.23909421061600836,1.0151397080037894,6.701165258181006
WFC,2020-02-27,2019,20,20,0.22386638483779922,1.4003113537673293,6.255121128533499,0.0
WFC,2021-02-23,2020,20,20,0.3912218857213264,0.3628175567822653,0.9273958590361329,0.0
WFC,2022-02-22,2021,20,20,0.24327796286146783,0.522136584930059,2.146255167499016,0.0
WFC,2023-02-21,2022,20,20,0.172993125317547,0.46698122615957943,2.6994207157214283,0.0
WFC,2024-02-20,2023,20,20,0.3107314903230525,0.138468826322964,0.44562212274978846,0.3413202266366305
WFC,2025-02-25,2024,20,20,0.17644994669623162,0.3794760952595903,2.1506160946190565,0.7339180213570143
WFC,2026-02-24,2025,20,20,0.3133509514257062,0.31915128956656735,1.018510676653351,3.0564682509360437
