period,regime,n_obs,n_pos,n_neg,beta_pos,beta_neg,gamma_diff_neg_minus_pos,gamma_diff_hac_t,gamma_diff_p,news_impact_status,rolling_gjr_n_windows,rolling_gjr_mean_gamma,rolling_gjr_pct_negative,rolling_gjr_hac_t
train_2010_2018,safe_haven_stress,122,81,41,-0.08697357543878174,0.0032921180641069248,0.09026569350288867,0.7083039438721108,0.4787565284859423,ok,0,,,
train_2010_2018,liquidation_stress,27,19,8,,,,,,insufficient_observations,0,,,
train_2010_2018,neutral,2051,1043,1008,-0.08940633300892692,0.15117503432239204,0.24058136733131896,3.0821631021688627,0.002055022035981846,ok,27,-0.013119676133190232,55.55555555555556,-1.088687255364198
train_2010_2018,all,2200,1143,1057,-0.059963991525607004,0.14471682154046325,0.20468081306607025,2.677136286225367,0.007425442403000693,ok,27,-0.013119676133190232,55.55555555555556,-1.088687255364198
holdout_2019_2026,safe_haven_stress,166,100,66,-0.2242001645845857,-0.31120095608956333,-0.08700079150497764,-0.6630404946464047,0.5073046194119695,ok,4,-0.014614928398547531,75.0,
holdout_2019_2026,liquidation_stress,239,118,121,0.25730815031909215,0.3001201330167422,0.04281198269765002,0.2668743891731531,0.7895658761731137,ok,3,-0.046915295287704696,100.0,
holdout_2019_2026,neutral,1486,819,667,-0.13195676021268632,-0.0024547512766278506,0.12950200893605845,0.5050796980700969,0.6135028600691761,ok,23,-0.062449774334447594,95.65217391304348,-7.793616170237588
holdout_2019_2026,all,1891,1037,854,-0.03176965918580337,0.019147057268507402,0.05091671645431077,0.28641005339194403,0.7745640755901235,ok,30,-0.054518346971653295,93.33333333333333,-6.836331899868099
full_2010_2026,safe_haven_stress,288,181,107,-0.14739801184478094,-0.13981404757592247,0.007583964268858462,0.07513840149397635,0.9401045941944182,ok,4,-0.014614928398547531,75.0,
full_2010_2026,liquidation_stress,266,137,129,0.23178296530532105,0.29810881938174827,0.06632585407642722,0.42289751745403503,0.672370034167705,ok,3,-0.046915295287704696,100.0,
full_2010_2026,neutral,3537,1862,1675,-0.0976149091742686,0.05967849542261971,0.15729340459688831,1.2846733807960413,0.19890644402964264,ok,50,-0.03581152130576862,74.0,-3.262837691670175
full_2010_2026,all,4091,2180,1911,-0.03604685711284154,0.06647405593762502,0.10252091305046657,1.0685592244389908,0.2852683303434844,ok,57,-0.03490845025869711,75.43859649122807,-3.649774990923882
