end_date,period,regime,gamma,gamma_t,alpha,beta,status,n_obs
2012-04-03,train_2010_2018,neutral,-0.08043559263786855,-1.715691756876808,0.08043559263457979,0.9597822036862659,ok,504
2012-07-03,train_2010_2018,neutral,-0.06463256521386422,-1.5018524214559268,0.06534403508843822,0.966972247518494,ok,504
2012-10-02,train_2010_2018,neutral,-0.02838878069189235,-0.6593065631105511,0.06823138564691633,0.9329362132359011,ok,504
2013-01-04,train_2010_2018,neutral,-0.019737618678357893,-0.40410649233747026,0.06456698298748395,0.9341498584894594,ok,504
2013-04-08,train_2010_2018,neutral,-0.0022348670156555,-0.026982103018472498,0.07620961440246218,0.9095011906946262,ok,504
2013-07-08,train_2010_2018,neutral,-0.0026878141958889255,-0.08779746678974112,0.05484931143398061,0.9464945956639638,ok,504
2013-10-04,train_2010_2018,neutral,0.025752648434313862,0.6366651843459983,0.0,0.9799327743139408,ok,504
2014-01-06,train_2010_2018,neutral,0.025712761939764454,0.13941555094113595,1.8417215428257698e-10,0.9803117272302975,ok,504
2014-04-07,train_2010_2018,neutral,0.02433372202413201,0.11710490084485538,0.0,0.9817112020401247,ok,504
2014-07-08,train_2010_2018,neutral,0.02748608025533199,1.4098125664464545,1.856942570761404e-11,0.9777322479506835,ok,504
2014-10-06,train_2010_2018,neutral,0.028786366129698357,0.13600189773083224,0.0,0.9785270945115403,ok,504
2015-01-06,train_2010_2018,neutral,0.04911714659929223,1.396966022121536,0.0,0.9682679164198826,ok,504
2015-04-08,train_2010_2018,neutral,-0.006218724418445183,-0.1949598552721494,0.030913514242677582,0.9647705966708012,ok,504
2015-07-08,train_2010_2018,neutral,0.014368947874853287,0.3754527386032674,0.024759330517942726,0.9662108859087506,ok,504
2015-10-06,train_2010_2018,neutral,0.002935086404115937,0.04281713291619415,0.030885255027819206,0.9564055200302359,ok,504
2016-01-06,train_2010_2018,neutral,-0.04017970541505611,-0.5208903026345636,0.05411726461998014,0.9328179585517137,ok,504
2016-04-07,train_2010_2018,neutral,-0.045274062331725665,-0.5571712127748786,0.059352379695230946,0.9421697748344163,ok,504
2016-07-07,train_2010_2018,neutral,-0.05548248701991999,-0.9927014070144969,0.06061093570794947,0.9351922339113511,ok,504
2016-10-05,train_2010_2018,neutral,-0.0719038398631633,-0.8125646952173453,0.07190383986316587,0.9166166604098801,ok,504
2017-01-05,train_2010_2018,neutral,-0.0660139417401172,-1.5148425653648854,0.06601394180648307,0.9131158541811658,ok,504
2017-04-06,train_2010_2018,neutral,-0.043911111674516445,-0.6339099915974974,0.04665456033255864,0.9359515038755586,ok,504
2017-07-07,train_2010_2018,neutral,-0.015840518159463916,-0.45452605892537923,0.032850845573423944,0.9594350980605927,ok,504
2017-10-05,train_2010_2018,neutral,-0.011505269963527076,-0.4764378222253435,0.03274061117516926,0.9595292377120089,ok,504
2018-01-05,train_2010_2018,neutral,1.7781880950910378e-10,1.81000816034963e-08,0.0,0.9949631518486332,ok,504
2018-04-09,train_2010_2018,neutral,8.776352180990365e-13,8.672624049157001e-11,0.0,0.992196158477902,ok,504
2018-07-09,train_2010_2018,neutral,2.678794699514327e-12,1.7117489204184574e-10,0.0,0.9935950395876226,ok,504
2018-10-05,train_2010_2018,neutral,0.0017228835804486806,0.2188006686466745,2.2418331704348823e-11,0.9985459866892739,ok,504
2019-01-08,holdout_2019_2026,safe_haven_stress,1.218873731272731e-09,8.436686849175979e-08,2.3644352293704293e-09,0.9990473009391935,ok,504
2019-04-09,holdout_2019_2026,neutral,1.0432337823328034e-12,1.7141968036527141e-12,1.0483878410942396e-11,0.0,ok,504
2019-07-10,holdout_2019_2026,neutral,-0.04200583642441004,-1.111633766632843,0.04200583608132392,0.9283230043279429,ok,504
2019-10-08,holdout_2019_2026,neutral,-0.044446801375318416,-1.6432347005580161,0.0444468013753164,0.9563827567633595,ok,504
2020-01-08,holdout_2019_2026,neutral,-0.05553769209676909,-2.0552875674744073,0.05553769213485622,0.944616220783389,ok,504
2020-04-08,holdout_2019_2026,liquidation_stress,-0.04598595060167023,-1.2861402057518008,0.0923095768643744,0.9245440168756609,ok,504
2020-07-09,holdout_2019_2026,safe_haven_stress,-0.00752749143527675,-0.1613457781149745,0.08373371028235546,0.8930970361877751,ok,504
2020-10-07,holdout_2019_2026,neutral,-0.06931377520634532,-1.389554797652295,0.1333721738488797,0.8787260411340163,ok,504
2021-01-07,holdout_2019_2026,neutral,-0.10951648840536204,-2.318473615302835,0.14563436011251957,0.8992858920347125,ok,504
2021-04-09,holdout_2019_2026,neutral,-0.08083672130826414,-1.8462478783123284,0.12870379134314192,0.8999974579106907,ok,504
2021-07-09,holdout_2019_2026,neutral,-0.05203097171173196,-1.0488399762848832,0.11821041508023827,0.8733334106991055,ok,504
2021-10-07,holdout_2019_2026,liquidation_stress,-0.04099116831913637,-0.800283691231473,0.1095995115254571,0.87997792442254,ok,504
2022-01-06,holdout_2019_2026,neutral,-0.026171235003461055,-0.4495856403396623,0.09919678506180661,0.8586727502651524,ok,504
2022-04-07,holdout_2019_2026,liquidation_stress,-0.05376876694230749,-1.627333519991764,0.053768766942307485,0.9529396649067047,ok,504
2022-07-11,holdout_2019_2026,neutral,-0.031403180102002305,-0.252745731210738,0.031403180102002284,0.9759394301515166,ok,504
2022-10-07,holdout_2019_2026,neutral,-0.018754867442495247,-0.6828179507052865,0.01875486778528457,0.9785341874577794,ok,504
2023-01-09,holdout_2019_2026,safe_haven_stress,-0.017738823003085113,-0.1958289134699042,0.041423097914957206,0.6367855526864681,ok,504
2023-04-11,holdout_2019_2026,neutral,-0.05329325877936076,-1.4741966548657788,0.05329325877936087,0.8910631868397684,ok,504
2023-07-12,holdout_2019_2026,neutral,-0.08845806817279342,-0.023756849924406166,0.08845806816855052,0.8174955213798746,ok,504
2023-10-10,holdout_2019_2026,neutral,-0.10934785419106255,-1.1442066403942481,0.10934785419146877,0.8423030472740308,ok,504
2024-01-10,holdout_2019_2026,neutral,-0.1260789278665001,-1.406909470280728,0.1260789278665001,0.768654652556482,ok,504
2024-04-11,holdout_2019_2026,neutral,-0.09937911971916133,-0.6798158162672063,0.10182148518165364,0.7744632408410284,ok,504
