Date,2204.TW,2207.TW,2227.TW,9941.TW,^TWII
2023-01-03,43.0688591003418,541.4985961914062,165.25970458984375,120.26941680908203,14224.1201171875
2023-01-04,44.5919189453125,546.98681640625,165.69691467285156,123.3532485961914,14199.1298828125
2023-01-05,45.353450775146484,551.5602416992188,166.57130432128906,123.73873138427734,14301.0498046875
2023-01-06,45.6072998046875,558.8778076171875,167.44569396972656,122.96778106689453,14373.33984375
2023-01-09,46.6226692199707,576.2569580078125,170.06886291503906,124.12419891357422,14752.2099609375
2023-01-10,46.1995964050293,582.6598510742188,169.19447326660156,123.73873138427734,14802.9599609375
2023-01-11,45.522682189941406,568.0247802734375,169.6316680908203,126.82255554199219,14751.4404296875
2023-01-12,45.18422317504883,567.1100463867188,169.19447326660156,127.20803833007812,14731.6396484375
2023-01-13,45.18422317504883,570.768798828125,169.6316680908203,124.89515686035156,14824.1298828125
2023-01-16,46.114986419677734,573.5128784179688,173.56642150878906,125.66609954833984,14927.009765625
2023-01-17,48.06112289428711,572.5982055664062,170.94325256347656,125.66609954833984,14932.9296875
2023-01-30,50.68417739868164,604.6124877929688,174.8780059814453,127.20803833007812,15493.8203125
2023-01-31,51.10725021362305,600.0390014648438,177.06398010253906,128.3644561767578,15265.2001953125
2023-02-01,51.10725021362305,606.44189453125,177.93838500976562,132.99020385742188,15420.1298828125
2023-02-02,50.2611083984375,599.1243286132812,178.3755645751953,132.21926879882812,15595.16015625
2023-02-03,49.58418655395508,600.9537353515625,178.3755645751953,131.44830322265625,15602.66015625
2023-02-06,49.2457275390625,591.8067626953125,175.7523956298828,132.21926879882812,15392.8203125
2023-02-07,49.2457275390625,581.7451171875,175.7523956298828,131.8337860107422,15400.91015625
2023-02-08,48.314964294433594,587.2333374023438,174.00360107421875,133.76116943359375,15618.169921875
2023-02-09,47.7226676940918,581.7451171875,176.6267852783203,132.604736328125,15598.7099609375
2023-02-10,47.89189147949219,569.8541259765625,175.7523956298828,132.21926879882812,15586.650390625
2023-02-13,47.63804626464844,570.768798828125,173.1292266845703,131.44830322265625,15544.2802734375
2023-02-14,48.06112289428711,575.34228515625,173.56642150878906,131.44830322265625,15654.48046875
2023-02-15,48.65342712402344,569.8541259765625,174.00360107421875,130.2918701171875,15432.8896484375
2023-02-16,49.2457275390625,569.8541259765625,175.31520080566406,130.67735290527344,15550.5
2023-02-17,48.822654724121094,576.2569580078125,176.18959045410156,130.67735290527344,15479.7001953125
2023-02-20,49.58418655395508,575.34228515625,176.6267852783203,131.44830322265625,15551.23046875
2023-02-21,49.41495895385742,568.0247802734375,176.6267852783203,131.0628204345703,15563.0
2023-02-22,48.484195709228516,559.7925415039062,175.7523956298828,130.2918701171875,15418.76953125
2023-02-23,49.07649612426758,565.2806396484375,176.18959045410156,131.0628204345703,15615.41015625
2023-02-24,48.39958190917969,564.365966796875,178.3755645751953,131.0628204345703,15503.7900390625
2023-03-01,48.14573669433594,559.7925415039062,178.3755645751953,133.76116943359375,15598.490234375
2023-03-02,47.553436279296875,557.0484619140625,176.18959045410156,135.30308532714844,15598.7197265625
2023-03-03,47.97650909423828,557.963134765625,176.6267852783203,135.30308532714844,15608.419921875
2023-03-06,48.484195709228516,569.8541259765625,175.7523956298828,137.615966796875,15763.509765625
2023-03-07,48.738040924072266,574.4276123046875,177.50115966796875,140.3143310546875,15857.8896484375
2023-03-08,47.63804626464844,565.2806396484375,177.93838500976562,138.77239990234375,15818.2001953125
2023-03-09,46.96113204956055,563.4512939453125,177.50115966796875,138.77239990234375,15770.66015625
2023-03-10,45.6072998046875,549.7308959960938,176.18959045410156,138.00144958496094,15526.2001953125
2023-03-13,46.45344543457031,558.8778076171875,175.31520080566406,138.38693237304688,15560.490234375
2023-03-14,46.53805923461914,553.3896484375,175.7523956298828,135.30308532714844,15360.419921875
2023-03-15,50.007259368896484,547.9014892578125,173.56642150878906,135.68856811523438,15387.58984375
2023-03-16,48.14573669433594,544.24267578125,171.3804473876953,132.604736328125,15221.1201171875
2023-03-17,49.2457275390625,544.24267578125,168.320068359375,132.99020385742188,15452.9599609375
2023-03-20,49.49957275390625,542.413330078125,169.19447326660156,133.76116943359375,15419.9697265625
2023-03-21,52.122623443603516,547.9014892578125,169.19447326660156,134.53213500976562,15513.4501953125
2023-03-22,52.37647247314453,559.7925415039062,169.19447326660156,136.07406616210938,15760.4599609375
2023-03-23,54.49183654785156,568.9393920898438,168.320068359375,136.84500122070312,15863.9501953125
2023-03-24,54.66106414794922,572.5982055664062,170.5060577392578,135.68856811523438,15914.7001953125
2023-03-27,53.138004302978516,576.2569580078125,171.3804473876953,136.4595184326172,15830.3095703125
2023-03-28,53.391841888427734,576.2569580078125,171.3804473876953,136.4595184326172,15701.48046875
2023-03-29,53.73030471801758,579.0011596679688,170.06886291503906,138.00144958496094,15769.759765625
2023-03-30,54.06875991821289,575.34228515625,170.06886291503906,137.615966796875,15849.4296875
2023-03-31,54.06875991821289,587.2333374023438,171.817626953125,138.38693237304688,15868.0595703125
2023-04-06,53.47645950317383,578.08642578125,171.3804473876953,137.615966796875,15810.76953125
2023-04-07,54.49183654785156,582.6598510742188,170.5060577392578,138.00144958496094,15836.5
2023-04-10,54.153377532958984,585.4039916992188,170.94325256347656,137.615966796875,15876.169921875
