Date,CEW,FXA,FXB,FXE,FXY,UUP
2006-01-03,,,,104.27404022216797,,
2006-01-04,,,,105.2892074584961,,
2006-01-05,,,,105.06361389160156,,
2006-01-06,,,,105.52345275878906,,
2006-01-09,,,,104.9248275756836,,
2006-01-10,,,,104.8033218383789,,
2006-01-11,,,,105.30658721923828,,
2006-01-12,,,,104.50830841064453,,
2006-01-13,,,,105.3759765625,,
2006-01-17,,,,105.12434387207031,,
2006-01-18,,,,105.1590576171875,,
2006-01-19,,,,105.03760528564453,,
2006-01-20,,,,105.40198516845703,,
2006-01-23,,,,106.87699127197266,,
2006-01-24,,,,106.65141296386719,,
2006-01-25,,,,106.34773254394531,,
2006-01-26,,,,106.08744049072266,,
2006-01-27,,,,105.133056640625,,
2006-01-30,,,,105.03760528564453,,
2006-01-31,,,,105.63624572753906,,
2006-02-01,,,,104.85688781738281,,
2006-02-02,,,,105.13489532470703,,
2006-02-03,,,,104.50062561035156,,
2006-02-06,,,,103.96190643310547,,
2006-02-07,,,,104.04011535644531,,
2006-02-08,,,,103.95321655273438,,
2006-02-09,,,,104.21391296386719,,
2006-02-10,,,,103.48400115966797,,
2006-02-13,,,,103.5361557006836,,
2006-02-14,,,,103.63170623779297,,
2006-02-15,,,,103.36241912841797,,
2006-02-16,,,,103.44930267333984,,
2006-02-17,,,,103.8055191040039,,
2006-02-21,,,,103.66651916503906,,
2006-02-22,,,,103.57090759277344,,
2006-02-23,,,,103.6578140258789,,
2006-02-24,,,,103.2407455444336,,
2006-02-27,,,,103.09304809570312,,
2006-02-28,,,,103.74468231201172,,
2006-03-01,,,,103.70639038085938,,
2006-03-02,,,,104.81133270263672,,
2006-03-03,,,,104.77652740478516,,
2006-03-06,,,,104.62865447998047,,
2006-03-07,,,,103.48021697998047,,
2006-03-08,,,,103.85430145263672,,
2006-03-09,,,,103.76728057861328,,
2006-03-10,,,,103.81077575683594,,
2006-03-13,,,,104.17622375488281,,
2006-03-14,,,,104.6634292602539,,
2006-03-15,,,,105.15066528320312,,
2006-03-16,,,,106.08155822753906,,
2006-03-17,,,,106.26428985595703,,
2006-03-20,,,,106.02938842773438,,
2006-03-21,,,,105.33333587646484,,
2006-03-22,,,,105.26374816894531,,
2006-03-23,,,,104.38501739501953,,
2006-03-24,,,,104.915771484375,,
2006-03-27,,,,104.68953704833984,,
2006-03-28,,,,104.68953704833984,,
2006-03-29,,,,104.93314361572266,,
2006-03-30,,,,106.03807067871094,,
2006-03-31,,,,105.67264556884766,,
2006-04-03,,,,105.86700439453125,,
2006-04-04,,,,106.93009185791016,,
2006-04-05,,,,107.18280792236328,,
2006-04-06,,,,106.65998077392578,,
2006-04-07,,,,105.55333709716797,,
2006-04-10,,,,105.57070922851562,,
2006-04-11,,,,106.02384948730469,,
2006-04-12,,,,105.60558319091797,,
2006-04-13,,,,105.69269561767578,,
2006-04-17,,,,106.93009185791016,,
2006-04-18,,,,107.48779296875,,
2006-04-19,,,,108.13262939453125,,
2006-04-20,,,,107.57495880126953,,
2006-04-21,,,,107.78408813476562,,
2006-04-24,,,,108.3417739868164,,
2006-04-25,,,,108.54217529296875,,
2006-04-26,,,,108.7513656616211,,
2006-04-27,,,,109.45716857910156,,
2006-04-28,,,,110.32859802246094,,
2006-05-01,,,,109.91569519042969,,
2006-05-02,,,,110.2648696899414,,
2006-05-03,,,,110.31720733642578,,
2006-05-04,,,,111.04169464111328,,
2006-05-05,,,,111.22496795654297,,
2006-05-08,,,,111.032958984375,,
2006-05-09,,,,111.37335968017578,,
2006-05-10,,,,111.71376037597656,,
2006-05-11,,,,112.18509674072266,,
2006-05-12,,,,112.9793472290039,,
2006-05-15,,,,111.72248840332031,,
2006-05-16,,,,112.35094451904297,,
2006-05-17,,,,111.4519271850586,,
2006-05-18,,,,112.08039093017578,,
2006-05-19,,,,111.6613998413086,,
2006-05-22,,,,112.51677703857422,,
2006-05-23,,,,112.38582611083984,,
2006-05-24,,,,111.73119354248047,,
2006-05-25,,,,111.80976104736328,,
2006-05-26,,,,111.27735900878906,,
2006-05-30,,,,112.50801086425781,,
2006-05-31,,,,112.10655212402344,,
2006-06-01,,,,111.9054946899414,,
2006-06-02,,,,112.99829864501953,,
2006-06-05,,,,112.96328735351562,,
2006-06-06,,,,112.27267456054688,,
2006-06-07,,,,111.92296600341797,,
2006-06-08,,,,110.7339859008789,,
2006-06-09,,,,110.61155700683594,,
2006-06-12,,,,110.15695190429688,,
2006-06-13,,,,109.73726654052734,,
2006-06-14,,,,110.20069885253906,,
2006-06-15,,,,110.40174102783203,,
2006-06-16,,,,110.48921966552734,,
2006-06-19,,,,109.99079132080078,,
2006-06-20,,,,110.09573364257812,,
2006-06-21,,,,110.87378692626953,,
2006-06-22,,,,110.13069915771484,,
2006-06-23,,,,109.56246185302734,,
2006-06-26,,49.6918830871582,148.79417419433594,110.13069915771484,,
2006-06-27,,49.73927307128906,148.81048583984375,110.11322784423828,,
2006-06-28,,49.44791030883789,148.3292236328125,109.92088317871094,,
2006-06-29,,50.064422607421875,149.4549102783203,110.86507415771484,,
2006-06-30,,50.45063400268555,150.8580322265625,111.99288177490234,,
2006-07-03,,50.46079635620117,150.35494995117188,112.12073516845703,,
