ticker,date,stocktwits_messages,bullish_messages,bearish_messages
AMC,2026-06-26,340,214,10
AMC,2026-06-27,92,49,7
AMC,2026-06-28,18,14,0
GME,2026-06-26,347,206,8
GME,2026-06-27,96,55,3
GME,2026-06-28,7,3,0
KOSS,2025-04-17,1,0,0
KOSS,2025-04-22,1,1,0
KOSS,2025-04-29,2,1,0
KOSS,2025-05-09,1,0,0
KOSS,2025-05-12,1,0,0
KOSS,2025-05-13,1,1,0
KOSS,2025-05-14,1,1,0
KOSS,2025-05-16,4,4,0
KOSS,2025-05-20,27,19,0
KOSS,2025-05-21,6,6,0
KOSS,2025-05-22,4,1,0
KOSS,2025-05-23,1,1,0
KOSS,2025-05-24,2,1,0
KOSS,2025-05-26,1,0,0
KOSS,2025-05-27,2,0,0
KOSS,2025-05-28,2,1,0
KOSS,2025-06-01,1,1,0
KOSS,2025-06-03,2,2,0
KOSS,2025-06-04,1,0,0
KOSS,2025-06-05,2,1,0
KOSS,2025-06-08,2,0,0
KOSS,2025-06-09,1,0,0
KOSS,2025-06-10,1,0,0
KOSS,2025-06-12,3,3,0
KOSS,2025-06-20,5,3,0
KOSS,2025-06-21,1,1,0
KOSS,2025-06-24,1,0,0
KOSS,2025-07-09,1,1,0
KOSS,2025-07-10,2,2,0
KOSS,2025-07-11,1,1,0
KOSS,2025-07-15,3,1,0
KOSS,2025-07-21,2,1,0
KOSS,2025-07-22,10,7,0
KOSS,2025-07-23,125,68,2
KOSS,2025-07-24,10,2,0
KOSS,2025-07-25,5,4,0
KOSS,2025-07-28,1,0,0
KOSS,2025-07-30,1,0,0
KOSS,2025-08-04,1,0,0
KOSS,2025-08-08,1,1,0
KOSS,2025-08-14,3,3,0
KOSS,2025-08-15,1,1,0
KOSS,2025-08-18,5,1,0
KOSS,2025-08-19,13,7,0
KOSS,2025-08-20,4,0,0
KOSS,2025-08-21,7,0,0
KOSS,2025-08-22,3,1,1
KOSS,2025-08-26,3,2,0
KOSS,2025-08-28,2,0,0
KOSS,2025-08-29,2,0,0
KOSS,2025-09-03,3,0,0
KOSS,2025-09-08,2,1,0
KOSS,2025-09-09,5,2,0
KOSS,2025-09-10,4,3,0
KOSS,2025-09-13,1,0,0
KOSS,2025-09-16,1,0,0
KOSS,2025-09-24,1,1,0
KOSS,2025-09-25,1,0,0
KOSS,2025-09-26,2,0,0
KOSS,2025-09-27,1,0,0
KOSS,2025-09-28,1,1,0
KOSS,2025-10-02,1,1,0
KOSS,2025-10-06,1,1,0
KOSS,2025-10-09,1,1,0
KOSS,2025-10-15,1,1,0
KOSS,2025-10-22,5,2,0
KOSS,2025-10-23,1,1,0
KOSS,2025-10-24,3,3,0
KOSS,2025-10-27,2,1,0
KOSS,2025-10-30,1,1,0
KOSS,2025-10-31,1,1,0
KOSS,2025-11-05,1,0,0
KOSS,2025-11-08,1,0,0
KOSS,2025-11-10,5,2,0
KOSS,2025-11-14,1,0,0
KOSS,2025-11-16,2,2,0
KOSS,2025-11-20,1,0,0
KOSS,2025-11-24,2,2,0
KOSS,2025-11-26,1,1,0
KOSS,2025-11-30,1,0,0
KOSS,2025-12-04,1,1,0
KOSS,2025-12-05,1,1,0
KOSS,2025-12-09,1,0,0
KOSS,2025-12-10,1,1,0
KOSS,2025-12-12,2,2,0
KOSS,2025-12-14,1,0,0
KOSS,2025-12-18,2,1,0
KOSS,2025-12-19,2,1,0
