date,SPY,EFA,EEM,QQQ,0050.TW,^TWII,fx
2015-01-01,,,,,,,
2015-01-02,,,,,,,0.0
2015-01-05,-0.018059804527841505,-0.02360532077847799,-0.017797383305828696,-0.01466913876678999,,,0.0
2015-01-06,-0.009418739822411037,-0.011327170051322777,-0.004201734980871286,-0.013407895152723004,-0.024793637901938337,-0.024344173721964624,0.011383418509140375
2015-01-07,0.012460969910718989,0.01111494372385824,0.021624527239533453,0.01289111694628886,0.0015409212671748662,0.0035088389586352964,0.0001562970352104731
2015-01-08,0.01774508492466742,0.01352975283338509,0.017036653608923702,0.01913965849464816,0.023077007663012683,0.0173942287826514,0.00015633223354227788
2015-01-09,-0.008013651405580746,-0.00483921056994463,-0.0032994262750977166,-0.006582987515503347,-0.005263258176578578,-0.0024302039176717916,0.00015624818363724202
2015-01-12,-0.007833471287853722,-0.0023473541042420276,-0.008148631761686342,-0.010426772422222452,-0.006046558038501404,-0.004045371316341084,-0.0022500157356262207
2015-01-13,-0.002812627077554253,0.005041712224804984,0.008729094292261763,-0.0002954128083207941,0.0030414235947633372,0.005828992941028233,-0.00244296906227659
2015-01-14,-0.00603730617161069,-0.0028424830754302244,-0.005599180497066758,-0.005516165540924711,-0.00530674242175444,-0.005586079811114031,0.0
2015-01-15,-0.00916062800599493,0.006372431945984136,0.00230353976587927,-0.012975653015156352,0.0030487085147412607,-0.0016492716940021968,-0.0007849173698853962
2015-01-16,0.013114106191894237,0.012997711973090187,0.008426650645085187,0.011741521991360582,-0.00455920435823165,-0.0029241314526177176,-0.0014139850813875698
2015-01-19,,,,,0.011450338767468038,0.003914265739616507,-0.004436776105543494
2015-01-20,,,,,0.007547196335890849,0.008462035167679183,-0.0029710124483148803
2015-01-21,0.005048074044148532,0.007868940994545603,0.02206449462902893,0.005117042467308819,0.007490500591895488,0.007352152614694463,0.004596622520620652
2015-01-22,0.014871221476646879,0.0037410085495310774,0.019106043236967185,0.018503988901607205,0.005204640858443632,0.005343517049586355,-0.0045755902593891395
2015-01-23,-0.005482957952426704,-0.005671579956391559,-0.007547994423953597,0.002210839452355007,0.016272165295280194,0.010825554871702892,-0.0013631088119869794
2015-01-26,0.0023419754625211286,0.013689589901282995,0.0004908938322982781,-0.0011510962379386314,0.0,0.0007105442979671306,-0.0024443390793758013
2015-01-27,-0.01319064352030308,0.001446961553149606,-0.0053949609321097824,-0.025926561877806287,0.006550162238781798,0.004634063156549795,-0.0029593796943993
2015-01-28,-0.01282436772007478,-0.014930074188976405,-0.010848086578938654,-0.005125959648798029,0.0,-0.0011206080288292952,-0.0004468255661170817
2015-01-29,0.009243701667371873,0.013689589901282995,0.0,0.009611388461264303,-0.01229216189683524,-0.008833944030775642,9.573893527092814e-05
2015-01-30,-0.012574940932072898,-0.015755458756207874,-0.027417645438858163,-0.007753652929047727,-0.004392481479710941,-0.00689415621070244,0.00577892366610433
2015-02-02,0.012384058638809314,0.012087598897262408,0.017939655417489098,0.008704589438693233,0.0022062885793927567,0.0026789608319068847,0.0013966959917526278
2015-02-03,0.01446098152398001,0.01597787980403642,0.018882647384338647,0.009609704844954381,0.007336542691699144,0.006577242441534237,0.00412100012884542
2015-02-04,-0.003807561970841866,-0.008260446042621328,-0.004942537644917477,-0.0008740209513349306,0.010924861956369547,0.006899208998603301,-0.0018310570616727473
2015-02-05,0.010094869851107635,0.013775065777347661,0.005959666036872147,0.008651616803083906,-0.004322704062325933,-0.00019656730864969774,-0.004807401704705616
2015-02-06,-0.002765456042136516,-0.012482198001431799,-0.01703258454786105,-0.006071695376893893,-0.005065219232803342,-0.005873641404084751,0.001970389481977808
2015-02-09,-0.004475446470698086,-0.004799797393934879,-0.0015069534787687244,-0.0031997559513632368,-0.0036362980502656628,-0.0036673233445047027,-0.0014590055555582238
2015-02-10,0.010653261305334505,0.009164176042247618,-0.00251496910101634,0.015564010885912527,-0.0036494899227581534,-0.0029506902927813883,0.002318783857755191
2015-02-11,0.0005800612735498145,-0.005416659975213678,-0.0073121389335416564,0.0036396664213227403,0.010988731127870244,0.007294128997018978,-0.0018064051129877967
2015-02-12,0.00961670393576508,0.0155373163735395,0.021336004724112234,0.011643519478142572,0.0,0.0036027485664811287,0.001936657106508921
2015-02-13,0.004116595582438487,0.006624679633774333,0.011440056689947298,0.008584982298488697,0.006521684709562825,0.003496131343557307,-0.00982285451986753
2015-02-16,,,,,,,0.007072186634875299
2015-02-17,,,,,,,0.003876699817683571
2015-02-18,9.539294287397304e-05,0.005940098274356487,-0.0002466260297934175,0.0014016995335197624,,,0.001202839578040793
2015-02-19,-0.000714367848629216,0.001243298449705721,-0.0041901759595044386,0.004946436788326292,,,0.0
2015-02-20,0.006000897688970053,0.009312368727791176,0.006683116600834094,0.006685284245856904,,,0.0
2015-02-23,-0.00014201790300072403,-0.00353678607119412,-0.010081223958960495,0.0010149450816494543,,,0.0
2015-02-24,0.002840761499005362,0.006172659710753647,0.014406269412255313,0.0007371708207399852,,,0.0
2015-02-25,-0.0008498143298720784,0.0007668798057971493,-0.0019590689910311543,-0.002486271780019922,0.00782928633289881,0.0072870047249460335,0.0015808139657240705
2015-02-26,-0.0011810978946936723,-0.002758569570452396,0.00024577734278952157,0.0050769387761204765,-0.007062171197767642,-0.007983864334111357,-0.004861150078232623
2015-02-27,-0.003406433710611223,0.0004612119284879146,-0.0007358895344039551,-0.004408401746121338,,,-0.0008881519620747014
2015-03-02,0.006313520604571465,0.0015358681678698805,-0.0014727427191439935,0.0090405702052625,,,0.0
2015-03-03,-0.004104035473673329,-0.006134791729014211,-0.007620413659992109,-0.00466251512181437,-0.001428422024525644,0.0004592265790375194,0.0020319094868646026
2015-03-04,-0.004215622082723303,-0.004012472914918241,-0.010899259912567683,-0.0038582389555573693,0.0007152326663559805,0.0016616066487851189,-0.0019010032767332596
2015-03-05,0.001094064216147883,0.0023241661353001764,-0.0015029860410201712,0.0017522944442822652,-0.003573994418314075,-0.0027688103260385954,-0.0009523422600258291
2015-03-06,-0.014064220224554558,-0.01360324255774148,-0.015299632753291492,-0.011321789230447687,0.0014348031552462448,0.005281859830212232,0.0009214326544484397
2015-03-09,0.004144410258601683,0.0015670018057325485,-0.0038205296036312175,0.0028861346611279703,-0.010028611506445961,-0.00858297924426732,-0.0017777136229295554
2015-03-10,-0.01622170152278435,-0.021749243922413175,-0.022244907299894257,-0.018566680084969422,-0.0021707746590621246,-0.0027658051149013207,0.002130686470823262
2015-03-11,-0.0023420410976483508,0.002559209595320633,0.0075834749610337315,-0.005769877382740596,0.0014504099809315996,-0.0013999479589238417,0.0012058932425853541
2015-03-12,0.012714000214627985,0.012444299207250209,0.006229120700748769,0.006564211323134117,0.008689071847717722,0.0076465704618233765,0.0032012625862343214
2015-03-13,-0.0061318889982253655,-0.005830761899289882,-0.012122977956223746,-0.0043476284688769296,-0.0028715110743957606,-0.0017351466107294877,0.00022122135278390687
2015-03-16,0.013360145226500864,0.011253806682082645,0.012010696037142887,0.012910692071439467,-0.00791908422110188,-0.0069356254923307326,0.0013582432968970437
2015-03-17,-0.002972408026015394,-0.002507781189766911,0.011609881546558176,0.001593130119663444,0.0036283809824393387,0.0027888829849702645,-3.152741796341729e-05
