Date,open,high,low,close,prev_close,r_overnight,r_intra,r_c2c,r2_overnight,r2_intra,sigma2_fullday,parkinson
2009-01-05,5.475014873919103,5.696070671081543,4.758919867463963,5.696070671081543,5.116966247558594,0.06763325873386442,0.039581588778404175,0.10721484751226855,0.004574257686961848,0.0015667021702226913,0.006140959857184539,0.011654151215359385
2009-01-06,5.696069976065384,5.696069976065384,5.281980191862116,5.692956447601318,5.696070671081543,-1.2201677990764265e-07,-0.0005467593850094507,-0.000546881401789401,1.4888094579030107e-14,2.989458250959128e-07,2.9894583998400734e-07,0.0020545908113739782
2009-01-07,5.401848813967195,5.42831291734193,5.014223098754883,5.014223098754883,5.692956447601318,-0.05248843184217216,-0.07446277402013299,-0.12695120586230502,0.0027550354772503524,0.0055447047147733925,0.008299740192023744,0.002270948376769937
2009-01-08,5.230607016483379,5.263298763143013,4.695092678070068,4.695092678070068,5.014223098754883,0.042248841768316565,-0.10800948347561978,-0.06576064170730324,0.0017849646307642505,0.011666048520670182,0.013451013151434432,0.00470708285841957
2009-01-09,5.048471131671268,5.06248171347547,4.984645279862092,5.015779972076416,4.695092678070068,0.07256759904324182,-0.0064965140941883135,0.06607108494905341,0.005266056430900712,4.22046953759874e-05,0.005308261126276699,8.659124633691015e-05
2009-01-12,4.923932486417313,5.322454929351807,4.919262490595247,5.322454929351807,5.015779972076416,-0.01848144004992581,0.07782715270002896,0.059345712650103195,0.0003415636263190017,0.006057065697393625,0.0063986293237126264,0.002238219820338317
2009-01-13,5.322455014768899,5.322455014768899,4.92860285825818,5.084275722503662,5.322454929351807,1.6048438671321905e-08,-0.04578208061444881,-0.045782064566010194,2.5755238378718037e-16,0.002095998905387889,0.002095998905388147,0.002131725523940202
2009-01-14,5.084275642372759,5.412745475769043,5.057811540913644,5.412745475769043,5.084275722503662,-1.5760534557281897e-08,0.06260387631494037,0.0626038605544056,2.4839444953127686e-16,0.003919245329656352,0.0039192453296566,0.0016590629960724814
2009-01-15,5.412744803472085,5.412744803472085,4.818074592796034,4.825858116149902,5.412745475769043,-1.2420628353359366e-07,-0.11476775470010175,-0.11476787890638541,1.542720086922746e-14,0.013171637518902728,0.013171637518918155,0.004885237676875338
2009-01-16,4.856991619623416,4.8865692386971205,4.670184135437012,4.670184135437012,4.825858116149902,0.0064306710551213404,-0.03922073760646856,-0.032790066551347266,4.135353021917541e-05,0.0015382662583954573,0.0015796197886146328,0.0007398726349710154
2009-01-19,4.89591239506549,5.2508463859558105,4.885015043604806,5.2508463859558105,4.670184135437012,0.04720215155195866,0.06998862809689298,0.11719077964885154,0.002228043111134073,0.004898408062885197,0.00712645117401927,0.001881015659419972
2009-01-20,4.768259862112709,5.112297058105469,4.752692812700743,5.112297058105469,5.2508463859558105,-0.09640785042216923,0.06966739578501359,-0.026740454637155603,0.009294473623023356,0.0048535460354657296,0.014148019658489086,0.0019187386241450327
2009-01-21,4.732454259303088,4.75580512583319,4.671741946940349,4.748021602630615,5.112297058105469,-0.07720488651945846,0.003284087749536273,-0.07392079876992215,0.005960594502482459,1.0785232346654223e-05,0.005971379734829113,0.00011471276786403773
2009-02-02,4.7324550931006435,5.143431663513184,4.7324550931006435,5.143431663513184,4.748021602630615,-0.0032839115624173037,0.08327638049861268,0.07999246893619542,1.0784075149778057e-05,0.006934955548949718,0.006945739624099495,0.002501256494813789
2009-02-03,4.7822712453672045,4.927047085765464,4.7822712453672045,4.899025917053223,5.143431663513184,-0.07280490592413101,0.024120803329535735,-0.04868410259459513,0.0053005543266215665,0.0005818131532621422,0.005882367479883709,0.0003208142330289846
2009-02-04,4.556544959528012,4.95662418645996,4.556544959528012,4.9332733154296875,4.899025917053223,-0.07247174089219921,0.07943807421224815,0.0069663333200489525,0.0052521532279460595,0.006310407634550644,0.011562560862496704,0.0025546333383407414
2009-02-05,5.277309579747197,5.277309579747197,4.886570413891906,4.892797470092773,4.9332733154296875,0.06741369232683381,-0.07565219887840742,-0.008238506551573611,0.0045446059131370115,0.005723255195138109,0.010267861108275121,0.002134310257401959
2009-02-06,4.945725906991029,5.067150525014515,4.945725906991029,5.012665271759033,4.892797470092773,0.01075953077199226,0.013444013554032172,0.02420354432602452,0.00011576750243344835,0.00018074150044100076,0.0002965090028744491,0.0002121841301617184
2009-02-09,4.662402329439215,5.412745475769043,4.662402329439215,5.412745475769043,5.012665271759033,-0.07243692737015997,0.14922560915001867,0.07678868177985859,0.00524710844682983,0.022268282426194136,0.027515390873023966,0.008031585156346284
2009-02-10,5.0671518305871555,5.445436954498291,5.043801256251887,5.445436954498291,5.412745475769043,-0.06597755515424314,0.07199911128843804,0.006021556134195111,0.0043530377841311954,0.005183872026324887,0.009536909810456082,0.002117268899346887
2009-02-11,5.445436374871472,5.445436374871472,4.8149614334106445,4.8149614334106445,5.445436954498291,-1.0644267023640311e-07,-0.12304985994037806,-0.12304996638304838,1.1330042047055657e-14,0.015141268031346659,0.015141268031357989,0.005461058075398615
2009-02-12,5.157441664241229,5.3878374099731445,5.020449390563271,5.3878374099731445,4.8149614334106445,0.06871261949749435,0.04370342673044865,0.11241604622794314,0.0047214240782074415,0.0019099895079836935,0.006631413586191135,0.0017989825215908005
2009-02-13,5.387837510187439,5.387837510187439,4.684196146912811,5.180792331695557,5.3878374099731445,1.8600096179035414e-08,-0.03918609600914852,-0.03918607740905239,3.459635778693678e-16,0.0015355501204382055,0.0015355501204385514,0.007064134916372777
2009-02-16,5.18079381673965,5.531057834625245,5.141875592530139,5.531057834625244,5.180792331695557,2.8664416262394574e-07,0.06542079640273983,0.0654210830469026,8.216487596638305e-14,0.004279880601968737,0.004279880602050902,0.001919986457600575
2009-02-17,5.531056532162667,5.531056532162667,5.018893273492762,5.050027370452881,5.531057834625244,-2.3548166902330297e-07,-0.09098518876201632,-0.0909854242436854,5.5451616446000403e-14,0.008278304574059741,0.008278304574115193,0.0034054432170107715
2009-02-18,4.8258583715975965,5.067151171408517,4.704433441162109,4.704433441162109,5.050027370452881,-0.04540504334652795,-0.02548327036211189,-0.0708883137086398,0.002061617961300082,0.0006493970683484903,0.0027110150296485724,0.001989671079259647
2009-02-19,5.009553352917748,5.482799053192139,4.972191897147,5.482799053192139,4.704433441162109,0.06284141055275393,0.0902689866797966,0.1531103972325506,0.003949042880259773,0.008148489956197297,0.01209753283645707,0.003446611352821312
2009-02-20,5.028232891303776,5.345805644989014,4.981531155490015,5.345805644989014,5.482799053192139,-0.08654713815778133,0.06124365330458007,-0.02530348485320121,0.007490407123302088,0.0037507850700916013,0.01124119219339369,0.0017964527272133054
2009-02-23,5.345806042332687,5.345806042332687,4.648391699987968,5.050027370452881,5.345805644989014,7.432811534248166e-08,-0.05691867299882481,-0.05691859867070944,5.524668730365258e-15,0.0032397353359471487,0.0032397353359526733,0.007048119602311582
2009-02-24,4.9503970071820005,5.356703281402588,4.928602901013746,5.356703281402588,5.050027370452881,-0.019925886328656793,0.07888094958065962,0.05895506325200279,0.0003970409459825517,0.0062222042067465655,0.006619245152729117,0.0025022649063036334
2009-02-25,5.059368480628528,5.129421393744671,5.043801430533783,5.0967302322387695,5.356703281402588,-0.05710705710570651,0.007357533873844096,-0.049749523231862366,0.003261215971274424,5.413330470476332e-05,0.0033153492759791874,0.00010219461398812124
2009-02-26,5.096729573507603,5.137204254829692,5.068708411882764,5.106069564819336,5.0967302322387695,-1.2924584571808733e-07,0.0018308689202124581,0.0018307396743666956,1.6704488635383634e-14,3.3520810029999325e-06,3.3520810197044213e-06,6.49848789694798e-05
