date,overnight_gap,x_overnight,day_return,x_intraday,rv_fullday,rv_day,rv_night,day_close
2017-05-16,0.001195933967536278,2.762176895257209e-06,-0.001794437726050252,6.221205599023437e-06,8.983382494280645e-06,6.221205599023437e-06,2.2655585438431968e-06,10022.0
2017-05-17,-0.0028978286578806344,1.234388918147196e-05,0.0007002451143935023,1.0091851566574607e-05,2.2435740748046565e-05,1.0091851566574607e-05,2.271353448409543e-06,10000.0
2017-05-18,-0.009747351454880074,1.4065457583950026e-05,0.004835307093859504,1.8804480817577063e-05,3.286993840152709e-05,1.8804480817577063e-05,8.993052120851477e-06,9951.0
2017-05-19,0.0017069134120722815,1.3093107542475615e-05,-0.003618094399177154,7.053512404575322e-06,2.0146619947050936e-05,7.053512404575322e-06,1.2639658294848766e-05,9932.0
2017-05-22,0.0033170860188379233,3.232642640516945e-06,0.0010030091111691661,5.238542021051831e-06,8.471184661568775e-06,5.238542021051831e-06,2.9401992635921296e-06,9975.0
2017-05-23,0.0009018488511448012,2.0590259697963873e-06,0.0010011012949414973,9.376839014307457e-06,1.1435864984103844e-05,9.376839014307457e-06,1.6980881197148336e-06,9994.0
2017-05-24,0.0012999351863057598,1.939321163710754e-06,0.0012982475483997251,5.613302590872871e-06,7.552623754583625e-06,5.613302590872871e-06,1.7790648519023911e-06,10020.0
2017-05-25,0.002193201955794962,1.2823183701062081e-06,0.006451955480011823,6.67635098824561e-06,7.958669358351817e-06,6.67635098824561e-06,1.2624417305111873e-06,10107.0
2017-05-26,0.002273065168066554,3.415493257871811e-06,-0.0036592040038696174,1.2759453071070234e-05,1.6174946328942046e-05,1.2759453071070234e-05,3.0243122082689815e-06,10093.0
2017-05-31,-0.0007929428505472981,2.9959605680973723e-06,-0.005368873504826958,1.3275438920030362e-05,1.6271399488127736e-05,1.3275438920030362e-05,2.190451520230194e-06,10031.0
2017-06-01,-9.969592750391895e-05,5.806483701128531e-06,0.003880794959633676,8.774207548387496e-06,1.4580691249516028e-05,8.774207548387496e-06,5.518091963716722e-06,10069.0
2017-06-02,0.004360327986555456,4.083827075563193e-06,0.002173054983930025,6.410515084008256e-06,1.049434215957145e-05,6.410515084008256e-06,1.880560405171818e-06,10135.0
2017-06-03,0.00118331539298253,2.9858770399711244e-06,0.0009850276604181864,1.9330911949718367e-06,4.918968234942961e-06,1.9330911949718367e-06,2.733451351925846e-06,10157.0
2017-06-05,-0.0008864812203286076,7.858489539952974e-07,0.00511107855318986,1.7858579217099008e-05,1.8644428171094307e-05,1.7858579217099008e-05,,10200.0
2017-06-06,-0.0003922337763563644,2.564365054047347e-06,-0.0010794368350999048,4.783233249734075e-06,7.347598303781423e-06,4.783233249734075e-06,2.3720785047069808e-06,10185.0
2017-06-07,-0.0004910385563924552,2.758636053815911e-06,0.0011780877074307446,1.658555991641957e-05,1.934419597023548e-05,1.658555991641957e-05,2.7104350004745386e-06,10192.0
2017-06-08,0.0011767014497575208,2.608084542322139e-06,0.0006857702938360352,5.774983637421047e-06,8.383068179743187e-06,5.774983637421047e-06,2.2236169097528133e-06,10211.0
2017-06-09,0.0018590093901341535,2.6425934362064116e-06,-0.0037214811337275334,7.4056151304953325e-06,1.0048208566701744e-05,7.4056151304953325e-06,2.633003385193854e-06,10192.0
2017-06-12,-0.006200502125147395,1.9046456988528037e-05,-0.0008889328453405744,1.1582011844375002e-05,3.062846883290304e-05,1.1582011844375002e-05,1.8384647643252492e-05,10120.0
2017-06-13,0.00029639875729511205,1.3582942472753672e-05,0.001382033783648022,5.3716004005516905e-06,1.8954542873305363e-05,5.3716004005516905e-06,9.182610394142072e-06,10137.0
2017-06-14,0.0023647661034817196,2.2276718048305243e-06,-0.009492803411989563,3.055872323975341e-05,3.278639504458394e-05,3.055872323975341e-05,2.1307430574239247e-06,10065.0
2017-06-15,-0.001391927049152057,8.647584357684901e-06,0.002186444917941196,1.828296531249121e-05,2.693054967017611e-05,1.828296531249121e-05,7.619197938429516e-06,10073.0
2017-06-16,0.0004962532978621941,7.302260402723043e-06,0.0067247088860919015,9.416201251220137e-06,1.671846165394318e-05,9.416201251220137e-06,5.7940475748606625e-06,10146.0
2017-06-19,0.001772526313419502,5.5445918630933134e-06,0.007351893134761934,1.0250061883916162e-05,1.5794653747009474e-05,1.0250061883916162e-05,3.353683363024252e-06,10239.0
2017-06-20,0.003607120654957524,2.8374574249301896e-06,0.004466460478898289,1.7866526738940796e-05,2.0703984163870985e-05,1.7866526738940796e-05,2.287919062221126e-06,10322.0
2017-06-21,-0.004758445492408758,1.1062774079611653e-05,0.009301491342014377,2.1124972228313877e-05,3.218774630792553e-05,2.1124972228313877e-05,4.163807051444441e-06,10369.0
2017-06-22,-0.01662896294317706,0.00035563819394835973,0.0032307042638388636,1.9745835801970773e-05,0.0003753840297503305,1.9745835801970773e-05,9.819687533016724e-06,10231.0
2017-06-23,-0.000977899549863762,4.103357723988254e-06,-0.0005871990773538649,1.0004178722053352e-05,1.4107536446041606e-05,1.0004178722053352e-05,3.481880253413548e-06,10215.0
