Date,Close,High,Low,Open,Volume
2018-01-02,138.8843994140625,138.94757631831402,137.58490777693967,138.25269922170457,20489600
2018-01-03,139.02882385253906,139.38980530956368,138.54151609809904,138.8573593817067,21836600
2018-01-04,139.3988037109375,140.01245144050975,138.99271168165794,139.8500201368109,14207100
2018-01-05,139.6875762939453,139.8590407404933,138.920516625221,139.768805716543,19883900
2018-01-08,139.90414428710938,140.12073309836987,138.5234233191464,139.6334117155414,18457300
2018-01-09,139.7146453857422,140.32829304797698,139.6334159727738,140.0936654894809,16571300
2018-01-10,139.7327117919922,140.03051631175572,138.90247514751522,139.39881601378778,18516800
2018-01-11,142.13316345214844,142.2775560023677,139.85902898130524,139.94025839707328,26522400
2018-01-12,142.728759765625,143.36045990440203,142.10607899667684,142.29558215329482,24089800
2018-01-16,140.90585327148438,143.85681230833353,140.59902943206507,143.3604715269015,27704700
2018-01-17,142.241455078125,142.53024018688416,141.03219841776786,141.5014673344855,18571600
2018-01-18,141.2667694091797,142.13311061842742,141.13141004993457,141.88043063448566,17903600
2018-01-19,143.12588500976562,143.2071006781927,141.27589453206,141.43832586891415,31040900
2018-01-22,143.89292907714844,143.89292907714844,142.86415607958028,142.94537173911715,12702400
2018-01-23,144.35311889648438,144.65994266322556,143.1889731785132,143.70336634925118,16904600
2018-01-24,143.45973205566406,144.95777369087176,142.94533879042996,144.71411299839082,20340900
2018-01-25,143.5138397216797,144.31700409782775,142.773852230298,144.0643240988167,20290900
2018-01-26,144.0282440185547,144.10945964523881,143.2792233312907,143.96506712889263,16120300
2018-01-29,143.21607971191406,144.26290504356766,143.1438834369692,143.5409560641503,18293300
2018-01-30,141.84434509277344,142.78288267910366,141.43825318927767,142.27752264186196,24533800
2018-01-31,141.10435485839844,142.9633637185967,140.70728233097202,142.3497161907762,27468900
2018-02-01,141.5465545654297,141.87143084247035,140.3553369596045,140.53582072017636,21413000
2018-02-02,138.8212127685547,140.91484930435922,138.53242771808283,140.89681056622655,33314100
2018-02-05,133.48785400390625,138.78512997001206,133.43371024078232,137.77440967161496,52622200
2018-02-06,135.08514404296875,135.69879162836463,130.1668889104978,131.33102095692436,69232400
2018-02-07,135.22052001953125,136.07782837843297,134.11053159211178,135.01296434254115,37101000
2018-02-08,131.24978637695312,135.3648764168201,131.24978637695312,135.35585704893546,44704500
2018-02-09,132.45005798339844,133.50590264379377,128.5966663024463,132.44102484311884,53315300
