market,n_stocks,n_converged,canonical_theta_eav,canonical_theta_rel,canonical_loglik,k1216b_refined_theta_eav,k1216b_refined_theta_rel,k1216b_refined_loglik,k1216b_refined_source,k1216b_lbfgs_theta_eav,k1216b_lbfgs_theta_rel,k1216b_lbfgs_loglik,k1216b_lbfgs_basin,k1216b_hessian_se,k1216b_hessian_t,k1216b_hac_se,k1216b_hac_t,ll_gap_refined_vs_canonical,ll_gap_lbfgs_vs_canonical,lr_stat_refined,theta_shift_pct,max_sens_delta_pct,basin_A_frac,basin_B_frac,per_market_verdict
CH,10,78,0.00010701084944019206,0.3037377992879608,77922.50200605765,0.0005174439343513471,1.4687041799684284,78221.4730495874,Nelder-Mead,0.0003525718624431313,1.0007340578039818,77991.77711736636,B,4.19643657400179e-05,8.401696444726985,0.00011736432945424005,3.0040802353035034,298.97104352974566,69.27511130871426,597.9420870594913,383.5434323325734,46.76268570206991,0.5512820512820513,0.44871794871794873,FRAGILE
ID,10,64,9.669065670307561e-05,0.23765282907379492,76494.22826334642,0.0007798004185466868,1.9166461569254667,76676.90731226669,Nelder-Mead,0.0002886029059816972,0.7093477221495292,76524.30233578254,A,3.327277062046364e-05,8.67384652975664,0.00011343014863006406,2.5443227348924107,182.67904892026854,30.07407243612397,365.3580978405371,706.489939293051,170.19839453596512,0.46875,0.53125,FRAGILE
