market,ticker,converged,theta0,alpha,gamma,beta,persistence,theta_vix_noEAV,theta_vix_noEAV_se,theta_vix_noEAV_t,loglik_noEAV,theta_vix,theta_eav_full,theta_eav_full_se,theta_eav_full_t,loglik_full,LR_stat,LR_p,n_obs,n_events,sigma2_sample,analyst_count,market_cap,median_daily_turnover
TW,2330.TW,True,0.00016161543216204057,0.050736476431979816,0.050736409498548685,0.8468630652780629,0.922967746459317,2.7836803347935795e-07,2.80853060998559e-08,9.911518588746526,10789.391533138813,3.4466629465400036e-07,-2.532313647301927e-06,6.465572750986798e-05,-0.039166114818141,10788.026861884033,-2.729342509559501,1.0,3911,60,0.00025985349967299064,33.0,51605722365952.0,5083485395.53833
TW,2303.TW,True,0.00028600786962377757,0.04971512370860676,0.049714552754102255,0.8965746336640457,0.9711470337497036,4.302938853293049e-07,6.438735111379816e-08,6.682894666202432,10170.940910234896,4.624740982981924e-07,0.0013684129895576,0.0005608282696491,2.4399857560921836,10203.791536928124,65.70125338645448,5.551115123125783e-16,3911,60,0.00036545948205307264,20.0,756548173824.0,489784974.01189804
TW,6239.TW,True,0.00038661325636744963,0.049468207903433925,0.04946714216827343,0.8936057063060687,0.9678074852936394,9.72498036804247e-08,4.204368878705948e-08,2.313065444209,10086.289179711152,9.775206553709487e-08,-0.0001071132599356,5.274445619339652e-05,-2.0307965550515403,10088.035328789418,3.4922981565323425,0.06165493789176513,3911,60,0.0003762484492164116,8.0,161427144704.0,184921716.66378403
TW,2454.TW,True,0.00030947724033702324,0.037929693109004466,0.03789554904259172,0.842319152324885,0.8991966199551853,5.26894258881475e-07,4.5999796462526996e-08,11.454273701204333,9424.590465755879,5.297766241925819e-07,-4.313797318374628e-05,8.451852595900254e-05,-0.5103966579430319,9424.073704439888,-1.0335226319803041,1.0,3911,59,0.0005094605269575156,24.0,2585698500608.0,1908644049.6425018
TW,2379.TW,True,0.00029113072514889635,0.03952930880202605,0.0395289060383454,0.8430678726438263,0.902361634465025,5.35088456439317e-07,4.5380394986400446e-08,11.791181116860527,9494.535452870185,6.595828599919444e-07,-0.000166193828707,5.987449690362057e-05,-2.7757031340839498,9482.719868693956,-23.63116835245819,1.0,3911,60,0.00048803182415695654,16.0,270643806208.0,306153705.9650421
TW,3034.TW,True,0.00044282432445656646,0.049561121992283616,0.049560242493331234,0.8947229105654354,0.9690641538043846,3.3162018504602934e-07,7.539308288636131e-08,4.398549208365371,9570.97961876803,3.230831503900029e-07,0.0010108346439917,0.0002718965340143,3.7177180196723993,9599.586447717287,57.21365789851552,3.907985046680551e-14,3911,60,0.00047342042582531674,18.0,240057991168.0,343262805.8129883
TW,3035.TW,True,0.0006916325868257324,0.049689773728287714,0.04968915188868227,0.8962698253249838,0.9708041749976126,7.045749149422459e-07,1.310043240428642e-07,5.378256939913763,8525.48249679787,7.348938077777756e-07,0.0027834514942197,0.00065546816961,4.246509019462646,8579.70458769218,108.44418178862179,0.0,3911,60,0.0008562467058674519,7.0,38821998592.0,188723899.32849503
TW,3443.TW,True,0.0006256969416262634,0.05197602562625718,0.04978044166558681,0.9004347262092705,0.977300972668321,9.135831213986963e-07,1.5978677048901294e-07,5.717514150907224,8530.660885243888,8.069247700654275e-07,0.0004340210789627,0.0002176668614083,1.9939694823294736,8577.808567476084,94.29536446439306,0.0,3911,60,0.0008722185926539888,16.0,371880525824.0,355540489.06256866
TW,2388.TW,True,0.0008315689425315341,0.16529415470093012,4.600274041082214e-12,0.7103672555541807,0.875661410257411,7.36048304392597e-07,1.1188392369787488e-07,6.578677973255398,8023.786477772528,6.832927394128143e-07,-0.0001047920872915,0.0001962474807769,-0.5339792739081052,8004.733014932744,-38.10692567956903,1.0,3911,60,0.0011474129039160802,,30790764544.0,70226069.69035244
TW,2881.TW,True,0.0001404847459305736,0.049852739490771715,0.04985244437255717,0.898229332541398,0.9730082942184484,2.560033131923323e-07,3.580615274794111e-08,7.149701756412597,11335.396687780523,2.500282449450813e-07,3.5018420861855365e-05,4.053228422834147e-05,0.8639636657183354,11336.362983569308,1.9325915775698377,0.16447519196092786,3911,60,0.00021744049903159288,10.0,1214438440960.0,544284354.1551824
TW,2882.TW,True,0.00016065383798542706,0.06046350000295123,0.060463429536763556,0.8501569556313174,0.9408521704026505,1.7504923403204503e-07,2.581303363950187e-08,6.781428191538322,11200.91681866801,2.249916375717504e-07,9.992873763796924e-05,4.91320845232992e-05,2.033879462015935,11204.180081222215,6.52652510840926,0.010627738069340475,3911,60,0.00022224093881812598,9.0,1056183091200.0,578478305.317893
TW,2883.TW,True,0.00012396403248299184,0.09294924140066262,0.013926506029797359,0.8612791584676022,0.9611916528831634,3.157326974216765e-07,3.3712228619349066e-08,9.36552433203607,11330.500027201693,2.978699829359336e-07,-6.676187069632314e-06,4.113666990791147e-05,-0.1622928419966327,11320.37252950682,-20.25499538974691,1.0,3911,59,0.00022668611803987917,2.0,357320523776.0,195176184.63979053
TW,2886.TW,True,9.822572702836659e-05,0.04985565019501786,0.04985536091763989,0.898264331039851,0.9730476616936888,1.8542268157581785e-07,2.4340441491655857e-08,7.617884894954867,12069.108934181506,1.8531308027780866e-07,2.424005061478678e-05,2.9078003733211665e-05,0.8336215524692577,12069.89483614525,1.5718039274870534,0.2099452330098851,3911,59,0.00015271525510473228,8.0,584916729856.0,342089126.6033764
TW,2887.TW,True,6.611882571354884e-05,0.06394525956777049,0.0484505355602358,0.8814064084013264,0.9695769357492148,3.930886192041663e-07,3.284669469668467e-08,11.967372146088175,11852.488265253918,4.059991644704179e-07,-1.3517052482792378e-05,2.458408330325355e-05,-0.5498294289054692,11851.664857740818,-1.646815026200784,1.0,3911,60,0.0001872141874359024,4.0,600520523776.0,177892484.0479896
TW,2603.TW,True,0.0003160563262031399,0.05,0.05,0.9,0.9750000000000001,8.205489726223202e-07,2.9112414885653448e-09,281.8553444794047,9423.199715558581,8.079757014579027e-07,0.0008267164781047,0.000280347900512,2.9488948431390285,9438.931624440593,31.46381776402268,2.0319147031599982e-08,3911,60,0.0006321126524062798,8.0,433008574464.0,94793865.88936615
TW,2615.TW,True,0.002220389009299615,0.11509874812966651,0.0,0.882137735664,0.9972364837936665,3.3225365571463303e-06,7.097244984458284e-07,4.6814454966992125,9417.905324811834,1.0123754094209865e-06,4.408306037066177e-05,0.0001590564384621,0.2771535738942184,9403.822985110672,-28.16467940232542,1.0,3911,60,0.0006896123940087359,4.0,214670196736.0,42512478.76411438
TW,2609.TW,True,0.00040126313945885414,0.07774876277304915,0.07774682178124806,0.85601014773671,0.9726323214003832,1.0794792490630288e-06,1.318303371194073e-07,8.18839785022528,9307.989419878786,1.1970240136381655e-06,0.0009713659927451,0.0002807366833441,3.4600607985185636,9325.777952793273,35.57706582897299,2.4515692809146117e-09,3911,60,0.0007126496040877573,5.0,176700473344.0,80090384.90998888
