status,n,start,end,target,signal,binary_target,coef_per_1sd_signal,hac_t,p_value,r2,harvey_positive_pass,harvey_abs_pass,ticker,asset_label,primary,bh_q_all,bh_q_primary,positive_discovery_pass
ok,1602,2020-02-05,2026-06-22,log_rv_1d,forecast_revision_shock_z_l1,False,0.03317871562790075,1.6026879895375654,0.10900355648825315,0.1417179498743517,False,False,SPY,US equities,True,0.6540213389295189,0.6540213389295189,False
ok,1598,2020-02-05,2026-06-15,log_forward5_rv,forecast_revision_shock_z_l1,False,-0.0035292402726402553,-0.15821746652666574,0.8742854408075591,0.4245039642584303,False,False,SPY,US equities,True,0.9618998759912222,0.8742854408075592,False
ok,1598,2020-02-05,2026-06-15,left_tail5,forecast_revision_shock_z_l1,True,-0.008527604218432319,-2.648088059618566,0.008094843647271628,0.03632707724786444,False,False,SPY,US equities,True,0.1457071856508893,0.09713812376725953,False
ok,1602,2020-02-05,2026-06-22,log_rv_1d,chair_weighted_shock_z_l1,False,0.031762888599150926,1.5269991449811415,0.12676122398331027,0.14162561261513829,False,False,SPY,US equities,False,0.692109184707304,,False
ok,1598,2020-02-05,2026-06-15,log_forward5_rv,chair_weighted_shock_z_l1,False,-0.004647566879761525,-0.2038041014137732,0.8385065876467697,0.42451305909335935,False,False,SPY,US equities,False,0.9618998759912222,,False
ok,1598,2020-02-05,2026-06-15,left_tail5,chair_weighted_shock_z_l1,True,-0.009177496359825562,-2.9496739034713815,0.0031810949031394523,0.03656405424276621,False,False,SPY,US equities,False,0.10070573656636289,,False
ok,1602,2020-02-05,2026-06-22,log_rv_1d,growth_revision_z_l1,False,0.03201659634314831,1.6255467555089176,0.10404610980506195,0.14164472063854894,False,False,SPY,US equities,False,0.6540213389295189,,False
ok,1598,2020-02-05,2026-06-15,log_forward5_rv,growth_revision_z_l1,False,-0.011408829186028707,-0.6079614218363509,0.5432130606489698,0.424621515635467,False,False,SPY,US equities,False,0.9040125231821239,,False
ok,1598,2020-02-05,2026-06-15,left_tail5,growth_revision_z_l1,True,-0.0033214109288826903,-1.3176617079182833,0.18761691846564466,0.03505034699342546,False,False,SPY,US equities,False,0.7773460960465972,,False
ok,1602,2020-02-05,2026-06-22,log_rv_1d,inflation_revision_z_l1,False,0.028734904689870028,1.487596055865288,0.1368574542238223,0.14144528822638935,False,False,SPY,US equities,False,0.692109184707304,,False
ok,1598,2020-02-05,2026-06-15,log_forward5_rv,inflation_revision_z_l1,False,0.030770769732884472,1.0848106077094684,0.2780055463539386,0.4254364342294804,False,False,SPY,US equities,False,0.8340166390618157,,False
ok,1598,2020-02-05,2026-06-15,left_tail5,inflation_revision_z_l1,True,-0.005991104083878341,-1.6458613065018082,0.09979231684716762,0.03556582333263458,False,False,SPY,US equities,False,0.6540213389295189,,False
ok,1602,2020-02-05,2026-06-22,log_rv_1d,labor_revision_z_l1,False,0.002094818044065963,0.1044080204530112,0.9168455580699982,0.14062565401843663,False,False,SPY,US equities,False,0.9618998759912222,,False
ok,1598,2020-02-05,2026-06-15,log_forward5_rv,labor_revision_z_l1,False,0.0015249884904472294,0.06819836118978945,0.9456277315171541,0.42449387534334226,False,False,SPY,US equities,False,0.9618998759912222,,False
