ticker,n_top,n_rest,threshold_definition,signal_top_quintile_threshold,top_forward5_rv_mean,rest_forward5_rv_mean,diff_forward5_rv_mean,welch_t,welch_p,top_left_tail_rate,rest_left_tail_rate
SPY,48,1572,80th percentile among positive lagged speech-shock z-signal days,3.1483536462746082,0.0008673453431360887,0.0008258145977337192,4.153074540236951e-05,0.15188092058813724,0.8798703437552696,0.020833333333333332,0.05089058524173028
QQQ,48,1572,80th percentile among positive lagged speech-shock z-signal days,3.1483536462746082,0.0014254323348313277,0.0012414725504859463,0.00018395978434538143,0.5177863003939412,0.6068826734451243,0.041666666666666664,0.05025445292620865
TLT,48,1572,80th percentile among positive lagged speech-shock z-signal days,3.1483536462746082,0.0005702712491202987,0.0005509997039126431,1.9271545207655673e-05,0.2444879990369012,0.8076978319231904,0.041666666666666664,0.05025445292620865
IEF,48,1572,80th percentile among positive lagged speech-shock z-signal days,3.1483536462746082,0.00012039582343519724,0.00011015371855105813,1.0242104884139108e-05,0.6845776694586369,0.49655416091372867,0.0625,0.04961832061068702
