DATE,VALUE,RELEASE_DATE,SOURCE_SERIES
2017-12-01,-1.575,2017-12-07,STLFSI
2017-12-08,-1.546,2017-12-14,STLFSI
2017-12-15,-1.527,2017-12-21,STLFSI
2017-12-22,-1.461,2017-12-28,STLFSI
2017-12-29,-1.562,2018-01-04,STLFSI
2018-01-05,-1.569,2018-01-11,STLFSI
2018-01-12,-1.492,2018-01-18,STLFSI
2018-01-19,-1.463,2018-01-25,STLFSI
2018-01-26,-1.431,2018-02-01,STLFSI
2018-02-02,-1.353,2018-02-08,STLFSI
2018-02-09,-1.063,2018-02-15,STLFSI
2018-02-16,-1.146,2018-02-22,STLFSI
2018-02-23,-1.174,2018-03-01,STLFSI
2018-03-02,-1.112,2018-03-08,STLFSI
2018-03-09,-1.108,2018-03-15,STLFSI
2018-03-16,-1.116,2018-03-22,STLFSI
2018-03-23,-0.956,2018-03-29,STLFSI
2018-03-30,-0.919,2018-04-05,STLFSI
2018-04-06,-0.896,2018-04-12,STLFSI
2018-04-13,-0.97,2018-04-19,STLFSI
2018-04-20,-1.068,2018-04-26,STLFSI
2018-04-27,-1.042,2018-05-03,STLFSI
2018-05-04,-1.056,2018-05-10,STLFSI
2018-05-11,-1.122,2018-05-17,STLFSI
2018-05-18,-1.117,2018-05-24,STLFSI
2018-05-25,-1.148,2018-05-31,STLFSI
2018-06-01,-1.085,2018-06-07,STLFSI
2018-06-08,-1.151,2018-06-14,STLFSI
2018-06-15,-1.149,2018-06-21,STLFSI
2018-06-22,-1.142,2018-06-28,STLFSI
2018-06-29,-1.076,2018-07-05,STLFSI
2018-07-06,-1.118,2018-07-12,STLFSI
2018-07-13,-1.181,2018-07-19,STLFSI
2018-07-20,-1.218,2018-07-26,STLFSI
2018-07-27,-1.208,2018-08-02,STLFSI
2018-08-03,-1.214,2018-08-09,STLFSI
2018-08-10,-1.259,2018-08-16,STLFSI
2018-08-17,-1.239,2018-08-23,STLFSI
2018-08-24,-1.302,2018-08-30,STLFSI
2018-08-31,-1.308,2018-09-06,STLFSI
2018-09-07,-1.267,2018-09-13,STLFSI
2018-09-14,-1.295,2018-09-20,STLFSI
2018-09-21,-1.304,2018-09-27,STLFSI
2018-09-28,-1.295,2018-10-04,STLFSI
2018-10-05,-1.263,2018-10-11,STLFSI
2018-10-12,-1.108,2018-10-18,STLFSI
2018-10-19,-1.125,2018-10-25,STLFSI
2018-10-26,-0.997,2018-11-01,STLFSI
2018-11-02,-0.926,2018-11-08,STLFSI
2018-11-09,-0.998,2018-11-15,STLFSI
2018-11-16,-0.919,2018-11-23,STLFSI
2018-11-23,-0.849,2018-11-29,STLFSI
2018-11-30,-0.889,2018-12-06,STLFSI
2018-12-07,-0.815,2018-12-13,STLFSI
2018-12-14,-0.78,2018-12-20,STLFSI
2018-12-21,-0.639,2018-12-27,STLFSI
2018-12-28,-0.508,2019-01-03,STLFSI
2019-01-04,-0.667,2019-01-10,STLFSI
2019-01-11,-0.841,2019-01-17,STLFSI
2019-01-18,-0.907,2019-01-24,STLFSI
2019-01-25,-0.917,2019-01-31,STLFSI
2019-02-01,-0.991,2019-02-07,STLFSI
2019-02-08,-1.073,2019-02-14,STLFSI
2019-02-15,-1.126,2019-02-21,STLFSI
2019-02-22,-1.197,2019-02-28,STLFSI
2019-03-01,-1.216,2019-03-07,STLFSI
2019-03-08,-1.216,2019-03-14,STLFSI
2019-03-15,-1.256,2019-03-21,STLFSI
2019-03-22,-1.283,2019-03-28,STLFSI
2019-03-29,-1.226,2019-04-04,STLFSI
2019-04-05,-1.272,2019-04-11,STLFSI
2019-04-12,-1.311,2019-04-18,STLFSI
2019-04-19,-1.336,2019-04-25,STLFSI
2019-04-26,-1.336,2019-05-02,STLFSI
2019-05-03,-1.353,2019-05-09,STLFSI
2019-05-10,-1.263,2019-05-16,STLFSI
2019-05-17,-1.249,2019-05-23,STLFSI
2019-05-24,-1.244,2019-05-30,STLFSI
2019-05-31,-1.191,2019-06-06,STLFSI
2019-06-07,-1.189,2019-06-13,STLFSI
2019-06-14,-1.217,2019-06-20,STLFSI
2019-06-21,-1.246,2019-06-27,STLFSI
2019-06-28,-1.268,2019-07-05,STLFSI
2019-07-05,-1.377,2019-07-11,STLFSI
2019-07-12,-1.359,2019-07-18,STLFSI
2019-07-19,-1.334,2019-07-25,STLFSI
2019-07-26,-1.367,2019-08-01,STLFSI
2019-08-02,-1.355,2019-08-08,STLFSI
2019-08-09,-1.233,2019-08-15,STLFSI
2019-08-16,-1.179,2019-08-22,STLFSI
2019-08-23,-1.243,2019-08-29,STLFSI
2019-08-30,-1.266,2019-09-05,STLFSI
2019-09-06,-1.303,2019-09-12,STLFSI
2019-09-13,-1.312,2019-09-19,STLFSI
2019-09-20,-1.284,2019-09-26,STLFSI
2019-09-27,-1.271,2019-10-03,STLFSI
2019-10-04,-1.166,2019-10-10,STLFSI
2019-10-11,-1.184,2019-10-17,STLFSI
2019-10-18,-1.215,2019-10-24,STLFSI
2019-10-25,-1.285,2019-10-31,STLFSI
2019-11-01,-1.324,2019-11-07,STLFSI
2019-11-08,-1.301,2019-11-14,STLFSI
2019-11-15,-1.319,2019-11-21,STLFSI
2019-11-22,-1.325,2019-11-29,STLFSI
2019-11-29,-1.38,2019-12-05,STLFSI
2019-12-06,-1.333,2019-12-12,STLFSI
2019-12-13,-1.351,2019-12-19,STLFSI
2019-12-20,-1.432,2019-12-26,STLFSI
2019-12-27,-1.4,2020-01-02,STLFSI
2020-01-03,-1.419,2020-01-09,STLFSI
2020-01-10,-1.469,2020-01-16,STLFSI
2020-01-17,-1.567,2020-01-23,STLFSI
2020-01-24,-1.559,2020-01-30,STLFSI
2020-01-31,-1.463,2020-02-06,STLFSI
2020-02-07,-1.517,2020-02-13,STLFSI
2020-02-14,-1.604,2020-02-20,STLFSI
2020-02-21,-1.594,2020-02-27,STLFSI
2020-02-28,-1.208,2020-03-05,STLFSI
2020-03-06,-0.936,2020-03-12,STLFSI
2020-03-13,-0.07,2020-03-19,STLFSI
2020-04-03,2.7226,2020-04-09,STLFSI2
2020-04-10,2.0198,2020-04-16,STLFSI2
2020-04-17,1.2984,2020-04-23,STLFSI2
2020-04-24,1.955,2020-04-30,STLFSI2
2020-05-01,0.865,2020-05-07,STLFSI2
2020-05-08,0.6123,2020-05-14,STLFSI2
2020-05-15,0.6166,2020-05-21,STLFSI2
2020-05-22,0.1198,2020-05-28,STLFSI2
2020-05-29,-0.1172,2020-06-04,STLFSI2
2020-06-05,-0.3833,2020-06-11,STLFSI2
2020-06-12,-0.007,2020-06-18,STLFSI2
2020-06-19,0.2131,2020-06-25,STLFSI2
2020-06-26,0.2526,2020-07-02,STLFSI2
2020-07-03,0.1558,2020-07-09,STLFSI2
2020-07-10,-0.1394,2020-07-16,STLFSI2
2020-07-17,-0.1726,2020-07-23,STLFSI2
2020-07-24,-0.4612,2020-07-30,STLFSI2
2020-07-31,-0.2931,2020-08-06,STLFSI2
2020-08-07,-0.4098,2020-08-13,STLFSI2
2020-08-14,-0.4647,2020-08-20,STLFSI2
2020-08-21,-0.2468,2020-08-27,STLFSI2
2020-08-28,-0.4738,2020-09-03,STLFSI2
2020-09-04,-0.32,2020-09-10,STLFSI2
2020-09-11,-0.1387,2020-09-17,STLFSI2
2020-09-18,-0.385,2020-09-24,STLFSI2
2020-09-25,-0.0022,2020-10-01,STLFSI2
2020-10-02,-0.3593,2020-10-08,STLFSI2
2020-10-09,-0.5148,2020-10-15,STLFSI2
2020-10-16,-0.3568,2020-10-22,STLFSI2
2020-10-23,-0.2833,2020-10-29,STLFSI2
2020-10-30,0.1029,2020-11-05,STLFSI2
2020-11-06,-0.3909,2020-11-12,STLFSI2
2020-11-13,-0.8328,2020-11-19,STLFSI2
2020-11-20,-0.4733,2020-11-27,STLFSI2
2020-11-27,-0.6546,2020-12-03,STLFSI2
2020-12-04,-0.6852,2020-12-10,STLFSI2
2020-12-11,-0.6199,2020-12-17,STLFSI2
2020-12-18,-0.5545,2020-12-24,STLFSI2
2020-12-25,-0.5823,2020-12-31,STLFSI2
2021-01-01,-0.6969,2021-01-07,STLFSI2
2021-01-08,-0.6911,2021-01-14,STLFSI2
2021-01-15,-0.7384,2021-01-21,STLFSI2
2021-01-22,-0.7417,2021-01-28,STLFSI2
2021-01-29,-0.4489,2021-02-04,STLFSI2
2021-02-05,-0.7656,2021-02-11,STLFSI2
2021-02-12,-0.9186,2021-02-18,STLFSI2
2021-02-19,-0.8002,2021-02-25,STLFSI2
2021-02-26,-0.5901,2021-03-04,STLFSI2
2021-03-05,-0.5661,2021-03-11,STLFSI2
2021-03-12,-0.6639,2021-03-18,STLFSI2
2021-03-19,-0.6925,2021-03-25,STLFSI2
2021-03-26,-0.7036,2021-04-01,STLFSI2
2021-04-02,-0.8136,2021-04-08,STLFSI2
2021-04-09,-0.9184,2021-04-15,STLFSI2
2021-04-16,-0.8656,2021-04-22,STLFSI2
2021-04-23,-0.8052,2021-04-29,STLFSI2
2021-04-30,-0.9257,2021-05-06,STLFSI2
2021-05-07,-0.9396,2021-05-13,STLFSI2
2021-05-14,-0.8694,2021-05-20,STLFSI2
2021-05-21,-0.8527,2021-05-27,STLFSI2
2021-05-28,-0.9691,2021-06-03,STLFSI2
2021-06-04,-1.0062,2021-06-10,STLFSI2
2021-06-11,-0.979,2021-06-17,STLFSI2
2021-06-18,-0.9253,2021-06-24,STLFSI2
2021-06-25,-0.9771,2021-07-01,STLFSI2
2021-07-02,-1.019,2021-07-08,STLFSI2
2021-07-09,-0.8917,2021-07-15,STLFSI2
2021-07-16,-0.9812,2021-07-22,STLFSI2
2021-07-23,-0.7332,2021-07-29,STLFSI2
2021-07-30,-0.9473,2021-08-05,STLFSI2
2021-08-06,-0.8717,2021-08-12,STLFSI2
2021-08-13,-1.0606,2021-08-19,STLFSI2
2021-08-20,-0.8255,2021-08-26,STLFSI2
2021-08-27,-1.0031,2021-09-02,STLFSI2
2021-09-03,-0.9963,2021-09-09,STLFSI2
2021-09-10,-0.971,2021-09-16,STLFSI2
2021-09-17,-0.9386,2021-09-23,STLFSI2
2021-09-24,-0.7951,2021-09-30,STLFSI2
2021-10-01,-0.8858,2021-10-07,STLFSI2
2021-10-08,-0.8827,2021-10-14,STLFSI2
2021-10-15,-0.9785,2021-10-21,STLFSI2
2021-10-22,-1.1357,2021-10-28,STLFSI2
2021-10-29,-1.0052,2021-11-04,STLFSI2
2021-11-05,-0.8724,2021-11-11,STLFSI2
2021-11-12,-0.9572,2021-11-18,STLFSI2
2021-11-19,-0.8622,2021-11-25,STLFSI2
2021-11-26,-0.644,2021-12-02,STLFSI2
2021-12-03,-0.3137,2021-12-09,STLFSI2
2021-12-10,-0.8564,2021-12-16,STLFSI2
2021-12-17,-0.6257,2021-12-23,STLFSI2
2021-12-24,-0.694,2021-12-30,STLFSI2
2021-12-31,-0.9201,2022-01-06,STLFSI2
