DATE,VALUE,RELEASE_DATE,SOURCE_SERIES
2017-12-01,-0.73,2017-12-06,ANFCI
2017-12-08,-0.72,2017-12-13,ANFCI
2017-12-15,-0.72,2017-12-20,ANFCI
2017-12-22,-0.74,2017-12-28,ANFCI
2017-12-29,-0.74,2018-01-04,ANFCI
2018-01-05,-0.76,2018-01-10,ANFCI
2018-01-12,-0.78,2018-01-18,ANFCI
2018-01-19,-0.76,2018-01-24,ANFCI
2018-01-26,-0.73,2018-01-31,ANFCI
2018-02-02,-0.69,2018-02-07,ANFCI
2018-02-09,-0.61,2018-02-14,ANFCI
2018-02-16,-0.57,2018-02-22,ANFCI
2018-02-23,-0.56,2018-02-28,ANFCI
2018-03-02,-0.56,2018-03-07,ANFCI
2018-03-09,-0.56,2018-03-14,ANFCI
2018-03-16,-0.55,2018-03-21,ANFCI
2018-03-23,-0.5,2018-03-28,ANFCI
2018-03-30,-0.48,2018-04-04,ANFCI
2018-04-06,-0.47,2018-04-11,ANFCI
2018-04-13,-0.47,2018-04-18,ANFCI
2018-04-20,-0.52,2018-04-25,ANFCI
2018-04-27,-0.53,2018-05-02,ANFCI
2018-05-04,-0.52,2018-05-09,ANFCI
2018-05-11,-0.55,2018-05-16,ANFCI
2018-05-18,-0.58,2018-05-23,ANFCI
2018-05-25,-0.58,2018-05-31,ANFCI
2018-06-01,-0.53,2018-06-06,ANFCI
2018-06-08,-0.52,2018-06-13,ANFCI
2018-06-15,-0.52,2018-06-20,ANFCI
2018-06-22,-0.53,2018-06-27,ANFCI
2018-06-29,-0.51,2018-07-05,ANFCI
2018-07-06,-0.51,2018-07-11,ANFCI
2018-07-13,-0.52,2018-07-18,ANFCI
2018-07-20,-0.55,2018-07-25,ANFCI
2018-07-27,-0.56,2018-08-01,ANFCI
2018-08-03,-0.6,2018-08-08,ANFCI
2018-08-10,-0.65,2018-08-15,ANFCI
2018-08-17,-0.67,2018-08-22,ANFCI
2018-08-24,-0.68,2018-08-29,ANFCI
2018-08-31,-0.69,2018-09-06,ANFCI
2018-09-07,-0.71,2018-09-12,ANFCI
2018-09-14,-0.71,2018-09-19,ANFCI
2018-09-21,-0.73,2018-09-26,ANFCI
2018-09-28,-0.73,2018-10-03,ANFCI
2018-10-05,-0.76,2018-10-11,ANFCI
2018-10-12,-0.76,2018-10-17,ANFCI
2018-10-19,-0.74,2018-10-24,ANFCI
2018-10-26,-0.7,2018-10-31,ANFCI
2018-11-02,-0.65,2018-11-07,ANFCI
2018-11-09,-0.65,2018-11-15,ANFCI
2018-11-16,-0.64,2018-11-21,ANFCI
2018-11-23,-0.62,2018-11-28,ANFCI
2018-11-30,-0.58,2018-12-05,ANFCI
2018-12-07,-0.54,2018-12-12,ANFCI
2018-12-14,-0.51,2018-12-19,ANFCI
2018-12-21,-0.5,2018-12-27,ANFCI
2018-12-28,-0.54,2019-01-03,ANFCI
2019-01-04,-0.6,2019-01-09,ANFCI
2019-01-11,-0.59,2019-01-16,ANFCI
2019-01-18,-0.58,2019-01-24,ANFCI
2019-01-25,-0.57,2019-01-30,ANFCI
2019-02-01,-0.58,2019-02-06,ANFCI
2019-02-08,-0.61,2019-02-13,ANFCI
2019-02-15,-0.66,2019-02-21,ANFCI
2019-02-22,-0.69,2019-02-27,ANFCI
2019-03-01,-0.67,2019-03-06,ANFCI
2019-03-08,-0.69,2019-03-13,ANFCI
2019-03-15,-0.71,2019-03-20,ANFCI
2019-03-22,-0.72,2019-03-27,ANFCI
2019-03-29,-0.69,2019-04-03,ANFCI
2019-04-05,-0.67,2019-04-10,ANFCI
2019-04-12,-0.68,2019-04-17,ANFCI
2019-04-19,-0.69,2019-04-24,ANFCI
2019-04-26,-0.7,2019-05-01,ANFCI
2019-05-03,-0.69,2019-05-08,ANFCI
2019-05-10,-0.68,2019-05-15,ANFCI
2019-05-17,-0.68,2019-05-22,ANFCI
2019-05-24,-0.67,2019-05-30,ANFCI
2019-05-31,-0.65,2019-06-05,ANFCI
2019-06-07,-0.68,2019-06-12,ANFCI
2019-06-14,-0.67,2019-06-19,ANFCI
2019-06-21,-0.67,2019-06-26,ANFCI
2019-06-28,-0.67,2019-07-03,ANFCI
2019-07-05,-0.69,2019-07-10,ANFCI
2019-07-12,-0.69,2019-07-17,ANFCI
2019-07-19,-0.68,2019-07-24,ANFCI
2019-07-26,-0.7,2019-07-31,ANFCI
2019-08-02,-0.69,2019-08-07,ANFCI
2019-08-09,-0.67,2019-08-14,ANFCI
2019-08-16,-0.64,2019-08-21,ANFCI
2019-08-23,-0.64,2019-08-28,ANFCI
2019-08-30,-0.6,2019-09-05,ANFCI
2019-09-06,-0.65,2019-09-11,ANFCI
2019-09-13,-0.68,2019-09-18,ANFCI
2019-09-20,-0.69,2019-09-25,ANFCI
2019-09-27,-0.68,2019-10-02,ANFCI
2019-10-04,-0.64,2019-10-09,ANFCI
2019-10-11,-0.64,2019-10-17,ANFCI
2019-10-18,-0.65,2019-10-23,ANFCI
2019-10-25,-0.7,2019-10-30,ANFCI
2019-11-01,-0.69,2019-11-06,ANFCI
2019-11-08,-0.63,2019-11-14,ANFCI
2019-11-15,-0.61,2019-11-20,ANFCI
2019-11-22,-0.61,2019-11-27,ANFCI
2019-11-29,-0.62,2019-12-04,ANFCI
2019-12-06,-0.62,2019-12-11,ANFCI
2019-12-13,-0.61,2019-12-18,ANFCI
2019-12-20,-0.58,2019-12-26,ANFCI
2019-12-27,-0.58,2020-01-08,ANFCI
2020-01-03,-0.58,2020-01-08,ANFCI
2020-01-10,-0.58,2020-01-15,ANFCI
2020-01-17,-0.63,2020-01-23,ANFCI
2020-01-24,-0.63,2020-01-29,ANFCI
2020-01-31,-0.63,2020-02-05,ANFCI
2020-02-07,-0.67,2020-02-12,ANFCI
2020-02-14,-0.71,2020-02-20,ANFCI
2020-02-21,-0.73,2020-02-26,ANFCI
2020-02-28,-0.62,2020-03-04,ANFCI
2020-03-06,-0.49,2020-03-11,ANFCI
2020-03-13,-0.23,2020-03-18,ANFCI
2020-03-20,0.31,2020-03-25,ANFCI
2020-03-27,0.61,2020-04-01,ANFCI
2020-04-03,0.48,2020-04-08,ANFCI
2020-04-10,0.26,2020-04-15,ANFCI
