DATE,VALUE
2017-12-01,26.86
2017-12-02,10.26
2017-12-03,8.51
2017-12-04,20.41
2017-12-05,68.33
2017-12-06,5.84
2017-12-07,16.87
2017-12-08,6.67
2017-12-09,11.0
2017-12-10,9.57
2017-12-11,10.69
2017-12-12,7.93
2017-12-13,17.07
2017-12-14,22.81
2017-12-15,82.57
2017-12-16,87.35
2017-12-17,76.14
2017-12-18,41.47
2017-12-19,8.01
2017-12-20,5.56
2017-12-21,39.72
2017-12-22,7.34
2017-12-23,12.13
2017-12-24,54.87
2017-12-25,20.56
2017-12-26,41.35
2017-12-27,13.95
2017-12-28,12.77
2017-12-29,23.07
2017-12-30,47.6
2017-12-31,89.84
2018-01-01,16.72
2018-01-02,9.12
2018-01-03,12.52
2018-01-04,70.37
2018-01-05,34.79
2018-01-06,20.95
2018-01-07,47.03
2018-01-08,9.66
2018-01-09,7.52
2018-01-10,23.41
2018-01-11,5.75
2018-01-12,12.85
2018-01-13,10.71
2018-01-14,142.24
2018-01-15,11.35
2018-01-16,32.33
2018-01-17,11.59
2018-01-18,5.63
2018-01-19,20.46
2018-01-20,53.38
2018-01-21,28.1
2018-01-22,30.07
2018-01-23,36.23
2018-01-24,10.65
2018-01-25,31.49
2018-01-26,18.43
2018-01-27,30.72
2018-01-28,44.74
2018-01-29,44.75
2018-01-30,41.47
2018-01-31,27.74
2018-02-01,16.34
2018-02-02,25.71
2018-02-03,21.0
2018-02-04,9.29
2018-02-05,31.03
2018-02-06,129.13
2018-02-07,49.18
2018-02-08,54.51
2018-02-09,57.46
2018-02-10,159.9
2018-02-11,158.05
2018-02-12,48.26
2018-02-13,14.08
2018-02-14,5.3
2018-02-15,5.29
2018-02-16,12.44
2018-02-17,10.49
2018-02-18,27.1
2018-02-19,21.58
2018-02-20,75.14
2018-02-21,16.06
2018-02-22,10.99
2018-02-23,19.08
2018-02-24,10.07
2018-02-25,9.25
2018-02-26,10.01
2018-02-27,36.37
2018-02-28,15.99
2018-03-01,20.79
2018-03-02,18.36
2018-03-03,30.29
2018-03-04,8.93
2018-03-05,9.74
2018-03-06,29.91
2018-03-07,5.59
2018-03-08,16.63
2018-03-09,6.45
2018-03-10,10.44
2018-03-11,130.77
2018-03-12,29.17
2018-03-13,6.86
2018-03-14,16.5
2018-03-15,11.0
2018-03-16,6.33
2018-03-17,10.54
2018-03-18,9.48
2018-03-19,8.91
2018-03-20,22.31
2018-03-21,5.64
2018-03-22,5.38
2018-03-23,19.44
2018-03-24,10.74
2018-03-25,9.48
2018-03-26,10.25
2018-03-27,14.75
2018-03-28,5.79
2018-03-29,5.5
2018-03-30,6.81
2018-03-31,55.49
2018-04-01,29.31
2018-04-02,20.97
2018-04-03,37.57
2018-04-04,52.08
2018-04-05,56.15
2018-04-06,57.54
2018-04-07,194.4
2018-04-08,125.79
2018-04-09,30.52
2018-04-10,14.75
2018-04-11,20.97
2018-04-12,21.24
2018-04-13,18.55
2018-04-14,51.99
2018-04-15,18.53
2018-04-16,20.16
2018-04-17,7.17
2018-04-18,71.71
2018-04-19,5.32
2018-04-20,18.72
2018-04-21,10.28
2018-04-22,9.68
2018-04-23,27.74
2018-04-24,21.26
2018-04-25,5.38
2018-04-26,10.26
2018-04-27,6.16
2018-04-28,9.49
2018-04-29,8.98
2018-04-30,8.75
2018-05-01,7.04
2018-05-02,43.79
2018-05-03,21.44
2018-05-04,17.84
2018-05-05,20.91
2018-05-06,37.8
2018-05-07,10.16
2018-05-08,7.29
2018-05-09,10.89
2018-05-10,10.5
2018-05-11,6.42
2018-05-12,10.79
2018-05-13,37.47
2018-05-14,20.24
2018-05-15,14.96
2018-05-16,38.33
2018-05-17,15.86
2018-05-18,6.41
2018-05-19,10.71
2018-05-20,9.36
2018-05-21,10.48
2018-05-22,21.35
2018-05-23,238.98
2018-05-24,16.05
2018-05-25,6.38
2018-05-26,10.95
2018-05-27,19.82
2018-05-28,16.23
2018-05-29,35.31
2018-05-30,23.28
2018-05-31,15.62
2018-06-01,50.05
2018-06-02,11.19
2018-06-03,19.83
2018-06-04,10.61
2018-06-05,7.33
2018-06-06,5.54
2018-06-07,16.33
2018-06-08,6.71
2018-06-09,11.46
2018-06-10,9.97
2018-06-11,10.68
2018-06-12,7.28
2018-06-13,5.9
2018-06-14,10.8
2018-06-15,18.66
2018-06-16,11.35
2018-06-17,19.75
2018-06-18,10.41
2018-06-19,82.58
2018-06-20,12.02
2018-06-21,5.7
2018-06-22,13.61
2018-06-23,23.78
2018-06-24,61.12
2018-06-25,22.24
2018-06-26,8.33
2018-06-27,24.45
2018-06-28,12.02
2018-06-29,42.54
2018-06-30,12.04
2018-07-01,10.52
2018-07-02,33.27
2018-07-03,8.5
2018-07-04,45.79
2018-07-05,33.91
2018-07-06,90.81
2018-07-07,127.44
2018-07-08,125.27
2018-07-09,50.44
2018-07-10,26.9
2018-07-11,6.69
2018-07-12,32.79
2018-07-13,7.55
2018-07-14,12.97
2018-07-15,11.33
2018-07-16,12.34
2018-07-17,27.13
2018-07-18,13.15
2018-07-19,12.63
2018-07-20,23.12
2018-07-21,25.85
2018-07-22,11.42
2018-07-23,12.14
2018-07-24,27.7
2018-07-25,6.61
2018-07-26,26.16
2018-07-27,7.68
2018-07-28,13.1
2018-07-29,11.42
2018-07-30,12.58
2018-07-31,9.22
2018-08-01,6.59
2018-08-02,12.9
2018-08-03,7.43
2018-08-04,25.75
2018-08-05,10.96
2018-08-06,11.86
2018-08-07,9.03
2018-08-08,13.01
2018-08-09,6.56
2018-08-10,7.77
2018-08-11,12.9
