week_end,obs_date,release_date,value
2017-12-08,2017-12-01,2017-12-07,-1.575
2017-12-15,2017-12-08,2017-12-14,-1.546
2017-12-22,2017-12-15,2017-12-21,-1.527
2017-12-29,2017-12-22,2017-12-28,-1.461
2018-01-05,2017-12-29,2018-01-04,-1.562
2018-01-12,2018-01-05,2018-01-11,-1.569
2018-01-19,2018-01-12,2018-01-18,-1.492
2018-01-26,2018-01-19,2018-01-25,-1.463
2018-02-02,2018-01-26,2018-02-01,-1.431
2018-02-09,2018-02-02,2018-02-08,-1.353
2018-02-16,2018-02-09,2018-02-15,-1.063
2018-02-23,2018-02-16,2018-02-22,-1.146
2018-03-02,2018-02-23,2018-03-01,-1.174
2018-03-09,2018-03-02,2018-03-08,-1.112
2018-03-16,2018-03-09,2018-03-15,-1.108
2018-03-23,2018-03-16,2018-03-22,-1.116
2018-03-30,2018-03-23,2018-03-29,-0.956
2018-04-06,2018-03-30,2018-04-05,-0.919
2018-04-13,2018-04-06,2018-04-12,-0.896
2018-04-20,2018-04-13,2018-04-19,-0.97
2018-04-27,2018-04-20,2018-04-26,-1.068
2018-05-04,2018-04-27,2018-05-03,-1.042
2018-05-11,2018-05-04,2018-05-10,-1.056
2018-05-18,2018-05-11,2018-05-17,-1.122
2018-05-25,2018-05-18,2018-05-24,-1.117
2018-06-01,2018-05-25,2018-05-31,-1.148
2018-06-08,2018-06-01,2018-06-07,-1.085
2018-06-15,2018-06-08,2018-06-14,-1.151
2018-06-22,2018-06-15,2018-06-21,-1.149
2018-06-29,2018-06-22,2018-06-28,-1.142
2018-07-06,2018-06-29,2018-07-05,-1.076
2018-07-13,2018-07-06,2018-07-12,-1.118
2018-07-20,2018-07-13,2018-07-19,-1.181
2018-07-27,2018-07-20,2018-07-26,-1.218
2018-08-03,2018-07-27,2018-08-02,-1.208
2018-08-10,2018-08-03,2018-08-09,-1.214
2018-08-17,2018-08-10,2018-08-16,-1.259
2018-08-24,2018-08-17,2018-08-23,-1.239
2018-08-31,2018-08-24,2018-08-30,-1.302
2018-09-07,2018-08-31,2018-09-06,-1.308
2018-09-14,2018-09-07,2018-09-13,-1.267
2018-09-21,2018-09-14,2018-09-20,-1.295
2018-09-28,2018-09-21,2018-09-27,-1.304
2018-10-05,2018-09-28,2018-10-04,-1.295
2018-10-12,2018-10-05,2018-10-11,-1.263
2018-10-19,2018-10-12,2018-10-18,-1.108
2018-10-26,2018-10-19,2018-10-25,-1.125
2018-11-02,2018-10-26,2018-11-01,-0.997
2018-11-09,2018-11-02,2018-11-08,-0.926
2018-11-16,2018-11-09,2018-11-15,-0.998
2018-11-23,2018-11-16,2018-11-23,-0.919
2018-11-30,2018-11-23,2018-11-29,-0.849
2018-12-07,2018-11-30,2018-12-06,-0.889
2018-12-14,2018-12-07,2018-12-13,-0.815
2018-12-21,2018-12-14,2018-12-20,-0.78
2018-12-28,2018-12-21,2018-12-27,-0.639
2019-01-04,2018-12-28,2019-01-03,-0.508
2019-01-11,2019-01-04,2019-01-10,-0.667
2019-01-18,2019-01-11,2019-01-17,-0.841
2019-01-25,2019-01-18,2019-01-24,-0.907
2019-02-01,2019-01-25,2019-01-31,-0.917
2019-02-08,2019-02-01,2019-02-07,-0.991
2019-02-15,2019-02-08,2019-02-14,-1.073
2019-02-22,2019-02-15,2019-02-21,-1.126
2019-03-01,2019-02-22,2019-02-28,-1.197
2019-03-08,2019-03-01,2019-03-07,-1.216
2019-03-15,2019-03-08,2019-03-14,-1.216
2019-03-22,2019-03-15,2019-03-21,-1.256
2019-03-29,2019-03-22,2019-03-28,-1.283
2019-04-05,2019-03-29,2019-04-04,-1.226
2019-04-12,2019-04-05,2019-04-11,-1.272
2019-04-19,2019-04-12,2019-04-18,-1.311
2019-04-26,2019-04-19,2019-04-25,-1.336
2019-05-03,2019-04-26,2019-05-02,-1.336
2019-05-10,2019-05-03,2019-05-09,-1.353
2019-05-17,2019-05-10,2019-05-16,-1.263
2019-05-24,2019-05-17,2019-05-23,-1.249
2019-05-31,2019-05-24,2019-05-30,-1.244
2019-06-07,2019-05-31,2019-06-06,-1.191
2019-06-14,2019-06-07,2019-06-13,-1.189
2019-06-21,2019-06-14,2019-06-20,-1.217
2019-06-28,2019-06-21,2019-06-27,-1.246
2019-07-05,2019-06-28,2019-07-05,-1.268
2019-07-12,2019-07-05,2019-07-11,-1.377
2019-07-19,2019-07-12,2019-07-18,-1.359
2019-07-26,2019-07-19,2019-07-25,-1.334
2019-08-02,2019-07-26,2019-08-01,-1.367
2019-08-09,2019-08-02,2019-08-08,-1.355
2019-08-16,2019-08-09,2019-08-15,-1.233
2019-08-23,2019-08-16,2019-08-22,-1.179
2019-08-30,2019-08-23,2019-08-29,-1.243
2019-09-06,2019-08-30,2019-09-05,-1.266
2019-09-13,2019-09-06,2019-09-12,-1.303
2019-09-20,2019-09-13,2019-09-19,-1.312
2019-09-27,2019-09-20,2019-09-26,-1.284
2019-10-04,2019-09-27,2019-10-03,-1.271
2019-10-11,2019-10-04,2019-10-10,-1.166
2019-10-18,2019-10-11,2019-10-17,-1.184
2019-10-25,2019-10-18,2019-10-24,-1.215
2019-11-01,2019-10-25,2019-10-31,-1.285
2019-11-08,2019-11-01,2019-11-07,-1.324
2019-11-15,2019-11-08,2019-11-14,-1.301
2019-11-22,2019-11-15,2019-11-21,-1.319
2019-11-29,2019-11-22,2019-11-29,-1.325
2019-12-06,2019-11-29,2019-12-05,-1.38
2019-12-13,2019-12-06,2019-12-12,-1.333
2019-12-20,2019-12-13,2019-12-19,-1.351
2019-12-27,2019-12-20,2019-12-26,-1.432
2020-01-03,2019-12-27,2020-01-02,-1.4
2020-01-10,2020-01-03,2020-01-09,-1.419
2020-01-17,2020-01-10,2020-01-16,-1.469
2020-01-24,2020-01-17,2020-01-23,-1.567
2020-01-31,2020-01-24,2020-01-30,-1.559
2020-02-07,2020-01-31,2020-02-06,-1.463
2020-02-14,2020-02-07,2020-02-13,-1.517
2020-02-21,2020-02-14,2020-02-20,-1.604
2020-02-28,2020-02-21,2020-02-27,-1.594
2020-03-06,2020-02-28,2020-03-05,-1.208
2020-03-13,2020-03-06,2020-03-12,-0.936
2020-03-20,2020-03-13,2020-03-19,-0.07
2020-03-27,2020-03-13,2020-03-19,-0.07
2020-04-03,2020-03-13,2020-03-19,-0.07
2020-04-10,2020-04-03,2020-04-09,2.7226
2020-04-17,2020-04-10,2020-04-16,2.0198
2020-04-24,2020-04-17,2020-04-23,1.2984
2020-05-01,2020-04-24,2020-04-30,1.955
2020-05-08,2020-05-01,2020-05-07,0.865
2020-05-15,2020-05-08,2020-05-14,0.6123
2020-05-22,2020-05-15,2020-05-21,0.6166
2020-05-29,2020-05-22,2020-05-28,0.1198
2020-06-05,2020-05-29,2020-06-04,-0.1172
2020-06-12,2020-06-05,2020-06-11,-0.3833
2020-06-19,2020-06-12,2020-06-18,-0.007
2020-06-26,2020-06-19,2020-06-25,0.2131
2020-07-03,2020-06-26,2020-07-02,0.2526
2020-07-10,2020-07-03,2020-07-09,0.1558
2020-07-17,2020-07-10,2020-07-16,-0.1394
2020-07-24,2020-07-17,2020-07-23,-0.1726
2020-07-31,2020-07-24,2020-07-30,-0.4612
2020-08-07,2020-07-31,2020-08-06,-0.2931
2020-08-14,2020-08-07,2020-08-13,-0.4098
2020-08-21,2020-08-14,2020-08-20,-0.4647
2020-08-28,2020-08-21,2020-08-27,-0.2468
2020-09-04,2020-08-28,2020-09-03,-0.4738
