DATE,VALUE
2017-12-01,-0.7854
2017-12-08,-0.7149
2017-12-15,-0.6518
2017-12-22,-0.6131
2017-12-29,-0.5115
2018-01-05,-0.6306
2018-01-12,-0.7108
2018-01-19,-0.6518
2018-01-26,-0.6629
2018-02-02,-0.5074
2018-02-09,0.096
2018-02-16,-0.2652
2018-02-23,-0.3445
2018-03-02,-0.0757
2018-03-09,-0.1001
2018-03-16,-0.029
2018-03-23,0.2511
2018-03-30,0.3336
2018-04-06,0.332
2018-04-13,0.132
2018-04-20,-0.0698
2018-04-27,-0.0336
2018-05-04,0.001
2018-05-11,-0.2425
2018-05-18,-0.3024
2018-05-25,-0.2358
2018-06-01,0.0566
2018-06-08,-0.3954
2018-06-15,-0.3454
2018-06-22,-0.2783
2018-06-29,-0.066
2018-07-06,-0.1951
2018-07-13,-0.4243
2018-07-20,-0.4609
2018-07-27,-0.5444
2018-08-03,-0.4506
2018-08-10,-0.5568
2018-08-17,-0.4504
2018-08-24,-0.6335
2018-08-31,-0.6779
2018-09-07,-0.6041
2018-09-14,-0.7182
2018-09-21,-0.8176
2018-09-28,-0.7543
2018-10-05,-0.7903
2018-10-12,-0.4464
2018-10-19,-0.5089
2018-10-26,-0.2143
2018-11-02,-0.2278
2018-11-09,-0.4738
2018-11-16,-0.0274
2018-11-23,0.0517
2018-11-30,-0.1475
2018-12-07,0.2022
2018-12-14,0.261
2018-12-21,0.5395
2018-12-28,0.6676
2019-01-04,0.3106
2019-01-11,-0.1814
2019-01-18,-0.1494
2019-01-25,-0.1266
2019-02-01,-0.147
2019-02-08,-0.2928
2019-02-15,-0.3585
2019-02-22,-0.5247
2019-03-01,-0.5851
2019-03-08,-0.4673
2019-03-15,-0.5722
2019-03-22,-0.5832
2019-03-29,-0.3222
2019-04-05,-0.6738
2019-04-12,-0.657
2019-04-19,-0.7751
2019-04-26,-0.636
2019-05-03,-0.6753
2019-05-10,-0.3818
2019-05-17,-0.3574
2019-05-24,-0.478
2019-05-31,-0.1863
2019-06-07,-0.2086
2019-06-14,-0.4329
2019-06-21,-0.3448
2019-06-28,-0.3396
2019-07-05,-0.5278
2019-07-12,-0.4532
2019-07-19,-0.3647
2019-07-26,-0.4929
2019-08-02,-0.2673
2019-08-09,0.2426
2019-08-16,0.1954
2019-08-23,-0.0937
2019-08-30,-0.0537
2019-09-06,-0.0994
2019-09-13,-0.349
2019-09-20,-0.154
2019-09-27,0.0993
2019-10-04,0.3627
2019-10-11,0.1355
2019-10-18,-0.137
2019-10-25,-0.1342
2019-11-01,-0.07
2019-11-08,-0.1016
2019-11-15,-0.1092
2019-11-22,-0.0577
2019-11-29,-0.1952
2019-12-06,-0.0979
2019-12-13,-0.2735
2019-12-20,-0.3721
2019-12-27,-0.1869
2020-01-03,-0.2334
2020-01-10,-0.3595
2020-01-17,-0.5275
2020-01-24,-0.4159
2020-01-31,-0.1277
2020-02-07,-0.4673
2020-02-14,-0.5752
2020-02-21,-0.4512
2020-02-28,0.6613
2020-03-06,1.3314
2020-03-13,3.5033
2020-03-20,5.6638
2020-03-27,5.3766
2020-04-03,3.1612
2020-04-10,2.6161
2020-04-17,1.8811
2020-04-24,2.4072
2020-05-01,1.2454
2020-05-08,0.9461
2020-05-15,0.919
2020-05-22,0.4326
2020-05-29,0.2043
2020-06-05,-0.0884
2020-06-12,0.276
2020-06-19,0.4811
2020-06-26,0.5071
2020-07-03,0.4193
2020-07-10,0.1189
2020-07-17,0.0725
2020-07-24,-0.2195
2020-07-31,-0.0698
2020-08-07,-0.1992
2020-08-14,-0.2604
2020-08-21,-0.0612
2020-08-28,-0.2625
2020-09-04,-0.1126
2020-09-11,0.0593
2020-09-18,-0.126
2020-09-25,0.2582
2020-10-02,-0.0699
2020-10-09,-0.2308
2020-10-16,-0.0849
2020-10-23,0.0161
2020-10-30,0.3931
2020-11-06,-0.0693
2020-11-13,-0.4761
2020-11-20,-0.1566
2020-11-27,-0.3928
2020-12-04,-0.4398
2020-12-11,-0.415
2020-12-18,-0.3721
2020-12-25,-0.4131
2021-01-01,-0.4705
2021-01-08,-0.4802
2021-01-15,-0.5236
2021-01-22,-0.5108
2021-01-29,-0.2621
2021-02-05,-0.5709
2021-02-12,-0.7569
2021-02-19,-0.647
2021-02-26,-0.4384
2021-03-05,-0.4003
2021-03-12,-0.4929
2021-03-19,-0.5392
2021-03-26,-0.6189
2021-04-02,-0.7112
2021-04-09,-0.8106
2021-04-16,-0.7627
2021-04-23,-0.7125
2021-04-30,-0.8
2021-05-07,-0.8009
2021-05-14,-0.7422
2021-05-21,-0.7084
2021-05-28,-0.8074
2021-06-04,-0.8435
2021-06-11,-0.79
2021-06-18,-0.7687
2021-06-25,-0.7991
2021-07-02,-0.8399
2021-07-09,-0.7079
2021-07-16,-0.7974
2021-07-23,-0.565
2021-07-30,-0.761
2021-08-06,-0.6728
2021-08-13,-0.8574
2021-08-20,-0.616
2021-08-27,-0.7641
2021-09-03,-0.7578
2021-09-10,-0.7085
2021-09-17,-0.6758
2021-09-24,-0.541
2021-10-01,-0.6271
2021-10-08,-0.6345
2021-10-15,-0.728
2021-10-22,-0.9021
2021-10-29,-0.8092
2021-11-05,-0.6802
2021-11-12,-0.7862
2021-11-19,-0.6858
2021-11-26,-0.4857
2021-12-03,-0.1679
2021-12-10,-0.7042
2021-12-17,-0.4972
2021-12-24,-0.579
2021-12-31,-0.7681
2022-01-07,-0.6985
2022-01-14,-0.6593
2022-01-21,-0.382
2022-01-28,-0.2004
2022-02-04,-0.5118
2022-02-11,-0.5839
2022-02-18,-0.1636
2022-02-25,-0.005
2022-03-04,0.295
2022-03-11,0.1519
2022-03-18,-0.3062
2022-03-25,-0.6094
2022-04-01,-0.4749
2022-04-08,-0.3684
2022-04-15,-0.2788
2022-04-22,-0.3844
2022-04-29,0.1819
2022-05-06,0.2116
2022-05-13,0.5607
2022-05-20,0.3057
2022-05-27,0.2794
2022-06-03,-0.1618
2022-06-10,-0.047
2022-06-17,0.0352
2022-06-24,0.3761
2022-07-01,0.6117
2022-07-08,0.4259
2022-07-15,0.0661
2022-07-22,-0.2737
2022-07-29,-0.1945
2022-08-05,-0.4832
2022-08-12,-0.4036
2022-08-19,-0.3683
2022-08-26,-0.204
2022-09-02,-0.1355
2022-09-09,-0.3097
2022-09-16,-0.4371
2022-09-23,0.1338
2022-09-30,0.5225
2022-10-07,0.166
2022-10-14,0.2894
2022-10-21,-0.1474
2022-10-28,-0.2939
2022-11-04,-0.3872
2022-11-11,-0.323
2022-11-18,-0.2262
2022-11-25,-0.2283
2022-12-02,-0.1179
2022-12-09,0.1214
2022-12-16,0.0073
2022-12-23,0.0263
2022-12-30,-0.0384
2023-01-06,-0.1658
