week_end,obs_date,release_date,value
2017-12-01,2017-12-01,2017-12-01,200.95
2017-12-08,2017-12-08,2017-12-08,91.59
2017-12-15,2017-12-15,2017-12-15,80.45
2017-12-22,2017-12-22,2017-12-22,93.89
2017-12-29,2017-12-29,2017-12-29,341.37
2018-01-05,2018-01-05,2018-01-05,237.16
2018-01-12,2018-01-12,2018-01-12,225.61
2018-01-19,2018-01-19,2018-01-19,69.43
2018-01-26,2018-01-26,2018-01-26,144.92
2018-02-02,2018-02-02,2018-02-02,32.31
2018-02-09,2018-02-09,2018-02-09,61.34
2018-02-16,2018-02-16,2018-02-16,153.03
2018-02-23,2018-02-23,2018-02-23,79.21
2018-03-02,2018-03-02,2018-03-02,88.84
2018-03-09,2018-03-09,2018-03-09,330.12
2018-03-16,2018-03-16,2018-03-16,80.14
2018-03-23,2018-03-23,2018-03-23,10.92
2018-03-30,2018-03-30,2018-03-30,102.38
2018-04-06,2018-04-06,2018-04-06,109.71
2018-04-13,2018-04-13,2018-04-13,30.84
2018-04-20,2018-04-20,2018-04-20,76.79
2018-04-27,2018-04-27,2018-04-27,15.58
2018-05-04,2018-05-04,2018-05-04,30.55
2018-05-11,2018-05-11,2018-05-11,48.81
2018-05-18,2018-05-18,2018-05-18,64.82
2018-05-25,2018-05-25,2018-05-25,239.17
2018-06-01,2018-06-01,2018-06-01,109.96
2018-06-08,2018-06-08,2018-06-08,208.71
2018-06-15,2018-06-15,2018-06-15,94.74
2018-06-22,2018-06-22,2018-06-22,88.79
2018-06-29,2018-06-29,2018-06-29,88.8
2018-07-06,2018-07-06,2018-07-06,452.98
2018-07-13,2018-07-13,2018-07-13,39.74
2018-07-20,2018-07-20,2018-07-20,213.68
2018-07-27,2018-07-27,2018-07-27,35.76
2018-08-03,2018-08-03,2018-08-03,203.35
2018-08-10,2018-08-10,2018-08-10,96.01
2018-08-17,2018-08-17,2018-08-17,17.63
2018-08-24,2018-08-24,2018-08-24,142.7
2018-08-31,2018-08-31,2018-08-31,97.16
2018-09-07,2018-09-07,2018-09-07,104.2
2018-09-14,2018-09-14,2018-09-14,74.69
2018-09-21,2018-09-21,2018-09-21,106.21
2018-09-28,2018-09-28,2018-09-28,75.12
2018-10-05,2018-10-05,2018-10-05,66.52
2018-10-12,2018-10-12,2018-10-12,67.94
2018-10-19,2018-10-19,2018-10-19,49.16
2018-10-26,2018-10-23,2018-10-23,26.04
2018-11-02,2018-11-02,2018-11-02,72.33
2018-11-09,2018-11-05,2018-11-05,17.11
2018-11-16,2018-11-16,2018-11-16,160.2
2018-11-23,2018-11-23,2018-11-23,27.42
2018-11-30,2018-11-30,2018-11-30,160.96
2018-12-07,2018-12-07,2018-12-07,182.58
2018-12-14,2018-12-14,2018-12-14,191.49
2018-12-21,2018-12-21,2018-12-21,396.94
2018-12-28,2018-12-28,2018-12-28,161.23
2019-01-04,2019-01-04,2019-01-04,109.58
2019-01-11,2019-01-11,2019-01-11,499.64
2019-01-18,2019-01-18,2019-01-18,352.71
2019-01-25,2019-01-25,2019-01-25,176.25
2019-02-01,2019-02-01,2019-02-01,126.17
2019-02-08,2019-02-08,2019-02-08,97.17
2019-02-15,2019-02-15,2019-02-15,53.32
2019-02-22,2019-02-22,2019-02-22,369.48
2019-03-01,2019-03-01,2019-03-01,183.89
2019-03-08,2019-03-08,2019-03-08,271.1
2019-03-15,2019-03-15,2019-03-15,86.15
2019-03-22,2019-03-22,2019-03-22,59.83
2019-03-29,2019-03-29,2019-03-29,165.01
2019-04-05,2019-04-05,2019-04-05,91.7
2019-04-12,2019-04-12,2019-04-12,55.33
2019-04-19,2019-04-19,2019-04-19,82.66
2019-04-26,2019-04-26,2019-04-26,133.61
2019-05-03,2019-05-03,2019-05-03,100.16
2019-05-10,2019-05-10,2019-05-10,110.6
2019-05-17,2019-05-17,2019-05-17,297.93
2019-05-24,2019-05-24,2019-05-24,59.95
2019-05-31,2019-05-31,2019-05-31,256.32
2019-06-07,2019-06-07,2019-06-07,469.32
2019-06-14,2019-06-14,2019-06-14,106.21
2019-06-21,2019-06-21,2019-06-21,635.41
2019-06-28,2019-06-28,2019-06-28,414.34
2019-07-05,2019-07-05,2019-07-05,57.05
2019-07-12,2019-07-12,2019-07-12,155.59
2019-07-19,2019-07-19,2019-07-19,150.05
2019-07-26,2019-07-26,2019-07-26,156.46
2019-08-02,2019-08-02,2019-08-02,358.62
2019-08-09,2019-08-09,2019-08-09,63.71
2019-08-16,2019-08-16,2019-08-16,159.46
2019-08-23,2019-08-23,2019-08-23,299.41
2019-08-30,2019-08-30,2019-08-30,115.58
2019-09-06,2019-09-06,2019-09-06,174.06
2019-09-13,2019-09-13,2019-09-13,62.39
2019-09-20,2019-09-14,2019-09-16,100.82
2019-09-27,2019-09-27,2019-09-27,130.09
2019-10-04,2019-10-04,2019-10-04,124.03
2019-10-11,2019-10-11,2019-10-11,165.9
2019-10-18,2019-10-18,2019-10-18,354.17
2019-10-25,2019-10-25,2019-10-25,72.48
2019-11-01,2019-11-01,2019-11-01,69.12
2019-11-08,2019-11-08,2019-11-08,213.68
2019-11-15,2019-11-15,2019-11-15,136.94
2019-11-22,2019-11-22,2019-11-22,66.43
2019-11-29,2019-11-29,2019-11-29,87.95
2019-12-06,2019-12-06,2019-12-06,1320.85
2019-12-13,2019-12-13,2019-12-13,797.49
2019-12-20,2019-12-20,2019-12-20,437.38
