DATE,VALUE,RELEASE_DATE,SOURCE_SERIES
2018-03-24,16.34,2018-03-26,WLEMUINDXD
2018-03-25,14.94,2018-03-26,WLEMUINDXD
2018-03-26,85.62,2018-03-26,WLEMUINDXD
2018-03-27,63.6,2018-03-27,WLEMUINDXD
2018-03-28,39.23,2018-03-28,WLEMUINDXD
2018-03-29,37.31,2018-03-29,WLEMUINDXD
2018-03-30,44.8,2018-03-30,WLEMUINDXD
2018-03-31,41.87,2018-04-02,WLEMUINDXD
2018-04-01,29.15,2018-04-02,WLEMUINDXD
2018-04-02,87.71,2018-04-02,WLEMUINDXD
2018-04-03,63.03,2018-04-04,WLEMUINDXD
2018-04-04,86.6,2018-04-04,WLEMUINDXD
2018-04-05,112.84,2018-04-05,WLEMUINDXD
2018-04-06,82.29,2018-04-06,WLEMUINDXD
2018-04-07,261.17,2018-04-09,WLEMUINDXD
2018-04-08,172.66,2018-04-09,WLEMUINDXD
2018-04-09,84.2,2018-04-09,WLEMUINDXD
2018-04-10,65.51,2018-04-10,WLEMUINDXD
2018-04-11,44.1,2018-04-11,WLEMUINDXD
2018-04-12,35.38,2018-04-12,WLEMUINDXD
2018-04-13,40.48,2018-04-13,WLEMUINDXD
2018-04-14,80.99,2018-04-16,WLEMUINDXD
2018-04-15,17.59,2018-04-16,WLEMUINDXD
2018-04-16,82.3,2018-04-16,WLEMUINDXD
2018-04-17,63.94,2018-04-17,WLEMUINDXD
2018-04-18,78.27,2018-04-18,WLEMUINDXD
2018-04-19,36.21,2018-04-19,WLEMUINDXD
2018-04-20,40.32,2018-04-20,WLEMUINDXD
2018-04-21,15.29,2018-04-23,WLEMUINDXD
2018-04-22,14.12,2018-04-23,WLEMUINDXD
2018-04-23,81.63,2018-04-23,WLEMUINDXD
2018-04-24,54.9,2018-04-24,WLEMUINDXD
2018-04-25,8.83,2018-04-26,WLEMUINDXD
2018-04-26,36.39,2018-04-26,WLEMUINDXD
2018-04-27,40.9,2018-04-27,WLEMUINDXD
2018-04-28,15.48,2018-04-30,WLEMUINDXD
2018-04-29,13.95,2018-04-30,WLEMUINDXD
2018-04-30,78.79,2018-04-30,WLEMUINDXD
2018-05-01,64.45,2018-05-01,WLEMUINDXD
2018-05-02,82.83,2018-05-02,WLEMUINDXD
2018-05-03,35.33,2018-05-03,WLEMUINDXD
2018-05-04,80.19,2018-05-04,WLEMUINDXD
2018-05-05,32.52,2018-05-07,WLEMUINDXD
2018-05-06,58.09,2018-05-07,WLEMUINDXD
2018-05-07,101.8,2018-05-07,WLEMUINDXD
2018-05-08,63.18,2018-05-08,WLEMUINDXD
2018-05-09,41.16,2018-05-09,WLEMUINDXD
2018-05-10,35.08,2018-05-10,WLEMUINDXD
2018-05-11,42.71,2018-05-11,WLEMUINDXD
2018-05-12,17.47,2018-05-14,WLEMUINDXD
2018-05-13,19.61,2018-05-14,WLEMUINDXD
2018-05-14,89.05,2018-05-14,WLEMUINDXD
2018-05-15,61.34,2018-05-15,WLEMUINDXD
2018-05-16,80.77,2018-05-16,WLEMUINDXD
2018-05-17,35.27,2018-05-17,WLEMUINDXD
2018-05-18,42.54,2018-05-18,WLEMUINDXD
2018-05-19,15.62,2018-05-21,WLEMUINDXD
2018-05-20,13.54,2018-05-21,WLEMUINDXD
2018-05-21,89.55,2018-05-21,WLEMUINDXD
2018-05-22,66.09,2018-05-22,WLEMUINDXD
2018-05-23,41.93,2018-05-23,WLEMUINDXD
2018-05-24,37.95,2018-05-24,WLEMUINDXD
2018-05-25,41.86,2018-05-25,WLEMUINDXD
2018-05-26,16.66,2018-05-28,WLEMUINDXD
2018-05-27,28.52,2018-05-28,WLEMUINDXD
2018-05-28,90.39,2018-05-28,WLEMUINDXD
2018-05-29,72.79,2018-05-29,WLEMUINDXD
2018-05-30,41.37,2018-05-30,WLEMUINDXD
2018-05-31,36.82,2018-05-31,WLEMUINDXD
2018-06-01,247.43,2018-06-01,WLEMUINDXD
2018-06-02,16.41,2018-06-04,WLEMUINDXD
2018-06-03,30.4,2018-06-04,WLEMUINDXD
2018-06-04,87.32,2018-06-04,WLEMUINDXD
2018-06-05,64.05,2018-06-05,WLEMUINDXD
2018-06-06,42.28,2018-06-06,WLEMUINDXD
2018-06-07,82.73,2018-06-07,WLEMUINDXD
2018-06-08,42.15,2018-06-08,WLEMUINDXD
2018-06-09,16.61,2018-06-11,WLEMUINDXD
2018-06-10,14.51,2018-06-11,WLEMUINDXD
2018-06-11,108.83,2018-06-11,WLEMUINDXD
2018-06-12,65.82,2018-06-12,WLEMUINDXD
2018-06-13,41.84,2018-06-13,WLEMUINDXD
2018-06-14,35.39,2018-06-14,WLEMUINDXD
2018-06-15,49.74,2018-06-15,WLEMUINDXD
2018-06-16,16.44,2018-06-18,WLEMUINDXD
2018-06-17,30.78,2018-06-18,WLEMUINDXD
2018-06-18,96.3,2018-06-18,WLEMUINDXD
2018-06-19,65.77,2018-06-19,WLEMUINDXD
2018-06-20,89.09,2018-06-20,WLEMUINDXD
2018-06-21,38.88,2018-06-21,WLEMUINDXD
2018-06-22,46.62,2018-06-22,WLEMUINDXD
2018-06-23,17.07,2018-06-25,WLEMUINDXD
2018-06-24,92.26,2018-06-25,WLEMUINDXD
2018-06-25,97.59,2018-06-25,WLEMUINDXD
2018-06-26,67.0,2018-06-26,WLEMUINDXD
2018-06-27,38.46,2018-06-27,WLEMUINDXD
2018-06-28,145.49,2018-06-28,WLEMUINDXD
2018-06-29,186.51,2018-06-29,WLEMUINDXD
2018-06-30,14.68,2018-07-02,WLEMUINDXD
2018-07-01,15.26,2018-07-02,WLEMUINDXD
2018-07-02,89.82,2018-07-02,WLEMUINDXD
2018-07-03,63.28,2018-07-03,WLEMUINDXD
2018-07-04,44.65,2018-07-04,WLEMUINDXD
2018-07-05,40.01,2018-07-05,WLEMUINDXD
2018-07-06,99.1,2018-07-06,WLEMUINDXD
2018-07-07,125.56,2018-07-09,WLEMUINDXD
2018-07-08,77.35,2018-07-09,WLEMUINDXD
2018-07-09,96.51,2018-07-09,WLEMUINDXD
2018-07-10,71.34,2018-07-10,WLEMUINDXD
2018-07-11,52.43,2018-07-11,WLEMUINDXD
2018-07-12,38.87,2018-07-12,WLEMUINDXD
2018-07-13,52.17,2018-07-13,WLEMUINDXD
2018-07-14,17.45,2018-07-16,WLEMUINDXD
2018-07-15,15.71,2018-07-16,WLEMUINDXD
2018-07-16,95.99,2018-07-16,WLEMUINDXD
2018-07-17,70.48,2018-07-17,WLEMUINDXD
2018-07-18,44.42,2018-07-18,WLEMUINDXD
2018-07-19,75.35,2018-07-19,WLEMUINDXD
2018-07-20,46.75,2018-07-20,WLEMUINDXD
2018-07-21,36.97,2018-07-23,WLEMUINDXD
2018-07-22,16.9,2018-07-23,WLEMUINDXD
2018-07-23,90.73,2018-07-23,WLEMUINDXD
2018-07-24,69.83,2018-07-24,WLEMUINDXD
2018-07-25,41.03,2018-07-25,WLEMUINDXD
2018-07-26,38.46,2018-07-26,WLEMUINDXD
2018-07-27,46.94,2018-07-27,WLEMUINDXD
2018-07-28,17.93,2018-07-30,WLEMUINDXD
2018-07-29,15.83,2018-07-30,WLEMUINDXD
2018-07-30,92.34,2018-07-30,WLEMUINDXD
2018-07-31,70.93,2018-07-31,WLEMUINDXD
2018-08-01,45.83,2018-08-01,WLEMUINDXD
2018-08-02,38.08,2018-08-02,WLEMUINDXD
2018-08-03,48.53,2018-08-03,WLEMUINDXD
2018-08-04,15.73,2018-08-06,WLEMUINDXD
2018-08-05,15.36,2018-08-06,WLEMUINDXD
2018-08-06,82.13,2018-08-06,WLEMUINDXD
2018-08-07,69.81,2018-08-07,WLEMUINDXD
2018-08-08,48.65,2018-08-08,WLEMUINDXD
2018-08-09,39.4,2018-08-09,WLEMUINDXD
2018-08-10,50.41,2018-08-10,WLEMUINDXD
2018-08-11,20.22,2018-08-13,WLEMUINDXD
2018-08-12,132.45,2018-08-13,WLEMUINDXD
2018-08-13,134.46,2018-08-13,WLEMUINDXD
2018-08-14,144.83,2018-08-14,WLEMUINDXD
2018-08-15,41.33,2018-08-15,WLEMUINDXD
2018-08-16,34.4,2018-08-16,WLEMUINDXD
2018-08-17,46.28,2018-08-17,WLEMUINDXD
2018-08-18,52.4,2018-08-20,WLEMUINDXD
2018-08-19,45.35,2018-08-20,WLEMUINDXD
2018-08-20,96.82,2018-08-20,WLEMUINDXD
2018-08-21,70.08,2018-08-21,WLEMUINDXD
2018-08-22,46.53,2018-08-22,WLEMUINDXD
2018-08-23,115.53,2018-08-23,WLEMUINDXD
2018-08-24,140.49,2018-08-24,WLEMUINDXD
2018-08-25,226.96,2018-08-27,WLEMUINDXD
2018-08-26,55.93,2018-08-27,WLEMUINDXD
2018-08-27,107.4,2018-08-27,WLEMUINDXD
2018-08-28,241.66,2018-08-28,WLEMUINDXD
2018-08-29,41.48,2018-08-29,WLEMUINDXD
2018-08-30,37.17,2018-08-30,WLEMUINDXD
2018-08-31,102.03,2018-08-31,WLEMUINDXD
2018-09-01,13.5,2018-09-03,WLEMUINDXD
2018-09-02,44.48,2018-09-03,WLEMUINDXD
2018-09-03,191.58,2018-09-03,WLEMUINDXD
2018-09-04,98.45,2018-09-04,WLEMUINDXD
2018-09-05,96.18,2018-09-05,WLEMUINDXD
2018-09-06,37.21,2018-09-06,WLEMUINDXD
2018-09-07,48.95,2018-09-07,WLEMUINDXD
2018-09-08,12.93,2018-09-10,WLEMUINDXD
2018-09-09,14.81,2018-09-10,WLEMUINDXD
2018-09-10,98.48,2018-09-10,WLEMUINDXD
