DATE,VALUE
2017-12-01,-0.6
2017-12-08,-0.61
2017-12-15,-0.61
2017-12-22,-0.61
2017-12-29,-0.62
2018-01-05,-0.62
2018-01-12,-0.62
2018-01-19,-0.62
2018-01-26,-0.61
2018-02-02,-0.59
2018-02-09,-0.58
2018-02-16,-0.56
2018-02-23,-0.54
2018-03-02,-0.53
2018-03-09,-0.52
2018-03-16,-0.51
2018-03-23,-0.5
2018-03-30,-0.5
2018-04-06,-0.5
2018-04-13,-0.51
2018-04-20,-0.53
2018-04-27,-0.54
2018-05-04,-0.55
2018-05-11,-0.56
2018-05-18,-0.56
2018-05-25,-0.56
2018-06-01,-0.56
2018-06-08,-0.55
2018-06-15,-0.55
2018-06-22,-0.54
2018-06-29,-0.54
2018-07-06,-0.54
2018-07-13,-0.54
2018-07-20,-0.55
2018-07-27,-0.56
2018-08-03,-0.57
2018-08-10,-0.58
2018-08-17,-0.59
2018-08-24,-0.59
2018-08-31,-0.6
2018-09-07,-0.6
2018-09-14,-0.6
2018-09-21,-0.6
2018-09-28,-0.59
2018-10-05,-0.59
2018-10-12,-0.58
2018-10-19,-0.56
2018-10-26,-0.55
2018-11-02,-0.54
2018-11-09,-0.52
2018-11-16,-0.5
2018-11-23,-0.48
2018-11-30,-0.46
2018-12-07,-0.44
2018-12-14,-0.43
2018-12-21,-0.42
2018-12-28,-0.43
2019-01-04,-0.44
2019-01-11,-0.46
2019-01-18,-0.48
2019-01-25,-0.51
2019-02-01,-0.53
2019-02-08,-0.55
2019-02-15,-0.57
2019-02-22,-0.58
2019-03-01,-0.59
2019-03-08,-0.6
2019-03-15,-0.6
2019-03-22,-0.6
2019-03-29,-0.61
2019-04-05,-0.61
2019-04-12,-0.61
2019-04-19,-0.61
2019-04-26,-0.61
2019-05-03,-0.61
2019-05-10,-0.6
2019-05-17,-0.6
2019-05-24,-0.59
2019-05-31,-0.58
2019-06-07,-0.57
2019-06-14,-0.57
2019-06-21,-0.57
2019-06-28,-0.57
2019-07-05,-0.58
2019-07-12,-0.58
2019-07-19,-0.58
2019-07-26,-0.58
2019-08-02,-0.57
2019-08-09,-0.56
2019-08-16,-0.55
2019-08-23,-0.54
