DATE,VALUE,RELEASE_DATE,SOURCE_SERIES
2017-12-01,-0.9,2017-12-06,NFCI
2017-12-08,-0.91,2017-12-13,NFCI
2017-12-15,-0.91,2017-12-20,NFCI
2017-12-22,-0.92,2017-12-28,NFCI
2017-12-29,-0.89,2018-01-04,NFCI
2018-01-05,-0.91,2018-01-10,NFCI
2018-01-12,-0.93,2018-01-18,NFCI
2018-01-19,-0.94,2018-01-24,NFCI
2018-01-26,-0.94,2018-01-31,NFCI
2018-02-02,-0.88,2018-02-07,NFCI
2018-02-09,-0.82,2018-02-14,NFCI
2018-02-16,-0.8,2018-02-22,NFCI
2018-02-23,-0.79,2018-02-28,NFCI
2018-03-02,-0.77,2018-03-07,NFCI
2018-03-09,-0.77,2018-03-14,NFCI
2018-03-16,-0.78,2018-03-21,NFCI
2018-03-23,-0.77,2018-03-28,NFCI
2018-03-30,-0.74,2018-04-04,NFCI
2018-04-06,-0.73,2018-04-11,NFCI
2018-04-13,-0.75,2018-04-18,NFCI
2018-04-20,-0.79,2018-04-25,NFCI
2018-04-27,-0.78,2018-05-02,NFCI
2018-05-04,-0.79,2018-05-09,NFCI
2018-05-11,-0.81,2018-05-16,NFCI
2018-05-18,-0.83,2018-05-23,NFCI
2018-05-25,-0.85,2018-05-31,NFCI
2018-06-01,-0.8,2018-06-06,NFCI
2018-06-08,-0.81,2018-06-13,NFCI
2018-06-15,-0.81,2018-06-20,NFCI
2018-06-22,-0.81,2018-06-27,NFCI
2018-06-29,-0.78,2018-07-05,NFCI
2018-07-06,-0.78,2018-07-11,NFCI
2018-07-13,-0.79,2018-07-18,NFCI
2018-07-20,-0.83,2018-07-25,NFCI
2018-07-27,-0.84,2018-08-01,NFCI
2018-08-03,-0.84,2018-08-08,NFCI
2018-08-10,-0.86,2018-08-15,NFCI
2018-08-17,-0.86,2018-08-22,NFCI
2018-08-24,-0.87,2018-08-29,NFCI
2018-08-31,-0.85,2018-09-06,NFCI
2018-09-07,-0.86,2018-09-12,NFCI
2018-09-14,-0.86,2018-09-19,NFCI
2018-09-21,-0.88,2018-09-26,NFCI
2018-09-28,-0.86,2018-10-03,NFCI
2018-10-05,-0.89,2018-10-11,NFCI
2018-10-12,-0.88,2018-10-17,NFCI
2018-10-19,-0.87,2018-10-24,NFCI
2018-10-26,-0.84,2018-10-31,NFCI
2018-11-02,-0.79,2018-11-07,NFCI
2018-11-09,-0.81,2018-11-15,NFCI
2018-11-16,-0.82,2018-11-21,NFCI
2018-11-23,-0.81,2018-11-28,NFCI
2018-11-30,-0.78,2018-12-05,NFCI
2018-12-07,-0.76,2018-12-12,NFCI
2018-12-14,-0.75,2018-12-19,NFCI
2018-12-21,-0.73,2018-12-27,NFCI
2018-12-28,-0.7,2019-01-03,NFCI
2019-01-04,-0.71,2019-01-09,NFCI
2019-01-11,-0.75,2019-01-16,NFCI
2019-01-18,-0.78,2019-01-24,NFCI
2019-01-25,-0.81,2019-01-30,NFCI
2019-02-01,-0.78,2019-02-06,NFCI
2019-02-08,-0.82,2019-02-13,NFCI
2019-02-15,-0.85,2019-02-21,NFCI
2019-02-22,-0.87,2019-02-27,NFCI
2019-03-01,-0.85,2019-03-06,NFCI
2019-03-08,-0.86,2019-03-13,NFCI
2019-03-15,-0.87,2019-03-20,NFCI
2019-03-22,-0.88,2019-03-27,NFCI
2019-03-29,-0.85,2019-04-03,NFCI
2019-04-05,-0.84,2019-04-10,NFCI
2019-04-12,-0.86,2019-04-17,NFCI
2019-04-19,-0.88,2019-04-24,NFCI
2019-04-26,-0.88,2019-05-01,NFCI
2019-05-03,-0.87,2019-05-08,NFCI
2019-05-10,-0.87,2019-05-15,NFCI
2019-05-17,-0.87,2019-05-22,NFCI
2019-05-24,-0.86,2019-05-30,NFCI
2019-05-31,-0.83,2019-06-05,NFCI
2019-06-07,-0.83,2019-06-12,NFCI
2019-06-14,-0.82,2019-06-19,NFCI
2019-06-21,-0.83,2019-06-26,NFCI
2019-06-28,-0.81,2019-07-03,NFCI
2019-07-05,-0.82,2019-07-10,NFCI
2019-07-12,-0.83,2019-07-17,NFCI
2019-07-19,-0.84,2019-07-24,NFCI
2019-07-26,-0.86,2019-07-31,NFCI
2019-08-02,-0.85,2019-08-07,NFCI
2019-08-09,-0.8,2019-08-14,NFCI
2019-08-16,-0.76,2019-08-21,NFCI
2019-08-23,-0.75,2019-08-28,NFCI
2019-08-30,-0.7,2019-09-05,NFCI
2019-09-06,-0.71,2019-09-11,NFCI
2019-09-13,-0.72,2019-09-18,NFCI
2019-09-20,-0.74,2019-09-25,NFCI
2019-09-27,-0.73,2019-10-02,NFCI
2019-10-04,-0.72,2019-10-09,NFCI
2019-10-11,-0.73,2019-10-17,NFCI
2019-10-18,-0.74,2019-10-23,NFCI
2019-10-25,-0.76,2019-10-30,NFCI
2019-11-01,-0.74,2019-11-06,NFCI
2019-11-08,-0.76,2019-11-14,NFCI
2019-11-15,-0.77,2019-11-20,NFCI
2019-11-22,-0.78,2019-11-27,NFCI
2019-11-29,-0.78,2019-12-04,NFCI
2019-12-06,-0.78,2019-12-11,NFCI
2019-12-13,-0.78,2019-12-18,NFCI
2019-12-20,-0.79,2019-12-26,NFCI
2019-12-27,-0.78,2020-01-08,NFCI
2020-01-03,-0.79,2020-01-08,NFCI
2020-01-10,-0.79,2020-01-15,NFCI
2020-01-17,-0.82,2020-01-23,NFCI
2020-01-24,-0.82,2020-01-29,NFCI
2020-01-31,-0.79,2020-02-05,NFCI
2020-02-07,-0.81,2020-02-12,NFCI
