week_end,obs_date,release_date,value
2017-12-01,2017-12-01,2017-12-01,81.16
2017-12-08,2017-12-08,2017-12-08,40.07
2017-12-15,2017-12-15,2017-12-15,42.24
2017-12-22,2017-12-22,2017-12-22,41.08
2017-12-29,2017-12-29,2017-12-29,49.79
2018-01-05,2018-01-05,2018-01-05,133.42
2018-01-12,2018-01-12,2018-01-12,39.49
2018-01-19,2018-01-19,2018-01-19,45.57
2018-01-26,2018-01-26,2018-01-26,42.27
2018-02-02,2018-02-02,2018-02-02,42.41
2018-02-09,2018-02-09,2018-02-09,80.52
2018-02-16,2018-02-16,2018-02-16,40.18
2018-02-23,2018-02-23,2018-02-23,41.59
2018-03-02,2018-03-02,2018-03-02,38.87
2018-03-09,2018-03-09,2018-03-09,39.39
2018-03-16,2018-03-16,2018-03-16,42.08
2018-03-23,2018-03-23,2018-03-23,28.66
2018-03-30,2018-03-30,2018-03-30,44.8
2018-04-06,2018-04-06,2018-04-06,82.29
2018-04-13,2018-04-13,2018-04-13,40.48
2018-04-20,2018-04-20,2018-04-20,40.32
2018-04-27,2018-04-27,2018-04-27,40.9
2018-05-04,2018-05-04,2018-05-04,80.19
2018-05-11,2018-05-11,2018-05-11,42.71
2018-05-18,2018-05-18,2018-05-18,42.54
2018-05-25,2018-05-25,2018-05-25,41.86
2018-06-01,2018-06-01,2018-06-01,247.43
2018-06-08,2018-06-08,2018-06-08,42.15
2018-06-15,2018-06-15,2018-06-15,49.74
2018-06-22,2018-06-22,2018-06-22,46.62
2018-06-29,2018-06-29,2018-06-29,186.51
2018-07-06,2018-07-06,2018-07-06,99.1
2018-07-13,2018-07-13,2018-07-13,52.17
2018-07-20,2018-07-20,2018-07-20,46.75
2018-07-27,2018-07-27,2018-07-27,46.94
2018-08-03,2018-08-03,2018-08-03,48.53
2018-08-10,2018-08-10,2018-08-10,50.41
2018-08-17,2018-08-17,2018-08-17,46.28
2018-08-24,2018-08-24,2018-08-24,140.49
2018-08-31,2018-08-31,2018-08-31,102.03
2018-09-07,2018-09-07,2018-09-07,48.95
2018-09-14,2018-09-14,2018-09-14,98.04
2018-09-21,2018-09-21,2018-09-21,46.47
2018-09-28,2018-09-28,2018-09-28,49.31
2018-10-05,2018-10-05,2018-10-05,43.66
2018-10-12,2018-10-12,2018-10-12,81.59
2018-10-19,2018-10-19,2018-10-19,86.05
2018-10-26,2018-10-23,2018-10-23,68.35
2018-11-02,2018-11-02,2018-11-02,36.88
2018-11-09,2018-11-09,2018-11-09,77.65
2018-11-16,2018-11-16,2018-11-16,38.36
2018-11-23,2018-11-23,2018-11-23,42.89
2018-11-30,2018-11-30,2018-11-30,40.57
2018-12-07,2018-12-07,2018-12-07,166.79
2018-12-14,2018-12-14,2018-12-14,42.97
2018-12-21,2018-12-21,2018-12-21,169.71
2018-12-28,2018-12-28,2018-12-28,151.81
2019-01-04,2019-01-04,2019-01-04,146.31
2019-01-11,2019-01-11,2019-01-11,366.05
2019-01-18,2019-01-18,2019-01-18,181.76
2019-01-25,2019-01-25,2019-01-25,132.35
2019-02-01,2019-02-01,2019-02-01,93.4
2019-02-08,2019-02-08,2019-02-08,40.12
2019-02-15,2019-02-15,2019-02-15,41.93
2019-02-22,2019-02-22,2019-02-22,39.81
2019-03-01,2019-03-01,2019-03-01,42.7
2019-03-08,2019-03-08,2019-03-08,157.58
2019-03-15,2019-03-15,2019-03-15,128.47
2019-03-22,2019-03-22,2019-03-22,42.57
2019-03-29,2019-03-29,2019-03-29,127.3
2019-04-05,2019-04-05,2019-04-05,43.26
2019-04-12,2019-04-12,2019-04-12,41.79
2019-04-19,2019-04-19,2019-04-19,40.78
2019-04-26,2019-04-26,2019-04-26,39.45
2019-05-03,2019-05-03,2019-05-03,122.52
2019-05-10,2019-05-10,2019-05-10,165.72
2019-05-17,2019-05-17,2019-05-17,42.98
2019-05-24,2019-05-24,2019-05-24,44.71
2019-05-31,2019-05-31,2019-05-31,96.96
2019-06-07,2019-06-07,2019-06-07,47.97
2019-06-14,2019-06-14,2019-06-14,48.47
2019-06-21,2019-06-21,2019-06-21,153.8
2019-06-28,2019-06-28,2019-06-28,62.0
2019-07-05,2019-07-05,2019-07-05,70.3
2019-07-12,2019-07-12,2019-07-12,64.34
2019-07-19,2019-07-19,2019-07-19,60.42
2019-07-26,2019-07-26,2019-07-26,57.59
2019-08-02,2019-08-02,2019-08-02,114.13
2019-08-09,2019-08-09,2019-08-09,64.49
2019-08-16,2019-08-16,2019-08-16,774.11
2019-08-23,2019-08-23,2019-08-23,63.61
2019-08-30,2019-08-30,2019-08-30,236.83
2019-09-06,2019-09-06,2019-09-06,122.98
2019-09-13,2019-09-13,2019-09-13,59.23
2019-09-20,2019-09-14,2019-09-16,134.02
2019-09-27,2019-09-27,2019-09-27,57.47
2019-10-04,2019-10-04,2019-10-04,241.02
2019-10-11,2019-10-11,2019-10-11,61.72
2019-10-18,2019-10-18,2019-10-18,64.0
2019-10-25,2019-10-25,2019-10-25,63.91
2019-11-01,2019-11-01,2019-11-01,66.91
2019-11-08,2019-11-08,2019-11-08,186.73
2019-11-15,2019-11-15,2019-11-15,61.74
2019-11-22,2019-11-22,2019-11-22,64.34
2019-11-29,2019-11-29,2019-11-29,71.76
2019-12-06,2019-12-06,2019-12-06,67.53
2019-12-13,2019-12-13,2019-12-13,269.19
2019-12-20,2019-12-20,2019-12-20,199.5
2019-12-27,2019-12-27,2019-12-27,226.62
2020-01-03,2020-01-03,2020-01-03,28.66
2020-01-10,2020-01-10,2020-01-10,67.13
2020-01-17,2020-01-17,2020-01-17,65.51
2020-01-24,2020-01-24,2020-01-24,64.84
2020-01-31,2020-01-31,2020-01-31,548.66
2020-02-07,2020-02-07,2020-02-07,60.31
2020-02-14,2020-02-14,2020-02-14,65.35
2020-02-21,2020-02-21,2020-02-21,188.43
2020-02-28,2020-02-28,2020-02-28,485.29
2020-03-06,2020-03-06,2020-03-06,424.15
2020-03-13,2020-03-12,2020-03-13,316.56
2020-03-20,2020-03-19,2020-03-20,645.64
2020-03-27,2020-03-26,2020-03-27,497.63
2020-04-03,2020-04-02,2020-04-03,530.81
2020-04-10,2020-04-09,2020-04-10,320.74
2020-04-17,2020-04-16,2020-04-17,95.49
2020-04-24,2020-04-23,2020-04-24,321.07
2020-05-01,2020-04-30,2020-05-01,327.24
2020-05-08,2020-05-07,2020-05-08,351.38
2020-05-15,2020-05-14,2020-05-15,300.84
2020-05-22,2020-05-20,2020-05-21,222.62
2020-05-29,2020-05-28,2020-05-29,154.93
2020-06-05,2020-06-04,2020-06-05,25.51
2020-06-12,2020-06-11,2020-06-12,274.48
2020-06-19,2020-06-18,2020-06-19,25.24
2020-06-26,2020-06-25,2020-06-26,26.43
2020-07-03,2020-07-02,2020-07-03,56.27
2020-07-10,2020-07-09,2020-07-10,105.04
2020-07-17,2020-07-16,2020-07-17,117.13
2020-07-24,2020-07-23,2020-07-24,79.64
2020-07-31,2020-07-30,2020-07-31,26.91
2020-08-07,2020-08-06,2020-08-07,50.96
2020-08-14,2020-08-12,2020-08-13,164.67
2020-08-21,2020-08-20,2020-08-21,168.68
2020-08-28,2020-08-27,2020-08-28,54.04
2020-09-04,2020-09-03,2020-09-04,159.54
2020-09-11,2020-09-10,2020-09-11,75.71
2020-09-18,2020-09-17,2020-09-18,289.93
2020-09-25,2020-09-24,2020-09-25,24.38
2020-10-02,2020-10-01,2020-10-02,25.07
2020-10-09,2020-10-08,2020-10-09,48.09
